label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,seeds,seedbase,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,med_seed,secs
BASE_rand,BASE,16,0.0625,random,0.052,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,1000,20.945,19.42,21.55,-34.045,-37.69,0.611,0.539,20.945,-34.045,0.611,1.19,689.0,31.8,48.9,37.225,-11.625,12.293,14.0,72.87,19.06,-32.59,22.83,-33.98,1880.0,472.0,41.0,972.0,1954.0,689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8414190.5,7425370.0,984244.5,2.485,548544.5,0.426,4.742,33.05,67074941.5,37.45,37.45,8.639976444812644e+20,7461064446836736.0,1002,2.8
A_unre_m010,SEL,16,0.0625,random,0.052,25.0,unreal,10.0,1,tv,0.0,month,0.0,0,0,0.92,30,1000,22.765,21.45,23.71,-33.52,-36.15,0.671,0.624,22.765,-33.52,0.671,1.272,741.0,34.2,48.1,38.055,-10.71,12.624,15.0,73.27,20.55,-31.79,25.005,-33.52,1880.0,527.0,84.0,1029.0,1940.0,741.0,93.0,2912.0,4.29,0.0,0.0,0.0,0.0,11145787.5,9362102.0,1601555.0,2.722,633255.0,0.483,6.454,35.8,93538384.0,42.6,42.6,1.37185220106044e+23,5.538741721287885e+17,1019,5.9
X_entrs_unre_m010,SEL,16,0.0625,random,0.052,25.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,30,1000,22.58,21.78,23.48,-31.78,-31.78,0.71,0.685,22.58,-31.78,0.71,1.266,745.5,34.4,47.25,38.625,-10.865,12.493,15.0,73.31,20.36,-31.78,25.15,-30.64,1880.0,515.5,84.0,1010.5,1961.0,745.5,98.0,2915.5,4.52,0.0,0.0,0.0,0.0,10539589.5,9127718.5,1331766.5,2.795,660307.0,0.496,7.183,37.45,89972317.5,43.7,43.7,6.102501344076775e+22,2.831236943965061e+17,1022,5.7
X_entage_unre_m010,SEL,16,0.0625,random,0.052,25.0,unreal,10.0,1,age,0.0,month,0.0,0,0,0.92,30,1000,22.5,20.52,23.73,-37.23,-37.35,0.605,0.552,22.5,-37.23,0.605,1.248,748.0,34.5,46.95,38.575,-10.875,12.378,15.0,73.39,20.28,-31.77,24.785,-37.23,1880.0,507.5,84.0,996.5,1970.0,748.0,95.5,2911.5,4.405,0.0,0.0,0.0,0.0,10822525.5,9095576.5,1588768.0,2.764,600102.0,0.476,6.539,36.5,89180692.0,44.3,44.3,3.272723965733605e+22,1.6487847732392755e+17,1023,5.7
A_null_p003,NULL,16,0.0625,random,0.052,25.0,rand,0.03,1,tv,0.0,month,0.0,0,0,0.92,30,1000,20.8,18.79,23.7,-34.415,-40.05,0.603,0.476,20.8,-34.415,0.603,1.18,766.0,35.3,49.4,34.13,-11.5,11.068,14.0,72.86,18.665,-32.44,23.285,-34.26,1880.0,543.5,56.0,1136.0,1795.0,766.0,84.0,2839.0,3.87,0.0,0.0,0.0,0.0,8679549.0,8076188.0,751402.5,2.921,538475.5,0.45,5.259,33.55,65999219.5,38.25,38.25,6.795322796221221e+20,5774702177943552.0,1001,4.3
