label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,seeds,seedbase,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,med_seed,secs
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,30,0,21.82,21.02,22.7,-32.13,-32.13,0.679,0.654,21.82,-32.13,0.679,1.207,779.0,35.9,45.55,37.195,-10.155,11.332,16.0,73.115,21.52,-32.13,21.99,-31.72,1880.0,470.5,36.0,931.5,2054.0,779.0,142.0,2876.0,6.55,0.0,0.0,0.0,0.0,9862355.5,8340075.5,1658815.5,2.898,742919.0,0.543,6.312,39.9,79006810.0,41.7,41.7,1.3967840497845695e+22,1.0010916361443738e+17,30,5.7
X_entrs_unre_m125,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,12.5,1,rs,0.0,month,0.0,0,0,0.92,30,0,21.485,20.05,22.43,-33.26,-36.21,0.638,0.554,21.485,-33.26,0.638,1.222,712.0,32.8,47.95,38.01,-11.3,12.464,16.0,73.14,18.84,-31.78,24.18,-33.26,1880.0,520.5,93.0,1030.5,1932.5,712.0,54.5,2930.0,2.515,0.0,0.0,0.0,0.0,9201543.5,7844657.5,1231614.5,2.569,551528.0,0.421,5.546,32.9,74519733.5,38.6,38.6,5.410505387670277e+21,2.549115703525376e+16,5,6.6
