label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,seed,cagr,maxdd,calmar,sharpe,trades,trades_per_yr,win_rate,avg_win,avg_loss,expectancy,max_loss_streak,invested_pct,w1_cagr,w1_dd,w2_cagr,w2_dd,days_signal,days_bind,days_full,turned_away,cash_refused,entries_taken,swaps,swap_attempts,swaps_per_yr,trims,trims_per_yr,trim_notional,partial_fills,tax_paid,tax_st,tax_lt,turnover_x,pos_rs_med,cap_pct_med,cap_pct_p95,cap_over1pct,profit_total,top10_share,top10_share_all,mult_all,mult_drop10
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,1,22.18,-32.13,0.69,1.228,787,36.3,46.0,36.72,-10.2,11.38,16,73.0,21.52,-32.13,22.71,-31.73,1880,474,36,941,2033,787,142,2874,6.55,0,0.0,0.0,0,1.0553669e+07,9.252285e+06,1.301384e+06,2.947,747609.0,0.566,7.055,40.9,84196953.0,37.0,37.0,7.605070164033673e+22,7.012802672260547e+17
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,2,21.83,-32.13,0.679,1.206,774,35.7,45.2,37.35,-10.16,11.328,15,73.08,21.51,-32.13,22.02,-31.7,1880,435,36,851,2131,774,137,2886,6.32,0,0.0,0.0,0,1.0151959e+07,8.629949e+06,1.52201e+06,2.864,742588.0,0.537,6.683,39.7,79188647.0,43.5,43.5,1.0228056433826816e+22,8.0680539748565e+16
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,3,21.58,-32.13,0.672,1.199,773,35.6,44.9,37.53,-10.1,11.281,15,73.11,21.51,-32.13,21.53,-32.05,1880,463,36,911,2072,773,137,2889,6.32,0,0.0,0.0,0,9.708738e+06,8.164287e+06,1.54445e+06,2.843,737134.0,0.53,5.852,39.5,75731827.0,44.2,44.2,6.749623011583688e+21,5.324214117806899e+16
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,4,21.88,-32.13,0.681,1.206,778,35.9,45.1,37.33,-10.03,11.333,16,73.24,21.52,-32.13,22.12,-31.69,1880,457,36,899,2086,778,144,2880,6.64,0,0.0,0.0,0,1.0428947e+07,8.87484e+06,1.554107e+06,2.889,742816.0,0.539,6.58,39.8,80231466.0,43.7,43.7,1.6209663149506457e+22,1.2786422582870016e+17
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,5,21.77,-32.13,0.677,1.203,775,35.7,44.9,37.96,-10.21,11.417,16,73.15,21.52,-32.13,21.88,-31.73,1880,465,36,913,2073,775,142,2874,6.55,0,0.0,0.0,0,9.694528e+06,7.863473e+06,1.831055e+06,2.873,742364.0,0.539,6.267,39.4,77974503.0,44.1,44.1,7.536279143395468e+21,4.402794167952998e+16
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,6,21.34,-32.13,0.664,1.193,781,36.0,45.6,36.83,-10.29,11.191,16,73.02,21.52,-32.13,21.02,-32.05,1880,484,36,949,2031,781,142,2869,6.55,0,0.0,0.0,0,9.071825e+06,7.42305e+06,1.648776e+06,2.888,742919.0,0.546,6.164,40.1,72146292.0,38.0,38.0,6.218774716306273e+21,4.108822124901171e+16
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,7,21.35,-32.13,0.664,1.196,785,36.2,45.6,36.38,-10.18,11.051,16,73.03,21.51,-32.13,21.05,-32.05,1880,481,36,949,2027,785,142,2876,6.55,0,0.0,0.0,0,9.535654e+06,8.262023e+06,1.27363e+06,2.911,743618.0,0.551,6.261,40.0,72708104.0,36.7,36.7,9.368440299201774e+21,8.638835371645338e+16
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,8,22.15,-32.13,0.69,1.229,772,35.6,45.7,37.6,-10.31,11.599,15,73.27,21.52,-32.13,22.67,-31.72,1880,474,36,932,2056,772,141,2875,6.5,0,0.0,0.0,0,9.964637e+06,7.950558e+06,2.01408e+06,2.835,739492.0,0.547,6.322,40.0,83406399.0,43.0,43.0,2.2506799936379023e+22,1.3148788973633536e+17
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,9,21.31,-32.13,0.663,1.184,783,36.1,44.7,37.57,-10.3,11.096,16,73.12,21.51,-32.13,20.97,-31.7,1880,464,36,911,2072,783,147,2856,6.78,0,0.0,0.0,0,9.334217e+06,7.42865e+06,1.905566e+06,2.937,743739.0,0.563,6.242,39.8,72019598.0,45.2,45.2,1.8493715210448142e+21,1.0804291954540544e+16
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,10,22.11,-32.13,0.688,1.204,773,35.6,46.2,36.95,-10.1,11.631,15,72.94,21.51,-32.13,22.59,-31.7,1880,469,36,931,2051,773,136,2892,6.27,0,0.0,0.0,0,1.0520201e+07,9.230992e+06,1.289209e+06,2.809,742585.0,0.535,6.481,39.7,83229142.0,36.6,36.6,1.2160297256092494e+23,1.1213269005437501e+18
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,11,22.02,-32.13,0.685,1.214,771,35.6,45.4,37.44,-10.16,11.444,15,73.17,21.52,-32.13,22.39,-31.72,1880,436,36,853,2133,771,138,2884,6.36,0,0.0,0.0,0,1.0547908e+07,8.85465e+06,1.693258e+06,2.851,737134.0,0.543,6.697,40.1,82051532.0,43.1,43.1,1.785269563896134e+22,1.4082482222032486e+17
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,12,21.9,-32.13,0.682,1.21,779,35.9,44.7,38.34,-10.27,11.446,16,73.14,21.52,-32.13,22.15,-31.72,1880,476,36,933,2052,779,145,2869,6.69,0,0.0,0.0,0,9.821774e+06,7.722932e+06,2.098842e+06,2.918,742919.0,0.543,6.245,39.4,79796389.0,45.4,45.4,9.293150809481254e+21,5.429188701978624e+16
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,13,21.19,-32.13,0.66,1.18,784,36.2,45.4,36.44,-10.13,11.014,16,73.05,21.52,-32.13,20.71,-31.72,1880,477,36,949,2026,784,140,2873,6.46,0,0.0,0.0,0,9.841345e+06,8.514542e+06,1.326804e+06,2.928,745674.0,0.541,6.07,39.7,71115907.0,37.5,37.5,6.361269171466229e+21,5.865867905387725e+16
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,14,21.48,-32.13,0.669,1.199,793,36.6,44.9,36.77,-10.1,10.94,16,73.14,21.52,-32.13,21.3,-31.72,1880,452,36,897,2080,793,151,2862,6.96,0,0.0,0.0,0,9.512119e+06,8.177059e+06,1.33506e+06,3.006,759301.0,0.563,6.478,40.5,74260539.0,41.5,41.5,5.237805149072059e+21,4.131664478968218e+16
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,15,21.48,-32.13,0.669,1.201,781,36.0,45.7,36.73,-10.24,11.231,16,73.1,21.52,-32.13,21.3,-31.72,1880,489,36,963,2022,781,147,2868,6.78,0,0.0,0.0,0,9.038056e+06,7.380229e+06,1.657827e+06,2.901,743150.0,0.536,6.136,39.7,73801766.0,37.8,37.8,9.663173310265455e+21,6.384569817235456e+16
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,16,21.88,-32.13,0.681,1.207,779,35.9,44.7,37.89,-10.11,11.331,16,73.17,21.52,-32.13,22.12,-32.05,1880,461,36,908,2075,779,143,2874,6.59,0,0.0,0.0,0,1.039387e+07,8.641155e+06,1.752716e+06,2.911,742712.0,0.56,6.675,40.3,80188189.0,43.0,43.0,1.3343549828649737e+22,1.0525592170948198e+17
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,17,21.82,-32.13,0.679,1.205,777,35.8,45.6,37.13,-10.1,11.42,16,73.07,21.52,-32.13,21.98,-31.69,1880,483,36,957,2025,777,140,2880,6.46,0,0.0,0.0,0,1.0391043e+07,9.108246e+06,1.282798e+06,2.87,742712.0,0.543,6.132,40.3,79292828.0,36.8,36.8,3.899010292514442e+22,3.595362478336246e+17
