underlying,timeframe,atr_period,multiplier,label,n_trades,raw_n_flips,filter_rate,trades_per_month,avg_entry_lag_bars,avg_trend_bars,avg_trend_cal_days,median_trend_cal_days,pct_in_market,pct_bars_long,pct_bars_short,dominant_direction_pct,mean_mae_pts,mean_mfe_pts,mfe_mae_ratio,weekly_alignment_pct,total_bars,calendar_days_span,passed_gates,score
NIFTY50,60min,30,5.0,NIFTY50_60min_p30_m5.0,47,50,0.06000000000000005,1.9596746575342467,2.8125,67.97872340425532,13.940602836879435,10.208333333333334,0.9290491421924978,0.5021808665309683,0.4268682756615295,0.5021808665309683,156.2543633643617,661.8914976728723,4.235987292908044,0.8297872340425532,3439,730,1,0.8911232433751123
NIFTY50,60min,50,5.0,NIFTY50_60min_p50_m5.0,46,50,0.07999999999999996,1.9179794520547946,2.25531914893617,68.6086956521739,14.060688405797103,10.083333333333334,0.9177086362314626,0.5077057284094213,0.4100029078220413,0.5077057284094213,174.2760699728261,672.3151749320652,3.857759559513223,0.8043478260869565,3439,730,1,0.8481818665822406
NIFTY50,60min,21,5.0,NIFTY50_60min_p21_m5.0,49,54,0.09259259259259256,2.0430650684931506,2.36,65.14285714285714,13.416666666666666,10.833333333333334,0.9281767955801105,0.4946205292236115,0.43355626635649896,0.4946205292236115,164.37759088010205,635.5327248086735,3.866297841487619,0.7959183673469388,3439,730,1,0.7962928033425645
NIFTY50,60min,21,4.0,NIFTY50_60min_p21_m4.0,65,72,0.09722222222222221,2.710188356164384,2.712121212121212,48.292307692307695,9.671153846153846,7.0,0.9127653387612679,0.5268973538819425,0.3858679848793254,0.5268973538819425,138.9178185096154,570.5321814903846,4.106976251220749,0.6461538461538462,3439,730,1,0.7709143844159766
NIFTY50,60min,30,4.0,NIFTY50_60min_p30_m4.0,67,74,0.09459459459459463,2.7935787671232877,2.735294117647059,46.74626865671642,9.487562189054726,7.083333333333333,0.910729863332364,0.5521954056411748,0.3585344576911893,0.5521954056411748,157.9238864272388,546.9978428171642,3.463680227178209,0.6567164179104478,3439,730,1,0.7102760120814122
NIFTY50,60min,14,5.0,NIFTY50_60min_p14_m5.0,49,56,0.125,2.0430650684931506,2.26,64.28571428571429,13.329081632653061,10.083333333333334,0.915963943006688,0.47223029950567025,0.44373364350101774,0.47223029950567025,179.8327487244898,633.1723931760204,3.520895930618639,0.8367346938775511,3439,730,1,0.69285935265215
NIFTY50,60min,14,4.0,NIFTY50_60min_p14_m4.0,65,74,0.1216216216216216,2.710188356164384,2.6666666666666665,47.261538461538464,9.571794871794872,6.958333333333333,0.8932829310846176,0.4856062808956092,0.40767665018900845,0.4856062808956092,139.52932692307692,551.6791466346153,3.953858008207538,0.6461538461538462,3439,730,1,0.6597375949158766
BANKNIFTY,60min,30,5.0,BANKNIFTY_60min_p30_m5.0,49,56,0.125,2.0430650684931506,4.16,61.55102040816327,12.52721088435374,9.25,0.8769991276533876,0.4984006978772899,0.3785984297760977,0.4984006978772899,485.05181760204084,1457.8041294642858,3.0054606055725293,0.7346938775510204,3439,730,1,0.6448263666039711
BANKNIFTY,60min,50,5.0,BANKNIFTY_60min_p50_m5.0,50,56,0.1071428571428571,2.084760273972603,3.1176470588235294,61.44,12.498333333333335,9.708333333333332,0.8932829310846176,0.5184646699621983,0.3748182611224193,0.5184646699621983,512.732578125,1402.463125,2.7352721181256614,0.78,3439,730,1,0.637748958663801
NIFTY50,60min,7,5.0,NIFTY50_60min_p7_m5.0,52,60,0.1333333333333333,2.168150684931507,3.1132075471698113,58.57692307692308,12.05048076923077,10.104166666666668,0.8857225937772608,0.39371910439081126,0.49200348938644956,0.49200348938644956,186.04826472355768,588.1643254206731,3.161353460052987,0.8076923076923077,3439,730,1,0.635548965955463
NIFTY50,60min,10,3.5,NIFTY50_60min_p10_m3.5,76,82,0.07317073170731703,3.1688356164383564,1.974025974025974,41.8421052631579,8.49780701754386,6.125,0.9246874091305612,0.5033439953474848,0.4213434137830765,0.5033439953474848,134.33293071546052,516.6888877467105,3.8463307916741836,0.5789473684210527,3439,730,1,0.6341332859648446
NIFTY50,60min,14,3.5,NIFTY50_60min_p14_m3.5,78,84,0.0714285714285714,3.2522260273972603,1.9240506329113924,40.756410256410255,8.229166666666666,6.041666666666667,0.9243966269264321,0.5245710962489095,0.3998255306775225,0.5245710962489095,139.7069811698718,504.48855669070514,3.611047583064514,0.5769230769230769,3439,730,1,0.6302852361205296
