underlying,timeframe,atr_period,multiplier,label,n_flips,flips_per_month,avg_trend_bars,avg_trend_cal_days,median_trend_cal_days,pct_bars_long,pct_bars_short,dominant_direction_pct,mean_mae_pts,mean_mfe_pts,mfe_mae_ratio,weekly_alignment_pct,total_bars,calendar_days_span,passed_gates
NIFTY50,15min,7,1.5,NIFTY50_15min_p7_m1.5,700,28.257625994694962,16.165714285714287,0.7460119047619046,0.13541666666666666,0.511917372881356,0.4874646892655367,0.511917372881356,94.11600781249993,132.5485731026786,1.4083531184912232,0.007142857142857143,11328,754,0
NIFTY50,15min,7,2.0,NIFTY50_15min_p7_m2.0,504,20.34549071618037,22.458333333333332,1.1340319113756614,0.25,0.5300141242937854,0.4693679378531073,0.5300141242937854,105.6898111979166,162.64085751488096,1.5388508662421285,0.02976190476190476,11328,754,0
NIFTY50,15min,7,2.5,NIFTY50_15min_p7_m2.5,406,16.389423076923077,27.879310344827587,1.44994355500821,0.875,0.5177436440677966,0.481638418079096,0.5177436440677966,118.78770300954433,184.10330491841128,1.5498515440072025,0.07635467980295567,11328,754,0
NIFTY50,15min,7,3.0,NIFTY50_15min_p7_m3.0,317,12.796667771883289,35.55520504731861,1.9707873291272346,1.0416666666666667,0.5120939265536724,0.4872881355932203,0.5120939265536724,131.3011090299684,211.1342135745268,1.6080154625833143,0.12302839116719243,11328,754,0
NIFTY50,15min,7,3.5,NIFTY50_15min_p7_m3.5,253,10.213113395225465,44.54940711462451,2.562211791831357,1.8854166666666667,0.5225988700564972,0.4767831920903955,0.5225988700564972,147.6126590291502,245.28673882164026,1.661691757569394,0.16205533596837945,11328,754,0
NIFTY50,15min,7,4.0,NIFTY50_15min_p7_m4.0,227,9.163544429708223,49.651982378854626,2.839344713656388,1.9479166666666667,0.517478813559322,0.4819032485875706,0.517478813559322,164.43547976321588,253.72993873898676,1.5430364487296373,0.19823788546255505,11328,754,0
NIFTY50,15min,7,5.0,NIFTY50_15min_p7_m5.0,175,7.0644064986737405,64.40571428571428,3.7186904761904764,2.8645833333333335,0.4952330508474576,0.504149011299435,0.504149011299435,187.06431696428584,290.8888147321428,1.5550203237728073,0.26857142857142857,11328,754,1
NIFTY50,15min,10,1.5,NIFTY50_15min_p10_m1.5,690,27.853945623342177,16.395652173913042,0.764296497584541,0.13541666666666666,0.5149187853107344,0.4841984463276836,0.5149187853107344,96.21102524909416,134.6395657835145,1.3994193018412113,0.008695652173913044,11328,754,0
NIFTY50,15min,10,2.0,NIFTY50_15min_p10_m2.0,506,20.42622679045093,22.363636363636363,1.1437952898550725,0.25,0.5253354519774012,0.4737817796610169,0.5253354519774012,104.98462126358686,163.58940680583004,1.5582225742864095,0.03162055335968379,11328,754,0
NIFTY50,15min,10,2.5,NIFTY50_15min_p10_m2.5,399,16.106846816976127,28.2406015037594,1.4728226817042607,0.8854166666666666,0.5256002824858758,0.4735169491525424,0.5256002824858758,117.19412887687967,187.6776756343985,1.6014255785080032,0.07017543859649122,11328,754,0
NIFTY50,15min,10,3.0,NIFTY50_15min_p10_m3.0,313,12.635195623342176,36.0,1.9983692758253462,1.0416666666666667,0.5282485875706214,0.4708686440677966,0.5282485875706214,128.19601387779548,216.45732827476036,1.6884871980582885,0.12460063897763578,11328,754,0
NIFTY50,15min,10,3.5,NIFTY50_15min_p10_m3.5,257,10.374585543766578,43.8443579766537,2.507498378728924,1.2291666666666667,0.5158015536723164,0.4833156779661017,0.5158015536723164,148.36459599951368,240.14336393482483,1.6186028905144727,0.15953307392996108,11328,754,0
NIFTY50,15min,10,4.0,NIFTY50_15min_p10_m4.0,217,8.759864058355438,51.92626728110599,3.0392665130568353,2.0416666666666665,0.5164194915254238,0.4826977401129944,0.5164194915254238,166.66268361175133,261.92787298387094,1.5716047966324869,0.21658986175115208,11328,754,1
NIFTY50,15min,10,5.0,NIFTY50_15min_p10_m5.0,161,6.499253978779841,69.98757763975155,4.147839026915114,3.0104166666666665,0.498146186440678,0.5009710451977402,0.5009710451977402,181.85281686723613,315.09655230978257,1.7327009706966632,0.32298136645962733,11328,754,1
NIFTY50,15min,14,1.5,NIFTY50_15min_p14_m1.5,720,29.06498673740053,15.706944444444444,0.7222945601851851,0.13020833333333331,0.5294844632768362,0.4692796610169492,0.5294844632768362,96.55168131510412,130.06381618923612,1.3470901222813767,0.008333333333333333,11328,754,0
