underlying,timeframe,atr_period,multiplier,label,n_trades,raw_n_flips,filter_rate,trades_per_month,avg_entry_lag_bars,avg_trend_bars,avg_trend_cal_days,median_trend_cal_days,pct_in_market,pct_bars_long,pct_bars_short,dominant_direction_pct,mean_mae_pts,mean_mfe_pts,mfe_mae_ratio,weekly_alignment_pct,total_bars,calendar_days_span,passed_gates
NIFTY50,15min,7,1.5,NIFTY50_15min_p7_m1.5,600,700,0.1428571428571429,24.22082228116711,1.7687188019966722,16.061666666666667,0.75109375,0.14583333333333334,0.8507238700564972,0.4390889830508475,0.4116348870056497,0.4390889830508475,44.81608268229161,135.47749544270837,3.022966027689882,0.006666666666666667,11328,754,0
NIFTY50,15min,7,2.0,NIFTY50_15min_p7_m2.0,442,504,0.12301587301587302,17.842672413793103,2.130925507900677,22.332579185520363,1.146940987933635,0.25,0.8713806497175142,0.4615995762711864,0.4097810734463277,0.4615995762711864,57.35011754100686,167.48358844739815,2.920370447848567,0.029411764705882353,11328,754,0
NIFTY50,15min,7,2.5,NIFTY50_15min_p7_m2.5,358,406,0.11822660098522164,14.451757294429708,2.231197771587744,28.07262569832402,1.503520716945996,0.8645833333333334,0.8871822033898306,0.4571857344632768,0.4299964689265537,0.4571857344632768,65.87500982018155,188.50625982018153,2.8615746750512137,0.08100558659217877,11328,754,0
NIFTY50,15min,7,3.0,NIFTY50_15min_p7_m3.0,280,317,0.11671924290220825,11.303050397877984,2.6903914590747333,35.72142857142857,2.046354166666667,1.0572916666666665,0.8829449152542372,0.4524187853107345,0.4305261299435028,0.4524187853107345,75.51984933035732,217.65978794642842,2.88215336598843,0.12857142857142856,11328,754,0
NIFTY50,15min,7,3.5,NIFTY50_15min_p7_m3.5,231,253,0.08695652173913049,9.325016578249338,2.646551724137931,44.54112554112554,2.6421807359307365,1.9479166666666667,0.9082803672316384,0.472899011299435,0.4353813559322034,0.472899011299435,87.84394446699146,247.72141504328994,2.8200169806397364,0.16883116883116883,11328,754,0
NIFTY50,15min,7,4.0,NIFTY50_15min_p7_m4.0,205,227,0.09691629955947134,8.275447612732096,2.854368932038835,49.921951219512195,2.9125,2.0,0.9034251412429378,0.4670727401129944,0.4363524011299435,0.4670727401129944,96.60490282012212,258.1424180640242,2.672146138842292,0.1902439024390244,11328,754,0
NIFTY50,15min,7,5.0,NIFTY50_15min_p7_m5.0,160,175,0.08571428571428574,6.458885941644563,4.515527950310559,63.78125,3.7748046875,2.947916666666667,0.9008651129943502,0.4382944915254237,0.4625706214689266,0.4625706214689266,109.69846923828143,294.85652832031224,2.687881885387479,0.28125,11328,754,1
NIFTY50,15min,10,1.5,NIFTY50_15min_p10_m1.5,590,690,0.14492753623188404,23.817141909814325,1.8104906937394247,16.33050847457627,0.7562676553672316,0.14583333333333334,0.8505473163841808,0.4438559322033898,0.406691384180791,0.4438559322033898,45.86449152542361,136.41465836864413,2.974297846363929,0.00847457627118644,11328,754,0
NIFTY50,15min,10,2.0,NIFTY50_15min_p10_m2.0,443,506,0.12450592885375489,17.883040450928384,2.081081081081081,22.349887133182843,1.1598241158765987,0.23958333333333334,0.8740289548022598,0.4598340395480226,0.4141949152542373,0.4598340395480226,56.91784089305874,168.7611614700903,2.964995840006839,0.03160270880361174,11328,754,0
NIFTY50,15min,10,2.5,NIFTY50_15min_p10_m2.5,357,399,0.10526315789473684,14.41138925729443,2.5754189944134076,28.025210084033613,1.4863153594771243,0.90625,0.8832097457627118,0.4611581920903955,0.4220515536723164,0.4611581920903955,65.82340029761914,190.26860337885142,2.8905921377284653,0.0700280112044818,11328,754,0
NIFTY50,15min,10,3.0,NIFTY50_15min_p10_m3.0,277,313,0.11501597444089462,11.181946286472149,2.4280575539568345,36.46931407942238,2.0777301444043323,1.0520833333333333,0.8917725988700564,0.4717514124293785,0.420021186440678,0.4717514124293785,77.8148268276175,224.1862519742778,2.8810223078811914,0.1299638989169675,11328,754,0
NIFTY50,15min,10,3.5,NIFTY50_15min_p10_m3.5,234,257,0.08949416342412453,9.446120689655173,2.7148936170212767,43.76923076923077,2.6152510683760686,1.8802083333333335,0.9041313559322034,0.4677789548022599,0.4363524011299435,0.4677789548022599,89.14743255876088,242.73267561431604,2.7228229534745214,0.16666666666666666,11328,754,0
NIFTY50,15min,10,4.0,NIFTY50_15min_p10_m4.0,200,217,0.07834101382488479,8.073607427055704,3.54228855721393,51.255,3.069583333333333,2.1041666666666665,0.9049258474576272,0.4650423728813559,0.4398834745762712,0.4650423728813559,96.5215058593753,262.10999414062485,2.715560556240179,0.2,11328,754,1
NIFTY50,15min,10,5.0,NIFTY50_15min_p10_m5.0,150,161,0.06832298136645965,6.055205570291777,4.801324503311259,68.72666666666667,4.211041666666667,3.2395833333333335,0.9100459039548022,0.4454449152542373,0.464600988700565,0.464600988700565,112.01169010416697,314.59130208333295,2.8085577656294087,0.3333333333333333,11328,754,1
NIFTY50,15min,14,1.5,NIFTY50_15min_p14_m1.5,608,720,0.15555555555555556,24.543766578249336,1.702791461412151,15.850328947368421,0.7290981359649124,0.13541666666666666,0.8507238700564972,0.4564795197740113,0.3942443502824859,0.4564795197740113,45.71282894736833,133.36324077405433,2.9174138605073576,0.008223684210526315,11328,754,0
NIFTY50,15min,14,2.0,NIFTY50_15min_p14_m2.0,437,512,0.146484375,17.64083222811671,1.9634703196347032,22.601830663615562,1.1678585049580474,0.23958333333333334,0.8719103107344632,0.464159604519774,0.4077507062146893,0.464159604519774,55.64840800200226,165.81784003146453,2.9797409483034683,0.036613272311212815,11328,754,0
NIFTY50,15min,14,2.5,NIFTY50_15min_p14_m2.5,359,403,0.10918114143920599,14.492125331564987,2.408333333333333,27.96100278551532,1.4856371866295264,0.90625,0.8861228813559322,0.4700741525423729,0.4160487288135593,0.4700741525423729,65.95294002437335,190.81766081998595,2.893239645563458,0.06406685236768803,11328,754,0
NIFTY50,15min,14,3.0,NIFTY50_15min_p14_m3.0,272,305,0.1081967213114754,10.980106100795757,2.1575091575091574,37.650735294117645,2.1633348651960786,1.078125,0.9040430790960452,0.4913488700564972,0.412694209039548,0.4913488700564972,76.33624052159941,226.45089470358442,2.9664926273060295,0.12867647058823528,11328,754,0
NIFTY50,15min,14,3.5,NIFTY50_15min_p14_m3.5,233,255,0.0862745098039216,9.405752652519894,2.611111111111111,44.163090128755364,2.641541487839771,1.8645833333333333,0.9083686440677966,0.4732521186440678,0.4351165254237288,0.4732521186440678,88.1289699570817,244.88002447693114,2.7786552435162504,0.16738197424892703,11328,754,0
NIFTY50,15min,14,4.0,NIFTY50_15min_p14_m4.0,199,217,0.08294930875576034,8.033239389920425,3.915,51.50251256281407,3.0910804020100513,2.0625,0.9047492937853108,0.4606285310734463,0.4441207627118644,0.4606285310734463,95.05680158605558,270.28515428706004,2.843406781811073,0.20100502512562815,11328,754,1
NIFTY50,15min,14,5.0,NIFTY50_15min_p14_m5.0,147,155,0.05161290322580647,5.934101458885942,4.736486486486487,70.61224489795919,4.3664257369614505,3.9895833333333335,0.9163135593220338,0.4683968926553672,0.4479166666666667,0.4683968926553672,109.01973054846958,328.39963329081604,3.0122954041315606,0.3401360544217687,11328,754,1
NIFTY50,15min,21,1.5,NIFTY50_15min_p21_m1.5,603,716,0.1578212290502793,24.341926392572944,1.728476821192053,15.99502487562189,0.7559943338861249,0.13541666666666666,0.8514300847457628,0.4610699152542373,0.3903601694915254,0.4610699152542373,45.71759043325033,134.13125194340796,2.9339090418434326,0.009950248756218905,11328,754,0
NIFTY50,15min,21,2.0,NIFTY50_15min_p21_m2.0,433,502,0.13745019920318724,17.479360079575596,1.9861751152073732,23.0,1.2023431485758276,0.22916666666666666,0.879149011299435,0.4782838983050847,0.4008651129943503,0.4782838983050847,55.06490960594688,170.0050709079099,3.0873576679684542,0.04387990762124711,11328,754,0
NIFTY50,15min,21,2.5,NIFTY50_15min_p21_m2.5,344,385,0.10649350649350653,13.88660477453581,2.3420289855072465,29.450581395348838,1.6102834302325582,0.9322916666666667,0.894332627118644,0.4876412429378531,0.406691384180791,0.4876412429378531,66.66963685501464,197.96479605741268,2.9693396483908177,0.08430232558139535,11328,754,0
NIFTY50,15min,21,3.0,NIFTY50_15min_p21_m3.0,277,309,0.1035598705501618,11.181946286472149,2.093525179856115,37.2129963898917,2.127669975932611,1.0625,0.909957627118644,0.5032662429378532,0.406691384180791,0.5032662429378532,73.96209950361013,227.06640766019842,3.070037345939797,0.1299638989169675,11328,754,0
NIFTY50,15min,21,3.5,NIFTY50_15min_p21_m3.5,234,257,0.08949416342412453,9.446120689655173,2.7361702127659573,44.175213675213676,2.6344818376068377,1.8802083333333335,0.9125176553672316,0.4830508474576271,0.4294668079096045,0.4830508474576271,87.8468065571583,246.9040331196579,2.810620474393769,0.16666666666666666,11328,754,0
NIFTY50,15min,21,4.0,NIFTY50_15min_p21_m4.0,201,217,0.07373271889400923,8.113975464190982,3.5742574257425743,51.09950248756219,3.1186256218905473,2.0416666666666665,0.906691384180791,0.4674258474576271,0.4392655367231638,0.4674258474576271,95.47937461131858,272.66190920397986,2.855715282111381,0.20398009950248755,11328,754,1
NIFTY50,15min,21,5.0,NIFTY50_15min_p21_m5.0,151,161,0.06211180124223603,6.095573607427056,3.8552631578947367,68.6887417218543,4.248689293598233,3.2395833333333335,0.9156073446327684,0.4786370056497175,0.4369703389830508,0.4786370056497175,110.44105960264923,319.8920296978474,2.896495477757748,0.31788079470198677,11328,754,1
NIFTY50,15min,30,1.5,NIFTY50_15min_p30_m1.5,615,724,0.15055248618784534,24.826342838196286,1.6850649350649352,15.773983739837398,0.7417682926829269,0.13541666666666666,0.8563735875706214,0.4666313559322034,0.3897422316384181,0.4666313559322034,45.75985200711375,132.58039507113824,2.897308213552079,0.011382113821138212,11328,754,0
NIFTY50,15min,30,2.0,NIFTY50_15min_p30_m2.0,431,503,0.14314115308151099,17.39862400530504,1.9652777777777777,22.88167053364269,1.2131187161639596,0.21875,0.8705861581920904,0.4766066384180791,0.3939795197740113,0.4766066384180791,56.17170189240139,169.70684092227376,3.0212159362262585,0.05104408352668213,11328,754,0
NIFTY50,15min,30,2.5,NIFTY50_15min_p30_m2.5,345,383,0.09921671018276768,13.926972811671089,2.0809248554913293,29.533333333333335,1.6370772946859902,0.9375,0.8994526836158192,0.4975282485875706,0.4019244350282486,0.4975282485875706,65.73681272644939,195.43099184782596,2.97293074827149,0.08985507246376812,11328,754,0
NIFTY50,15min,30,3.0,NIFTY50_15min_p30_m3.0,275,307,0.10423452768729646,11.101210212201591,2.0869565217391304,37.35272727272727,2.146515151515152,1.1041666666666667,0.9067796610169492,0.5037959039548022,0.4029837570621469,0.5037959039548022,73.13163352272731,228.05798153409077,3.1184587373289916,0.13454545454545455,11328,754,0
NIFTY50,15min,30,3.5,NIFTY50_15min_p30_m3.5,232,253,0.08300395256916993,9.365384615384615,2.3047210300429186,45.0948275862069,2.7039331896551726,1.9270833333333333,0.9235522598870056,0.4989406779661017,0.424611581920904,0.4989406779661017,87.78470837823288,252.99825060614208,2.8820309969711717,0.1724137931034483,11328,754,0
NIFTY50,15min,30,4.0,NIFTY50_15min_p30_m4.0,195,211,0.07582938388625593,7.8717672413793105,3.739795918367347,52.702564102564104,3.2796474358974357,2.125,0.9072210451977402,0.4849046610169492,0.422316384180791,0.4849046610169492,90.78080528846178,284.21663461538435,3.130800984990912,0.2205128205128205,11328,754,1
NIFTY50,15min,30,5.0,NIFTY50_15min_p30_m5.0,154,165,0.06666666666666665,6.216677718832892,3.4516129032258065,67.88311688311688,4.1816829004329,3.2291666666666665,0.9228460451977402,0.493114406779661,0.4297316384180791,0.493114406779661,115.37012479707828,313.99640574269444,2.7216439810130666,0.3116883116883117,11328,754,1
