underlying,timeframe,atr_period,multiplier,label,n_flips,flips_per_month,avg_trend_bars,avg_trend_cal_days,median_trend_cal_days,pct_bars_long,pct_bars_short,dominant_direction_pct,mean_mae_pts,mean_mfe_pts,mfe_mae_ratio,weekly_alignment_pct,total_bars,calendar_days_span,passed_gates,score
BANKNIFTY,60min,21,4.0,BANKNIFTY_60min_p21_m4.0,68,2.83527397260274,50.1764705882353,10.102328431372548,7.916666666666666,0.5440535039255597,0.449840069787729,0.5440535039255597,655.1197150735294,1307.949276194853,1.9965042206798054,0.6617647058823529,3439,730,1,0.5505737706277902
BANKNIFTY,60min,30,5.0,BANKNIFTY_60min_p30_m5.0,56,2.334931506849315,60.767857142857146,12.122023809523808,9.041666666666668,0.5460889793544635,0.44518755452166325,0.5460889793544635,792.1639927455357,1375.8946010044642,1.7368810165629915,0.75,3439,730,1,0.5431824590459844
BANKNIFTY,60min,50,5.0,BANKNIFTY_60min_p50_m5.0,56,2.334931506849315,60.410714285714285,12.071428571428571,9.104166666666666,0.5597557429485316,0.4257051468450131,0.5597557429485316,826.9559151785714,1353.5072544642858,1.636734473532379,0.75,3439,730,1,0.532789413370616
BANKNIFTY,15min,50,5.0,BANKNIFTY_15min_p50_m5.0,139,5.611157161803714,80.77697841726619,4.9386990407673865,3.25,0.5837747175141242,0.4118114406779661,0.5837747175141242,417.7895346223025,919.2143941097119,2.2001853036857812,0.3669064748201439,11328,754,1,0.5017551029859147
BANKNIFTY,60min,14,4.0,BANKNIFTY_60min_p14_m4.0,70,2.918664383561644,48.84285714285714,9.865476190476189,7.520833333333334,0.5295143937191044,0.46641465542308813,0.5295143937191044,648.2558035714286,1265.8376674107142,1.9526823523011265,0.6714285714285714,3439,730,1,0.49881358239967427
BANKNIFTY,60min,30,4.0,BANKNIFTY_60min_p30_m4.0,70,2.918664383561644,48.614285714285714,9.701190476190476,7.541666666666666,0.5434719395173015,0.44780459435882525,0.5434719395173015,675.5206473214286,1273.6171875,1.885386024172823,0.6428571428571429,3439,730,1,0.4976240439639794
BANKNIFTY,60min,50,4.0,BANKNIFTY_60min_p50_m4.0,74,3.085445205479452,45.71621621621622,9.094031531531531,6.9375,0.5603373073567898,0.42512358243675485,0.5603373073567898,683.1257918074324,1207.9891258445946,1.7683260394084446,0.6216216216216216,3439,730,1,0.46667294113378105
BANKNIFTY,60min,21,5.0,BANKNIFTY_60min_p21_m5.0,54,2.251541095890411,60.833333333333336,12.160493827160495,10.041666666666666,0.5196277987787148,0.474265774934574,0.5196277987787148,780.8422309027778,1276.176070601852,1.634358414665136,0.7592592592592593,3439,730,1,0.46617478725695494
BANKNIFTY,60min,30,3.5,BANKNIFTY_60min_p30_m3.5,84,3.502397260273973,40.51190476190476,7.9995039682539675,6.041666666666666,0.5673160802558883,0.42396045362023843,0.5673160802558883,634.931640625,1147.623744419643,1.8074760666990393,0.5238095238095238,3439,730,1,0.45160962713659025
BANKNIFTY,60min,21,3.5,BANKNIFTY_60min_p21_m3.5,84,3.502397260273973,40.61904761904762,8.056547619047617,5.375,0.5658621692352428,0.42803140447804594,0.5658621692352428,633.3275204613095,1140.7534877232142,1.8012062493231,0.5,3439,730,1,0.4480894904232581
