mst_underlying,mst_timeframe,mst_label,variant,stoch_config,n_trends,trigger_count,no_trigger_count,coverage,avg_lead_bars,median_lead_bars,avg_mae_avoided_pct,false_positive_rate
NIFTY50,30min,NIFTY50_30min_p21_m5.0,original,"(14,3,3)",79,78,1,0.9873417721518988,8.782051282051283,7.0,0.3868422091518216,0.4230769230769231
NIFTY50,30min,NIFTY50_30min_p21_m5.0,exit_zone,"(14,3,3)",79,39,40,0.4936708860759494,-18.0,-18.0,0.18956286098435124,0.4358974358974359
NIFTY50,30min,NIFTY50_30min_p21_m5.0,original,"(5,3,3)",79,76,3,0.9620253164556962,8.013157894736842,5.5,0.36368617603829617,0.4342105263157895
NIFTY50,30min,NIFTY50_30min_p21_m5.0,exit_zone,"(5,3,3)",79,66,13,0.8354430379746836,-4.696969696969697,-3.0,0.2711037565197045,0.45454545454545453
NIFTY50,60min,NIFTY50_60min_p50_m5.0,original,"(14,3,3)",50,47,3,0.94,2.404255319148936,-3.0,0.19933068133942386,0.48936170212765956
NIFTY50,60min,NIFTY50_60min_p50_m5.0,exit_zone,"(14,3,3)",50,27,23,0.54,-36.370370370370374,-27.0,0.07100374518152852,0.5555555555555556
NIFTY50,60min,NIFTY50_60min_p50_m5.0,original,"(5,3,3)",50,47,3,0.94,2.893617021276596,-3.0,0.17542683697943653,0.48936170212765956
NIFTY50,60min,NIFTY50_60min_p50_m5.0,exit_zone,"(5,3,3)",50,39,11,0.78,-13.282051282051283,-11.0,0.11209488835169178,0.5384615384615384
BANKNIFTY,30min,BANKNIFTY_30min_p50_m5.0,original,"(14,3,3)",85,80,5,0.9411764705882353,8.525,4.0,0.33654159363087066,0.325
BANKNIFTY,30min,BANKNIFTY_30min_p50_m5.0,exit_zone,"(14,3,3)",85,37,48,0.43529411764705883,-14.72972972972973,-17.0,0.1383922239255365,0.35135135135135137
BANKNIFTY,30min,BANKNIFTY_30min_p50_m5.0,original,"(5,3,3)",85,80,5,0.9411764705882353,7.7875,3.0,0.3233695608271384,0.325
BANKNIFTY,30min,BANKNIFTY_30min_p50_m5.0,exit_zone,"(5,3,3)",85,59,26,0.6941176470588235,-5.3559322033898304,-5.0,0.1962507488594416,0.3898305084745763
BANKNIFTY,60min,BANKNIFTY_60min_p21_m4.0,original,"(14,3,3)",68,64,3,0.9411764705882353,5.71875,2.0,0.2574685684159008,0.328125
BANKNIFTY,60min,BANKNIFTY_60min_p21_m4.0,exit_zone,"(14,3,3)",68,34,33,0.5,-18.029411764705884,-14.0,0.15520002395544472,0.38235294117647056
BANKNIFTY,60min,BANKNIFTY_60min_p21_m4.0,original,"(5,3,3)",68,63,4,0.9264705882352942,4.4603174603174605,2.0,0.2388921558956788,0.3333333333333333
BANKNIFTY,60min,BANKNIFTY_60min_p21_m4.0,exit_zone,"(5,3,3)",68,44,23,0.6470588235294118,-11.136363636363637,-8.5,0.14078504312281587,0.4772727272727273
