mst_underlying,mst_timeframe,mst_label,cst_family,cst_label,n_trends,trigger_count,no_trigger_count,coverage,avg_lead_bars,median_lead_bars,avg_mae_avoided_pct,false_positive_rate
BANKNIFTY,30min,BANKNIFTY_30min_p50_m5.0,RSI,RSI9_OB70_OS30,85,74,11,0.8705882352941177,2.8783783783783785,0.0,0.2665715561527951,0.35135135135135137
BANKNIFTY,30min,BANKNIFTY_30min_p50_m5.0,BB,BB_20_2.0,85,66,19,0.7764705882352941,-3.212121212121212,-3.5,0.14132674415297897,0.3939393939393939
BANKNIFTY,30min,BANKNIFTY_30min_p50_m5.0,BB,BB_20_2.5,85,44,41,0.5176470588235295,-21.431818181818183,-24.0,0.08399809349608957,0.5227272727272727
BANKNIFTY,60min,BANKNIFTY_60min_p21_m4.0,ShorterST,ST_p3_m1.0,68,64,3,0.9411764705882353,0.328125,1.0,0.20074314510513083,0.328125
BANKNIFTY,60min,BANKNIFTY_60min_p21_m4.0,ShorterST,ST_p3_m1.5,68,64,3,0.9411764705882353,-2.484375,0.5,0.17015017593572396,0.328125
BANKNIFTY,60min,BANKNIFTY_60min_p21_m4.0,ShorterST,ST_p5_m1.0,68,64,3,0.9411764705882353,0.421875,1.0,0.20245624133390122,0.328125
BANKNIFTY,60min,BANKNIFTY_60min_p21_m4.0,ShorterST,ST_p5_m1.5,68,64,3,0.9411764705882353,-3.28125,0.5,0.1708706457809596,0.328125
BANKNIFTY,60min,BANKNIFTY_60min_p21_m4.0,ShorterST,ST_p7_m1.0,68,64,3,0.9411764705882353,0.4375,1.0,0.1951026728959814,0.328125
BANKNIFTY,60min,BANKNIFTY_60min_p21_m4.0,ShorterST,ST_p7_m1.5,68,64,3,0.9411764705882353,-3.296875,0.5,0.16616496409909778,0.328125
BANKNIFTY,60min,BANKNIFTY_60min_p21_m4.0,ShorterST,ST_p7_m2.0,68,63,4,0.9264705882352942,-7.5396825396825395,0.0,0.14068242864231387,0.3333333333333333
BANKNIFTY,60min,BANKNIFTY_60min_p21_m4.0,Stoch,Stoch_5_3_3_OB80_OS20,68,63,4,0.9264705882352942,4.4603174603174605,2.0,0.2388921558956788,0.3333333333333333
BANKNIFTY,60min,BANKNIFTY_60min_p21_m4.0,Stoch,Stoch_14_3_3_OB80_OS20,68,64,3,0.9411764705882353,5.71875,2.0,0.2574685684159008,0.328125
BANKNIFTY,60min,BANKNIFTY_60min_p21_m4.0,RSI,RSI14_OB70_OS30,68,43,24,0.6323529411764706,-15.255813953488373,-10.0,0.02597680424770581,0.46511627906976744
BANKNIFTY,60min,BANKNIFTY_60min_p21_m4.0,RSI,RSI9_OB70_OS30,68,59,8,0.8676470588235294,-1.4067796610169492,-5.0,0.13516314878391797,0.3559322033898305
BANKNIFTY,60min,BANKNIFTY_60min_p21_m4.0,BB,BB_20_2.0,68,54,13,0.7941176470588235,-3.7222222222222223,-5.0,0.09884907020673639,0.3888888888888889
BANKNIFTY,60min,BANKNIFTY_60min_p21_m4.0,BB,BB_20_2.5,68,25,42,0.36764705882352944,-12.08,-12.0,0.07788639453598228,0.52
