symbol,mode,ipo_short_window,base_qualify_date,rim_date,rim_level,trough_date,trough_close,depth_pct,base_len_bars,trough_pos,fit_r2,fit_curvature,vertex_frac,flat_frac,r2_ge_060,r2_ge_080,vol_ratio,obv_gain,obv_slope_norm,obv_filter_pass,tv20_cr_at_q,tv20_cr_at_breakout,breakout_date,breakout_close,breakout_day_move_pct,days_q_to_breakout,fill_a_nextopen_date,fill_a_nextopen,fill_b_buystop,gap_pct_a_vs_rim,pattern_quality,info_fwd60_pct,info_fwd120_pct,info_fwd250_pct,info_st73_exit_date,info_st73_exit_close,info_st73_ret_pct,info_st73_bars_held,info_st73_still_open,info_mfe_250_pct,info_mae_250_pct
ABSLAMC,VAR,0,2025-07-10,2024-11-27,883.5,2025-03-13,591.2,33.08,155,0.487,0.868,5.663e-05,0.528,0.452,1,1,0.869,0.2999,0.2533,0,18.09,30.83,2025-07-21,885.8,2.48,7,2025-07-22,895.0,895.0,1.3,0.6146,-3.59,-8.26,10.53,2025-09-17,816.5,-8.77,40,0,33.52,-20.89
ACC,L180,0,2010-11-04,2010-03-10,1013.5,2010-07-14,805.45,20.53,180,0.553,0.714,2.564e-05,0.468,0.4,1,0,0.94,0.3399,0.3177,0,43.24,43.24,2010-11-04,1088.4,0.48,0,2010-11-05,1095.0,1095.0,8.04,0.28,-10.78,0.48,10.28,2010-11-19,1019.0,-6.94,10,0,13.0,-16.2
ACC,L180,0,2017-04-27,2016-08-05,1721.05,2016-11-21,1272.25,26.08,180,0.397,0.725,2.420e-05,0.603,0.417,1,0,1.029,0.2281,0.1685,0,55.37,60.69,2017-05-16,1729.65,2.84,12,2017-05-17,1729.5,1729.5,0.49,0.2693,5.2,3.37,-20.53,2017-06-30,1568.05,-9.34,32,0,8.12,-21.06
ACC,VAR,0,2010-09-08,2010-03-10,1013.5,2010-07-14,805.45,20.53,128,0.685,0.803,2.903e-05,0.633,0.562,1,1,0.808,0.4786,0.2097,0,27.06,35.82,2010-09-20,1021.1,2.33,7,2010-09-21,1020.0,1020.0,0.64,0.4177,4.26,-2.7,2.93,2010-11-19,1019.0,-0.1,43,0,12.16,-10.04
ACC,VAR,0,2017-04-27,2016-08-05,1721.05,2016-11-21,1272.25,26.08,178,0.39,0.729,2.509e-05,0.599,0.421,1,0,1.006,0.2281,0.1685,0,55.37,60.69,2017-05-16,1729.65,2.84,12,2017-05-17,1729.5,1729.5,0.49,0.2704,5.2,3.37,-20.53,2017-06-30,1568.05,-9.34,32,0,8.12,-21.06
ACCELYA,L120,0,2024-02-23,2023-10-12,1611.9,2023-12-13,1235.6,23.35,120,0.58,0.704,8.182e-05,0.42,0.425,1,0,1.718,0.5544,0.6321,1,7.78,7.78,2024-02-23,1870.6,2.33,0,2024-02-26,1877.8,1877.8,16.5,0.3466,-18.13,-11.31,-33.05,2024-03-11,1641.8,-12.57,11,0,0.12,-35.74
ACCELYA,L180,0,2021-08-02,2020-12-15,989.1,2021-04-19,789.9,20.14,180,0.598,0.758,3.500e-05,0.34,0.456,1,0,17.295,0.4429,0.6104,1,12.95,12.95,2021-08-02,1269.1,-1.51,0,2021-08-03,1275.5,1275.5,28.96,0.4522,-10.88,-25.28,-27.71,2021-08-16,1195.9,-6.24,10,0,13.62,-38.64
ACMESOLAR,L180,0,2026-05-26,2025-09-12,318.52,2026-01-23,198.78,37.59,180,0.553,0.772,4.383e-05,0.512,0.417,1,0,1.069,0.4107,0.5275,0,28.87,41.56,2026-06-02,334.75,8.97,4,2026-06-03,335.0,335.0,5.17,0.4826,18.19,18.73,18.73,,,18.73,71,1,28.51,-3.27
ACMESOLAR,VAR,0,2026-04-17,2025-09-12,318.52,2026-01-23,198.78,37.59,145,0.625,0.818,5.598e-05,0.57,0.517,1,1,0.887,0.5808,0.5716,0,47.46,41.56,2026-06-02,334.75,8.97,30,2026-06-03,335.0,335.0,5.17,0.5638,18.19,18.73,18.73,,,18.73,71,1,28.51,-3.27
ADANIENT,L120,0,2009-05-21,2008-11-17,53.5,2009-03-05,35.0,34.58,120,0.605,0.705,1.430e-04,0.422,0.425,1,0,4.022,0.5241,0.6472,1,13.43,13.43,2009-05-21,86.6,-0.92,0,2009-05-22,86.3,86.3,61.31,0.4543,22.02,31.52,93.51,2009-07-13,97.0,12.4,37,0,104.52,-0.46
