symbol,mode,ipo_short_window,base_qualify_date,rim_date,rim_level,trough_date,trough_close,depth_pct,base_len_bars,trough_pos,fit_r2,fit_curvature,vertex_frac,flat_frac,r2_ge_060,r2_ge_080,vol_ratio,obv_gain,obv_slope_norm,obv_filter_pass,tv20_cr_at_q,tv20_cr_at_breakout,breakout_date,breakout_close,breakout_day_move_pct,days_q_to_breakout,fill_a_nextopen_date,fill_a_nextopen,fill_b_buystop,gap_pct_a_vs_rim,pattern_quality,info_fwd60_pct,info_fwd120_pct,info_fwd250_pct,info_st73_exit_date,info_st73_exit_close,info_st73_ret_pct,info_st73_bars_held,info_st73_still_open,info_mfe_250_pct,info_mae_250_pct
CHENNPETRO,L250,0,2023-05-24,2022-06-09,379.8,2022-12-23,189.1,50.21,250,0.594,0.705,2.633e-05,0.543,0.532,1,0,0.716,0.4644,0.3317,0,74.0,74.0,2023-05-24,388.4,8.6,0,2023-05-25,388.0,388.0,2.16,0.388,-8.61,64.68,150.63,2023-07-28,397.5,2.45,46,0,189.3,-10.34
CHENNPETRO,VAR,1,2005-09-01,2005-04-07,240.35,2005-07-12,180.1,25.07,103,0.657,0.736,5.650e-05,0.62,0.417,1,0,1.481,0.421,0.2951,1,3.88,4.3,2005-09-16,253.1,7.82,10,2005-09-19,255.0,255.0,6.1,0.2844,-5.88,-9.1,-16.71,2005-12-26,227.35,-10.84,67,0,14.51,-47.02
CHOLAFIN,L120,0,2025-03-21,2024-09-30,1608.0,2024-12-23,1171.1,27.17,120,0.479,0.796,6.466e-05,0.496,0.542,1,0,1.031,0.1324,0.11,0,215.4,288.15,2025-04-16,1611.9,3.31,15,2025-04-17,1605.0,1608.0,-0.19,0.5281,-4.52,0.14,-0.98,2025-06-04,1512.7,-5.75,33,0,14.11,-19.04
CHOLAFIN,VAR,0,2025-04-15,2024-09-26,1641.75,2024-12-23,1171.1,28.67,136,0.437,0.736,5.123e-05,0.474,0.485,1,0,1.08,0.0431,0.0177,0,277.62,290.49,2025-04-21,1659.8,4.57,3,2025-04-22,1648.9,1648.9,0.44,0.3604,-5.57,-2.1,-6.4,2025-06-04,1512.7,-8.26,31,0,11.07,-21.2
CHOLAHLDNG,L120,0,2020-09-11,2020-03-20,420.8,2020-05-21,228.35,45.73,120,0.328,0.788,8.597e-05,0.333,0.4,1,0,0.474,0.2879,0.3309,0,2.14,2.11,2020-09-14,420.85,2.43,1,2020-09-15,432.7,432.7,2.83,0.292,21.79,39.28,63.8,2020-09-22,376.1,-13.08,6,0,75.64,-16.13
CHOLAHLDNG,L120,0,2025-04-17,2024-10-23,1920.25,2024-12-31,1398.85,27.15,120,0.387,0.788,5.988e-05,0.48,0.592,1,0,1.329,0.1754,0.0824,1,40.76,40.76,2025-04-21,1958.5,4.57,1,2025-04-22,1970.0,1970.0,2.59,0.4811,5.2,-6.73,-20.07,2025-07-28,1901.5,-3.48,69,0,13.28,-33.76
CHOLAHLDNG,L180,0,2025-06-10,2024-10-01,2100.15,2024-12-31,1398.85,33.39,180,0.391,0.783,4.202e-05,0.491,0.483,1,0,1.296,0.1567,0.159,1,30.96,52.33,2025-06-30,2166.0,5.04,14,2025-07-01,2185.7,2185.7,4.07,0.4321,-12.51,-17.07,-22.95,2025-07-28,1901.5,-13.0,20,0,2.1,-40.29
CHOLAHLDNG,VAR,0,2025-06-10,2024-10-01,2100.15,2024-12-31,1398.85,33.39,171,0.359,0.756,4.234e-05,0.465,0.509,1,0,1.364,0.1567,0.159,1,30.96,52.33,2025-06-30,2166.0,5.04,14,2025-07-01,2185.7,2185.7,4.07,0.3921,-12.51,-17.07,-22.95,2025-07-28,1901.5,-13.0,20,0,2.1,-40.29
CIEINDIA,L180,0,2022-08-05,2021-11-18,279.15,2022-03-23,166.95,40.19,180,0.475,0.775,4.534e-05,0.507,0.422,1,0,3.032,0.4981,0.4651,1,10.87,11.43,2022-08-12,290.7,4.83,4,2022-08-16,294.0,294.0,5.32,0.6167,-1.14,35.34,63.33,2023-03-13,360.2,22.52,144,0,97.19,-14.81
CIEINDIA,VAR,0,2022-08-12,2021-11-16,298.45,2022-03-23,166.95,44.06,186,0.47,0.805,4.612e-05,0.502,0.473,1,1,2.979,0.5086,0.4636,1,11.43,17.31,2022-10-06,299.3,4.03,36,2022-10-07,300.0,300.0,0.52,0.6667,16.62,14.6,53.6,2023-03-13,360.2,20.07,108,0,93.25,-6.0
COASTCORP,L120,0,2024-08-09,2024-02-19,60.19,2024-06-04,43.32,28.03,120,0.613,0.709,7.531e-05,0.514,0.408,1,0,2.303,0.4273,0.5106,1,2.46,2.46,2024-08-09,61.46,5.8,0,2024-08-12,60.9,60.9,1.18,0.3475,-20.66,-21.64,-44.66,2024-09-20,51.73,-15.06,29,0,2.86,-46.31
COCHINSHIP,L180,0,2023-07-19,2022-11-15,338.75,2023-03-27,207.0,38.89,180,0.575,0.702,4.063e-05,0.529,0.433,1,0,0.861,0.466,0.4339,0,73.15,82.03,2023-07-24,340.35,2.02,3,2023-07-25,342.25,342.25,1.03,0.389,49.51,131.45,620.99,2023-09-22,501.1,46.41,42,0,770.55,-7.64
COCHINSHIP,VAR,0,2023-07-11,2022-11-15,338.75,2023-03-27,207.0,38.89,163,0.568,0.81,5.077e-05,0.536,0.479,1,1,0.801,0.5931,0.4471,0,69.93,82.03,2023-07-24,340.35,2.02,9,2023-07-25,342.25,342.25,1.03,0.5712,49.51,131.45,620.99,2023-09-22,501.1,46.41,42,0,770.55,-7.64
COFFEEDAY,L120,0,2017-02-20,2016-08-26,250.15,2016-12-27,192.3,23.13,120,0.681,0.734,3.954e-05,0.65,0.508,1,0,2.172,0.5354,0.4176,1,5.37,2.69,2017-04-19,251.15,1.45,38,2017-04-20,250.5,250.5,0.14,0.3728,-2.08,-12.67,23.53,2017-06-27,240.95,-3.81,47,0,49.66,-18.56
COFFEEDAY,L120,0,2022-09-13,2022-04-05,60.15,2022-06-20,39.45,34.41,120,0.513,0.727,8.144e-05,0.543,0.467,1,0,0.954,0.4831,0.1465,0,12.68,12.68,2022-09-13,66.45,19.95,0,2022-09-14,68.5,68.5,13.88,0.5035,-25.11,-48.39,-21.75,2022-09-26,54.3,-20.73,9,0,7.3,-61.53
COFFEEDAY-BE,L120,0,2017-02-20,2016-08-26,250.15,2016-12-27,192.3,23.13,120,0.681,0.734,3.954e-05,0.65,0.508,1,0,2.172,0.5354,0.4176,1,5.37,2.69,2017-04-19,251.15,1.45,38,2017-04-20,250.5,250.5,0.14,0.3728,-2.08,-12.67,30.04,2017-06-27,240.95,-3.81,47,0,49.66,-18.56
COFFEEDAY-BE,L120,0,2022-09-13,2022-04-05,60.15,2022-06-20,39.45,34.41,120,0.513,0.727,8.144e-05,0.543,0.467,1,0,0.954,0.4831,0.1465,0,12.68,12.68,2022-09-13,66.45,19.95,0,2022-09-14,68.5,68.5,13.88,0.5035,-25.11,-48.39,-21.75,2022-09-26,54.3,-20.73,9,0,7.3,-61.53
COFORGE,L250,0,2009-08-14,2008-08-07,24.5,2009-03-09,8.5,65.31,250,0.574,0.77,5.765e-05,0.488,0.432,1,0,1.396,0.3008,0.1272,1,3.02,3.02,2009-08-14,25.5,21.43,0,2009-08-17,25.0,25.0,2.04,0.3166,12.0,36.0,48.0,2010-01-27,35.0,40.0,108,0,64.0,-8.0
COMSYN,L120,0,2026-07-31,2026-02-23,192.59,2026-05-11,152.94,20.59,120,0.521,0.704,6.731e-05,0.438,0.642,1,0,1.507,0.5547,0.3681,1,6.22,6.22,2026-07-31,214.81,0.51,0,2026-08-03,215.0,215.0,11.64,0.5078,39.74,39.74,39.74,,,39.74,29,1,46.44,-4.89
CONFIPET,L120,0,2022-09-02,2022-03-17,71.99,2022-06-29,46.48,35.44,120,0.63,0.761,8.432e-05,0.574,0.525,1,0,0.511,0.376,0.2818,0,4.01,5.19,2022-09-05,77.81,8.84,1,2022-09-06,79.35,79.35,10.22,0.46,-2.63,-24.78,14.3,2023-01-27,70.59,-11.04,100,0,23.28,-30.61
CONFIPET,L120,0,2023-06-27,2023-01-03,80.85,2023-03-28,56.15,30.55,120,0.496,0.891,7.872e-05,0.553,0.5,1,1,1.501,0.3108,0.2169,1,8.96,6.65,2023-08-21,85.53,8.73,37,2023-08-22,86.67,86.67,7.2,0.7042,-3.1,19.21,3.87,2023-10-09,82.14,-5.23,33,0,38.01,-28.06
CONFIPET,L180,0,2022-10-17,2022-01-27,76.86,2022-06-29,46.48,39.53,180,0.587,0.733,5.555e-05,0.508,0.4,1,0,0.909,0.2121,0.2669,0,4.95,3.56,2022-11-09,78.16,2.14,15,2022-11-10,77.56,77.56,0.91,0.3335,-9.7,-22.59,7.18,2023-01-27,70.59,-8.99,56,0,26.12,-29.01
CONFIPET,VAR,0,2023-08-21,2022-12-20,85.58,2023-03-28,56.15,34.39,166,0.412,0.741,4.641e-05,0.486,0.41,1,0,1.521,0.4128,0.3732,1,6.65,7.31,2023-08-28,92.0,10.46,5,2023-08-29,93.59,93.59,9.36,0.4095,-2.86,17.68,-7.39,2023-10-09,82.14,-12.23,28,0,27.8,-33.38
CONTROLPR,L120,0,2025-06-12,2025-01-03,736.05,2025-03-03,581.42,21.01,120,0.445,0.703,5.480e-05,0.534,0.417,1,0,1.785,0.287,0.27,1,2.21,2.48,2025-06-13,743.92,3.17,1,2025-06-16,743.92,743.92,1.07,0.3101,4.75,-2.97,-16.19,2025-07-21,787.93,5.92,26,0,22.58,-30.5
COROMANDEL,L180,0,2009-06-12,2008-09-10,95.0,2009-03-09,40.98,56.86,180,0.659,0.883,9.931e-05,0.48,0.622,1,1,3.699,0.4832,0.5928,1,2.03,2.03,2009-06-12,100.85,-5.72,0,2009-06-15,100.95,100.95,6.26,0.6407,-11.37,13.57,113.42,2009-07-13,80.38,-20.38,21,0,122.39,-22.24
COROMANDEL,L250,0,2016-06-09,2015-06-29,254.6,2015-09-29,153.85,39.57,250,0.317,0.703,2.460e-05,0.535,0.416,1,0,1.017,0.3509,0.2132,0,2.55,2.6,2016-06-13,257.7,5.16,2,2016-06-14,260.0,260.0,2.12,0.2423,2.67,3.85,66.69,2016-07-05,220.75,-15.1,16,0,71.04,-17.31
COROMANDEL,VAR,0,2023-07-31,2022-09-01,1081.65,2023-03-20,852.5,21.19,227,0.606,0.713,1.029e-05,0.534,0.436,1,0,0.972,0.3177,0.2706,0,38.88,37.07,2023-08-24,1095.4,2.61,17,2023-08-25,1100.0,1100.0,1.7,0.2548,1.78,-0.94,57.81,2023-10-26,1073.4,-2.42,42,0,62.64,-7.36
COSMOFIRST,L120,0,2025-06-10,2024-12-18,1008.6,2025-04-07,537.85,46.67,120,0.647,0.72,1.723e-04,0.528,0.55,1,0,0.723,0.6626,0.7912,0,21.7,21.7,2025-06-10,1190.5,2.66,0,2025-06-11,1192.0,1192.0,18.18,0.3968,-19.57,-38.75,-38.64,2025-07-28,1019.9,-14.44,34,0,9.66,-52.95
CRISIL,L180,0,2024-11-05,2024-03-18,5223.55,2024-06-03,4043.95,22.58,180,0.402,0.717,2.484e-05,0.505,0.422,1,0,1.131,0.0451,0.0154,0,35.44,35.44,2024-11-05,5343.1,-2.74,0,2024-11-06,5315.0,5315.0,1.75,0.2172,2.23,-13.06,-11.3,2025-01-22,5343.25,0.53,53,0,30.76,-25.24
CSBBANK,L120,0,2020-07-07,2020-01-17,201.6,2020-03-24,99.7,50.55,120,0.42,0.802,1.709e-04,0.556,0.458,1,1,0.713,0.4849,0.4459,0,5.41,2.16,2020-08-06,201.7,5.57,22,2020-08-07,202.6,202.6,0.5,0.4594,14.17,8.66,68.02,2020-12-03,224.8,10.96,83,0,84.6,-6.07
CUB,L250,0,2009-10-08,2008-09-25,15.17,2009-03-09,6.87,54.71,250,0.43,0.703,3.199e-05,0.337,0.444,1,0,3.077,0.193,0.1535,1,3.24,3.24,2009-10-08,17.22,-1.03,0,2009-10-09,17.42,17.42,14.83,0.3555,7.18,18.83,94.37,2009-11-03,15.5,-11.02,15,0,102.64,-13.61
CUMMINSIND,L180,0,2025-07-10,2024-12-16,3671.4,2025-02-19,2690.3,26.72,180,0.475,0.719,2.902e-05,0.549,0.489,1,0,0.894,0.2015,0.1766,0,138.05,174.49,2025-08-07,3674.0,1.05,20,2025-08-08,3780.0,3780.0,2.96,0.3973,14.18,8.26,41.28,2025-10-01,3849.0,1.83,37,0,61.38,-3.23
CUMMINSIND,VAR,0,2025-08-08,2024-10-01,3875.85,2025-02-19,2690.3,30.59,214,0.46,0.783,2.525e-05,0.522,0.435,1,0,0.948,0.2543,0.1994,0,174.49,199.52,2025-08-21,3886.3,1.78,8,2025-08-22,3904.0,3904.0,0.73,0.4483,9.15,13.02,32.75,2025-10-01,3849.0,-1.41,28,0,56.25,-3.25
CYBERTECH-BE,L120,0,2023-12-04,2023-06-20,140.94,2023-08-23,110.46,21.63,120,0.42,0.732,5.566e-05,0.385,0.45,1,0,4.026,0.5508,0.6056,1,2.33,2.33,2023-12-04,157.44,-2.36,0,2023-12-05,158.08,158.08,12.16,0.4546,-6.84,-16.68,25.66,2024-02-09,160.92,1.8,47,0,67.62,-26.2
CYIENT,L120,0,2020-08-28,2020-03-05,417.9,2020-05-21,188.4,54.92,120,0.412,0.831,1.716e-04,0.421,0.542,1,1,1.468,0.4281,0.4891,1,15.95,14.0,2020-09-16,418.2,1.27,13,2020-09-17,415.0,417.9,-0.69,0.5418,19.69,55.46,161.48,2020-09-24,370.1,-10.82,6,0,176.63,-12.05
DALMIASUG,L120,0,2017-01-23,2016-08-04,164.65,2016-11-17,98.75,40.02,120,0.605,0.705,9.701e-05,0.426,0.592,1,0,0.895,0.5802,0.511,0,5.16,5.16,2017-01-23,174.95,3.83,0,2017-01-24,176.9,176.9,7.44,0.4861,2.29,-12.13,-40.08,2017-02-15,161.4,-8.76,16,0,14.19,-42.85
DALMIASUG,L120,0,2026-03-30,2025-10-15,377.75,2026-01-21,264.45,29.99,120,0.613,0.834,5.958e-05,0.599,0.508,1,1,2.143,0.9031,0.1583,1,4.6,4.6,2026-03-30,394.35,14.16,0,2026-04-01,409.85,409.85,8.5,0.6,-20.52,4.67,4.67,2026-05-14,345.4,-15.73,29,0,26.88,-21.43
DALMIASUG,L180,0,2017-03-16,2016-08-04,164.65,2016-11-17,98.75,40.02,180,0.542,0.705,5.662e-05,0.412,0.406,1,0,1.038,0.3575,0.3772,0,3.62,3.62,2017-03-16,175.75,-2.63,0,2017-03-17,177.0,177.0,7.5,0.3767,-19.01,-11.47,-57.51,2017-03-17,180.05,1.72,1,0,9.04,-58.76
DALMIASUG,L180,0,2018-11-12,2018-02-23,107.1,2018-07-20,48.4,54.81,180,0.592,0.819,7.371e-05,0.502,0.611,1,1,2.49,0.2427,0.1705,1,2.88,2.88,2018-11-12,111.15,15.24,0,2018-11-13,109.3,109.3,2.05,0.5703,-11.3,-1.88,-20.13,2019-01-28,90.6,-17.11,53,0,23.97,-36.64
DATAMATICS,L120,0,2017-12-20,2017-07-12,124.9,2017-09-27,94.8,24.1,120,0.521,0.72,6.492e-05,0.424,0.433,1,0,2.333,0.104,0.1024,1,4.01,4.01,2017-12-20,131.05,0.65,0,2017-12-21,131.2,131.2,5.04,0.3879,-17.19,-18.6,-18.6,2018-02-05,123.05,-6.21,31,0,17.8,-26.37
DATAMATICS,L180,0,2018-01-10,2017-04-25,130.05,2017-09-27,94.8,27.1,180,0.603,0.703,3.551e-05,0.444,0.422,1,0,1.824,0.196,0.1425,1,3.7,3.7,2018-01-10,140.55,0.04,0,2018-01-11,140.85,140.85,8.3,0.2865,-12.92,-27.33,-22.51,2018-02-05,123.05,-12.64,17,0,9.73,-31.42
DATAPATTNS,VAR,1,2022-08-24,2022-04-18,905.05,2022-07-01,629.28,30.47,90,0.596,0.732,1.291e-04,0.487,0.433,1,0,0.885,0.3939,0.3385,0,12.23,13.04,2022-08-26,947.33,7.06,2,2022-08-29,942.07,942.07,4.09,0.3577,46.63,51.3,137.88,2022-12-15,1222.57,29.77,75,0,156.23,-0.84
DBOL,L180,0,2026-04-10,2025-07-18,103.48,2025-11-18,69.44,32.9,180,0.464,0.731,3.661e-05,0.407,0.417,1,0,1.819,0.3256,0.2759,1,2.12,2.12,2026-04-10,120.07,1.31,0,2026-04-13,120.0,120.0,15.96,0.4427,-8.5,0.82,0.82,2026-05-19,107.08,-10.77,25,0,15.83,-19.16
DBREALTY,L120,0,2018-01-18,2017-07-28,44.45,2017-11-15,33.95,23.62,120,0.622,0.71,1.451e-04,0.395,0.583,1,0,1.888,0.3031,0.4655,1,15.11,15.11,2018-01-18,68.4,-4.34,0,2018-01-19,68.4,68.4,53.88,0.4124,-14.33,-45.98,-60.45,2018-01-19,71.7,4.82,1,0,7.89,-76.83
DBREALTY,L120,0,2022-09-26,2022-04-11,104.65,2022-07-04,52.05,50.26,120,0.521,0.702,1.790e-04,0.523,0.542,1,0,0.862,0.4497,0.3373,0,2.2,2.2,2022-09-26,119.25,-4.98,0,2022-09-27,113.3,113.3,8.27,0.4623,-19.24,-39.72,46.47,2022-09-28,107.65,-4.99,2,0,58.56,-51.37
DCAL,L120,1,2018-01-31,2017-09-21,352.05,2017-11-16,278.5,20.89,90,0.416,0.882,1.040e-04,0.413,0.411,1,1,0.874,0.4743,0.4453,0,8.39,8.39,2018-01-31,375.8,0.45,0,2018-02-01,374.85,374.85,6.48,0.489,-1.28,-28.45,-48.18,2018-03-06,320.2,-14.58,22,0,2.97,-48.51
DCAL,L180,1,2018-01-31,2017-09-21,352.05,2017-11-16,278.5,20.89,90,0.416,0.882,1.040e-04,0.413,0.411,1,1,0.874,0.4743,0.4453,0,8.39,8.39,2018-01-31,375.8,0.45,0,2018-02-01,374.85,374.85,6.48,0.489,-1.28,-28.45,-48.18,2018-03-06,320.2,-14.58,22,0,2.97,-48.51
DCAL,L250,1,2018-01-31,2017-09-21,352.05,2017-11-16,278.5,20.89,90,0.416,0.882,1.040e-04,0.413,0.411,1,1,0.874,0.4743,0.4453,0,8.39,8.39,2018-01-31,375.8,0.45,0,2018-02-01,374.85,374.85,6.48,0.489,-1.28,-28.45,-48.18,2018-03-06,320.2,-14.58,22,0,2.97,-48.51
DCBBANK,L180,0,2016-07-07,2015-10-14,106.55,2016-02-25,69.6,34.68,180,0.508,0.761,3.157e-05,0.42,0.456,1,0,0.853,0.3029,0.2817,0,8.85,17.39,2016-07-29,111.2,7.13,16,2016-08-01,111.55,111.55,4.69,0.5052,17.3,6.77,74.99,2016-11-09,118.05,5.83,67,0,90.95,-10.17
DCM-BE,L120,0,2024-07-26,2024-02-07,92.25,2024-06-04,70.15,23.96,120,0.697,0.734,7.298e-05,0.481,0.475,1,0,2.774,0.6128,0.6897,1,2.25,2.25,2024-07-26,103.92,1.59,0,2024-07-29,109.0,109.0,18.16,0.3637,-17.08,-0.88,-3.06,2024-09-18,91.08,-16.44,37,0,30.17,-23.85
DCMSHRIRAM,L120,0,2007-12-28,2007-07-13,95.0,2007-11-01,61.75,35.0,120,0.672,0.775,8.934e-05,0.551,0.517,1,0,1.08,0.3566,0.3816,0,4.21,2.76,2008-01-07,100.45,11.74,6,2008-01-08,102.9,102.9,8.32,0.425,-43.54,-50.53,-72.64,2008-01-21,68.85,-33.09,10,0,3.89,-76.19
DCMSHRIRAM,L180,0,2014-05-14,2013-10-24,67.2,2013-11-11,51.0,24.11,180,0.313,0.885,5.165e-05,0.332,0.417,1,1,2.715,0.3161,0.3357,1,2.02,2.02,2014-05-14,117.8,2.21,0,2014-05-15,116.05,116.05,72.69,0.4672,71.91,96.81,-1.94,2014-07-11,141.9,22.27,42,0,117.02,-11.63
DEEPAKNTR,L120,0,2019-04-26,2018-11-06,276.95,2018-12-26,208.05,24.88,120,0.303,0.716,6.800e-05,0.462,0.433,1,0,0.544,0.2562,0.3071,0,2.89,2.79,2019-05-06,286.3,4.85,4,2019-05-07,289.0,289.0,4.35,0.1745,-4.65,18.06,76.57,2019-06-11,290.3,0.45,25,0,96.44,-10.97
DEEPAKNTR,L120,0,2023-06-05,2022-12-13,2221.65,2023-02-14,1757.4,20.9,120,0.387,0.908,4.951e-05,0.517,0.558,1,1,1.063,0.2924,0.2928,0,64.64,104.71,2023-06-20,2243.9,3.19,11,2023-06-21,2248.95,2248.95,1.23,0.5797,0.83,-0.14,11.56,2023-07-07,2062.35,-8.3,12,0,17.65,-15.51
DEEPINDS,L120,0,2022-10-04,2022-04-26,131.73,2022-08-11,88.16,33.08,120,0.697,0.817,9.820e-05,0.514,0.475,1,1,1.019,0.587,0.5617,0,2.52,2.52,2022-10-04,137.84,0.47,0,2022-10-06,140.09,140.09,6.35,0.4297,-1.73,-7.87,103.06,2022-11-17,123.68,-11.71,29,0,110.24,-17.24
DELTACORP,L120,0,2017-03-22,2016-10-26,185.75,2016-12-26,95.55,48.56,120,0.504,0.7,1.470e-04,0.521,0.417,1,0,1.167,0.35,0.2155,0,71.33,76.65,2017-04-03,214.0,18.17,8,2017-04-05,216.4,216.4,16.5,0.3722,-28.26,-7.9,29.6,2017-04-12,168.95,-21.93,6,0,85.58,-35.77
DELTACORP,L180,0,2010-09-16,2010-01-13,51.4,2010-06-08,31.1,39.49,180,0.603,0.711,4.379e-05,0.491,0.411,1,0,4.595,0.572,0.4321,1,3.01,3.01,2010-09-16,58.2,9.92,0,2010-09-17,59.0,59.0,14.79,0.4566,55.59,19.41,84.41,2010-11-26,103.15,74.83,50,0,140.51,-1.02
DENORA,L180,0,2018-03-08,2017-07-13,324.6,2017-12-18,232.7,28.31,180,0.698,0.733,6.061e-05,0.387,0.456,1,0,3.278,0.7371,0.8729,1,2.36,2.36,2018-03-08,449.1,-2.55,0,2018-03-09,470.0,470.0,44.79,0.3819,-43.24,-35.44,-32.52,2018-03-09,450.65,-4.12,1,0,16.15,-52.54
DEVYANI,L120,0,2023-05-26,2022-12-13,193.75,2023-03-27,137.95,28.8,120,0.672,0.861,7.692e-05,0.545,0.4,1,1,1.498,0.4271,0.4302,1,36.23,28.51,2023-06-19,194.9,1.4,16,2023-06-20,195.7,195.7,1.01,0.4287,7.66,-6.77,-15.84,2023-10-18,203.85,4.16,83,0,16.25,-27.31
DHAMPURSUG,L180,0,2018-12-11,2018-03-21,156.25,2018-07-23,73.9,52.7,180,0.486,0.745,7.937e-05,0.424,0.511,1,0,1.248,0.2014,0.2502,1,7.59,7.59,2018-12-11,157.4,7.51,0,2018-12-12,157.0,157.0,0.48,0.4446,48.09,39.9,34.78,2019-05-13,201.7,28.47,102,0,60.99,-14.52
DHAMPURSUG,L180,0,2022-03-09,2021-07-05,389.5,2021-11-29,273.95,29.67,180,0.609,0.713,3.734e-05,0.457,0.456,1,0,1.677,0.4366,0.5261,1,28.71,28.71,2022-03-09,422.2,3.29,0,2022-03-10,429.4,429.4,10.24,0.3775,-38.33,-45.97,-46.82,2022-05-09,460.45,7.23,39,0,36.12,-54.35
DHAMPURSUG,L250,0,2009-07-30,2008-08-20,65.85,2008-11-28,19.9,69.78,250,0.353,0.761,7.456e-05,0.477,0.472,1,0,2.019,0.3329,0.3131,1,2.26,2.26,2009-07-30,73.55,1.94,0,2009-07-31,74.1,74.1,12.53,0.3037,47.3,72.67,-15.18,2010-01-21,132.55,78.88,116,0,113.63,-32.39
DHAMPURSUG,L250,0,2014-06-12,2013-07-18,41.9,2013-11-18,28.0,33.17,250,0.438,0.747,2.751e-05,0.398,0.404,1,0,2.333,0.4494,0.2211,1,2.2,2.2,2014-06-12,62.3,0.89,0,2014-06-13,61.85,61.85,47.61,0.4782,-11.32,-23.12,-51.98,2014-07-11,56.0,-9.46,21,0,9.54,-53.6
DHAMPURSUG,L250,0,2019-03-01,2018-02-27,195.5,2018-07-23,73.9,62.2,250,0.402,0.7,4.142e-05,0.383,0.42,1,0,1.235,0.257,0.2327,1,18.38,18.38,2019-03-01,243.7,2.14,0,2019-03-05,242.35,242.35,23.96,0.1835,-7.34,-39.14,-49.99,2019-05-13,201.7,-16.77,45,0,4.29,-52.14
DHANBANK,L180,0,2009-06-03,2008-09-08,76.37,2008-11-28,31.85,58.3,180,0.33,0.763,9.086e-05,0.492,0.639,1,0,0.586,0.4565,0.2498,0,2.52,2.52,2009-06-03,84.4,-1.93,0,2009-06-04,84.32,84.32,10.41,0.372,13.76,29.74,55.1,2009-10-26,118.69,40.76,98,0,71.61,-14.34
DHANBANK,L180,0,2023-08-23,2022-12-15,20.41,2023-03-27,11.2,45.12,180,0.441,0.795,4.861e-05,0.478,0.572,1,0,0.88,0.3787,0.2943,0,6.07,7.81,2023-09-15,23.74,19.9,17,2023-09-18,22.68,22.68,11.12,0.5789,12.87,61.73,32.28,2024-02-12,35.3,55.64,100,0,111.11,-6.08
DHANBANK,L250,0,2009-07-31,2008-09-08,76.37,2008-11-28,31.85,58.3,250,0.349,0.777,5.689e-05,0.448,0.46,1,0,0.987,0.3758,0.3595,0,2.0,2.0,2009-07-31,101.08,-0.56,0,2009-08-03,101.08,101.08,32.36,0.2924,10.4,9.39,47.25,2009-10-26,118.69,17.42,56,0,60.38,-13.61
DHANBANK,L250,0,2023-01-04,2022-01-11,12.29,2022-06-20,8.93,27.34,250,0.454,0.707,2.751e-05,0.453,0.408,1,0,1.143,0.2718,0.1991,0,14.9,14.9,2023-01-04,17.12,0.0,0,2023-01-05,17.33,17.33,41.01,0.3195,-29.31,-16.16,43.05,2023-01-25,14.61,-15.7,15,0,59.67,-36.76
DHANBANK,L250,0,2023-11-20,2022-12-15,20.41,2023-03-27,11.2,45.12,250,0.357,0.81,2.711e-05,0.332,0.452,1,1,1.067,0.3292,0.3972,0,6.43,6.43,2023-11-20,24.06,0.67,0,2023-11-21,24.31,24.31,19.11,0.4068,52.08,40.72,3.7,2024-02-12,35.3,45.21,57,0,96.96,-6.54
DHANBANK,VAR,0,2023-08-17,2022-12-15,20.41,2023-03-27,11.2,45.12,167,0.422,0.844,5.507e-05,0.476,0.617,1,1,1.01,0.3773,0.2785,0,6.07,7.81,2023-09-15,23.74,19.9,21,2023-09-18,22.68,22.68,11.12,0.6252,12.87,61.73,32.28,2024-02-12,35.3,55.64,100,0,111.11,-6.08
DHANUKA,L180,0,2020-02-18,2019-06-27,410.4,2019-12-03,273.89,33.26,180,0.698,0.801,6.035e-05,0.457,0.467,1,1,2.227,0.5064,0.4563,1,2.05,2.05,2020-02-18,487.44,-1.56,0,2020-02-19,486.26,486.26,18.48,0.4646,-3.59,57.38,46.59,2020-03-09,405.96,-16.51,13,0,85.67,-45.43
DHANUKA,L250,0,2021-07-19,2020-07-22,857.32,2021-03-30,655.19,23.58,250,0.699,0.764,1.621e-05,0.414,0.428,1,0,1.83,0.1681,0.199,1,7.74,7.74,2021-07-19,965.15,-0.28,0,2021-07-20,964.86,964.86,12.54,0.2427,-17.32,-24.89,-28.85,2021-08-10,871.42,-9.68,15,0,3.71,-32.9
DHARMAJ,L250,1,2023-10-20,2022-12-08,266.3,2023-03-29,140.35,47.3,216,0.358,0.762,3.071e-05,0.443,0.56,1,0,0.381,0.4456,0.3969,0,4.46,3.29,2023-11-28,268.1,8.96,24,2023-11-29,271.75,271.75,2.05,0.4459,-11.21,-14.79,10.08,2024-02-06,236.35,-13.03,46,0,43.39,-27.53
DHARMAJ,VAR,1,2023-10-20,2022-12-08,266.3,2023-03-29,140.35,47.3,216,0.358,0.762,3.071e-05,0.443,0.56,1,0,0.381,0.4456,0.3969,0,4.46,3.29,2023-11-28,268.1,8.96,24,2023-11-29,271.75,271.75,2.05,0.4459,-11.21,-14.79,10.08,2024-02-06,236.35,-13.03,46,0,43.39,-27.53
