symbol,mode,ipo_short_window,left_rim_date,left_rim_level,trough_date,trough_close,depth_pct,base_len_bars,trough_pos,fit_r2,fit_curvature,vertex_frac,flat_frac,r2_ge_060,r2_ge_080,vol_ratio,obv_gain,obv_slope_norm,obv_filter_pass,base_qualify_date,tv20_cr_at_q,trigger_date,trigger_close,trigger_level,trigger_N,vol_multiple,volx_ge_2,volx_ge_5,fired_n40,fired_n60,fired_n100,days_q_to_trigger,trigger_day_move_pct,tv20_cr_at_trigger,entry_date,entry_open,dist_to_left_rim_pct,pattern_quality,info_fwd60_pct,info_fwd120_pct,info_fwd250_pct,info_st73_exit_date,info_st73_exit_close,info_st73_ret_pct,info_st73_bars_held,info_st73_still_open,info_mfe_250_pct,info_mae_250_pct
20MICRONS,VAR,0,2024-08-23,339.0,2025-02-18,167.67,50.54,196,0.636,0.791,2.962e-05,0.697,0.408,1,0,1.142,0.068,0.1298,0,2025-06-06,3.06,2025-07-16,259.75,243.1,60,41.97,1,1,1,1,1,28,15.48,2.21,2025-07-17,259.9,23.38,0.2726,-18.45,-22.66,-18.76,2025-07-31,234.47,-9.78,11,0,9.25,-50.13
3MINDIA,L120,0,2024-11-04,36085.1,2025-03-04,25982.5,28.0,120,0.697,0.811,3.581e-05,0.672,0.433,1,1,0.767,0.2304,0.1636,0,2025-04-30,10.64,2025-07-22,31230.0,30305.0,60,5.75,1,1,1,1,1,58,3.38,12.05,2025-07-23,31250.0,13.45,0.3028,-5.39,13.39,12.29,2025-09-24,29375.0,-6.0,44,0,21.7,-8.06
3MINDIA,L180,0,2024-11-01,36166.8,2025-03-04,25982.5,28.16,180,0.592,0.781,1.692e-05,0.668,0.4,1,0,0.664,0.0373,0.0333,0,2025-06-23,8.07,2025-07-22,31230.0,30305.0,60,5.75,1,1,1,1,1,21,3.38,12.05,2025-07-23,31250.0,13.65,0.3059,-5.39,13.39,12.29,2025-09-24,29375.0,-6.0,44,0,21.7,-8.06
3MINDIA,L250,0,2024-08-02,39413.25,2025-03-04,25982.5,34.08,250,0.59,0.836,9.925e-06,0.697,0.532,1,1,0.814,0.2072,0.07,0,2025-08-01,18.49,2025-08-07,32000.0,31680.0,60,3.92,1,0,1,1,1,4,3.61,19.83,2025-08-08,32000.0,18.81,0.5533,11.84,7.78,13.02,2025-09-24,29375.0,-8.2,32,0,18.84,-10.22
3MINDIA,VAR,0,2024-08-02,39413.25,2025-03-04,25982.5,34.08,250,0.59,0.836,9.925e-06,0.697,0.532,1,1,0.814,0.2072,0.07,0,2025-08-01,18.49,2025-08-07,32000.0,31680.0,60,3.92,1,0,1,1,1,4,3.61,19.83,2025-08-08,32000.0,18.81,0.5533,11.84,7.78,13.02,2025-09-24,29375.0,-8.2,32,0,18.84,-10.22
5PAISA,L120,0,2021-01-12,377.3,2021-02-23,243.25,35.53,120,0.345,0.703,7.775e-05,0.339,0.417,1,0,1.63,0.2955,0.2952,1,2021-06-21,2.75,2021-07-07,457.95,436.15,60,3.53,1,0,1,1,1,12,5.0,1.78,2021-07-08,467.0,-21.38,0.291,0.14,-15.76,-41.56,2021-08-18,471.85,1.04,29,0,24.2,-43.29
5PAISA,VAR,0,2024-01-08,736.05,2024-03-13,472.45,35.81,92,0.505,0.718,6.512e-05,0.699,0.565,1,0,1.152,0.1373,0.0449,0,2024-05-22,2.27,2024-09-23,558.8,553.0,60,3.09,1,0,1,1,1,85,1.05,4.49,2024-09-24,570.0,24.08,0.5288,-15.51,-44.6,-36.49,2024-10-24,497.2,-12.77,22,0,6.5,-45.32
63MOONS,L120,0,2021-07-23,111.15,2021-08-23,88.3,20.56,120,0.303,0.716,1.021e-04,0.347,0.433,1,0,1.06,0.1661,0.1637,0,2021-12-22,2.02,2021-12-27,207.15,206.55,60,3.97,1,0,1,1,1,3,4.99,3.52,2021-12-28,214.0,-86.37,0.134,3.74,-28.9,-26.45,2022-01-24,290.1,35.56,20,0,74.11,-34.32
63MOONS,L120,0,2023-02-14,213.1,2023-05-29,162.2,23.89,120,0.639,0.716,1.016e-04,0.43,0.558,1,0,1.06,0.6821,0.9987,0,2023-07-28,4.94,2023-08-09,278.95,271.55,60,7.53,1,1,1,1,1,8,10.0,3.3,2023-08-10,283.0,-30.9,0.3833,-4.24,47.56,16.86,2023-09-21,286.1,1.1,29,0,144.08,-15.53
63MOONS,VAR,0,2012-02-21,912.05,2012-05-23,565.2,38.03,90,0.697,0.747,9.870e-05,0.693,0.433,1,0,0.924,0.4278,0.4218,0,2012-06-29,14.95,2012-07-11,776.4,767.6,60,12.74,1,1,1,1,0,8,3.07,18.58,2012-07-12,775.0,14.87,0.3204,27.14,49.92,-5.48,2012-07-17,707.0,-8.77,4,0,57.66,-12.09
AAKASH,VAR,0,2021-09-06,29.19,2021-10-28,17.98,38.4,90,0.404,0.739,1.867e-04,0.498,0.433,1,0,1.116,0.4143,0.4131,0,2022-01-13,3.72,2022-02-02,28.23,27.71,60,35.71,1,1,1,1,0,13,1.99,2.11,2022-02-03,29.4,3.29,0.4128,-5.78,-53.57,-78.06,2022-03-16,27.15,-7.65,29,0,14.97,-79.25
AARTIDRUGS,L120,0,2022-04-07,519.8,2022-06-22,381.1,26.68,120,0.462,0.716,5.186e-05,0.535,0.425,1,0,1.107,0.4284,0.4894,0,2022-09-23,4.03,2022-10-06,501.4,477.45,60,3.73,1,0,1,1,1,8,5.02,8.21,2022-10-07,505.0,3.54,0.3788,-10.18,-33.17,2.85,2022-11-24,442.3,-12.42,33,0,27.87,-37.84
AARTIDRUGS,L120,0,2023-09-08,619.55,2023-11-03,460.05,25.74,120,0.387,0.725,5.268e-05,0.56,0.475,1,0,0.964,0.2477,0.2907,0,2024-02-19,11.41,2024-02-20,543.65,541.15,60,5.59,1,1,1,1,0,1,0.46,12.41,2024-02-21,543.7,12.25,0.3076,-9.12,-8.63,-29.5,2024-02-28,500.7,-7.91,6,0,16.79,-31.95
AARTIDRUGS,L180,0,2025-10-16,524.6,2026-03-30,319.75,39.05,180,0.693,0.878,2.555e-05,0.699,0.572,1,1,1.114,0.1387,0.0331,0,2026-06-22,4.16,2026-07-14,405.7,400.45,60,3.47,1,0,1,1,1,15,2.53,6.04,2026-07-15,408.0,22.66,0.539,7.11,7.11,7.11,,,7.11,42,1,11.19,-1.72
AARTIDRUGS,L250,0,2025-09-19,525.35,2026-03-30,319.75,39.14,250,0.651,0.772,1.333e-05,0.698,0.452,1,0,1.097,0.1554,0.1551,0,2026-08-06,6.68,2026-08-11,439.35,426.9,60,8.04,1,1,1,1,1,3,3.98,7.12,2026-08-12,445.05,16.37,0.3558,-1.81,-1.81,-1.81,,,-1.81,22,1,0.0,-9.11
AARTIDRUGS,VAR,0,2023-09-08,619.55,2023-11-03,460.05,25.74,90,0.416,0.854,9.161e-05,0.582,0.6,1,1,1.364,0.294,0.237,1,2024-01-18,19.87,2024-02-20,543.65,541.15,60,5.59,1,1,1,1,0,22,0.46,12.41,2024-02-21,543.7,12.25,0.6071,-9.12,-8.63,-29.5,2024-02-28,500.7,-7.91,6,0,16.79,-31.95
AARTIDRUGS,VAR,0,2025-09-19,525.35,2026-03-30,319.75,39.14,215,0.603,0.882,2.356e-05,0.621,0.526,1,1,1.177,0.1717,0.1518,0,2026-08-04,7.59,2026-08-11,439.35,426.9,60,8.04,1,1,1,1,1,5,3.98,7.12,2026-08-12,445.05,16.37,0.6039,-1.81,-1.81,-1.81,,,-1.81,22,1,0.0,-9.11
AARTIIND,L250,0,2025-05-19,486.75,2026-01-21,340.0,30.15,250,0.699,0.709,1.840e-05,0.515,0.416,1,0,1.333,0.3772,0.3059,1,2026-05-14,54.48,2026-08-12,532.95,505.55,60,8.19,1,1,1,1,1,62,5.42,32.64,2026-08-13,536.0,-9.49,0.2229,-5.74,-5.74,-5.74,2026-09-07,490.7,-8.45,18,0,2.94,-9.24
AAVAS,L120,0,2023-02-10,2023.3,2023-06-12,1336.95,33.92,120,0.697,0.848,6.450e-05,0.655,0.533,1,1,1.943,0.4279,0.4017,1,2023-08-02,30.31,2023-09-07,1670.1,1645.5,60,4.12,1,0,1,1,0,25,2.33,26.67,2023-09-08,1670.0,17.46,0.5526,-9.99,-13.96,6.41,2023-10-16,1632.7,-2.23,25,0,18.5,-21.74
ABAN-BE,L120,0,2013-01-08,398.9,2013-03-25,258.0,35.32,120,0.605,0.75,6.356e-05,0.678,0.4,1,0,0.927,0.3808,0.4979,0,2013-06-05,7.2,2013-10-31,253.65,244.55,60,4.01,1,0,1,1,0,101,3.72,7.39,2013-11-01,251.35,36.41,0.3681,53.11,104.44,143.84,2014-01-27,375.9,49.55,59,0,273.98,-7.5
