Index,symbol,mode,ipo_short_window,left_rim_date,left_rim_level,trough_date,trough_close,depth_pct,base_len_bars,trough_pos,fit_r2,fit_curvature,vertex_frac,flat_frac,r2_ge_060,r2_ge_080,vol_ratio,obv_gain,obv_slope_norm,obv_filter_pass,base_qualify_date,tv20_cr_at_q,trigger_date,trigger_close,trigger_level,trigger_N,vol_multiple,volx_ge_2,volx_ge_5,fired_n40,fired_n60,fired_n100,days_q_to_trigger,trigger_day_move_pct,tv20_cr_at_trigger,entry_date,entry_open,dist_to_left_rim_pct,pattern_quality,info_fwd60_pct,info_fwd120_pct,info_fwd250_pct,info_st73_exit_date,info_st73_exit_close,info_st73_ret_pct,info_st73_bars_held,info_st73_still_open,info_mfe_250_pct,info_mae_250_pct,ath_prev,dist_to_ath_pct,hist_bars,split_cut
0,20MICRONS,VAR,0,2024-08-23,339.0,2025-02-18,167.67,50.54,196,0.636,0.791,2.962e-05,0.697,0.408,1,0,1.142,0.068,0.1298,0,2025-06-06,3.06,2025-07-16,259.75,243.1,60,41.97,1,1,1,1,1,28,15.48,2.21,2025-07-17,259.9,23.38,0.2726,-18.45,-22.66,-18.76,2025-07-31,234.47,-9.78,11.0,0,9.25,-50.13,339.0,-23.38,4140,False
4,3MINDIA,VAR,0,2024-08-02,39413.25,2025-03-04,25982.5,34.08,250,0.59,0.836,9.925e-06,0.697,0.532,1,1,0.814,0.2072,0.07,0,2025-08-01,18.49,2025-08-07,32000.0,31680.0,60,3.92,1,0,1,1,1,4,3.61,19.83,2025-08-08,32000.0,18.81,0.5533,11.84,7.78,13.02,2025-09-24,29375.0,-8.2,32.0,0,18.84,-10.22,40020.6,-20.04,5089,False
2,3MINDIA,L180,0,2024-11-01,36166.8,2025-03-04,25982.5,28.16,180,0.592,0.781,1.692e-05,0.668,0.4,1,0,0.664,0.0373,0.0333,0,2025-06-23,8.07,2025-07-22,31230.0,30305.0,60,5.75,1,1,1,1,1,21,3.38,12.05,2025-07-23,31250.0,13.65,0.3059,-5.39,13.39,12.29,2025-09-24,29375.0,-6.0,44.0,0,21.7,-8.06,40020.6,-21.97,5077,False
6,5PAISA,VAR,0,2024-01-08,736.05,2024-03-13,472.45,35.81,92,0.505,0.718,6.512e-05,0.699,0.565,1,0,1.152,0.1373,0.0449,0,2024-05-22,2.27,2024-09-23,558.8,553.0,60,3.09,1,0,1,1,1,85,1.05,4.49,2024-09-24,570.0,24.08,0.5288,-15.51,-44.6,-36.49,2024-10-24,497.2,-12.77,22.0,0,6.5,-45.32,736.05,-24.08,1696,False
5,5PAISA,L120,0,2021-01-12,377.3,2021-02-23,243.25,35.53,120,0.345,0.703,7.775e-05,0.339,0.417,1,0,1.63,0.2955,0.2952,1,2021-06-21,2.75,2021-07-07,457.95,436.15,60,3.53,1,0,1,1,1,12,5.0,1.78,2021-07-08,467.0,-21.38,0.291,0.14,-15.76,-41.56,2021-08-18,471.85,1.04,29.0,0,24.2,-43.29,444.65,2.99,899,False
8,63MOONS,L120,0,2023-02-14,213.1,2023-05-29,162.2,23.89,120,0.639,0.716,0.0001016,0.43,0.558,1,0,1.06,0.6821,0.9987,0,2023-07-28,4.94,2023-08-09,278.95,271.55,60,7.53,1,1,1,1,1,8,10.0,3.3,2023-08-10,283.0,-30.9,0.3833,-4.24,47.56,16.86,2023-09-21,286.1,1.1,29.0,0,144.08,-15.53,403.1,-30.8,2471,True
7,63MOONS,L120,0,2021-07-23,111.15,2021-08-23,88.3,20.56,120,0.303,0.716,0.0001021,0.347,0.433,1,0,1.06,0.1661,0.1637,0,2021-12-22,2.02,2021-12-27,207.15,206.55,60,3.97,1,0,1,1,1,3,4.99,3.52,2021-12-28,214.0,-86.37,0.134,3.74,-28.9,-26.45,2022-01-24,290.1,35.56,20.0,0,74.11,-34.32,403.1,-48.61,2069,True
10,AAKASH,VAR,0,2021-09-06,29.19,2021-10-28,17.98,38.4,90,0.404,0.739,0.0001867,0.498,0.433,1,0,1.116,0.4143,0.4131,0,2022-01-13,3.72,2022-02-02,28.23,27.71,60,35.71,1,1,1,1,0,13,1.99,2.11,2022-02-03,29.4,3.29,0.4128,-5.78,-53.57,-78.06,2022-03-16,27.15,-7.65,29.0,0,14.97,-79.25,29.19,-3.29,515,False
15,AARTIDRUGS,VAR,0,2023-09-08,619.55,2023-11-03,460.05,25.74,90,0.416,0.854,9.161e-05,0.582,0.6,1,1,1.364,0.294,0.237,1,2024-01-18,19.87,2024-02-20,543.65,541.15,60,5.59,1,1,1,1,0,22,0.46,12.41,2024-02-21,543.7,12.25,0.6071,-9.12,-8.63,-29.5,2024-02-28,500.7,-7.91,6.0,0,16.79,-31.95,1011.85,-46.27,4725,False
16,AARTIDRUGS,VAR,0,2025-09-19,525.35,2026-03-30,319.75,39.14,215,0.603,0.882,2.356e-05,0.621,0.526,1,1,1.177,0.1717,0.1518,0,2026-08-04,7.59,2026-08-11,439.35,426.9,60,8.04,1,1,1,1,1,5,3.98,7.12,2026-08-12,445.05,16.37,0.6039,-1.81,-1.81,-1.81,,,-1.81,22.0,1,0.0,-9.11,1011.85,-56.58,5337,False
