Symbol,Trough_Date,Trough_Close,Depth_%,Shelf_Start_Date,Shelf_High,Shelf_Range_%,ATH_Before_Breakout,DistToATH_%,Breakout_Close_Date,Breakout_Close,VolMultiple,Entry_Date,Entry_Price_NextOpen,History_Bars,Pattern_Score,Info_Fwd250_%,Info_ST73_Ret_%
MIDHANI,20-Jun-2022,158.1,23.59,16-May-2023,237.3,8.7,262.8,-8.22,06-Jun-2023,241.2,3.85,07-Jun-2023,242.0,1280,0.43,71.61,48.7
HFCL,28-Mar-2023,56.5,33.96,01-Jan-2024,91.95,8.65,96.35,3.48,20-Jan-2024,99.7,5.3,23-Jan-2024,101.25,4687,0.43,-0.22,-8.49
CRAFTSMAN,19-Mar-2024,3824.08,29.32,04-Sep-2024,6497.82,8.78,6497.82,1.56,25-Sep-2024,6598.99,14.81,26-Sep-2024,6594.54,863,0.43,1.89,-16.75
SMLMAH,18-May-2026,3502.6,30.27,14-Aug-2026,5726.0,10.79,5808.0,8.45,04-Sep-2026,6298.5,4.97,07-Sep-2026,6339.0,319,0.42,-0.87,-0.87
TCI,23-Dec-2022,575.7,30.45,13-Oct-2023,818.8,4.02,836.9,5.14,06-Nov-2023,879.9,13.12,07-Nov-2023,889.95,1778,0.42,35.74,-9.89
RAMRAT,04-Mar-2025,233.12,36.98,27-Jun-2025,341.49,5.1,369.89,-6.49,18-Jul-2025,345.9,3.08,21-Jul-2025,349.22,730,0.42,21.79,-3.24
METROBRAND,09-May-2024,1028.75,25.53,14-Jan-2025,1238.55,5.24,1383.45,-6.39,03-Feb-2025,1295.05,13.69,04-Feb-2025,1335.0,775,0.42,-22.42,-1.65
ETHOSLTD,12-Feb-2025,2258.45,31.16,04-Nov-2025,3055.4,8.96,3442.3,-7.66,26-Nov-2025,3178.7,3.59,27-Nov-2025,3200.0,862,0.42,-16.31,-11.9
BOMDYEING,07-Mar-2007,88.1,46.34,10-Dec-2007,151.51,9.52,189.94,-5.26,02-Jan-2008,179.94,11.91,03-Jan-2008,183.6,746,0.42,-83.35,-13.83
ULTRACEMCO,24-Mar-2020,3018.1,35.47,29-Sep-2020,4544.35,10.94,4841.05,-4.38,21-Oct-2020,4629.1,3.86,22-Oct-2020,4675.0,3990,0.42,52.94,32.64
NATCOPHARM,29-Mar-2016,393.1,36.06,03-Aug-2016,658.15,7.6,658.15,3.76,25-Aug-2016,682.9,7.18,26-Aug-2016,685.0,2874,0.42,4.96,-7.77
TVSMOTOR,07-May-2015,215.3,32.75,07-Jan-2016,291.8,6.07,320.14,-8.71,29-Jan-2016,292.25,3.7,01-Feb-2016,293.5,2734,0.42,33.37,0.66
VGUARD,25-Mar-2020,150.55,34.54,27-Apr-2021,226.65,2.32,252.35,-7.35,19-May-2021,233.8,5.5,20-May-2021,235.05,3244,0.42,-4.32,5.38
NAUKRI,23-Jan-2015,155.5,20.66,23-Mar-2015,173.5,7.78,196.0,-9.95,16-Apr-2015,176.5,4.47,17-Apr-2015,177.5,2068,0.42,-9.86,-4.79
SKFINDIA,23-Mar-2020,583.2,45.15,11-Feb-2021,1107.9,5.68,1135.8,-2.06,04-Mar-2021,1112.4,5.49,05-Mar-2021,1112.4,3992,0.42,39.71,24.56
TIMKEN,28-Feb-2011,154.95,26.63,13-Oct-2011,226.2,5.44,253.2,-4.4,08-Nov-2011,242.05,32.22,09-Nov-2011,243.75,1173,0.42,-17.21,-15.24
AVANTIFEED,01-Sep-2025,632.3,28.27,28-Oct-2025,766.9,9.96,921.32,-8.65,19-Nov-2025,841.65,43.88,20-Nov-2025,841.35,3797,0.42,-2.91,-5.85
HONDAPOWER,27-Feb-2023,1765.8,33.6,01-Aug-2023,2274.9,7.13,2659.3,-8.67,23-Aug-2023,2428.8,9.78,24-Aug-2023,2465.1,4597,0.42,46.88,4.81
SHAILY,29-Jan-2026,1821.6,33.73,07-May-2026,2793.5,5.61,2793.5,7.02,29-May-2026,2989.5,4.27,01-Jun-2026,3004.9,1022,0.42,12.32,12.32
KSB,21-Nov-2016,113.5,25.5,16-Aug-2017,144.15,5.97,160.35,-6.36,07-Sep-2017,150.15,3.12,08-Sep-2017,150.0,3130,0.42,3.67,8.47
RPEL,30-Mar-2026,566.4,46.25,23-Jul-2026,1313.8,7.42,1316.4,5.5,13-Aug-2026,1388.8,6.25,14-Aug-2026,1399.0,497,0.42,24.72,24.72
KIRLOSENG,07-Mar-2022,123.5,44.99,14-Feb-2023,331.6,7.58,416.3,-6.31,08-Mar-2023,390.05,33.49,09-Mar-2023,394.8,3013,0.42,104.72,-2.56
SYRMA,13-May-2024,392.45,42.01,28-Nov-2024,607.55,9.32,676.8,-9.18,19-Dec-2024,614.7,4.14,20-Dec-2024,620.5,574,0.42,16.97,-14.68
SONATSOFTW,24-May-2017,54.75,25.51,20-Dec-2017,106.35,11.8,106.35,3.43,11-Jan-2018,110.0,6.19,12-Jan-2018,110.2,3215,0.42,4.17,7.58
MAHSCOOTER,28-Jan-2025,9057.05,27.74,16-May-2025,13888.0,9.48,13888.0,2.99,06-Jun-2025,14303.0,5.4,09-Jun-2025,14349.0,5019,0.42,-12.71,12.8
AVANTIFEED,19-Jan-2016,102.54,48.21,18-Jul-2016,184.12,8.85,198.0,-6.56,08-Aug-2016,185.02,3.52,09-Aug-2016,185.62,1506,0.42,167.75,-13.35
GRANULES,21-Nov-2016,99.1,33.45,29-Mar-2017,144.75,5.01,162.44,-7.47,21-Apr-2017,150.3,3.14,24-Apr-2017,150.0,2918,0.42,-27.17,-10.43
HITECH,28-Mar-2023,71.21,27.11,21-Sep-2023,87.87,8.36,97.69,-2.32,13-Oct-2023,95.42,10.04,16-Oct-2023,97.07,1811,0.42,80.52,1.65
KPITTECH,26-Mar-2020,34.85,66.62,24-Nov-2020,114.0,10.79,124.45,-8.36,16-Dec-2020,114.05,4.36,17-Dec-2020,114.7,411,0.42,319.79,167.26
HCG,23-Mar-2026,521.75,29.78,20-Jul-2026,679.35,3.78,776.3,-7.81,10-Aug-2026,715.65,4.06,11-Aug-2026,720.0,2556,0.42,-2.29,-2.29
KIOCL,09-Apr-2025,220.42,48.8,11-Sep-2025,466.55,9.43,553.2,-4.41,03-Oct-2025,528.8,8.58,06-Oct-2025,547.05,2092,0.42,-32.61,-16.86
THERMAX,10-Dec-2025,2773.8,29.68,05-Jun-2026,4863.9,6.02,5666.45,-9.55,29-Jun-2026,5125.1,4.01,30-Jun-2026,5125.1,5308,0.42,-28.98,-14.54
JTEKTINDIA,28-Mar-2023,94.11,42.45,28-Nov-2023,144.64,10.72,163.52,-9.81,19-Dec-2023,147.48,3.52,20-Dec-2023,149.68,4683,0.42,5.98,-3.47
SANGAMIND,16-Feb-2023,195.2,43.53,19-Jul-2023,341.95,6.81,404.55,-4.18,09-Aug-2023,387.65,14.1,10-Aug-2023,387.65,4593,0.42,0.99,-18.93
ACCELYA,20-Jun-2022,793.3,40.02,30-Dec-2022,1459.0,9.23,1607.0,-4.56,20-Jan-2023,1533.8,3.96,23-Jan-2023,1556.7,4458,0.42,11.52,-12.29
RUSHIL,07-Aug-2012,14.52,23.5,11-Dec-2012,21.8,8.03,23.46,0.13,02-Jan-2013,23.49,15.22,03-Jan-2013,23.64,363,0.42,-84.26,-14.97
RAINBOW,24-Jul-2024,1105.1,29.67,07-Oct-2024,1468.95,8.32,1571.3,-4.69,28-Oct-2024,1497.65,7.61,29-Oct-2024,1497.65,653,0.41,-7.83,-1.9
BALRAMCHIN,13-Mar-2024,347.6,26.65,23-Jul-2024,495.15,10.33,516.95,-1.07,13-Aug-2024,511.4,3.97,14-Aug-2024,514.9,4845,0.41,6.49,16.33
GUJENERGY,26-Dec-2016,102.0,24.72,27-Feb-2017,140.75,11.55,157.75,-7.61,21-Mar-2017,145.75,5.17,22-Mar-2017,144.5,2838,0.41,12.98,6.57
GUJGASLTD,26-Dec-2016,102.0,24.72,27-Feb-2017,140.75,11.55,157.75,-7.61,21-Mar-2017,145.75,5.17,22-Mar-2017,144.5,2838,0.41,12.98,6.57
CHAMBLFERT,09-Feb-2011,67.05,35.31,18-Jul-2011,94.1,11.64,103.65,-5.98,08-Aug-2011,97.45,3.56,09-Aug-2011,97.15,1634,0.41,-27.48,2.21
BHARATRAS,02-Nov-2020,2136.0,22.16,08-Feb-2021,2504.0,4.95,2744.0,-5.32,01-Mar-2021,2598.0,4.77,02-Mar-2021,2624.0,3644,0.41,14.63,-7.74
ASTEC,29-Feb-2016,176.2,29.22,01-Jul-2016,368.2,5.04,386.6,-0.57,25-Jul-2016,384.4,4.69,26-Jul-2016,387.9,1611,0.41,52.53,24.84
SUNTECK,06-May-2021,251.0,34.51,06-Dec-2021,454.6,7.51,520.65,-7.38,27-Dec-2021,482.25,6.35,28-Dec-2021,483.9,2993,0.41,-31.33,2.99
CUMMINSIND,14-Jun-2006,109.86,41.15,06-Oct-2006,182.29,6.74,186.68,2.54,31-Oct-2006,191.43,7.94,01-Nov-2006,193.5,453,0.41,47.27,-7.53
AAKASH,28-Oct-2021,17.98,38.4,11-Jan-2022,27.68,8.38,29.19,-3.29,02-Feb-2022,28.23,35.71,03-Feb-2022,29.4,515,0.41,-78.06,-7.65
BRIGADE,13-Jan-2023,437.25,24.68,23-May-2023,574.4,7.14,580.5,-0.25,13-Jun-2023,579.05,4.43,14-Jun-2023,581.05,3810,0.41,133.43,-0.54
FILATEX,22-Nov-2016,6.08,27.53,30-May-2017,14.16,9.25,14.46,-0.55,20-Jun-2017,14.38,5.27,21-Jun-2017,14.31,1243,0.41,41.37,-6.15
FILATEX,15-Jul-2020,12.04,32.51,29-Jan-2021,31.13,7.04,34.76,-4.32,19-Feb-2021,33.26,5.72,22-Feb-2021,33.85,2150,0.41,68.21,39.35
M&M,02-Dec-2016,572.78,23.22,07-Feb-2017,659.93,4.61,748.93,-9.95,01-Mar-2017,674.38,3.28,02-Mar-2017,677.45,3482,0.41,6.27,-0.75
COFFEEDAY,27-Dec-2016,192.3,24.26,19-Apr-2017,255.8,3.07,288.05,-9.06,11-May-2017,261.95,6.13,12-May-2017,261.95,373,0.41,25.37,-8.02
COFFEEDAY-BE,27-Dec-2016,192.3,24.26,19-Apr-2017,255.8,3.07,288.05,-9.06,11-May-2017,261.95,6.13,12-May-2017,261.95,374,0.41,21.68,-8.02
VOLTAS,19-May-2020,436.3,40.49,24-Aug-2020,662.9,4.25,733.15,-6.49,14-Sep-2020,685.6,4.22,15-Sep-2020,692.45,3874,0.41,80.23,38.44
WHIRLPOOL,26-Dec-2016,841.1,28.53,17-Jul-2017,1170.65,2.44,1234.2,-3.3,07-Aug-2017,1193.5,16.68,08-Aug-2017,1192.0,1872,0.41,46.07,-1.04
BIOCON,28-Nov-2008,14.75,57.43,13-Nov-2009,46.0,7.07,53.65,-9.32,04-Dec-2009,48.65,6.04,07-Dec-2009,48.65,1215,0.41,37.92,-9.66
NATCOPHARM,27-May-2005,22.46,26.51,22-Dec-2005,30.35,6.19,30.56,5.43,13-Jan-2006,32.22,6.79,16-Jan-2006,32.65,257,0.41,-4.84,-11.73
ABDL,02-May-2025,302.23,30.33,23-Jun-2025,447.25,5.19,447.25,8.76,14-Jul-2025,486.45,5.15,15-Jul-2025,488.8,256,0.41,26.72,22.46
OLECTRA,01-Jun-2021,170.95,24.63,16-Aug-2021,319.5,10.16,330.45,-1.07,07-Sep-2021,326.9,4.79,08-Sep-2021,341.9,1649,0.41,82.32,116.51
BALKRISIND,29-Sep-2022,1844.05,24.39,30-May-2023,2369.0,6.06,2692.2,-8.87,20-Jun-2023,2453.45,4.56,21-Jun-2023,2453.45,4287,0.41,31.37,-6.88
HONDAPOWER,19-Mar-2024,2104.5,29.28,07-Aug-2024,3779.2,8.06,4034.9,-5.97,29-Aug-2024,3793.9,112.19,30-Aug-2024,3775.6,4849,0.41,-25.91,-1.33
INDUSINDBK,05-Mar-2009,27.4,55.98,17-Sep-2009,117.95,8.56,131.7,-5.96,14-Oct-2009,123.85,3.61,15-Oct-2009,126.8,1643,0.41,111.28,-6.43
RADHIKAJWE,29-Mar-2023,28.15,46.87,19-Dec-2023,47.17,7.5,52.98,-2.19,10-Jan-2024,51.82,14.02,11-Jan-2024,52.71,366,0.41,98.29,3.6
VMM,13-Mar-2025,99.44,20.7,23-Jun-2025,134.66,5.29,134.66,1.8,14-Jul-2025,137.09,3.14,15-Jul-2025,137.8,140,0.41,-19.09,-0.43
SPLPETRO,28-Feb-2025,536.55,39.57,02-Jun-2025,804.15,11.42,901.75,-1.59,23-Jun-2025,887.45,13.84,24-Jun-2025,877.45,755,0.41,-16.68,-12.85
HGINFRA,02-Nov-2020,174.5,22.83,22-Apr-2021,290.43,8.22,338.1,-2.34,14-May-2021,330.19,38.42,17-May-2021,347.41,782,0.41,62.21,78.37
AGARIND,13-Mar-2024,786.48,30.47,18-Jul-2024,1210.29,7.77,1250.54,-2.95,08-Aug-2024,1213.67,3.24,09-Aug-2024,1287.22,2512,0.41,-26.79,-13.6
SADBHAV,19-Jun-2015,274.1,26.4,20-Jul-2015,334.7,10.89,372.4,-6.74,10-Aug-2015,347.3,7.05,11-Aug-2015,352.5,2329,0.4,-20.28,-12.2
JAYSREETEA,28-Oct-2005,47.62,34.34,18-Apr-2006,90.1,10.38,106.08,-6.56,10-May-2006,99.12,12.85,11-May-2006,101.0,333,0.4,-45.87,-20.54
EVERESTIND-BE,20-Jun-2022,508.95,34.05,03-Apr-2023,843.1,10.75,937.45,-5.71,27-Apr-2023,883.9,22.6,28-Apr-2023,890.0,4514,0.4,40.21,-3.98
MONARCH,31-Mar-2023,95.57,52.11,16-Oct-2023,206.84,8.78,206.84,3.62,07-Nov-2023,214.33,3.63,08-Nov-2023,216.05,454,0.4,88.18,0.88
SONATSOFTW,20-Jun-2022,232.7,32.13,18-Jan-2023,320.75,9.21,360.45,-9.64,09-Feb-2023,325.7,3.36,10-Feb-2023,326.5,4472,0.4,138.04,59.82
AWHCL,27-Mar-2023,246.0,27.15,19-Oct-2023,409.9,10.09,445.15,1.98,10-Nov-2023,453.95,15.3,13-Nov-2023,515.0,708,0.4,19.77,-6.83
GHCL,20-Jan-2016,98.95,32.34,30-Jun-2016,200.3,7.19,200.3,1.37,22-Jul-2016,203.05,4.07,25-Jul-2016,204.95,2852,0.4,13.83,27.81
BALMLAWRIE,20-Feb-2014,46.27,24.11,15-Jul-2014,92.92,10.16,94.56,-0.36,06-Aug-2014,94.22,4.51,07-Aug-2014,94.37,2371,0.4,7.56,-2.3
PANAMAPET,28-Mar-2023,256.72,34.75,03-May-2024,343.8,7.62,393.44,-8.72,27-May-2024,359.15,25.85,28-May-2024,363.24,3015,0.4,-1.34,-13.37
NAVA,28-Sep-2022,89.55,32.69,26-Apr-2023,119.3,6.58,134.5,-7.51,18-May-2023,124.4,6.53,19-May-2023,125.0,4534,0.4,99.92,60.24
RBA,05-May-2021,126.6,34.88,28-Jun-2021,174.6,10.88,194.4,-8.31,19-Jul-2021,178.25,5.03,20-Jul-2021,179.9,147,0.4,-34.8,-8.28
APTECHT-BE,20-Jun-2022,136.89,53.91,26-Apr-2023,304.26,5.41,309.39,5.75,18-May-2023,327.19,9.55,19-May-2023,330.55,4537,0.4,-35.07,-6.72
CARERATING,26-Feb-2016,887.7,36.54,07-Mar-2017,1500.65,5.48,1743.15,-9.21,29-Mar-2017,1582.65,3.56,30-Mar-2017,1572.25,1047,0.4,-23.19,-4.99
ASIANPAINT,09-May-2024,2710.1,20.4,21-Aug-2024,3295.05,5.44,3576.3,-5.84,11-Sep-2024,3367.45,3.15,12-Sep-2024,3370.0,5328,0.4,-24.44,-6.55
WESTLIFE,12-May-2022,413.53,31.17,08-Jul-2022,535.01,4.51,600.84,-3.21,29-Jul-2022,581.54,38.42,01-Aug-2022,586.51,732,0.4,56.08,17.94
SPARC,07-Aug-2013,109.5,34.51,30-Jan-2014,162.4,6.64,174.66,-6.45,20-Feb-2014,163.39,3.2,21-Feb-2014,164.73,1631,0.4,187.23,-9.14
LTF,13-Jan-2025,128.82,30.42,25-Mar-2025,161.11,9.24,187.1,-9.91,21-Apr-2025,168.56,4.12,22-Apr-2025,169.1,3366,0.4,72.75,-4.82
ELIN,20-Dec-2023,145.65,23.82,18-Jul-2024,207.06,9.83,230.29,-8.55,08-Aug-2024,210.61,3.54,09-Aug-2024,214.2,392,0.4,-21.71,6.56
TIMETECHNO,26-Feb-2016,22.2,27.45,15-Nov-2016,46.5,6.02,52.65,-9.12,06-Dec-2016,47.85,5.03,07-Dec-2016,47.9,2337,0.4,111.06,-3.34
WHIRLPOOL,03-Sep-2013,147.55,25.52,10-Jun-2014,335.5,9.45,335.5,0.27,01-Jul-2014,336.4,6.63,02-Jul-2014,330.05,1110,0.4,117.22,112.27
KOKUYOCMLN,27-Sep-2017,87.7,25.27,15-Dec-2017,143.0,9.62,146.7,-0.17,08-Jan-2018,146.45,4.04,09-Jan-2018,146.45,2308,0.4,-24.79,-16.05
EMAMILTD,15-Mar-2024,423.05,26.13,14-Jun-2024,740.7,7.27,740.7,1.19,08-Jul-2024,749.5,3.61,09-Jul-2024,770.0,4425,0.4,-20.89,-2.34
REPCOHOME,26-Dec-2016,467.93,41.46,19-May-2017,721.89,7.04,799.4,-8.03,09-Jun-2017,735.24,5.26,12-Jun-2017,735.78,1028,0.4,-30.05,-2.2
PRECWIRE,08-Apr-2025,127.05,35.06,23-Jun-2025,189.98,4.44,216.35,-9.28,14-Jul-2025,196.27,6.72,15-Jul-2025,198.9,5053,0.39,83.46,-11.07
BEPL,26-Dec-2016,14.35,24.27,17-May-2017,27.9,6.81,30.85,-6.0,07-Jun-2017,29.0,3.41,08-Jun-2017,29.25,2941,0.39,232.82,260.34
JAYBARMARU,25-Oct-2023,100.35,23.34,05-Feb-2024,135.35,10.05,143.15,-4.05,26-Feb-2024,137.35,9.42,27-Feb-2024,139.8,4670,0.39,-50.71,-7.08
TRANSRAILL,09-Apr-2025,441.2,34.78,12-Jun-2025,670.96,8.46,677.5,6.22,03-Jul-2025,719.61,16.51,04-Jul-2025,728.75,127,0.39,-30.46,-7.79
INDBANK,26-Oct-2023,30.55,29.45,14-Feb-2024,52.55,10.56,59.1,-4.74,05-Mar-2024,56.3,26.2,06-Mar-2024,54.5,3800,0.39,-41.03,-26.51
CCL,12-May-2022,323.15,36.65,29-Jul-2022,450.7,7.33,510.1,-9.94,23-Aug-2022,459.4,7.04,24-Aug-2022,458.0,4354,0.39,32.53,35.49
TECHM,01-Aug-2019,586.9,26.13,25-Nov-2019,726.3,3.06,794.5,-7.88,16-Dec-2019,731.9,3.16,17-Dec-2019,734.1,3291,0.39,17.91,-4.17
PRSMJOHNSN,23-Dec-2022,99.55,24.5,11-Aug-2023,131.85,4.06,153.1,-7.41,04-Sep-2023,141.75,11.64,05-Sep-2023,142.65,4612,0.39,25.66,-10.83
UNICHEMLAB,23-Dec-2022,268.1,41.87,03-Oct-2023,427.95,4.18,461.2,-5.33,25-Oct-2023,436.6,3.77,26-Oct-2023,439.95,4645,0.39,74.02,-0.63
RAINBOW,28-Feb-2025,1239.6,26.09,03-Jul-2025,1599.4,5.86,1677.25,-3.18,24-Jul-2025,1623.9,6.84,25-Jul-2025,1620.0,837,0.39,-5.52,-9.71
NITINSPIN,07-Nov-2025,305.35,25.34,13-Jul-2026,563.3,6.75,572.0,0.06,03-Aug-2026,572.35,4.64,04-Aug-2026,573.65,5062,0.39,13.66,13.66
JGCHEM,27-Jan-2026,305.2,41.71,29-Jun-2026,456.35,8.02,523.6,-6.57,20-Jul-2026,489.2,39.05,21-Jul-2026,489.25,577,0.39,21.41,21.41
KITEX,13-Mar-2024,59.94,34.67,23-Apr-2025,256.31,10.67,289.52,-9.42,15-May-2025,262.24,4.37,16-May-2025,262.24,3109,0.39,-40.35,-4.29
NACLIND,26-Apr-2021,36.11,20.79,21-Jun-2021,78.13,6.17,83.74,-3.24,12-Jul-2021,81.03,4.09,13-Jul-2021,85.61,1051,0.39,-13.32,-25.35
UNITDSPR,28-Feb-2025,1267.49,23.93,15-May-2025,1567.56,4.04,1666.26,-4.39,05-Jun-2025,1593.19,3.04,06-Jun-2025,1606.54,249,0.39,-21.58,-8.52
VSTTILLERS,13-Mar-2024,2999.88,26.49,07-Aug-2024,4031.22,7.98,4293.53,-2.67,29-Aug-2024,4179.1,3.05,30-Aug-2024,4234.04,3246,0.39,22.39,9.61
NEULANDLAB,26-May-2022,973.4,46.31,19-Apr-2023,2161.8,8.41,2695.25,-5.82,11-May-2023,2538.3,23.73,12-May-2023,2600.0,3551,0.39,137.37,36.01
COCHINSHIP,27-Mar-2023,207.0,38.89,25-Jul-2023,344.05,6.15,344.05,17.4,16-Aug-2023,403.9,16.44,17-Aug-2023,406.5,1486,0.39,410.31,23.27
GENESYS,16-Aug-2023,182.75,46.56,20-Jun-2024,431.2,10.44,488.45,-5.2,11-Jul-2024,463.05,4.02,12-Jul-2024,477.45,4760,0.39,-6.15,-1.69
LUPIN,20-Nov-2008,107.04,30.51,04-Jun-2009,175.7,7.07,175.7,1.85,25-Jun-2009,178.95,3.36,26-Jun-2009,180.0,1105,0.39,114.44,101.31
RAMCOCEM,26-Oct-2018,561.3,34.8,07-Oct-2019,756.15,7.41,860.95,-9.86,30-Oct-2019,776.05,6.5,31-Oct-2019,790.0,3655,0.39,-2.44,-0.14
ADANIENT,23-Mar-2020,117.2,53.27,09-Oct-2020,318.9,6.68,320.0,2.91,30-Oct-2020,329.3,3.43,02-Nov-2020,328.8,1336,0.39,338.14,303.28
DATAMATICS,27-Sep-2017,94.8,24.1,04-Dec-2017,136.1,8.6,157.25,-8.52,26-Dec-2017,143.85,3.67,27-Dec-2017,143.5,3191,0.39,-19.13,-14.25
VTL,12-May-2020,123.0,43.62,19-May-2021,267.95,5.17,299.95,-9.32,09-Jun-2021,272.0,4.39,10-Jun-2021,274.2,4054,0.39,-1.24,20.84
EXIDEIND,06-Mar-2009,35.05,50.14,26-Jun-2009,70.65,9.48,86.5,-9.31,17-Jul-2009,78.45,12.47,20-Jul-2009,81.2,1121,0.39,64.96,33.93
ARIHANTSUP,08-Aug-2023,164.02,25.15,24-Nov-2023,274.62,9.64,274.62,3.54,18-Dec-2023,284.35,3.37,19-Dec-2023,283.41,1660,0.39,55.48,9.16
TALBROAUTO,22-Oct-2021,53.1,23.21,14-Dec-2021,81.3,9.29,82.95,5.67,04-Jan-2022,87.65,9.71,05-Jan-2022,91.4,3745,0.39,19.86,8.21
INDIAGLYCO,14-Aug-2025,806.8,23.59,24-Oct-2025,1046.65,8.43,1055.9,4.22,17-Nov-2025,1100.5,8.45,18-Nov-2025,1101.0,5033,0.39,4.22,-8.25
CONFIPET,29-Jun-2022,46.48,35.44,29-Nov-2022,79.8,5.61,90.73,-5.68,20-Dec-2022,85.58,6.79,21-Dec-2022,88.06,535,0.39,3.75,-19.84
CUMMINSIND,21-Aug-2013,373.1,28.69,14-Jul-2014,667.15,9.19,687.45,-2.43,05-Aug-2014,670.75,8.33,06-Aug-2014,669.75,2371,0.39,71.95,-2.2
USHAMART,30-Apr-2025,289.25,34.39,25-Aug-2025,388.7,3.27,440.85,-7.66,16-Sep-2025,407.1,11.34,17-Sep-2025,409.0,5117,0.38,20.81,1.93
MAHLIFE,28-Mar-2023,301.3,39.24,31-Jul-2023,477.65,4.01,495.9,-2.13,22-Aug-2023,485.35,16.33,23-Aug-2023,491.55,4603,0.38,10.47,-0.65
SCI,19-Jul-2006,46.96,28.62,03-Oct-2006,63.99,3.56,67.58,-1.94,26-Oct-2006,66.27,14.02,27-Oct-2006,67.19,450,0.38,54.38,-11.33
UBL,27-Feb-2013,600.35,40.0,01-Oct-2013,883.35,6.1,1000.65,-3.7,24-Oct-2013,963.65,7.44,25-Oct-2013,957.95,1292,0.38,-26.25,-14.1
UGROCAP,23-Dec-2022,139.37,30.7,05-Oct-2023,288.06,8.59,309.07,-3.63,27-Oct-2023,297.85,5.94,30-Oct-2023,300.21,548,0.38,-21.17,-14.88
NATCOPHARM,29-Mar-2016,393.1,36.06,03-Jun-2016,551.75,9.29,614.75,-6.55,24-Jun-2016,574.5,6.88,27-Jun-2016,564.0,2832,0.38,77.61,12.02
CYIENT,21-May-2020,188.4,61.74,26-Apr-2021,785.6,11.51,879.1,-8.47,18-May-2021,804.6,3.4,19-May-2021,812.95,4039,0.38,-4.61,33.12
GRANULES,12-Jun-2015,77.65,22.58,28-Aug-2015,123.95,10.77,130.65,0.5,21-Sep-2015,131.3,3.08,22-Sep-2015,132.5,2530,0.38,-7.32,8.68
CANFINHOME,27-Feb-2025,574.8,34.39,26-Sep-2025,804.55,7.58,931.2,-9.97,20-Oct-2025,838.35,9.74,21-Oct-2025,845.05,5138,0.38,-7.34,-0.2
GODFRYPHLP,26-Jun-2023,542.0,20.29,15-Sep-2023,726.0,6.2,732.0,3.14,10-Oct-2023,755.0,18.03,11-Oct-2023,753.0,4633,0.38,210.09,-9.96
FORCEMOT,25-Oct-2024,6209.5,34.55,08-Dec-2025,18951.0,11.71,21897.0,-9.37,30-Dec-2025,19845.0,3.97,31-Dec-2025,19948.0,1503,0.38,-9.0,-6.21
AMBUJACEM,11-Feb-2011,116.45,29.3,09-Mar-2011,138.6,9.63,164.7,-8.77,30-Mar-2011,150.25,12.62,31-Mar-2011,151.0,1544,0.38,11.26,-5.99
AETHER,17-Sep-2025,730.8,21.67,09-Apr-2026,1190.2,6.42,1224.65,2.23,04-May-2026,1252.0,4.71,05-May-2026,1256.0,969,0.38,30.97,-16.3
SCHAEFFLER,03-Feb-2023,2584.15,30.35,14-Aug-2023,3246.85,9.31,3710.1,-9.12,05-Sep-2023,3371.7,4.87,06-Sep-2023,3390.0,4610,0.38,13.98,-2.78
CHOLAHLDNG,31-Dec-2024,1398.85,33.39,01-Oct-2025,1908.7,4.01,2166.0,-7.08,24-Oct-2025,2012.7,5.98,27-Oct-2025,2011.9,2001,0.38,-24.03,-8.33
ARIES,03-Mar-2025,227.52,41.03,25-Jul-2025,402.7,11.86,402.7,2.23,18-Aug-2025,411.7,3.93,19-Aug-2025,411.0,4343,0.38,10.15,-9.65
GNFC,28-Mar-2023,429.15,39.97,08-Dec-2023,711.6,5.86,827.65,-9.21,01-Jan-2024,751.4,5.85,02-Jan-2024,754.75,2064,0.38,-26.45,-11.43
SHOPERSTOP,01-Nov-2023,627.45,24.01,08-Jan-2024,739.15,7.83,825.75,-9.43,30-Jan-2024,747.9,9.43,31-Jan-2024,758.7,4616,0.38,-24.1,-6.82
CARBORUNIV,22-Jun-2022,662.65,34.14,19-Aug-2022,879.0,8.39,1006.1,-9.94,12-Sep-2022,906.05,7.19,13-Sep-2022,901.5,4368,0.38,32.28,-8.89
RHIM,22-Jun-2022,459.71,29.49,30-Aug-2022,645.07,9.56,652.02,4.33,21-Sep-2022,680.22,9.25,22-Sep-2022,680.22,2592,0.38,6.34,-7.82
IFCI,19-Jul-2006,7.9,46.26,17-May-2007,49.2,5.89,49.2,1.63,07-Jun-2007,50.0,3.53,08-Jun-2007,50.0,601,0.38,19.3,-0.1
ADOR,23-Dec-2022,776.1,23.29,16-Jun-2023,1205.15,9.55,1233.65,1.42,10-Jul-2023,1251.15,3.27,11-Jul-2023,1251.0,4571,0.38,13.61,-13.96
IMFA,11-Sep-2024,606.1,26.75,18-Oct-2024,700.44,9.9,827.39,-8.03,08-Nov-2024,760.95,26.78,11-Nov-2024,762.01,3524,0.38,79.88,8.48
FEDERALBNK,07-Apr-2016,42.75,35.52,16-Aug-2016,71.8,10.52,78.4,-5.1,07-Sep-2016,74.4,5.07,08-Sep-2016,74.45,2899,0.38,51.91,-2.83
