Symbol,Trough_Date,Trough_Close,Depth_%,Shelf_Start_Date,Shelf_High,Shelf_Range_%,ATH_Before_Breakout,DistToATH_%,Breakout_Close_Date,Breakout_Close,VolMultiple,Entry_Date,Entry_Price_NextOpen,History_Bars,Pattern_Score,Info_Fwd250_%,Info_ST73_Ret_%
CIPLA,21-Mar-2023,862.35,23.55,06-Jul-2023,1068.5,4.85,1173.4,-0.17,27-Jul-2023,1171.45,12.94,28-Jul-2023,1171.45,5049,0.47,31.83,0.67
SEAMECLTD,06-Aug-2025,781.25,39.45,28-Apr-2026,1592.3,7.05,1607.55,0.6,20-May-2026,1617.2,6.49,21-May-2026,1617.0,5282,0.47,9.71,-18.26
FIEMIND,12-May-2022,408.6,38.51,13-Jul-2022,823.5,10.77,823.5,1.86,03-Aug-2022,838.8,4.05,04-Aug-2022,847.0,3894,0.47,11.79,-18.8
HCLTECH,12-Mar-2009,22.25,65.04,27-Aug-2009,79.75,7.46,87.65,-3.02,17-Sep-2009,85.0,5.04,18-Sep-2009,85.2,1628,0.47,22.71,-13.15
OIL,28-Sep-2022,113.05,37.44,14-Sep-2023,199.25,7.63,220.4,-5.85,09-Oct-2023,207.5,9.87,10-Oct-2023,212.0,3463,0.47,170.05,71.44
DHANUKA,03-Dec-2019,273.89,33.26,03-Aug-2020,792.48,6.27,857.32,-3.66,24-Aug-2020,825.97,5.21,25-Aug-2020,834.6,2248,0.46,0.87,-14.25
KOLTEPATIL,28-Mar-2023,232.2,38.54,16-Jun-2023,370.25,11.69,383.3,-0.31,10-Jul-2023,382.1,4.89,11-Jul-2023,384.6,3839,0.46,7.02,12.79
CHOLAFIN,23-Dec-2024,1171.1,28.67,06-Jun-2025,1644.6,6.09,1665.2,-0.67,27-Jun-2025,1654.1,3.83,30-Jun-2025,1656.0,5061,0.46,8.04,-9.19
CENTURYPLY,28-Mar-2023,442.15,36.62,04-Aug-2023,663.3,8.06,719.7,-6.0,28-Aug-2023,676.5,3.97,29-Aug-2023,679.85,4301,0.46,15.72,-3.85
MAHSCOOTER,28-Jan-2025,9057.05,27.74,05-Mar-2025,10349.35,10.0,12533.15,-6.45,27-Mar-2025,11724.4,6.53,28-Mar-2025,11486.5,4973,0.46,6.04,40.9
DEVYANI,13-Mar-2024,147.85,34.2,30-Aug-2024,197.35,10.87,224.7,-6.6,20-Sep-2024,209.88,8.74,23-Sep-2024,209.88,764,0.46,-15.66,-11.03
JUBLFOOD,30-Apr-2014,94.6,30.9,20-Oct-2014,134.35,10.27,137.7,2.9,13-Nov-2014,141.7,3.08,14-Nov-2014,142.0,1177,0.46,-0.53,-8.2
DCMSHRIRAM,31-Mar-2023,747.4,32.64,13-Dec-2023,1106.8,11.92,1230.9,-7.27,04-Jan-2024,1141.45,8.96,05-Jan-2024,1141.5,4694,0.46,-5.08,-16.42
RCF,28-Mar-2023,90.85,35.52,21-Sep-2023,127.85,5.44,143.25,-9.04,13-Oct-2023,130.3,5.03,16-Oct-2023,130.9,4639,0.46,33.93,-7.26
ASAHIINDIA,12-May-2022,387.75,35.0,01-Aug-2022,587.7,10.72,596.5,4.48,24-Aug-2022,623.2,8.75,25-Aug-2022,634.0,4355,0.46,-6.55,-4.47
PETRONET,02-Apr-2007,19.05,26.02,29-Jun-2007,28.65,9.08,32.3,-6.19,20-Jul-2007,30.3,7.19,23-Jul-2007,30.45,632,0.46,-16.91,-12.15
IOC,28-Feb-2025,111.09,37.41,08-Oct-2025,163.09,7.95,181.47,-9.9,30-Oct-2025,163.51,3.13,31-Oct-2025,163.51,5147,0.46,-17.44,-4.02
FIVESTAR,20-Mar-2023,497.97,23.09,05-Jul-2023,674.16,7.06,674.16,6.57,26-Jul-2023,718.46,5.47,27-Jul-2023,728.28,169,0.46,-1.15,-3.63
TEAMLEASE,19-May-2020,1480.0,47.18,13-Jan-2021,2850.9,5.68,3248.15,-3.27,04-Feb-2021,3141.8,11.19,05-Feb-2021,3195.0,1228,0.46,35.62,3.96
WHIRLPOOL,18-May-2021,2077.4,22.53,21-Sep-2021,2408.1,6.9,2681.45,-6.83,12-Oct-2021,2498.4,5.49,13-Oct-2021,2505.0,2905,0.46,-37.48,-12.19
SRF,20-Jan-2023,2105.2,25.51,17-Apr-2023,2568.75,4.17,2826.05,-8.44,09-May-2023,2587.4,3.42,10-May-2023,2573.0,4530,0.46,-11.46,-5.61
KMSUGAR,29-Nov-2021,23.4,37.1,15-Mar-2022,33.05,11.5,37.2,-5.38,06-Apr-2022,35.2,9.41,07-Apr-2022,35.65,3220,0.46,-19.07,-13.74
BLUESTARCO,03-Apr-2020,220.25,48.77,14-Dec-2020,403.7,4.01,433.35,-5.71,05-Jan-2021,408.6,3.43,06-Jan-2021,410.0,3952,0.46,21.88,-10.24
APOLLOTYRE,25-Jun-2013,56.35,43.9,25-Mar-2014,167.95,7.5,167.95,3.19,17-Apr-2014,173.3,3.35,21-Apr-2014,174.1,2297,0.46,-0.46,5.11
MAHSEAMLES,23-Dec-2022,286.5,34.39,23-Mar-2023,391.1,11.39,436.7,-8.32,19-Apr-2023,400.35,12.4,20-Apr-2023,400.0,4517,0.46,120.55,18.25
ASTEC,26-Feb-2010,45.6,50.86,13-Sep-2010,82.2,4.44,92.8,-5.23,04-Oct-2010,87.95,6.88,05-Oct-2010,88.3,213,0.46,-60.76,-18.12
RALLIS,12-Dec-2008,20.03,48.08,14-Aug-2009,54.59,11.54,54.59,4.84,04-Sep-2009,57.23,3.57,07-Sep-2009,58.47,1156,0.46,166.75,-1.88
PRSMJOHNSN,30-Jun-2005,18.05,34.12,17-Feb-2006,27.15,11.23,27.4,-0.18,10-Mar-2006,27.35,3.07,13-Mar-2006,26.5,295,0.46,22.26,33.02
DELTACORP,08-Jun-2010,31.1,39.49,04-Oct-2010,83.5,6.77,92.34,-5.67,25-Oct-2010,87.1,3.31,26-Oct-2010,89.35,729,0.46,7.44,15.44
AEGISLOG,28-Feb-2022,168.8,54.94,22-Nov-2022,339.1,6.55,380.75,-4.82,13-Dec-2022,362.4,3.8,14-Dec-2022,362.5,4431,0.46,2.01,0.51
AJANTPHARM,07-Apr-2025,2374.45,30.06,18-Feb-2026,3048.2,4.33,3426.5,-8.96,12-Mar-2026,3119.5,3.42,13-Mar-2026,3136.8,5238,0.46,12.85,-10.84
RICOAUTO,29-Sep-2023,80.0,26.97,05-Jan-2024,97.0,8.76,109.55,-8.17,29-Jan-2024,100.6,3.01,30-Jan-2024,103.95,4711,0.46,-16.62,-16.02
RAMCOCEM,08-Apr-2020,464.0,46.57,13-Oct-2020,802.45,5.87,868.4,-4.76,03-Nov-2020,827.05,3.19,04-Nov-2020,827.0,3909,0.46,32.52,-4.49
STYRENIX,09-Sep-2020,495.0,44.12,12-Mar-2021,1008.25,7.69,1141.5,-9.72,06-Apr-2021,1030.6,6.12,07-Apr-2021,1032.0,4003,0.45,7.83,29.05
ALIVUS,08-Dec-2025,860.05,28.31,02-Jun-2026,1081.0,7.31,1230.6,-9.08,23-Jun-2026,1118.9,4.62,24-Jun-2026,1122.0,355,0.45,23.89,-0.53
KSCL,25-Oct-2024,819.8,30.26,20-Feb-2025,1067.4,8.57,1175.55,-4.57,17-Mar-2025,1121.8,3.54,18-Mar-2025,1125.0,4309,0.45,-31.88,15.51
REDINGTON,27-Sep-2013,23.45,39.41,28-Apr-2014,43.25,6.59,49.05,-6.93,20-May-2014,45.65,5.2,21-May-2014,46.1,1790,0.45,32.43,-1.63
GRSE,23-Mar-2020,121.55,45.83,21-Jul-2020,217.0,10.16,240.1,-3.04,11-Aug-2020,232.8,6.88,12-Aug-2020,237.0,451,0.45,-21.27,-23.0
VSTTILLERS,04-Mar-2025,3157.81,39.88,23-Jul-2025,4975.9,10.83,5252.28,-0.85,13-Aug-2025,5207.7,6.61,14-Aug-2025,5245.65,3484,0.45,-15.51,6.18
BORORENEW,24-Sep-2020,67.85,52.2,18-Jan-2021,274.45,9.75,307.9,-3.31,09-Feb-2021,297.7,3.58,10-Feb-2021,305.0,668,0.45,107.16,-13.85
DCXINDIA,28-Mar-2023,140.1,54.58,26-Jun-2023,281.0,10.14,308.45,-4.08,18-Jul-2023,295.85,5.33,19-Jul-2023,298.0,169,0.45,29.09,-17.01
ADANIPORTS,20-Jun-2022,663.15,27.09,17-Oct-2022,862.9,8.89,970.25,-8.19,09-Nov-2022,890.8,3.4,10-Nov-2022,894.0,3685,0.45,-9.55,-11.17
SMCGLOBAL,30-Mar-2026,55.59,39.19,17-Aug-2026,81.33,3.34,91.42,-7.08,07-Sep-2026,84.95,10.94,08-Sep-2026,86.0,1364,0.45,-1.63,-1.63
SHREECEM,04-Apr-2007,881.82,41.84,23-Nov-2007,1452.24,5.54,1643.99,-8.89,14-Dec-2007,1497.81,8.41,17-Dec-2007,1498.6,1216,0.45,-68.67,-1.9
GODIGIT,13-Jan-2025,278.5,30.1,08-Jul-2025,359.45,7.91,398.4,-9.44,29-Jul-2025,360.8,43.17,30-Jul-2025,362.65,295,0.45,-27.4,-7.38
AGARIND,20-Jun-2022,414.31,41.5,13-Jan-2023,635.93,8.23,744.75,-9.9,06-Feb-2023,670.99,3.99,07-Feb-2023,674.36,2144,0.45,52.98,-11.21
CAPLIPOINT,09-Jun-2015,166.72,37.04,02-Nov-2015,280.61,11.25,321.17,-7.42,24-Nov-2015,297.33,4.94,26-Nov-2015,293.8,348,0.45,24.86,-12.93
INDUSINDBK,28-Oct-2004,36.65,28.9,15-Feb-2005,57.8,6.49,62.25,-5.14,08-Mar-2005,59.05,3.75,09-Mar-2005,59.5,507,0.45,-17.56,-12.86
DHARMAJ,29-Mar-2023,140.35,47.3,03-Nov-2023,253.6,6.88,266.3,0.68,28-Nov-2023,268.1,6.89,29-Nov-2023,271.75,239,0.45,10.08,-13.03
SUNDARMFIN,24-Mar-2020,1047.9,38.36,26-Nov-2020,1849.2,8.34,1908.9,0.48,18-Dec-2020,1918.1,4.93,21-Dec-2020,1918.1,3940,0.45,17.3,-11.1
PRINCEPIPE,22-May-2020,74.38,58.89,23-Oct-2020,236.9,6.85,245.89,5.67,13-Nov-2020,259.84,7.67,14-Nov-2020,262.02,220,0.45,217.83,150.82
ARIHANTCAP,04-Mar-2025,59.23,48.9,29-Jul-2025,101.4,5.47,118.91,-8.26,20-Aug-2025,109.09,4.38,21-Aug-2025,110.54,1033,0.45,-27.71,-9.73
KIRLFER,04-Jul-2022,189.0,30.26,17-Oct-2022,287.55,10.66,308.9,-4.06,09-Nov-2022,296.35,3.81,10-Nov-2022,297.0,744,0.45,54.93,40.45
ANUP,12-Apr-2021,267.83,32.21,18-Aug-2021,488.39,7.61,500.12,1.53,09-Sep-2021,507.78,3.17,13-Sep-2021,511.3,622,0.45,-5.08,-11.84
UNOMINDA,23-Mar-2020,107.05,49.04,14-Dec-2020,202.65,6.49,221.85,-8.16,05-Jan-2021,203.75,4.41,06-Jan-2021,204.95,3396,0.45,199.32,149.72
JAMNAAUTO,28-Mar-2023,94.7,26.99,09-Aug-2023,116.7,7.84,130.6,-8.61,31-Aug-2023,119.35,5.89,01-Sep-2023,120.55,3076,0.45,4.45,-7.92
APOLLOHOSP,06-Jan-2011,453.15,20.9,07-Oct-2011,519.8,5.89,572.9,-8.33,01-Nov-2011,525.15,3.09,02-Nov-2011,522.95,2152,0.45,49.74,1.26
PNB,29-Apr-2005,67.28,32.35,25-Nov-2005,89.21,8.06,99.45,-9.67,16-Dec-2005,89.83,4.09,19-Dec-2005,90.19,238,0.45,7.2,-4.01
ALKEM,11-Aug-2017,1705.75,22.86,14-Nov-2017,2020.5,3.49,2211.3,-4.78,05-Dec-2017,2105.5,8.64,06-Dec-2017,2098.0,481,0.45,-9.59,0.29
KDDL,20-Jun-2022,608.44,43.06,13-Sep-2022,960.2,10.04,1096.74,-6.05,04-Oct-2022,1030.43,3.07,06-Oct-2022,1061.41,1601,0.44,89.94,-5.15
RVNL,02-Nov-2020,18.1,21.65,04-Feb-2021,32.55,8.6,34.9,-6.16,25-Feb-2021,32.75,3.1,26-Feb-2021,31.95,465,0.44,-2.82,-0.63
TATACONSUM,20-Dec-2024,889.45,27.26,26-Aug-2025,1105.3,3.88,1246.05,-8.81,17-Sep-2025,1136.3,3.54,18-Sep-2025,1136.3,5599,0.44,-12.6,-0.4
HAVELLS,21-Nov-2016,311.4,31.15,19-Apr-2017,502.15,5.27,502.15,2.18,11-May-2017,513.1,6.2,12-May-2017,510.05,3048,0.44,6.7,-6.65
ABREL,24-Feb-2023,606.4,35.32,13-Jun-2023,878.3,10.84,1009.85,-8.05,05-Jul-2023,928.55,6.12,06-Jul-2023,928.0,927,0.44,139.97,14.42
SPMLINFRA,17-Mar-2025,143.28,48.06,19-Jun-2025,251.8,6.8,297.05,-7.83,10-Jul-2025,273.78,14.59,11-Jul-2025,279.5,2584,0.44,-25.96,-12.2
