symbol,mode,ipo_short_window,series_hash,split_cut,hist_bars,left_rim_date,left_rim_level,trough_date,trough_close,depth_pct,base_len_bars,trough_pos,fit_r2,fit_curvature,vertex_frac,flat_frac,vol_ratio,obv_gain,obv_filter_pass,base_qualify_date,tv20_cr_at_q,shelf_start_date,shelf_high,shelf_low,shelf_range_pct,shelf_S,shelf_ok_s20,shelf_ok_s30,ath_before_breakout,dist_to_ath_pct,ath_ge_095,ath_new_high,trigger_date,trigger_close,vol_multiple,volx_ge_5,volx_ge_9,days_q_to_trigger,trigger_day_move_pct,tv20_cr_at_trigger,entry_date,entry_open,pattern_quality,info_fwd60_pct,info_fwd120_pct,info_fwd250_pct,info_st73_exit_date,info_st73_ret_pct,info_st73_bars_held,info_st73_still_open,info_mfe_250_pct,info_mae_250_pct
DOLATALGO,L120,0,cb01787a48bc,0,468,2020-08-24,61.79,2020-11-06,43.39,29.78,120,0.513,0.721,7.754e-05,0.469,0.442,3.547,0.3664,1,2021-02-01,2.0,2021-06-17,77.33,70.61,8.69,15,1,0,80.07,10.28,1,1,2021-07-08,88.3,20.14,1,1,107,14.76,2.35,2021-07-09,88.95,0.5246,4.25,0.52,-25.8,2021-08-20,12.15,29,0,42.1,-32.11
DSSL,L120,0,a08789adcc5f,0,4068,2023-10-31,800.0,2023-11-30,596.4,25.45,120,0.311,0.717,6.508e-05,0.377,0.425,0.945,0.5686,0,2024-03-28,2.56,2024-07-23,1359.9,1207.65,11.2,15,1,0,1440.95,-0.28,1,0,2024-08-13,1436.9,22.29,1,1,92,13.74,3.81,2024-08-14,1469.95,0.2303,-10.22,-17.57,-29.15,2024-10-07,-11.22,37,0,18.16,-36.94
DWARKESH,L120,0,711a5e416abe,0,239,2005-02-28,18.69,2005-06-10,12.88,31.09,120,0.697,0.705,7.584e-05,0.534,0.467,0.691,0.5671,0,2005-08-02,2.07,2005-11-28,20.69,18.42,10.97,15,0,0,22.7,-3.39,1,0,2005-12-19,21.93,22.72,1,1,93,8.51,0.88,2005-12-20,21.6,0.2754,8.94,-50.51,-58.7,2006-05-03,10.05,89,0,42.41,-61.11
DWARKESH,L120,0,711a5e416abe,0,3002,2016-08-03,36.08,2016-11-17,22.57,37.44,120,0.622,0.719,8.502e-05,0.377,0.575,1.531,0.5828,1,2017-01-19,30.08,2017-02-09,42.33,39.66,6.31,15,0,0,44.67,-4.41,1,0,2017-03-03,42.7,5.41,1,0,29,7.67,10.47,2017-03-06,42.98,0.5236,2.68,52.98,-34.97,2017-05-30,-1.54,58,0,87.06,-37.88
DWARKESH,VAR,1,711a5e416abe,0,239,2005-02-28,18.69,2005-06-10,12.88,31.09,104,0.699,0.702,9.019e-05,0.539,0.538,1.231,0.5909,1,2005-07-25,3.01,2005-11-28,20.69,18.42,10.97,15,0,0,22.7,-3.39,1,0,2005-12-19,21.93,22.72,1,1,98,8.51,0.88,2005-12-20,21.6,0.3421,8.94,-50.51,-58.7,2006-05-03,10.05,89,0,42.41,-61.11
DYNAMATECH,L120,0,d9818e3a4a3e,0,4607,2024-12-24,8736.4,2025-03-17,5738.9,34.31,120,0.605,0.831,5.351e-05,0.686,0.475,1.138,0.2722,0,2025-05-28,6.61,2025-10-16,8526.0,7679.0,9.93,15,1,0,8937.7,1.38,1,1,2025-11-10,9061.0,6.09,1,0,113,6.27,15.31,2025-11-11,8670.5,0.5064,2.05,43.07,32.63,2025-12-05,-2.21,19,0,48.49,-11.5
DYNAMATECH,VAR,0,d9818e3a4a3e,0,4607,2024-12-24,8736.4,2025-03-17,5738.9,34.31,95,0.606,0.899,7.937e-05,0.687,0.6,1.288,0.3104,1,2025-05-14,5.54,2025-10-16,8526.0,7679.0,9.93,15,1,0,8937.7,1.38,1,1,2025-11-10,9061.0,6.09,1,0,123,6.27,15.31,2025-11-11,8670.5,0.6892,2.05,43.07,32.63,2025-12-05,-2.21,19,0,48.49,-11.5
EICHERMOT,VAR,0,98c570a06304,0,3319,2015-07-21,2134.85,2015-11-16,1526.2,28.51,145,0.549,0.709,2.485e-05,0.691,0.414,0.736,0.1628,0,2016-02-18,9.28,2016-07-07,2033.95,1945.15,4.37,15,1,1,2134.85,-1.16,1,0,2016-07-28,2110.0,5.12,1,0,108,3.74,5.23,2016-07-29,2159.9,0.3022,13.39,5.27,44.24,2016-11-09,8.02,68,0,47.25,-9.58
EMAMILTD,L120,0,7762c4ed065d,0,4426,2024-01-01,572.7,2024-03-15,423.05,26.13,120,0.521,0.721,8.991e-05,0.469,0.4,1.189,0.5928,0,2024-06-11,45.23,2024-06-18,749.5,686.85,8.36,15,1,0,749.5,3.68,1,1,2024-07-09,777.05,5.9,1,0,19,3.68,47.26,2024-07-10,790.0,0.3952,-5.97,-22.97,-24.41,2024-09-16,-4.82,47,0,8.86,-35.73
EMAMILTD,VAR,0,7762c4ed065d,0,1220,2010-10-13,169.99,2011-03-15,118.49,30.3,151,0.7,0.753,3.302e-05,0.623,0.437,1.296,0.5653,1,2011-05-20,2.8,2011-06-21,167.92,149.92,10.72,15,1,0,169.99,1.66,1,1,2011-07-12,172.82,6.4,1,0,37,3.58,1.61,2011-07-13,174.54,0.3161,-21.68,-37.54,-5.36,2011-08-08,-12.26,19,0,4.66,-40.44
EMAMILTD,VAR,0,7762c4ed065d,0,4426,2024-01-01,572.7,2024-03-15,423.05,26.13,90,0.596,0.866,9.985e-05,0.591,0.533,1.066,0.366,0,2024-05-13,51.25,2024-06-18,749.5,686.85,8.36,15,1,0,749.5,3.68,1,1,2024-07-09,777.05,5.9,1,0,40,3.68,47.26,2024-07-10,790.0,0.5727,-5.97,-22.97,-24.41,2024-09-16,-4.82,47,0,8.86,-35.73
EMAMIREAL,L250,0,358250857089,0,698,2016-07-07,86.85,2016-11-21,54.0,37.82,250,0.41,0.737,2.936e-05,0.379,0.548,0.472,0.3597,0,2017-06-22,2.38,2017-10-09,186.9,179.0,4.23,15,1,1,195.65,0.64,1,1,2017-11-01,196.9,8.6,1,0,88,10.0,1.3,2017-11-02,201.05,0.498,68.52,52.7,-22.83,2018-02-02,40.94,65,0,101.94,-40.06
EMCURE,L120,0,b41fd51d8b1a,0,370,2025-01-02,1478.2,2025-04-09,905.6,38.74,120,0.697,0.72,9.408e-05,0.606,0.517,1.186,0.547,0,2025-06-04,12.56,2025-12-12,1438.6,1364.5,5.15,15,1,1,1526.6,-2.43,1,0,2026-01-05,1489.5,5.02,1,0,147,4.1,15.2,2026-01-06,1487.0,0.3751,4.38,23.68,32.24,2026-08-25,24.2,157,0,37.73,-7.13
ESCORTS,L120,0,08faefd65744,0,4167,2021-02-10,1442.4,2021-04-30,1118.6,22.45,120,0.445,0.77,2.941e-05,0.697,0.642,1.32,-0.0049,0,2021-08-04,67.5,2021-10-27,1640.5,1496.9,8.75,15,0,0,1640.5,9.9,1,1,2021-11-18,1802.85,11.2,1,1,72,10.54,284.55,2021-11-22,1811.0,0.4553,1.57,-9.15,22.16,2022-02-07,0.71,55,0,23.47,-27.85
ESCORTS,L180,0,08faefd65744,0,4167,2021-02-10,1442.4,2021-04-30,1118.6,22.45,180,0.369,0.713,2.875e-05,0.472,0.467,1.118,0.1141,0,2021-10-12,162.47,2021-10-27,1640.5,1496.9,8.75,15,0,0,1640.5,9.9,1,1,2021-11-18,1802.85,11.2,1,1,25,10.54,284.55,2021-11-22,1811.0,0.2281,1.57,-9.15,22.16,2022-02-07,0.71,55,0,23.47,-27.85
ESCORTS,VAR,0,08faefd65744,0,4167,2021-02-10,1442.4,2021-04-30,1118.6,22.45,106,0.495,0.785,3.794e-05,0.699,0.613,1.383,-0.0335,0,2021-07-15,89.18,2021-10-27,1640.5,1496.9,8.75,15,0,0,1640.5,9.9,1,1,2021-11-18,1802.85,11.2,1,1,85,10.54,284.55,2021-11-22,1811.0,0.5258,1.57,-9.15,22.16,2022-02-07,0.71,55,0,23.47,-27.85
ETERNAL,L120,0,eca1597f82e2,0,967,2024-12-06,302.95,2025-03-13,201.43,33.51,120,0.672,0.758,5.175e-05,0.691,0.575,1.006,0.2272,0,2025-05-15,944.44,2025-07-01,271.7,257.2,5.34,15,1,1,302.95,-1.04,1,0,2025-07-22,299.8,14.22,1,1,48,10.34,497.48,2025-07-23,298.0,0.4149,14.98,0.42,3.27,2025-10-23,10.18,63,0,23.64,-28.66
ETERNAL,VAR,0,eca1597f82e2,0,967,2024-12-06,302.95,2025-03-13,201.43,33.51,99,0.694,0.838,8.272e-05,0.675,0.657,1.269,0.2482,1,2025-05-02,1077.74,2025-07-01,271.7,257.2,5.34,15,1,1,302.95,-1.04,1,0,2025-07-22,299.8,14.22,1,1,57,10.34,497.48,2025-07-23,298.0,0.5107,14.98,0.42,3.27,2025-10-23,10.18,63,0,23.64,-28.66
EVERESTIND-BE,L120,0,ac6feb3cf440,0,4377,2022-03-23,771.7,2022-06-20,508.95,34.05,120,0.504,0.839,8.624e-05,0.517,0.583,0.456,0.3202,0,2022-09-14,2.11,2022-09-14,707.1,647.95,8.37,15,1,1,771.7,3.34,1,1,2022-10-06,797.5,27.23,1,1,15,14.21,1.91,2022-10-07,801.5,0.706,-3.13,-8.0,38.96,2022-11-10,-1.68,23,0,55.21,-13.04
EVERESTIND-BE,L180,0,ac6feb3cf440,0,3176,2016-10-06,273.0,2016-12-26,185.1,32.2,180,0.313,0.883,5.556e-05,0.409,0.444,1.926,0.266,1,2017-06-23,2.32,2017-11-07,480.5,447.6,6.85,15,1,0,497.3,8.67,1,1,2017-11-28,540.4,29.69,1,1,106,13.26,2.24,2017-11-29,548.65,0.4875,-0.02,-16.3,-13.03,2018-01-31,0.84,44,0,16.28,-31.54
EVERESTIND-BE,L180,0,ac6feb3cf440,0,4545,2022-03-23,771.7,2022-06-20,508.95,34.05,180,0.48,0.7,4.337e-05,0.43,0.433,0.385,0.3326,0,2022-11-03,5.7,2023-05-22,855.8,802.4,6.24,15,1,0,937.45,-4.38,1,0,2023-06-12,896.4,9.01,1,1,149,4.74,0.83,2023-06-13,896.4,0.404,35.17,29.3,23.51,2023-07-10,-4.66,19,0,61.86,-7.12
EVERESTIND-BE,L250,0,ac6feb3cf440,0,3176,2016-07-04,318.1,2016-12-26,185.1,41.81,250,0.506,0.786,3.278e-05,0.516,0.4,2.737,0.266,1,2017-06-23,2.32,2017-11-07,480.5,447.6,6.85,15,1,0,497.3,8.67,1,1,2017-11-28,540.4,29.69,1,1,106,13.26,2.24,2017-11-29,548.65,0.5608,-0.02,-16.3,-13.03,2018-01-31,0.84,44,0,16.28,-31.54
EVERESTIND-BE,VAR,0,ac6feb3cf440,0,4377,2022-03-23,771.7,2022-06-20,508.95,34.05,120,0.504,0.839,8.624e-05,0.517,0.583,0.456,0.3202,0,2022-09-14,2.11,2022-09-14,707.1,647.95,8.37,15,1,1,771.7,3.34,1,1,2022-10-06,797.5,27.23,1,1,15,14.21,1.91,2022-10-07,801.5,0.706,-3.13,-8.0,38.96,2022-11-10,-1.68,23,0,55.21,-13.04
