cell,exit,hard_stop,time_stop,shelf_S,vol_K,ath,obv_filter,market_gate,n_events,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,sharpe_med,trades,win_rate,avg_win,avg_loss,expectancy,max_loss_streak,trades_per_yr,final_med
ST_7_3|h0|t0|s15|k2|a0.90|o0|g0,ST_7_3,0,0,15,2,0.9,0,0,1020,10,11.07,11.01,11.12,-22.69,-22.69,0.487,0.954,647,40.6,26.55,-9.13,5.373,14,29.8,9740458.0
ST_7_3|h0|t0|s15|k2|a0.90|o1|g1,ST_7_3,0,0,15,2,0.9,1,1,361,10,8.57,8.57,8.57,-15.56,-15.56,0.551,1.095,298,39.6,29.72,-9.29,6.159,9,13.7,5950712.0
ST_7_3|h0|t0|s15|k2|a0.95|o1|g0,ST_7_3,0,0,15,2,0.95,1,0,279,10,8.06,8.06,8.06,-16.99,-16.99,0.474,1.141,269,39.4,29.98,-9.62,5.984,14,12.4,5370582.0
ST_7_3|h0|t0|s15|k2|a1.00|o0|g1,ST_7_3,0,0,15,2,1.0,0,1,559,10,8.66,8.66,8.72,-15.34,-15.34,0.564,0.885,411,38.9,27.46,-9.31,5.004,13,19.0,6056286.0
ST_7_3|h0|t0|s15|k3|a0.90|o0|g0,ST_7_3,0,0,15,3,0.9,0,0,889,10,10.82,10.82,10.83,-20.89,-20.89,0.518,0.902,583,41.2,27.25,-9.37,5.704,11,26.9,9291030.0
ST_7_3|h0|t0|s15|k3|a0.90|o1|g1,ST_7_3,0,0,15,3,0.9,1,1,312,10,7.77,7.77,7.77,-17.07,-17.07,0.455,1.07,266,39.1,29.15,-9.62,5.539,9,12.3,5067415.0
ST_7_3|h0|t0|s15|k3|a0.95|o1|g0,ST_7_3,0,0,15,3,0.95,1,0,238,10,7.75,7.75,7.75,-15.83,-15.83,0.49,1.181,235,40.9,29.34,-10.13,5.994,11,10.8,5049000.0
ST_7_3|h0|t0|s15|k3|a1.00|o0|g1,ST_7_3,0,0,15,3,1.0,0,1,473,10,8.05,8.05,8.05,-16.97,-16.97,0.474,0.918,365,39.2,27.38,-9.77,4.788,11,16.8,5359467.0
ST_7_3|h0|t0|s15|k5|a0.90|o0|g0,ST_7_3,0,0,15,5,0.9,0,0,628,10,9.64,9.58,9.69,-25.24,-25.95,0.383,0.871,471,40.0,29.6,-10.14,5.81,11,21.7,7358455.0
ST_7_3|h0|t0|s15|k5|a0.90|o1|g1,ST_7_3,0,0,15,5,0.9,1,1,227,10,7.47,7.47,7.47,-14.66,-14.66,0.509,1.178,202,41.6,29.68,-10.76,6.053,12,9.3,4768332.0
ST_7_3|h0|t0|s15|k5|a0.95|o1|g0,ST_7_3,0,0,15,5,0.95,1,0,179,10,7.81,7.81,7.81,-11.67,-11.67,0.669,1.406,179,43.6,31.47,-11.15,7.423,8,8.3,5109721.0
ST_7_3|h0|t0|s15|k5|a1.00|o0|g1,ST_7_3,0,0,15,5,1.0,0,1,343,10,7.65,7.65,7.65,-16.4,-16.4,0.466,0.985,291,40.9,28.11,-10.62,5.219,12,13.4,4948024.0
ST_7_3|h0|t0|s20|k2|a0.90|o0|g0,ST_7_3,0,0,20,2,0.9,0,0,881,10,10.34,10.28,10.38,-23.91,-24.91,0.432,0.935,577,40.4,26.41,-8.78,5.415,14,26.6,8435557.0
ST_7_3|h0|t0|s20|k2|a0.90|o1|g1,ST_7_3,0,0,20,2,0.9,1,1,289,10,8.79,8.79,8.79,-16.85,-16.85,0.521,1.215,246,41.1,31.59,-8.94,7.702,7,11.3,6211581.0
ST_7_3|h0|t0|s20|k2|a0.95|o1|g0,ST_7_3,0,0,20,2,0.95,1,0,228,10,8.64,8.64,8.64,-13.91,-13.91,0.621,1.298,224,41.1,33.86,-9.94,8.049,13,10.3,6034185.0
ST_7_3|h0|t0|s20|k2|a1.00|o0|g1,ST_7_3,0,0,20,2,1.0,0,1,462,10,8.16,8.16,8.16,-20.02,-20.02,0.407,0.966,352,37.2,29.79,-9.0,5.436,14,16.2,5478916.0
ST_7_3|h0|t0|s20|k3|a0.90|o0|g0,ST_7_3,0,0,20,3,0.9,0,0,772,10,9.59,9.5,9.64,-28.11,-28.88,0.341,0.888,536,39.0,27.51,-9.05,5.207,11,24.7,7286058.0
ST_7_3|h0|t0|s20|k3|a0.90|o1|g1,ST_7_3,0,0,20,3,0.9,1,1,254,10,7.9,7.9,7.9,-15.67,-15.67,0.504,1.192,223,39.5,31.21,-9.49,6.57,10,10.3,5200882.0
ST_7_3|h0|t0|s20|k3|a0.95|o1|g0,ST_7_3,0,0,20,3,0.95,1,0,197,10,8.16,8.16,8.16,-13.49,-13.49,0.605,1.362,196,41.3,33.9,-10.63,7.775,10,9.0,5478354.0
ST_7_3|h0|t0|s20|k3|a1.00|o0|g1,ST_7_3,0,0,20,3,1.0,0,1,389,10,7.9,7.9,7.9,-22.44,-22.44,0.352,0.967,313,36.1,32.52,-9.48,5.685,12,14.4,5198832.0
ST_7_3|h0|t0|s20|k5|a0.90|o0|g0,ST_7_3,0,0,20,5,0.9,0,0,541,10,10.23,10.23,10.23,-25.07,-25.08,0.408,1.023,423,40.9,31.1,-9.59,7.051,13,19.5,8272496.0
ST_7_3|h0|t0|s20|k5|a0.90|o1|g1,ST_7_3,0,0,20,5,0.9,1,1,188,10,8.57,8.57,8.57,-12.02,-12.02,0.713,1.426,169,46.2,32.35,-9.99,9.551,8,7.8,5949234.0
ST_7_3|h0|t0|s20|k5|a0.95|o1|g0,ST_7_3,0,0,20,5,0.95,1,0,150,10,8.51,8.51,8.51,-9.87,-9.87,0.862,1.62,150,46.7,34.88,-10.69,10.579,7,6.9,5873897.0
ST_7_3|h0|t0|s20|k5|a1.00|o0|g1,ST_7_3,0,0,20,5,1.0,0,1,280,10,7.52,7.52,7.52,-19.64,-19.64,0.383,1.124,237,40.1,29.88,-10.09,5.927,10,10.9,4815468.0
ST_7_3|h0|t120|s15|k2|a0.90|o0|g0,ST_7_3,0,120,15,2,0.9,0,0,1020,10,10.81,10.72,10.82,-22.64,-22.64,0.478,0.965,662,40.9,25.33,-9.09,4.998,15,30.6,9269601.0
ST_7_3|h0|t120|s15|k2|a0.90|o1|g1,ST_7_3,0,120,15,2,0.9,1,1,361,10,8.24,8.24,8.24,-15.72,-15.72,0.524,1.088,301,40.9,27.06,-9.3,5.558,9,13.9,5571983.0
ST_7_3|h0|t120|s15|k2|a0.95|o1|g0,ST_7_3,0,120,15,2,0.95,1,0,279,10,7.43,7.43,7.43,-17.62,-17.62,0.422,1.106,272,39.3,27.18,-9.73,4.791,14,12.5,4730869.0
ST_7_3|h0|t120|s15|k2|a1.00|o0|g1,ST_7_3,0,120,15,2,1.0,0,1,559,10,8.16,8.16,8.16,-15.1,-15.1,0.54,0.857,412,38.8,25.83,-9.26,4.366,13,19.0,5480400.0
ST_7_3|h0|t120|s15|k3|a0.90|o0|g0,ST_7_3,0,120,15,3,0.9,0,0,889,10,11.07,11.07,11.07,-21.72,-21.72,0.51,0.952,595,41.2,26.94,-9.23,5.662,13,27.4,9756978.0
ST_7_3|h0|t120|s15|k3|a0.90|o1|g1,ST_7_3,0,120,15,3,0.9,1,1,312,10,7.38,7.38,7.38,-18.54,-18.54,0.398,1.049,271,39.5,26.98,-9.71,4.775,9,12.5,4685151.0
ST_7_3|h0|t120|s15|k3|a0.95|o1|g0,ST_7_3,0,120,15,3,0.95,1,0,238,10,7.35,7.35,7.35,-16.51,-16.51,0.445,1.171,238,40.8,27.5,-10.33,5.086,11,11.0,4654950.0
ST_7_3|h0|t120|s15|k3|a1.00|o0|g1,ST_7_3,0,120,15,3,1.0,0,1,473,10,7.68,7.68,7.73,-16.95,-16.95,0.453,0.899,370,38.9,26.11,-9.78,4.189,12,17.1,4977378.0
ST_7_3|h0|t120|s15|k5|a0.90|o0|g0,ST_7_3,0,120,15,5,0.9,0,0,628,10,9.32,9.31,9.37,-20.42,-20.42,0.456,0.941,482,40.0,27.95,-9.98,5.211,11,22.2,6908154.0
ST_7_3|h0|t120|s15|k5|a0.90|o1|g1,ST_7_3,0,120,15,5,0.9,1,1,227,10,7.17,7.17,7.17,-14.03,-14.03,0.511,1.182,203,41.4,27.92,-10.74,5.255,11,9.4,4488460.0
ST_7_3|h0|t120|s15|k5|a0.95|o1|g0,ST_7_3,0,120,15,5,0.95,1,0,179,10,7.47,7.47,7.47,-11.46,-11.46,0.652,1.426,179,43.6,29.2,-11.15,6.435,8,8.3,4771134.0
ST_7_3|h0|t120|s15|k5|a1.00|o0|g1,ST_7_3,0,120,15,5,1.0,0,1,343,10,7.1,7.1,7.1,-15.49,-15.49,0.458,0.941,294,40.1,26.56,-10.68,4.27,12,13.6,4427254.0
ST_7_3|h0|t120|s20|k2|a0.90|o0|g0,ST_7_3,0,120,20,2,0.9,0,0,881,10,10.29,10.17,10.4,-21.89,-23.62,0.469,0.998,596,40.6,25.46,-8.76,5.137,14,27.5,8352756.0
ST_7_3|h0|t120|s20|k2|a0.90|o1|g1,ST_7_3,0,120,20,2,0.9,1,1,289,10,8.34,8.34,8.34,-16.74,-16.74,0.498,1.204,252,40.5,29.69,-9.04,6.637,7,11.6,5687684.0
ST_7_3|h0|t120|s20|k2|a0.95|o1|g0,ST_7_3,0,120,20,2,0.95,1,0,228,10,8.07,8.07,8.07,-13.92,-13.92,0.58,1.29,228,40.4,31.32,-10.07,6.629,12,10.5,5383751.0
ST_7_3|h0|t120|s20|k2|a1.00|o0|g1,ST_7_3,0,120,20,2,1.0,0,1,462,10,7.82,7.82,7.82,-19.64,-19.64,0.398,0.958,359,36.5,28.8,-8.99,4.8,14,16.6,5123808.0
ST_7_3|h0|t120|s20|k3|a0.90|o0|g0,ST_7_3,0,120,20,3,0.9,0,0,772,10,9.77,9.69,9.81,-29.38,-30.27,0.332,0.918,552,39.9,26.28,-8.99,5.075,11,25.5,7552212.0
ST_7_3|h0|t120|s20|k3|a0.90|o1|g1,ST_7_3,0,120,20,3,0.9,1,1,254,10,7.59,7.59,7.59,-15.33,-15.33,0.495,1.202,227,38.8,29.78,-9.37,5.808,10,10.5,4892515.0
ST_7_3|h0|t120|s20|k3|a0.95|o1|g0,ST_7_3,0,120,20,3,0.95,1,0,197,10,7.78,7.78,7.78,-12.25,-12.25,0.635,1.39,197,41.1,31.56,-10.59,6.738,9,9.1,5077557.0
ST_7_3|h0|t120|s20|k3|a1.00|o0|g1,ST_7_3,0,120,20,3,1.0,0,1,389,10,7.14,7.14,7.14,-23.21,-23.21,0.308,0.912,321,35.2,29.72,-9.42,4.361,12,14.8,4465563.0
ST_7_3|h0|t120|s20|k5|a0.90|o0|g0,ST_7_3,0,120,20,5,0.9,0,0,541,10,9.83,9.82,9.85,-23.52,-23.9,0.418,1.059,434,41.3,28.58,-9.53,6.209,14,20.1,7641534.0
ST_7_3|h0|t120|s20|k5|a0.90|o1|g1,ST_7_3,0,120,20,5,0.9,1,1,188,10,8.25,8.25,8.25,-11.16,-11.16,0.74,1.443,171,45.6,30.54,-10.02,8.482,8,7.9,5585126.0
ST_7_3|h0|t120|s20|k5|a0.95|o1|g0,ST_7_3,0,120,20,5,0.95,1,0,150,10,8.08,8.08,8.08,-9.61,-9.61,0.841,1.66,150,46.7,31.67,-10.69,9.081,7,6.9,5395442.0
ST_7_3|h0|t120|s20|k5|a1.00|o0|g1,ST_7_3,0,120,20,5,1.0,0,1,280,10,7.1,7.1,7.1,-19.7,-19.7,0.36,1.102,242,40.1,27.59,-10.2,4.943,10,11.2,4423806.0
ST_7_3|h1|t0|s15|k2|a0.90|o0|g0,ST_7_3,1,0,15,2,0.9,0,0,1020,10,11.07,11.07,11.09,-18.14,-18.15,0.611,1.002,700,37.3,25.82,-7.68,4.826,15,32.3,9766462.0
ST_7_3|h1|t0|s15|k2|a0.90|o1|g1,ST_7_3,1,0,15,2,0.9,1,1,361,10,8.62,8.62,8.62,-15.1,-15.1,0.571,1.186,307,36.2,29.86,-7.85,5.783,9,14.2,6005605.0
ST_7_3|h1|t0|s15|k2|a0.95|o1|g0,ST_7_3,1,0,15,2,0.95,1,0,279,10,7.54,7.54,7.54,-17.89,-17.89,0.422,1.179,278,34.2,29.36,-8.06,4.728,16,12.8,4840892.0
ST_7_3|h1|t0|s15|k2|a1.00|o0|g1,ST_7_3,1,0,15,2,1.0,0,1,559,10,8.44,8.44,8.46,-13.74,-13.74,0.614,0.912,432,35.9,26.54,-8.04,4.371,14,19.9,5795793.0
ST_7_3|h1|t0|s15|k3|a0.90|o0|g0,ST_7_3,1,0,15,3,0.9,0,0,889,10,10.04,10.04,10.06,-18.5,-18.5,0.542,0.901,648,36.1,25.93,-7.71,4.437,13,29.9,7958715.0
ST_7_3|h1|t0|s15|k3|a0.90|o1|g1,ST_7_3,1,0,15,3,0.9,1,1,312,10,7.74,7.74,7.74,-15.56,-15.56,0.498,1.16,273,34.8,29.37,-7.88,5.079,10,12.6,5038840.0
ST_7_3|h1|t0|s15|k3|a0.95|o1|g0,ST_7_3,1,0,15,3,0.95,1,0,238,10,7.08,7.08,7.08,-12.77,-12.77,0.554,1.233,238,34.9,28.67,-8.46,4.49,12,11.0,4406575.0
ST_7_3|h1|t0|s15|k3|a1.00|o0|g1,ST_7_3,1,0,15,3,1.0,0,1,473,10,7.97,7.97,7.97,-14.84,-14.84,0.537,0.977,378,35.4,26.94,-8.18,4.271,12,17.4,5271212.0
ST_7_3|h1|t0|s15|k5|a0.90|o0|g0,ST_7_3,1,0,15,5,0.9,0,0,628,10,9.68,9.64,9.72,-18.3,-18.77,0.529,1.001,502,35.8,29.18,-8.13,5.231,11,23.1,7411288.0
ST_7_3|h1|t0|s15|k5|a0.90|o1|g1,ST_7_3,1,0,15,5,0.9,1,1,227,10,7.37,7.37,7.37,-10.98,-10.98,0.671,1.297,203,36.5,29.35,-8.44,5.337,16,9.4,4673998.0
ST_7_3|h1|t0|s15|k5|a0.95|o1|g0,ST_7_3,1,0,15,5,0.95,1,0,179,10,7.62,7.62,7.62,-9.52,-9.52,0.8,1.523,179,39.1,31.18,-9.13,6.632,9,8.3,4919505.0
ST_7_3|h1|t0|s15|k5|a1.00|o0|g1,ST_7_3,1,0,15,5,1.0,0,1,343,10,7.92,7.92,7.92,-13.61,-13.61,0.582,1.091,296,36.5,29.35,-8.64,5.221,12,13.6,5223954.0
ST_7_3|h1|t0|s20|k2|a0.90|o0|g0,ST_7_3,1,0,20,2,0.9,0,0,881,10,9.21,9.12,9.23,-28.75,-29.25,0.321,0.938,631,34.9,25.93,-7.53,4.131,14,29.1,6759096.0
ST_7_3|h1|t0|s20|k2|a0.90|o1|g1,ST_7_3,1,0,20,2,0.9,1,1,289,10,8.55,8.55,8.55,-14.03,-14.03,0.609,1.272,252,37.3,31.2,-7.53,6.916,8,11.6,5924934.0
ST_7_3|h1|t0|s20|k2|a0.95|o1|g0,ST_7_3,1,0,20,2,0.95,1,0,228,10,8.03,8.03,8.03,-11.1,-11.1,0.723,1.366,228,35.1,33.28,-8.09,6.427,17,10.5,5335036.0
ST_7_3|h1|t0|s20|k2|a1.00|o0|g1,ST_7_3,1,0,20,2,1.0,0,1,462,10,8.13,8.13,8.13,-17.78,-17.78,0.457,1.019,366,33.3,30.92,-7.94,5.018,17,16.9,5447692.0
ST_7_3|h1|t0|s20|k3|a0.90|o0|g0,ST_7_3,1,0,20,3,0.9,0,0,772,10,9.16,9.06,9.16,-28.61,-30.03,0.32,0.894,581,34.1,27.84,-7.69,4.422,15,26.8,6695503.0
ST_7_3|h1|t0|s20|k3|a0.90|o1|g1,ST_7_3,1,0,20,3,0.9,1,1,254,10,7.48,7.48,7.48,-11.14,-11.14,0.671,1.243,228,34.2,31.07,-7.97,5.389,14,10.5,4779956.0
ST_7_3|h1|t0|s20|k3|a0.95|o1|g0,ST_7_3,1,0,20,3,0.95,1,0,197,10,7.44,7.44,7.44,-7.69,-7.69,0.968,1.439,197,35.0,32.83,-8.63,5.893,17,9.1,4744457.0
ST_7_3|h1|t0|s20|k3|a1.00|o0|g1,ST_7_3,1,0,20,3,1.0,0,1,389,10,7.48,7.48,7.48,-18.26,-18.26,0.41,0.999,322,31.7,32.43,-8.17,4.689,15,14.8,4785234.0
ST_7_3|h1|t0|s20|k5|a0.90|o0|g0,ST_7_3,1,0,20,5,0.9,0,0,541,10,10.05,10.0,10.05,-24.26,-24.88,0.414,1.102,442,37.8,29.72,-8.01,6.242,14,20.4,7975744.0
ST_7_3|h1|t0|s20|k5|a0.90|o1|g1,ST_7_3,1,0,20,5,0.9,1,1,188,10,8.02,8.02,8.02,-9.23,-9.23,0.869,1.466,171,40.9,30.85,-8.36,7.693,9,7.9,5327495.0
ST_7_3|h1|t0|s20|k5|a0.95|o1|g0,ST_7_3,1,0,20,5,0.95,1,0,150,10,8.16,8.16,8.16,-7.27,-7.27,1.122,1.709,150,43.3,32.96,-8.99,9.189,7,6.9,5477893.0
ST_7_3|h1|t0|s20|k5|a1.00|o0|g1,ST_7_3,1,0,20,5,1.0,0,1,280,10,7.75,7.75,7.75,-17.14,-17.14,0.452,1.201,244,38.1,29.15,-8.5,5.852,9,11.3,5051692.0
ST_7_3|h1|t120|s15|k2|a0.90|o0|g0,ST_7_3,1,120,15,2,0.9,0,0,1020,10,10.94,10.92,10.95,-20.19,-20.25,0.542,1.015,706,38.2,24.52,-7.72,4.587,14,32.6,9505419.0
ST_7_3|h1|t120|s15|k2|a0.90|o1|g1,ST_7_3,1,120,15,2,0.9,1,1,361,10,8.03,8.03,8.03,-15.12,-15.12,0.531,1.15,311,36.3,27.07,-7.86,4.83,9,14.3,5335066.0
ST_7_3|h1|t120|s15|k2|a0.95|o1|g0,ST_7_3,1,120,15,2,0.95,1,0,279,10,7.02,7.02,7.02,-17.53,-17.53,0.401,1.154,278,34.2,26.7,-8.06,3.819,16,12.8,4358912.0
ST_7_3|h1|t120|s15|k2|a1.00|o0|g1,ST_7_3,1,120,15,2,1.0,0,1,559,10,7.9,7.89,7.91,-13.78,-13.78,0.573,0.883,433,35.9,24.65,-8.0,3.712,14,20.0,5202890.0
ST_7_3|h1|t120|s15|k3|a0.90|o0|g0,ST_7_3,1,120,15,3,0.9,0,0,889,10,9.81,9.79,9.81,-18.55,-18.55,0.529,0.913,656,36.6,24.78,-7.77,4.142,13,30.2,7608828.0
ST_7_3|h1|t120|s15|k3|a0.90|o1|g1,ST_7_3,1,120,15,3,0.9,1,1,312,10,7.28,7.28,7.28,-15.31,-15.31,0.475,1.146,275,34.9,26.94,-7.91,4.255,10,12.7,4588675.0
ST_7_3|h1|t120|s15|k3|a0.95|o1|g0,ST_7_3,1,120,15,3,0.95,1,0,238,10,6.8,6.8,6.8,-12.36,-12.36,0.55,1.247,238,34.9,26.95,-8.46,3.889,12,11.0,4166285.0
ST_7_3|h1|t120|s15|k3|a1.00|o0|g1,ST_7_3,1,120,15,3,1.0,0,1,473,10,7.53,7.53,7.53,-14.87,-14.87,0.506,0.952,382,35.1,25.55,-8.18,3.653,12,17.6,4824616.0
ST_7_3|h1|t120|s15|k5|a0.90|o0|g0,ST_7_3,1,120,15,5,0.9,0,0,628,10,9.27,9.24,9.32,-19.64,-20.06,0.472,0.993,514,36.0,27.41,-8.13,4.649,11,23.7,6846476.0
ST_7_3|h1|t120|s15|k5|a0.90|o1|g1,ST_7_3,1,120,15,5,0.9,1,1,227,10,7.1,7.1,7.1,-10.34,-10.34,0.687,1.301,203,36.5,27.61,-8.44,4.703,16,9.4,4431206.0
ST_7_3|h1|t120|s15|k5|a0.95|o1|g0,ST_7_3,1,120,15,5,0.95,1,0,179,10,7.34,7.34,7.34,-9.24,-9.24,0.794,1.547,179,39.1,29.14,-9.13,5.833,9,8.3,4646768.0
ST_7_3|h1|t120|s15|k5|a1.00|o0|g1,ST_7_3,1,120,15,5,1.0,0,1,343,10,7.51,7.51,7.51,-13.75,-13.75,0.546,1.062,298,36.6,27.23,-8.64,4.478,12,13.7,4814212.0
ST_7_3|h1|t120|s20|k2|a0.90|o0|g0,ST_7_3,1,120,20,2,0.9,0,0,881,10,8.99,8.92,9.06,-28.88,-30.15,0.311,0.946,646,34.7,25.22,-7.56,3.794,14,29.8,6469718.0
ST_7_3|h1|t120|s20|k2|a0.90|o1|g1,ST_7_3,1,120,20,2,0.9,1,1,289,10,8.07,8.07,8.07,-14.04,-14.04,0.575,1.262,256,36.7,28.9,-7.53,5.847,8,11.8,5381793.0
ST_7_3|h1|t120|s20|k2|a0.95|o1|g0,ST_7_3,1,120,20,2,0.95,1,0,228,10,7.62,7.62,7.62,-10.66,-10.66,0.714,1.381,228,35.1,30.63,-8.09,5.499,17,10.5,4915144.0
ST_7_3|h1|t120|s20|k2|a1.00|o0|g1,ST_7_3,1,120,20,2,1.0,0,1,462,10,7.61,7.61,7.61,-18.22,-18.22,0.418,1.007,368,33.4,28.29,-7.92,4.186,17,17.0,4905676.0
ST_7_3|h1|t120|s20|k3|a0.90|o0|g0,ST_7_3,1,120,20,3,0.9,0,0,772,10,8.77,8.53,8.77,-30.1,-33.43,0.291,0.885,593,34.2,26.28,-7.71,3.923,15,27.3,6192769.0
ST_7_3|h1|t120|s20|k3|a0.90|o1|g1,ST_7_3,1,120,20,3,0.9,1,1,254,10,7.13,7.13,7.13,-10.89,-10.89,0.655,1.253,228,34.2,28.88,-7.97,4.637,11,10.5,4451568.0
ST_7_3|h1|t120|s20|k3|a0.95|o1|g0,ST_7_3,1,120,20,3,0.95,1,0,197,10,7.11,7.11,7.11,-8.23,-8.23,0.865,1.469,197,35.0,30.41,-8.63,5.043,15,9.1,4439420.0
ST_7_3|h1|t120|s20|k3|a1.00|o0|g1,ST_7_3,1,120,20,3,1.0,0,1,389,10,6.84,6.84,6.84,-17.58,-17.58,0.389,0.969,326,31.3,29.43,-8.16,3.604,15,15.0,4199191.0
ST_7_3|h1|t120|s20|k5|a0.90|o0|g0,ST_7_3,1,120,20,5,0.9,0,0,541,10,9.51,9.5,9.51,-22.65,-22.73,0.42,1.091,455,37.6,27.82,-8.06,5.427,13,21.0,7174438.0
ST_7_3|h1|t120|s20|k5|a0.90|o1|g1,ST_7_3,1,120,20,5,0.9,1,1,188,10,7.77,7.77,7.77,-9.23,-9.23,0.842,1.49,171,40.9,29.15,-8.36,6.997,9,7.9,5071806.0
ST_7_3|h1|t120|s20|k5|a0.95|o1|g0,ST_7_3,1,120,20,5,0.95,1,0,150,10,7.79,7.79,7.79,-7.27,-7.27,1.071,1.745,150,43.3,30.07,-8.99,7.94,7,6.9,5084077.0
ST_7_3|h1|t120|s20|k5|a1.00|o0|g1,ST_7_3,1,120,20,5,1.0,0,1,280,10,7.27,7.27,7.27,-17.29,-17.29,0.421,1.174,247,37.7,26.83,-8.51,4.799,9,11.4,4584948.0
ST_10_3|h0|t0|s15|k2|a0.90|o0|g0,ST_10_3,0,0,15,2,0.9,0,0,1020,10,11.69,11.69,11.82,-23.36,-23.36,0.501,1.041,647,41.1,26.52,-8.7,5.778,11,29.8,11008073.0
ST_10_3|h0|t0|s15|k2|a0.90|o1|g1,ST_10_3,0,0,15,2,0.9,1,1,361,10,9.04,9.04,9.04,-16.65,-16.65,0.543,1.218,298,39.9,30.01,-8.71,6.752,8,13.7,6538446.0
ST_10_3|h0|t0|s15|k2|a0.95|o1|g0,ST_10_3,0,0,15,2,0.95,1,0,279,10,8.6,8.6,8.6,-16.6,-16.6,0.518,1.201,269,36.8,34.03,-9.08,6.784,14,12.4,5989574.0
ST_10_3|h0|t0|s15|k2|a1.00|o0|g1,ST_10_3,0,0,15,2,1.0,0,1,559,10,8.62,8.62,8.62,-15.48,-15.48,0.557,0.967,413,37.5,28.43,-9.12,4.969,15,19.0,6009095.0
ST_10_3|h0|t0|s15|k3|a0.90|o0|g0,ST_10_3,0,0,15,3,0.9,0,0,889,10,10.8,10.69,10.86,-21.33,-21.33,0.506,0.99,594,40.9,26.46,-8.91,5.58,11,27.4,9244622.0
ST_10_3|h0|t0|s15|k3|a0.90|o1|g1,ST_10_3,0,0,15,3,0.9,1,1,312,10,8.1,8.1,8.1,-17.35,-17.35,0.467,1.179,264,40.2,28.93,-9.33,6.032,8,12.2,5413954.0
ST_10_3|h0|t0|s15|k3|a0.95|o1|g0,ST_10_3,0,0,15,3,0.95,1,0,238,10,8.13,8.13,8.13,-17.3,-17.3,0.47,1.22,233,39.1,32.51,-9.84,6.7,11,10.7,5448154.0
ST_10_3|h0|t0|s15|k3|a1.00|o0|g1,ST_10_3,0,0,15,3,1.0,0,1,473,10,7.93,7.93,7.93,-16.58,-16.58,0.478,0.968,370,37.3,28.32,-9.51,4.602,14,17.1,5232816.0
ST_10_3|h0|t0|s15|k5|a0.90|o0|g0,ST_10_3,0,0,15,5,0.9,0,0,628,10,10.3,10.24,10.31,-18.75,-18.75,0.55,1.052,473,39.3,30.69,-9.43,6.341,11,21.8,8387458.0
ST_10_3|h0|t0|s15|k5|a0.90|o1|g1,ST_10_3,0,0,15,5,0.9,1,1,227,10,7.61,7.61,7.61,-15.04,-15.04,0.506,1.289,202,42.1,28.75,-10.16,6.213,9,9.3,4910601.0
ST_10_3|h0|t0|s15|k5|a0.95|o1|g0,ST_10_3,0,0,15,5,0.95,1,0,179,10,7.97,7.97,7.97,-11.75,-11.75,0.678,1.447,179,43.0,31.64,-10.52,7.617,12,8.3,5271404.0
ST_10_3|h0|t0|s15|k5|a1.00|o0|g1,ST_10_3,0,0,15,5,1.0,0,1,343,10,7.66,7.66,7.66,-16.14,-16.14,0.475,1.049,295,39.0,28.95,-10.12,5.111,12,13.6,4961732.0
ST_10_3|h0|t0|s20|k2|a0.90|o0|g0,ST_10_3,0,0,20,2,0.9,0,0,881,10,10.22,10.11,10.32,-26.48,-26.8,0.387,1.022,585,38.9,26.95,-8.44,5.326,15,26.9,8262554.0
ST_10_3|h0|t0|s20|k2|a0.90|o1|g1,ST_10_3,0,0,20,2,0.9,1,1,289,10,8.94,8.94,8.94,-16.98,-16.98,0.526,1.313,245,40.4,32.23,-8.57,7.913,7,11.3,6406528.0
ST_10_3|h0|t0|s20|k2|a0.95|o1|g0,ST_10_3,0,0,20,2,0.95,1,0,228,10,8.82,8.82,8.82,-14.63,-14.63,0.603,1.33,225,38.2,37.2,-9.59,8.292,13,10.4,6257008.0
ST_10_3|h0|t0|s20|k2|a1.00|o0|g1,ST_10_3,0,0,20,2,1.0,0,1,462,10,8.36,8.36,8.36,-21.26,-21.26,0.393,1.025,352,35.5,32.31,-8.94,5.71,13,16.2,5707418.0
ST_10_3|h0|t0|s20|k3|a0.90|o0|g0,ST_10_3,0,0,20,3,0.9,0,0,772,10,9.56,9.46,9.57,-29.4,-30.8,0.325,0.964,547,38.6,27.35,-8.86,5.133,16,25.2,7240438.0
ST_10_3|h0|t0|s20|k3|a0.90|o1|g1,ST_10_3,0,0,20,3,0.9,1,1,254,10,7.96,7.96,7.96,-15.81,-15.81,0.503,1.285,222,39.2,31.47,-9.29,6.682,7,10.2,5262666.0
ST_10_3|h0|t0|s20|k3|a0.95|o1|g0,ST_10_3,0,0,20,3,0.95,1,0,197,10,8.36,8.36,8.36,-13.12,-13.12,0.637,1.41,195,39.5,36.49,-10.23,8.216,10,9.0,5703863.0
ST_10_3|h0|t0|s20|k3|a1.00|o0|g1,ST_10_3,0,0,20,3,1.0,0,1,389,10,8.01,8.01,8.01,-21.25,-21.25,0.377,1.025,314,35.0,33.8,-9.29,5.81,12,14.5,5321314.0
ST_10_3|h0|t0|s20|k5|a0.90|o0|g0,ST_10_3,0,0,20,5,0.9,0,0,541,10,10.59,10.58,10.59,-26.23,-26.23,0.404,1.122,425,40.9,31.33,-9.28,7.343,12,19.6,8867946.0
