cell,exit,hard_stop,time_stop,shelf_S,vol_K,ath,obv_filter,market_gate,n_events,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,sharpe_med,trades,win_rate,avg_win,avg_loss,expectancy,max_loss_streak,trades_per_yr,final_med
SMA15|h1|t120|s20|k2|a1.00|o1|g0,SMA15,1,120,20,2,1.0,1,0,164,10,5.05,5.05,5.05,-7.58,-7.58,0.666,1.691,164,32.9,11.4,-6.03,-0.292,14,7.6,2909311.0
SMA15|h1|t120|s20|k3|a0.90|o0|g1,SMA15,1,120,20,3,0.9,0,1,772,10,4.24,4.22,4.24,-15.72,-15.93,0.27,0.646,675,33.5,9.83,-5.31,-0.229,16,31.1,2459666.0
SMA15|h1|t120|s20|k3|a0.95|o0|g0,SMA15,1,120,20,3,0.95,0,0,568,10,4.35,4.35,4.35,-11.92,-11.92,0.365,0.803,564,35.8,9.28,-5.63,-0.287,17,26.0,2516523.0
SMA15|h1|t120|s20|k3|a0.95|o1|g1,SMA15,1,120,20,3,0.95,1,1,197,10,5.09,5.09,5.09,-8.12,-8.12,0.627,1.646,177,32.8,12.07,-6.03,-0.099,14,8.2,2938070.0
SMA15|h1|t120|s20|k3|a1.00|o1|g0,SMA15,1,120,20,3,1.0,1,0,141,10,5.24,5.24,5.24,-7.4,-7.4,0.709,1.793,141,36.2,11.98,-6.55,0.152,11,6.5,3030152.0
SMA15|h1|t120|s20|k5|a0.90|o0|g1,SMA15,1,120,20,5,0.9,0,1,541,10,5.94,5.94,5.94,-10.89,-10.89,0.545,1.148,483,38.1,11.38,-5.54,0.906,14,22.3,3493768.0
SMA15|h1|t120|s20|k5|a0.95|o0|g0,SMA15,1,120,20,5,0.95,0,0,403,10,5.64,5.64,5.64,-9.43,-9.43,0.599,1.189,403,40.7,10.23,-5.82,0.714,11,18.6,3290246.0
SMA15|h1|t120|s20|k5|a0.95|o1|g1,SMA15,1,120,20,5,0.95,1,1,150,10,5.97,5.97,5.97,-7.99,-7.99,0.747,1.885,138,42.0,13.89,-6.35,2.154,12,6.4,3518701.0
SMA15|h1|t120|s20|k5|a1.00|o1|g0,SMA15,1,120,20,5,1.0,1,0,103,10,5.86,5.86,5.86,-3.5,-3.5,1.671,2.995,103,43.7,14.09,-6.76,2.353,7,4.7,3435708.0
EMA50|h0|t0|s15|k2|a0.90|o0|g1,EMA50,0,0,15,2,0.9,0,1,1020,10,9.66,9.64,9.8,-19.77,-19.77,0.489,0.85,600,38.7,24.29,-7.67,4.684,15,27.7,7391481.0
EMA50|h0|t0|s15|k2|a0.95|o0|g0,EMA50,0,0,15,2,0.95,0,0,759,10,10.68,10.56,10.72,-18.58,-18.58,0.575,1.009,561,39.6,27.54,-8.34,5.859,12,25.9,9032387.0
