Symbol,PriorHigh_Date,PriorHigh_Level,Trough_Date,Trough_Close,Depth_%,BaseCeiling_Level,Breakout_Close_Date,Breakout_Close,ATH_Before_Breakout,DistToATH_%,Entry_Date,Entry_Price_NextOpen,VolMultiple,History_Bars,Pattern_Score,Info_Fwd250_%,Info_ST73_Ret_%
INFY,06-Mar-2014,478.99,29-May-2014,365.56,23.68,480.92,10-Oct-2014,486.08,480.92,1.07,13-Oct-2014,486.17,5.55,2895,0.36,12.6,6.46
PRSMJOHNSN,02-May-2006,45.85,14-Jun-2006,21.6,52.89,39.15,16-Jan-2007,41.7,45.85,-9.05,17-Jan-2007,43.6,11.52,506,0.36,35.78,-13.07
MUTHOOTFIN,02-Feb-2012,182.95,04-May-2012,116.15,36.51,226.05,03-Jan-2013,230.2,226.05,1.84,04-Jan-2013,231.5,45.29,411,0.35,-53.61,-11.25
UNIVCABLES,08-Jan-2025,841.7,09-Apr-2025,411.15,51.15,801.35,14-Nov-2025,860.5,889.35,-3.24,17-Nov-2025,889.9,63.62,5052,0.35,76.12,-6.73
ADSL,15-Jan-2024,191.85,13-Mar-2024,128.45,33.05,239.12,30-Aug-2024,265.03,239.12,10.84,02-Sep-2024,269.9,29.65,2388,0.35,-38.83,-9.47
PARAS,04-Jul-2024,780.2,03-Mar-2025,417.5,46.49,899.8,04-Jul-2025,933.6,899.8,3.76,07-Jul-2025,934.0,3.54,932,0.35,34.16,-17.03
FEDFINA,04-Dec-2024,117.89,28-Mar-2025,82.51,30.01,132.22,31-Jul-2025,135.51,147.7,-8.25,01-Aug-2025,135.51,3.85,410,0.35,10.39,5.03
HONDAPOWER,05-Oct-2023,2998.4,19-Mar-2024,2104.5,29.81,2781.2,13-Jun-2024,3027.1,2998.4,0.96,14-Jun-2024,3024.2,13.77,4797,0.35,-10.48,14.89
MANYAVAR,08-Dec-2023,1432.87,20-Mar-2024,873.92,39.01,1343.17,29-Oct-2024,1343.37,1432.87,-6.25,30-Oct-2024,1326.85,4.43,664,0.35,-51.57,-3.13
TDPOWERSYS,20-Jan-2022,47.0,25-Apr-2022,33.5,28.72,50.0,08-Jul-2022,50.2,50.0,0.4,11-Jul-2022,50.2,3.2,2667,0.35,148.21,15.74
SKMEGGPROD,10-Feb-2023,106.0,29-Mar-2023,62.5,41.04,167.9,11-Aug-2023,175.1,167.9,4.29,14-Aug-2023,181.5,3.96,2129,0.35,-35.65,27.22
AMBER,20-Feb-2020,1639.75,13-Apr-2020,1004.65,38.73,1595.35,03-Aug-2020,1722.2,1639.75,5.03,04-Aug-2020,1744.9,14.84,616,0.35,73.24,72.09
