Symbol,PriorHigh_Date,PriorHigh_Level,Trough_Date,Trough_Close,Depth_%,BaseCeiling_Level,Breakout_Close_Date,Breakout_Close,ATH_Before_Breakout,DistToATH_%,Entry_Date,Entry_Price_NextOpen,VolMultiple,History_Bars,Pattern_Score,Info_Fwd250_%,Info_ST73_Ret_%
ANDHRAPAP,06-Sep-2010,47.05,10-Feb-2011,25.85,45.06,75.7,18-Aug-2011,76.1,79.5,-4.28,19-Aug-2011,75.8,4.91,1619,0.31,-16.62,-5.01
PFIZER,04-May-2020,5001.3,30-Jun-2020,3963.8,20.74,5191.8,11-Nov-2020,5201.7,5191.8,0.19,12-Nov-2020,5202.0,9.77,3915,0.31,-0.57,-4.95
IDBI,20-Jan-2005,118.35,03-May-2005,77.4,34.6,116.25,16-Sep-2005,120.05,118.35,1.44,19-Sep-2005,120.75,5.07,177,0.31,-38.76,-8.74
KSCL,10-Sep-2024,1175.55,25-Oct-2024,819.8,30.26,1460.55,15-Apr-2025,1568.8,1460.55,7.41,16-Apr-2025,1545.0,3.32,4327,0.31,-39.57,-15.89
GOKULAGRO,01-Dec-2025,217.01,23-Jan-2026,152.82,29.58,243.02,20-Aug-2026,243.69,243.02,0.28,21-Aug-2026,245.6,12.34,2574,0.31,-7.37,-7.37
NELCAST,16-Jan-2023,128.15,28-Mar-2023,86.95,32.15,141.4,22-Sep-2023,146.55,141.4,3.64,25-Sep-2023,154.8,6.68,4009,0.31,-10.57,3.71
VINCOFE,07-Jan-2026,174.33,16-Mar-2026,122.35,29.82,160.77,07-Jul-2026,161.16,174.33,-7.55,08-Jul-2026,160.95,3.2,421,0.31,9.97,9.97
UNIONBANK,10-Mar-2005,123.27,29-Apr-2005,90.19,26.84,121.05,29-Jul-2005,126.8,123.27,2.86,01-Aug-2005,124.43,3.63,144,0.31,-20.98,-8.86
DELTACORP,03-Apr-2017,214.0,23-May-2017,141.8,33.74,201.1,21-Sep-2017,206.15,214.0,-3.67,22-Sep-2017,203.5,3.14,2433,0.31,7.67,55.28
GLAXO,03-Mar-2014,1526.53,07-May-2014,1188.23,22.16,1606.85,23-Jan-2015,1671.53,1606.85,4.03,27-Jan-2015,1687.5,13.87,2483,0.3,-4.11,-8.43
SHARDACROP,15-Jul-2015,308.08,29-Feb-2016,181.66,41.03,352.03,22-Sep-2016,358.52,358.43,0.03,23-Sep-2016,370.47,7.62,487,0.3,8.26,-7.07
EICHERMOT,21-Jul-2015,2134.85,16-Nov-2015,1526.2,28.51,2048.3,28-Jul-2016,2110.0,2134.85,-1.16,29-Jul-2016,2159.9,5.12,3319,0.3,44.24,8.02
LTTS,20-Feb-2020,1743.0,23-Mar-2020,1018.25,41.58,1673.05,13-Oct-2020,1809.95,1774.6,1.99,14-Oct-2020,1792.9,11.77,1000,0.3,168.67,42.32
RPGLIFE,03-Dec-2015,340.8,26-Feb-2016,207.65,39.07,453.8,07-Sep-2016,467.0,453.8,2.91,08-Sep-2016,470.05,6.79,2029,0.3,-10.9,-4.01
LTF,01-Jul-2024,187.1,13-Jan-2025,128.82,31.15,194.77,24-Jun-2025,200.06,194.77,2.72,25-Jun-2025,204.0,3.06,3411,0.3,51.96,45.17
NESTLEIND,26-Sep-2024,1377.8,04-Mar-2025,1073.2,22.11,1236.3,16-Oct-2025,1276.6,1377.8,-7.35,17-Oct-2025,1263.9,6.1,3901,0.3,9.0,-3.88
MUNJALAU,15-Jan-2024,113.85,13-Mar-2024,74.9,34.21,132.66,16-Oct-2024,142.24,132.66,7.22,17-Oct-2024,141.4,5.63,4495,0.3,-35.14,-19.9
JISLJALEQS,11-Aug-2008,117.96,08-Dec-2008,48.93,58.52,147.95,03-Sep-2009,149.29,149.16,0.09,04-Sep-2009,149.99,5.09,1155,0.3,66.0,6.22
HFCL,12-Aug-2005,27.9,17-Jan-2006,18.15,34.95,37.65,03-May-2006,45.2,37.65,20.05,04-May-2006,47.0,4.88,328,0.3,-44.47,-29.79
JSL,07-Feb-2022,217.7,20-Jun-2022,97.6,55.17,279.55,06-Mar-2023,299.35,279.55,7.08,08-Mar-2023,301.85,4.27,1804,0.3,129.17,-12.11
MRF,23-Oct-2015,42631.1,24-May-2016,31164.45,26.9,53515.45,11-Jan-2017,55400.0,53892.8,2.8,12-Jan-2017,55530.1,3.75,2968,0.3,28.82,-9.53
GAIL,19-Apr-2022,103.92,19-Oct-2022,76.41,26.47,107.92,31-Jul-2023,109.46,121.17,-9.66,01-Aug-2023,109.46,6.02,4588,0.3,108.64,1.5
PVRINOX,03-Jan-2014,638.3,31-Mar-2014,460.4,27.87,643.9,19-Jun-2014,669.2,643.9,3.93,20-Jun-2014,673.6,7.26,2088,0.3,-7.43,-6.57
OFSS,08-Jan-2013,2636.0,16-May-2013,1804.5,31.54,2542.5,18-Dec-2013,2559.0,2636.0,-2.92,19-Dec-2013,2554.0,4.85,2216,0.3,18.44,-7.05
SBCL,03-Oct-2022,489.76,23-Dec-2022,356.7,27.17,439.29,22-Mar-2023,474.8,489.76,-3.05,23-Mar-2023,469.57,27.27,434,0.29,17.5,31.66
NAVA,21-May-2008,74.9,03-Dec-2008,24.85,66.82,75.0,05-Jun-2009,79.15,85.4,-7.32,08-Jun-2009,79.5,4.1,1088,0.29,35.97,12.33
HOMEFIRST,24-Sep-2024,1340.75,25-Feb-2025,885.0,33.99,1387.3,27-Jun-2025,1473.9,1387.3,6.24,30-Jun-2025,1469.0,3.1,1180,0.29,-18.25,-11.21
TCS,12-Aug-2016,1369.23,11-Nov-2016,1050.58,23.27,1312.3,06-Jun-2017,1348.0,1388.0,-2.88,07-Jun-2017,1348.5,3.3,3155,0.29,29.56,-7.78
TITAN,19-Feb-2020,1329.6,23-Mar-2020,800.95,39.76,1201.35,07-Oct-2020,1254.0,1374.55,-8.77,08-Oct-2020,1257.0,4.06,4371,0.29,87.61,17.52
DHANBANK,08-Sep-2008,76.37,28-Nov-2008,31.85,58.3,105.82,28-Aug-2009,108.46,105.82,2.49,31-Aug-2009,107.12,22.19,1151,0.29,40.31,10.8
5PAISA,12-Jan-2021,377.3,23-Feb-2021,243.25,35.53,436.15,07-Jul-2021,457.95,444.65,2.99,08-Jul-2021,467.0,3.53,899,0.29,-41.56,1.04
CAPLIPOINT,19-Feb-2024,1597.7,04-Jun-2024,1240.4,22.36,1639.35,19-Aug-2024,1845.95,1639.35,12.6,20-Aug-2024,1815.55,57.17,2507,0.29,17.67,22.98
KKCL,01-Nov-2006,52.85,28-Mar-2007,35.0,33.77,97.25,07-Jan-2008,97.95,97.25,0.72,08-Jan-2008,98.4,3.13,433,0.29,-76.68,-14.99
XPROINDIA,27-Feb-2024,1265.45,04-Jun-2024,905.8,28.42,1186.65,25-Nov-2024,1215.0,1265.45,-3.99,26-Nov-2024,1219.85,4.06,4913,0.29,-16.21,8.21
UPL,05-Jan-2010,117.0,20-Apr-2010,92.35,21.07,127.25,21-Oct-2010,131.05,132.2,-0.87,22-Oct-2010,133.55,7.06,1648,0.29,-31.3,-9.7
HINDPETRO,07-Aug-2015,113.75,10-Nov-2015,81.3,28.53,99.85,27-May-2016,108.45,113.75,-4.66,30-May-2016,109.3,7.98,672,0.29,86.14,26.72
LUMAXTECH,02-Jan-2025,672.9,07-Apr-2025,475.0,29.41,1240.9,24-Sep-2025,1258.4,1240.9,1.41,25-Sep-2025,1260.0,9.64,4606,0.28,54.56,17.4
BEL,18-Feb-2015,40.35,27-Apr-2015,30.1,25.4,39.1,24-Dec-2015,39.9,41.7,-4.32,28-Dec-2015,40.15,3.33,2710,0.28,3.74,-4.98
VEDL,08-Mar-2005,10.5,13-Jun-2005,3.2,69.52,8.55,16-Sep-2005,10.25,10.5,-2.38,19-Sep-2005,11.35,6.98,170,0.28,9.69,2.2
BASF,30-Jun-2017,1783.2,11-Aug-2017,1393.3,21.87,1763.8,14-Nov-2017,1836.45,1783.2,2.99,15-Nov-2017,1842.85,17.72,3174,0.28,-15.19,8.8
LGBBROSLTD,14-Jul-2023,1225.35,29-Aug-2023,980.25,20.0,1338.4,12-Jan-2024,1361.1,1338.4,1.7,15-Jan-2024,1370.0,5.93,4682,0.28,-10.58,-11.19
TATASTEEL,23-Jan-2003,5.77,24-Apr-2003,3.81,33.97,5.62,06-Jun-2003,5.81,5.77,0.69,09-Jun-2003,5.33,3.34,106,0.28,172.23,261.16
ASHAPURMIN,23-Jan-2025,543.8,12-Mar-2025,308.9,43.2,485.9,15-Jul-2025,530.2,543.8,-2.5,16-Jul-2025,526.0,6.09,5073,0.28,30.55,-7.07
LUMAXTECH,08-Aug-2023,441.8,26-Oct-2023,344.15,22.1,495.5,07-Jun-2024,506.15,495.5,2.15,10-Jun-2024,508.2,5.31,4283,0.28,97.28,2.46
UNIONBANK,10-Mar-2005,123.27,29-Apr-2005,90.19,26.84,131.16,13-Sep-2005,131.35,131.16,0.14,14-Sep-2005,131.88,3.02,174,0.28,-9.02,-1.65
CENTUM,05-Sep-2025,2965.7,09-Jan-2026,2092.6,29.44,2780.2,06-Mar-2026,2855.6,2965.7,-3.71,09-Mar-2026,2844.9,3.73,4433,0.28,48.27,18.2
AUBANK,13-Jul-2017,345.55,23-Aug-2017,262.6,24.01,350.7,26-Apr-2018,368.65,362.1,1.81,27-Apr-2018,371.0,4.19,197,0.28,-15.82,-11.63
FACT,30-Dec-2022,373.35,28-Mar-2023,197.05,47.22,351.55,14-Jun-2023,376.75,373.35,0.91,15-Jun-2023,378.5,48.22,4556,0.27,129.01,10.59
HDFCBANK,02-Sep-2008,67.0,09-Mar-2009,39.9,40.45,78.5,24-Sep-2009,81.2,89.4,-9.17,25-Sep-2009,80.2,3.19,1650,0.27,55.24,4.24
JKLAKSHMI,22-Jan-2007,90.65,05-Apr-2007,49.12,45.81,87.58,27-Sep-2007,92.75,90.65,2.32,28-Sep-2007,92.75,3.18,319,0.27,-67.58,-2.88
MAYURUNIQ,16-Dec-2024,632.6,09-Apr-2025,441.25,30.25,592.27,18-Jul-2025,612.48,662.07,-7.49,21-Jul-2025,618.33,3.67,3155,0.27,32.24,-11.35
LT,30-Jan-2020,1370.2,24-Mar-2020,707.9,48.34,1448.85,02-Feb-2021,1520.2,1596.0,-4.75,03-Feb-2021,1530.0,3.6,4452,0.27,27.32,-6.66
SARDAEN,15-Sep-2025,626.15,20-Jan-2026,462.4,26.15,554.6,13-Apr-2026,579.0,626.15,-7.53,15-Apr-2026,589.8,11.47,4043,0.27,-9.0,-7.65
UBL,14-Dec-2022,1783.55,11-Apr-2023,1369.55,23.21,1876.7,24-Apr-2024,2030.95,1892.4,7.32,25-Apr-2024,2022.4,9.66,3882,0.27,6.75,-7.31
INDORAMA,03-Nov-2025,73.88,30-Mar-2026,30.09,59.27,74.98,09-Sep-2026,86.13,95.25,-9.57,10-Sep-2026,85.68,15.48,5327,0.27,,-2.89
CEATLTD,06-Oct-2015,1299.55,20-Jan-2016,890.1,31.51,1149.8,28-Apr-2016,1173.6,1299.55,-9.69,29-Apr-2016,1152.7,4.58,2765,0.26,43.75,-10.32
ANTHEM,17-Sep-2025,864.5,27-Jan-2026,592.4,31.47,898.0,26-Aug-2026,923.05,898.0,2.79,27-Aug-2026,928.0,3.9,271,0.26,0.79,0.79
HINDPETRO,07-Jul-2023,169.55,26-Oct-2023,130.15,23.24,334.05,03-Jun-2024,349.6,345.05,1.32,04-Jun-2024,350.8,3.01,2655,0.26,5.93,-15.76
KNAGRI,19-Jan-2024,169.15,13-Mar-2024,117.3,30.65,281.75,04-Oct-2024,284.65,283.75,0.32,07-Oct-2024,293.0,4.19,607,0.26,-20.31,-6.21
WIPRO,16-Jan-2018,122.35,05-Jun-2018,94.1,23.09,125.6,18-Jan-2019,127.6,125.6,1.59,21-Jan-2019,125.3,3.15,3946,0.26,-3.99,5.19
LTF,21-Feb-2012,42.89,14-May-2012,33.42,22.08,45.91,07-Nov-2012,48.36,45.91,5.34,08-Nov-2012,47.67,5.34,302,0.26,32.26,38.18
JSWSTEEL,18-Apr-2022,767.85,25-May-2022,528.45,31.18,757.95,27-Dec-2022,764.95,767.85,-0.38,28-Dec-2022,761.0,3.4,4387,0.26,15.32,-5.12
JAICORPLTD,10-Jan-2007,195.1,12-Mar-2007,75.92,61.09,218.11,06-Aug-2007,229.02,218.11,5.0,07-Aug-2007,240.47,4.42,641,0.25,76.24,24.78
LGBBROSLTD,14-Jul-2023,1225.35,29-Aug-2023,980.25,20.0,1212.0,11-Dec-2023,1272.1,1225.35,3.82,12-Dec-2023,1287.0,3.33,4659,0.25,5.06,-5.46
FDC,07-Dec-2020,365.35,19-Mar-2021,272.25,25.48,365.1,14-Jun-2021,381.3,367.4,3.78,15-Jun-2021,381.3,30.5,4058,0.25,-37.91,-10.27
COROMANDEL,01-Sep-2022,1081.65,20-Mar-2023,852.5,21.19,992.8,27-Jul-2023,1004.55,1081.65,-7.13,28-Jul-2023,1004.55,4.26,4586,0.25,65.45,6.85
SRHHYPOLTD,05-Oct-2021,403.15,22-Nov-2021,305.65,24.18,475.7,15-Jul-2022,479.95,502.8,-4.54,18-Jul-2022,486.7,4.94,3586,0.25,56.42,52.03
CHENNPETRO,07-Apr-2005,240.35,12-Jul-2005,180.1,25.07,215.6,01-Sep-2005,233.2,240.35,-2.97,02-Sep-2005,239.0,8.87,167,0.25,-9.87,-4.87
SOLARINDS,30-Jun-2025,17598.0,18-Dec-2025,11772.0,33.11,16665.0,15-May-2026,17314.0,17598.0,-1.61,18-May-2026,17509.0,4.8,4966,0.25,27.62,-3.48
VINCOFE,07-Jan-2026,174.33,16-Mar-2026,122.35,29.82,165.41,27-Aug-2026,174.65,174.33,0.18,28-Aug-2026,175.0,4.88,458,0.24,1.14,1.14
LT,09-Dec-2024,3947.3,09-Apr-2025,3054.15,22.63,3693.7,26-Sep-2025,3729.5,3947.3,-5.52,29-Sep-2025,3738.0,4.64,5606,0.24,5.27,4.0
CGCL,12-Feb-2020,52.45,13-Apr-2020,27.85,46.9,46.05,31-Jul-2020,48.25,53.1,-9.13,03-Aug-2020,48.25,3.28,2346,0.24,166.53,63.83
PRSMJOHNSN,03-Mar-2005,23.95,30-Jun-2005,18.05,24.63,26.3,29-Aug-2005,26.8,27.4,-2.19,30-Aug-2005,27.1,5.62,164,0.24,33.21,-20.85
GESHIP,06-Nov-2006,266.89,19-Mar-2007,191.25,28.34,348.15,03-Oct-2007,378.6,356.4,6.23,04-Oct-2007,399.45,3.83,670,0.24,-25.07,11.62
MARUTI,20-May-2013,1742.25,28-Aug-2013,1236.35,29.04,1528.85,29-Oct-2013,1635.25,1742.25,-6.14,30-Oct-2013,1641.0,7.32,2534,0.24,102.86,3.74
ADANIENT,20-Feb-2020,250.8,23-Mar-2020,117.2,53.27,298.7,05-Oct-2020,316.6,298.7,5.99,06-Oct-2020,319.3,3.17,1317,0.24,349.23,315.28
HINDUNILVR,19-Sep-2013,677.6,14-Jan-2014,538.4,20.54,824.65,09-Jan-2015,864.6,824.65,4.84,12-Jan-2015,867.5,3.31,2937,0.24,-4.64,-0.18
BRITANNIA,14-Sep-2016,1769.95,26-Dec-2016,1403.65,20.7,1642.5,21-Mar-2017,1647.17,1769.95,-6.94,22-Mar-2017,1631.0,3.23,3476,0.23,48.36,4.72
PONNIERODE,22-Apr-2022,302.0,17-Jun-2022,225.1,25.46,437.05,27-Dec-2022,441.4,437.05,1.0,28-Dec-2022,441.0,3.91,4329,0.23,-7.29,-0.7
TAJGVK,03-May-2024,406.55,22-Oct-2024,286.9,29.43,445.6,19-Feb-2025,466.8,445.6,4.76,20-Feb-2025,467.0,5.02,4977,0.23,-27.68,-9.25
DSSL,31-Oct-2023,800.0,30-Nov-2023,596.4,25.45,1027.8,01-Apr-2024,1051.75,1027.8,2.33,02-Apr-2024,1069.4,15.02,3977,0.23,-0.71,0.75
CARTRADE,17-Nov-2025,3268.0,30-Apr-2026,1623.4,50.32,2897.8,27-Jul-2026,2980.0,3268.0,-8.81,28-Jul-2026,2960.0,9.4,1216,0.23,2.5,2.5
BAJAJCON,10-Sep-2013,272.2,17-Dec-2013,202.95,25.44,277.7,03-Sep-2014,284.8,279.4,1.93,04-Sep-2014,283.1,5.18,1001,0.23,59.11,51.57
ESCORTS,10-Feb-2021,1442.4,30-Apr-2021,1118.6,22.45,1640.5,18-Nov-2021,1802.85,1640.5,9.9,22-Nov-2021,1811.0,11.2,4167,0.23,22.16,0.71
BAYERCROP,19-Aug-2015,3996.55,12-Feb-2016,3167.95,20.73,3996.3,12-May-2016,4064.5,4146.05,-1.97,13-May-2016,4097.8,4.55,1565,0.22,15.03,1.71
AGARIND,01-Feb-2024,1131.16,13-Mar-2024,786.48,30.47,1250.54,09-Aug-2024,1301.19,1250.54,4.05,12-Aug-2024,1301.19,8.68,2513,0.22,-27.43,-14.53
WHEELS,15-Jul-2013,236.59,03-Sep-2013,177.71,24.89,317.55,24-Jun-2014,354.0,374.78,-5.54,25-Jun-2014,355.95,20.64,2327,0.22,77.31,23.13
CRISIL,18-Mar-2024,5223.55,03-Jun-2024,4043.95,22.58,5531.75,21-Nov-2024,5589.5,5531.75,1.04,22-Nov-2024,5589.5,4.7,4913,0.22,-18.8,-4.41
TVSMOTOR,16-Jan-2015,320.14,07-May-2015,215.3,32.75,305.3,22-Mar-2016,317.25,320.14,-0.9,23-Mar-2016,316.45,5.36,2770,0.21,36.12,-9.16
PIDILITIND,15-Sep-2022,1450.9,23-Feb-2023,1134.1,21.83,1327.4,13-Jun-2023,1343.3,1450.9,-7.42,14-Jun-2023,1343.0,3.73,4554,0.21,15.78,-6.18
RAMCOCEM,08-May-2013,259.1,28-Aug-2013,138.0,46.74,240.1,19-May-2014,270.25,264.3,2.25,20-May-2014,275.0,3.37,2316,0.21,13.65,11.49
MRF,13-Oct-2021,86106.55,24-Feb-2022,63945.6,25.74,88895.45,15-Sep-2022,92868.45,96973.85,-4.23,16-Sep-2022,92490.0,7.79,4372,0.21,17.85,-14.42
BLUESTARCO,20-Jan-2020,429.9,03-Apr-2020,220.25,48.77,405.9,03-Dec-2020,406.0,433.35,-6.31,04-Dec-2020,412.5,6.27,3930,0.2,19.52,-10.79
MRF,05-Oct-2015,42877.75,24-May-2016,31164.45,27.32,41124.0,19-Sep-2016,43101.65,45699.9,-5.69,20-Sep-2016,43350.0,3.0,2890,0.2,46.01,7.04
MCLEODRUSS,04-Aug-2008,95.4,02-Dec-2008,35.6,62.68,138.95,30-Jul-2009,143.8,152.2,-5.52,31-Jul-2009,145.85,3.0,986,0.2,72.75,75.63
PHOENIXLTD,24-Aug-2020,362.6,24-Sep-2020,274.2,24.38,414.6,03-Jun-2021,430.9,466.9,-7.71,04-Jun-2021,441.2,10.73,3481,0.2,25.7,-8.94
PCBL,12-Apr-2022,131.35,12-May-2022,99.6,24.17,144.45,15-Sep-2022,148.45,152.05,-2.37,16-Sep-2022,149.75,5.01,4371,0.19,10.68,-13.16
AUROPHARMA,10-Aug-2020,948.85,24-Sep-2020,743.75,21.62,910.0,31-Dec-2020,921.3,948.85,-2.9,01-Jan-2021,923.7,3.95,3949,0.19,-21.81,-7.29
MARICO,08-Sep-2016,300.05,26-Dec-2016,239.15,20.3,293.15,17-Mar-2017,293.6,300.85,-2.41,20-Mar-2017,296.2,3.26,3012,0.19,9.99,5.55
IGL,04-Jun-2020,252.4,13-Oct-2020,182.7,27.61,271.25,29-Jun-2021,275.0,284.5,-3.34,30-Jun-2021,277.3,3.39,4070,0.19,-35.83,-5.21
VGUARD,16-May-2017,216.9,30-Jun-2017,172.55,20.45,243.8,22-Jan-2018,247.6,243.8,1.56,23-Jan-2018,250.0,3.01,2426,0.19,-19.88,-13.96
MRF,27-May-2013,15397.25,08-Jul-2013,12207.9,20.71,19115.95,12-Dec-2013,19567.35,19115.95,2.36,13-Dec-2013,19450.0,4.2,2212,0.18,89.9,11.55
PETRONET,08-Jan-2015,100.1,24-Apr-2015,77.0,23.08,114.4,31-Dec-2015,117.95,114.4,3.1,01-Jan-2016,118.35,5.96,2714,0.18,47.28,-5.7
TATACHEM,10-Oct-2022,1199.65,23-Dec-2022,891.7,25.67,1045.3,26-Dec-2023,1094.25,1199.65,-8.79,27-Dec-2023,1100.0,8.47,945,0.18,-4.88,-8.73
NESTLEIND,08-Nov-2013,288.2,20-May-2014,228.3,20.78,265.0,07-Aug-2014,270.2,288.2,-6.25,08-Aug-2014,270.3,4.39,1136,0.18,13.5,11.43
CMSINFO,17-Nov-2022,329.02,28-Mar-2023,256.67,21.99,312.58,14-Jun-2023,314.29,329.02,-4.48,15-Jun-2023,312.67,6.09,359,0.18,49.36,8.02
SKFINDIA,21-Nov-2022,2402.1,27-Mar-2023,1903.9,20.74,2319.5,27-Jun-2023,2344.2,2402.1,-2.41,28-Jun-2023,2364.0,7.57,4564,0.17,29.59,-1.16
DEEPAKNTR,06-Nov-2018,276.95,26-Dec-2018,208.05,24.88,280.7,06-May-2019,286.3,298.75,-4.17,07-May-2019,289.0,25.9,2026,0.17,76.57,0.45
M&M,08-Feb-2021,928.4,04-May-2021,741.15,20.17,895.6,13-Oct-2021,935.35,983.85,-4.93,14-Oct-2021,938.5,5.18,4624,0.17,31.06,-9.03
JAICORPLTD,10-Jan-2007,195.1,12-Mar-2007,75.92,61.09,494.06,21-Sep-2007,518.76,494.06,5.0,24-Sep-2007,544.7,5.93,674,0.17,-47.47,96.99
SOLARINDS,03-Jan-2023,4496.35,11-Jul-2023,3543.85,21.18,5585.75,07-Nov-2023,5941.45,5585.75,6.37,08-Nov-2023,5969.0,4.08,4342,0.17,71.17,3.68
AXISBANK,14-Mar-2012,254.81,05-Sep-2012,186.05,26.98,284.86,29-Jan-2013,295.09,317.75,-7.13,30-Jan-2013,295.5,6.77,2478,0.16,-24.0,-7.43
