symbol,mode,ipo_short_window,series_hash,split_cut,hist_bars,left_rim_date,left_rim_level,trough_date,trough_close,depth_pct,base_len_bars,trough_pos,fit_r2,fit_curvature,vertex_frac,flat_frac,vol_ratio,obv_gain,obv_filter_pass,base_qualify_date,tv20_cr_at_q,shelf_start_date,shelf_high,shelf_low,shelf_range_pct,shelf_S,shelf_ok_s20,shelf_ok_s30,ath_before_breakout,dist_to_ath_pct,ath_ge_095,ath_new_high,trigger_date,trigger_close,vol_multiple,volx_ge_5,volx_ge_9,days_q_to_trigger,trigger_day_move_pct,tv20_cr_at_trigger,entry_date,entry_open,pattern_quality,info_fwd60_pct,info_fwd120_pct,info_fwd250_pct,info_st73_exit_date,info_st73_ret_pct,info_st73_bars_held,info_st73_still_open,info_mfe_250_pct,info_mae_250_pct
3MINDIA,L180,0,70ca8188602b,0,5189,2024-11-01,36166.8,2025-03-04,25982.5,28.16,180,0.592,0.781,1.692e-05,0.668,0.4,0.664,0.0373,0,2025-06-23,8.07,2025-12-04,36000.0,34125.0,5.21,20,1,1,40020.6,-9.62,0,0,2026-01-02,36170.0,3.17,0,0,133,0.47,8.84,2026-01-05,36360.0,0.3059,-18.22,-6.6,-9.69,2026-01-20,-8.21,11,0,4.59,-20.98
3MINDIA,L250,0,70ca8188602b,0,5189,2024-08-02,39413.25,2025-03-04,25982.5,34.08,250,0.59,0.836,9.925e-06,0.697,0.532,0.814,0.2072,0,2025-08-01,18.49,2025-12-04,36000.0,34125.0,5.21,20,1,1,40020.6,-9.62,0,0,2026-01-02,36170.0,3.17,0,0,104,0.47,8.84,2026-01-05,36360.0,0.5533,-18.22,-6.6,-9.69,2026-01-20,-8.21,11,0,4.59,-20.98
3MINDIA,VAR,0,70ca8188602b,0,5189,2024-08-02,39413.25,2025-03-04,25982.5,34.08,250,0.59,0.836,9.925e-06,0.697,0.532,0.814,0.2072,0,2025-08-01,18.49,2025-12-04,36000.0,34125.0,5.21,20,1,1,40020.6,-9.62,0,0,2026-01-02,36170.0,3.17,0,0,104,0.47,8.84,2026-01-05,36360.0,0.5533,-18.22,-6.6,-9.69,2026-01-20,-8.21,11,0,4.59,-20.98
5PAISA,L120,0,64bc97d69e34,0,965,2021-01-12,377.3,2021-02-23,243.25,35.53,120,0.345,0.703,7.775e-05,0.339,0.417,1.63,0.2955,1,2021-06-21,2.75,2021-09-14,489.65,447.5,8.61,20,1,1,553.2,-6.48,0,0,2021-10-12,517.35,7.1,1,0,78,5.66,1.37,2021-10-13,520.4,0.291,-13.66,-28.12,-34.16,2021-10-20,-14.34,5,0,4.5,-49.11
AAKASH,VAR,0,632d8ed3050f,0,514,2021-09-06,29.19,2021-10-28,17.98,38.4,90,0.404,0.739,1.867e-04,0.498,0.433,1.116,0.4143,0,2022-01-13,3.72,2022-01-03,27.0,24.32,9.93,20,1,0,29.19,-5.17,0,0,2022-02-01,27.68,2.64,0,0,12,6.13,2.11,2022-02-02,28.39,0.4128,3.91,-51.74,-77.28,2022-03-16,-4.37,30,0,19.06,-78.51
ABBOTINDIA,L180,0,7fe16b347fc6,0,3200,2021-10-05,23184.5,2022-02-08,15562.6,32.87,180,0.542,0.819,1.809e-05,0.697,0.55,1.088,0.1413,0,2022-06-09,24.73,2022-11-23,20898.7,20037.15,4.12,20,1,1,23184.5,-7.06,0,0,2022-12-21,21548.5,3.6,0,0,133,3.11,23.54,2022-12-22,21550.0,0.581,-2.88,5.39,4.19,2023-01-30,-2.62,27,0,14.82,-7.66
ABBOTINDIA,L250,0,7fe16b347fc6,0,3200,2021-10-05,23184.5,2022-02-08,15562.6,32.87,250,0.422,0.702,1.346e-05,0.557,0.436,0.972,0.0911,0,2022-09-08,24.63,2022-11-23,20898.7,20037.15,4.12,20,1,1,23184.5,-7.06,0,0,2022-12-21,21548.5,3.6,0,0,71,3.11,23.54,2022-12-22,21550.0,0.2945,-2.88,5.39,4.19,2023-01-30,-2.62,27,0,14.82,-7.66
ABBOTINDIA,VAR,0,7fe16b347fc6,0,3200,2021-10-05,23184.5,2022-02-08,15562.6,32.87,159,0.544,0.829,2.203e-05,0.699,0.566,1.137,0.1075,0,2022-05-26,16.79,2022-11-23,20898.7,20037.15,4.12,20,1,1,23184.5,-7.06,0,0,2022-12-21,21548.5,3.6,0,0,143,3.11,23.54,2022-12-22,21550.0,0.5992,-2.88,5.39,4.19,2023-01-30,-2.62,27,0,14.82,-7.66
ABDL,L120,0,aab61d38784b,0,256,2025-01-03,433.83,2025-05-02,302.23,30.33,120,0.697,0.82,1.047e-04,0.506,0.458,1.297,0.4618,1,2025-06-23,24.01,2025-06-16,447.25,411.77,7.93,20,1,0,447.25,8.76,1,1,2025-07-14,486.45,5.15,1,0,15,8.76,16.41,2025-07-15,488.8,0.4094,11.51,12.8,26.72,2025-12-02,22.46,96,0,45.6,-21.83
ABREL,L120,0,12998d025a92,1,927,2022-12-02,810.7,2023-02-24,606.4,25.2,120,0.622,0.819,3.888e-05,0.693,0.417,1.755,0.4104,1,2023-05-08,16.03,2023-06-06,878.3,783.05,10.84,20,1,1,1009.85,-8.05,0,0,2023-07-05,928.55,6.12,1,0,41,5.72,17.04,2023-07-06,928.0,0.4304,20.37,31.69,139.97,2023-10-23,14.42,75,0,160.78,-4.72
