symbol,trigger_date,trigger_close,ath_before,dist_to_ath_pct,vol_multiple,entry_date,entry_open
20MICRONS,2012-11-08,79.83,81.95,-2.59,13.59,2012-11-09,80.6
20MICRONS,2022-01-07,74.5,81.95,-9.09,11.6,2022-01-10,78.45
20MICRONS,2022-08-08,111.15,108.1,2.82,7.49,2022-08-10,111.2
20MICRONS,2024-05-16,188.1,189.5,-0.74,5.74,2024-05-17,189.25
360ONE,2025-06-27,1195.7,1190.0,0.48,3.82,2025-06-30,1206.5
360ONE,2025-10-15,1160.4,1253.0,-7.39,3.08,2025-10-16,1174.0
360ONE,2026-01-16,1197.7,1253.0,-4.41,7.62,2026-01-19,1193.9
3IINFOLTD-BE,2021-12-02,92.65,102.83,-9.9,7.83,2021-12-03,97.24
3MINDIA,2017-05-26,14034.25,14939.55,-6.06,11.29,2017-05-29,14034.0
3MINDIA,2017-12-28,19366.4,19216.3,0.78,4.49,2017-12-29,19499.45
3MINDIA,2018-07-25,23697.65,23688.45,0.04,3.43,2018-07-26,23330.0
3MINDIA,2019-03-05,23450.65,26007.45,-9.83,3.01,2019-03-06,23628.0
3MINDIA,2019-06-21,23529.6,26007.45,-9.53,3.34,2019-06-24,23700.0
3MINDIA,2020-02-07,24064.95,26007.45,-7.47,3.38,2020-02-10,24064.95
3MINDIA,2023-07-10,27820.4,30436.65,-8.6,4.61,2023-07-11,27820.4
3MINDIA,2023-11-28,30424.0,32914.85,-7.57,3.36,2023-11-29,30584.95
3MINDIA,2024-05-28,33914.55,37309.15,-9.1,22.45,2024-05-29,34499.9
3MINDIA,2024-10-31,36047.6,40020.6,-9.93,3.02,2024-11-01,36130.15
3MINDIA,2025-11-10,36025.0,40020.6,-9.98,12.58,2025-11-11,36000.0
3MINDIA,2026-02-10,37635.0,40020.6,-5.96,3.13,2026-02-11,37800.0
5PAISA,2021-06-16,431.0,444.65,-3.07,3.66,2021-06-17,430.95
5PAISA,2023-11-24,498.85,553.2,-9.82,17.15,2023-11-28,510.0
63MOONS,2013-09-11,184.1,198.1,-7.07,3.45,2013-09-12,189.15
63MOONS,2014-01-03,223.0,217.4,2.58,7.34,2014-01-06,228.4
63MOONS,2023-11-21,383.95,403.1,-4.75,7.35,2023-11-22,403.1
63MOONS,2024-12-06,792.75,766.6,3.41,3.17,2024-12-09,795.0
63MOONS,2025-06-24,962.9,1031.65,-6.66,3.72,2025-06-25,975.0
AADHARHFC,2024-09-23,498.9,476.85,4.62,3.68,2024-09-24,500.8
AADHARHFC,2025-07-15,477.9,510.45,-6.38,6.91,2025-07-16,477.0
AADHARHFC,2026-01-02,500.55,539.85,-7.28,4.2,2026-01-05,504.95
AADHARHFC,2026-06-19,515.1,539.85,-4.58,10.1,2026-06-22,516.0
