symbol,mode,ipo_short_window,series_hash,split_cut,hist_bars,left_rim_date,left_rim_level,trough_date,trough_close,depth_pct,base_len_bars,trough_pos,fit_r2,fit_curvature,vertex_frac,flat_frac,vol_ratio,obv_gain,obv_filter_pass,base_qualify_date,tv20_cr_at_q,shelf_start_date,shelf_high,shelf_low,shelf_range_pct,shelf_S,shelf_ok_s20,shelf_ok_s30,ath_before_breakout,dist_to_ath_pct,ath_ge_095,ath_new_high,trigger_date,trigger_close,vol_multiple,volx_ge_5,volx_ge_9,days_q_to_trigger,trigger_day_move_pct,tv20_cr_at_trigger,entry_date,entry_open,pattern_quality,info_fwd60_pct,info_fwd120_pct,info_fwd250_pct,info_st73_exit_date,info_st73_ret_pct,info_st73_bars_held,info_st73_still_open,info_mfe_250_pct,info_mae_250_pct
CENTURYPLY,L120,0,64a50a718efa,0,2715,2016-10-19,262.55,2016-12-22,155.1,40.93,120,0.555,0.72,1.241e-04,0.543,0.433,1.23,0.4104,1,2017-03-09,4.39,2017-03-01,249.85,238.6,4.5,20,1,1,262.55,-2.0,1,0,2017-03-30,257.3,3.55,0,0,14,2.98,4.43,2017-03-31,258.0,0.4198,16.61,-4.21,35.37,2017-05-24,-6.57,36,0,40.7,-8.82
CENTURYPLY,L120,0,64a50a718efa,0,4507,2024-01-20,804.35,2024-03-27,626.1,22.16,120,0.529,0.809,3.595e-05,0.696,0.517,0.859,0.5349,0,2024-06-20,10.78,2024-05-29,724.15,649.35,10.33,20,1,1,821.8,-9.02,0,0,2024-06-27,747.65,3.95,0,0,5,4.46,9.8,2024-06-28,756.0,0.5568,21.23,5.32,0.53,2024-07-19,-9.31,15,0,23.68,-16.53
CENTURYPLY,L250,0,64a50a718efa,0,2079,2013-07-17,53.0,2014-02-26,22.15,58.21,250,0.699,0.766,5.750e-05,0.467,0.688,56.554,0.4104,1,2014-06-20,5.58,2014-07-25,89.8,79.95,10.97,20,1,0,94.4,-4.45,1,0,2014-08-26,90.2,2.52,0,0,45,4.22,1.88,2014-08-27,92.0,0.4388,85.49,142.83,57.82,2015-04-27,122.39,159,0,184.78,-3.75
CENTURYPLY,VAR,0,64a50a718efa,0,2715,2016-10-19,262.55,2016-12-22,155.1,40.93,90,0.494,0.909,2.295e-04,0.51,0.578,1.322,0.4236,1,2017-02-27,5.36,2017-03-01,249.85,238.6,4.5,20,1,1,262.55,-2.0,1,0,2017-03-30,257.3,3.55,0,0,22,2.98,4.43,2017-03-31,258.0,0.8238,16.61,-4.21,35.37,2017-05-24,-6.57,36,0,40.7,-8.82
CENTURYPLY,VAR,0,64a50a718efa,0,2878,2017-06-14,308.35,2017-09-06,239.1,22.46,91,0.633,0.74,5.820e-05,0.694,0.473,1.124,0.411,0,2017-10-26,6.42,2017-10-30,298.7,277.95,6.95,20,1,1,308.35,2.34,1,1,2017-11-27,315.55,3.26,0,0,22,6.77,7.75,2017-11-28,322.0,0.3236,-2.55,-15.98,-44.7,2018-01-29,-0.26,43,0,12.89,-53.42
CENTURYPLY,VAR,0,64a50a718efa,0,4261,2022-09-13,697.6,2023-03-28,442.15,36.62,194,0.699,0.865,2.948e-05,0.566,0.464,1.043,0.3291,0,2023-06-23,6.16,2023-06-01,635.8,563.05,11.44,20,1,0,719.7,-8.05,0,0,2023-06-30,661.8,2.97,0,0,4,4.09,7.71,2023-07-03,668.35,0.4641,-3.61,19.65,7.29,2023-08-11,-8.15,30,0,27.1,-11.12
CENTURYPLY,VAR,0,64a50a718efa,0,4507,2023-12-19,821.8,2024-03-27,626.1,23.81,128,0.535,0.815,3.294e-05,0.694,0.516,0.811,0.5198,0,2024-06-25,10.78,2024-05-29,724.15,649.35,10.33,20,1,1,821.8,-9.02,0,0,2024-06-27,747.65,3.95,0,0,2,4.46,9.8,2024-06-28,756.0,0.5663,21.23,5.32,0.53,2024-07-19,-9.31,15,0,23.68,-16.53
KMEW,L120,0,66ef6ac38ffc,0,239,2024-12-27,1170.6,2025-04-07,657.65,43.82,120,0.613,0.889,7.329e-05,0.698,0.575,1.097,0.2391,0,2025-06-16,2.87,2025-10-03,1209.25,1099.35,9.09,20,1,0,1280.85,5.45,1,1,2025-11-03,1350.6,14.55,1,1,96,11.69,9.48,2025-11-04,1365.0,0.6239,30.81,49.17,113.33,2026-02-23,13.7,76,0,132.6,-8.93
KMEW,L180,1,66ef6ac38ffc,0,239,2024-12-05,1189.7,2025-04-07,657.65,44.72,168,0.581,0.768,3.688e-05,0.696,0.494,1.362,0.5012,1,2025-07-18,9.37,2025-10-03,1209.25,1099.35,9.09,20,1,0,1280.85,5.45,1,1,2025-11-03,1350.6,14.55,1,1,72,11.69,9.48,2025-11-04,1365.0,0.5043,30.81,49.17,113.33,2026-02-23,13.7,76,0,132.6,-8.93
KMEW,L250,1,66ef6ac38ffc,0,239,2024-12-05,1189.7,2025-04-07,657.65,44.72,168,0.581,0.768,3.688e-05,0.696,0.494,1.362,0.5012,1,2025-07-18,9.37,2025-10-03,1209.25,1099.35,9.09,20,1,0,1280.85,5.45,1,1,2025-11-03,1350.6,14.55,1,1,72,11.69,9.48,2025-11-04,1365.0,0.5043,30.81,49.17,113.33,2026-02-23,13.7,76,0,132.6,-8.93
