Symbol,LeftRim_Date,LeftRim_Level,Trough_Date,Trough_Close,Depth_%,Base_Complete_Date,Breakout_Close_Date,Breakout_Close,Entry_Date,Entry_Price_NextOpen,Vol_RightHalf_vs_Left,Pattern_Score
CENTURYPLY,19-Oct-2016,262.55,22-Dec-2016,155.1,40.93,28-Feb-2017,11-Apr-2017,267.5,12-Apr-2017,269.6,1.39,0.82
CGCL,14-Jan-2016,9.05,20-Jun-2016,5.5,39.23,06-Oct-2016,06-Oct-2016,18.15,07-Oct-2016,18.6,8.8,0.81
SKFINDIA,11-Dec-2024,2336.5,13-Mar-2025,1705.9,26.99,04-Jun-2025,03-Jul-2025,2352.1,04-Jul-2025,2356.2,2.33,0.79
SPMLINFRA,19-Jul-2016,100.5,27-Jan-2017,50.0,50.25,21-Jul-2017,21-Jul-2017,179.9,24-Jul-2017,181.0,6.51,0.77
RICOAUTO,18-Jan-2023,93.45,27-Mar-2023,63.4,32.16,06-Jun-2023,20-Jun-2023,99.75,21-Jun-2023,100.95,0.72,0.76
NAVA,27-Sep-2005,18.15,26-Dec-2005,10.5,42.15,23-Mar-2006,23-Mar-2006,18.45,24-Mar-2006,18.8,2.23,0.76
THOMASCOOK,16-Dec-2008,37.9,09-Mar-2009,22.65,40.24,15-Jun-2009,15-Jun-2009,43.9,16-Jun-2009,43.55,3.24,0.76
SRF,08-Sep-2008,27.65,03-Feb-2009,12.7,54.07,02-Jun-2009,03-Jun-2009,27.75,04-Jun-2009,27.2,3.15,0.75
PARACABLES,07-Jan-2021,10.65,31-Mar-2021,8.2,23.0,01-Jul-2021,01-Jul-2021,17.1,02-Jul-2021,17.3,2.0,0.75
ABAN-BE,29-May-2013,312.55,03-Sep-2013,209.95,32.83,20-Nov-2013,25-Nov-2013,360.2,26-Nov-2013,368.9,2.05,0.75
ZIMLAB,23-Dec-2022,110.25,29-Mar-2023,68.9,37.51,19-Jun-2023,19-Jun-2023,114.4,20-Jun-2023,115.0,4.11,0.74
JAYSREETEA,24-Sep-2008,83.9,25-Feb-2009,34.23,59.2,23-Jun-2009,23-Jun-2009,101.72,24-Jun-2009,102.5,4.68,0.73
BALKRISIND,02-Apr-2019,1003.35,05-Aug-2019,693.25,30.91,13-Dec-2019,09-Jan-2020,1028.8,10-Jan-2020,1028.5,1.02,0.73
SUBEXLTD,25-Apr-2006,630.3,03-Aug-2006,390.1,38.11,03-Nov-2006,16-Nov-2006,637.3,17-Nov-2006,635.0,1.2,0.73
PENINLAND,06-Sep-2022,18.05,28-Mar-2023,11.5,36.29,29-Aug-2023,29-Aug-2023,34.75,30-Aug-2023,34.95,3.66,0.72
UNIVCABLES,20-Jan-2025,771.45,09-Apr-2025,411.15,46.7,04-Jul-2025,04-Jul-2025,786.75,07-Jul-2025,794.45,2.11,0.72
TTML,06-Jul-2021,54.1,07-Sep-2021,33.9,37.34,15-Dec-2021,15-Dec-2021,171.55,16-Dec-2021,180.1,1.66,0.72
HONDAPOWER,16-Dec-2024,2969.5,12-Mar-2025,1819.1,38.74,10-Jun-2025,10-Jul-2025,3020.4,11-Jul-2025,3021.0,2.26,0.71
BAJAJHCARE,03-Jan-2023,450.86,14-Jun-2023,278.57,38.21,21-Sep-2023,22-Sep-2023,462.44,25-Sep-2023,473.08,3.34,0.71
NAVA,30-Aug-2005,20.8,26-Dec-2005,10.5,49.52,04-Apr-2006,19-Apr-2006,21.45,20-Apr-2006,22.55,2.51,0.71
IIFL,06-Jan-2026,665.15,24-Apr-2026,419.35,36.95,13-Aug-2026,21-Aug-2026,681.0,24-Aug-2026,684.75,1.49,0.71
CONFIPET,03-Jan-2023,80.85,28-Mar-2023,56.15,30.55,27-Jun-2023,21-Aug-2023,85.53,22-Aug-2023,86.67,1.5,0.7
STCINDIA,30-Nov-2022,105.9,28-Mar-2023,65.7,37.96,24-Aug-2023,25-Aug-2023,106.05,28-Aug-2023,106.85,1.5,0.7
AJANTPHARM,07-Jul-2017,1032.65,03-Oct-2017,753.95,26.99,21-Dec-2017,19-Jan-2018,1040.05,22-Jan-2018,1040.65,1.41,0.7
VAKRANGEE,31-Jan-2023,26.95,08-Aug-2023,14.65,45.64,31-Jan-2024,31-Jan-2024,30.15,01-Feb-2024,31.45,3.88,0.7
JUSTDIAL,19-May-2017,509.15,10-Aug-2017,339.2,33.38,10-Nov-2017,13-Nov-2017,534.15,14-Nov-2017,534.15,1.39,0.7
RADICO,11-Jan-2016,121.35,24-May-2016,84.1,30.7,26-Sep-2016,28-Sep-2016,125.75,29-Sep-2016,128.6,1.43,0.7
CARTRADE,07-Jan-2026,2812.8,30-Apr-2026,1623.4,42.29,06-Jul-2026,14-Jul-2026,2897.8,15-Jul-2026,2915.0,1.74,0.7
LINCOLN,13-Jan-2016,234.69,26-May-2016,122.44,47.83,05-Oct-2016,21-Oct-2016,235.02,24-Oct-2016,237.11,1.53,0.7
HAVELLS,01-Oct-2008,29.58,27-Feb-2009,10.5,64.5,02-Jul-2009,02-Jul-2009,29.67,03-Jul-2009,29.4,3.56,0.69
JTEKTINDIA,30-Dec-2022,147.67,28-Mar-2023,94.11,36.27,26-Jun-2023,12-Jul-2023,147.97,13-Jul-2023,147.97,1.84,0.69
CHEMFAB,01-Apr-2022,249.39,20-Jun-2022,153.47,38.46,16-Sep-2022,16-Sep-2022,420.93,19-Sep-2022,414.18,1.68,0.69
SCHNEIDER,25-Apr-2022,149.15,20-Jun-2022,93.5,37.31,01-Sep-2022,08-Sep-2022,157.0,09-Sep-2022,159.8,0.82,0.69
SAKUMA,13-Jan-2021,1.4,30-Mar-2021,0.93,33.57,06-Jul-2021,06-Jul-2021,2.76,07-Jul-2021,2.63,1.49,0.68
DIXON,08-Dec-2022,4164.25,22-Feb-2023,2644.2,36.5,02-Jun-2023,12-Jun-2023,4185.05,13-Jun-2023,4207.85,1.42,0.68
INSECTICID,15-Jul-2013,175.1,12-Nov-2013,92.75,47.03,24-Jun-2014,24-Jun-2014,180.3,25-Jun-2014,179.85,4.4,0.68
NAHARPOLY,17-Dec-2024,309.6,03-Mar-2025,180.78,41.61,06-Jun-2025,06-Jun-2025,355.95,09-Jun-2025,355.1,0.79,0.68
RTNINDIA,02-Jan-2025,64.84,17-Mar-2025,38.38,40.81,27-Jun-2025,30-Jun-2025,64.93,01-Jul-2025,65.21,1.66,0.67
BLUEDART,19-Feb-2020,3014.2,17-Aug-2020,1885.6,37.44,02-Nov-2020,02-Nov-2020,3859.9,03-Nov-2020,3850.0,4.07,0.67
SHOPERSTOP,25-Oct-2016,354.0,28-Dec-2016,259.0,26.84,06-Apr-2017,07-Apr-2017,354.2,10-Apr-2017,354.7,4.75,0.67
XCHANGING,19-Jan-2021,88.04,20-Apr-2021,59.73,32.16,14-Jul-2021,14-Jul-2021,88.86,15-Jul-2021,89.44,2.31,0.67
MAHLIFE,15-Jan-2018,164.9,23-Mar-2018,126.9,23.04,28-May-2018,31-May-2018,166.95,01-Jun-2018,167.55,1.51,0.67
