variant,trades,wins,losses,win_rate_pct,avg_win,avg_loss,profit_factor,net_pnl,sharpe,max_dd_pct,cagr_pct,calmar
5min_macd_cross,134,45,89,33.58,1256.0,-1325.0,0.48,-61380.0,-5.63,23.22,-39.71,-1.71
5min_macd_zero,594,222,372,37.37,1227.0,-1240.0,0.59,-189083.0,-4.69,66.77,-54.55,-0.82
10min_macd_cross,46,17,29,36.96,1127.0,-1552.0,0.43,-25861.0,-6.89,10.35,-41.78,-4.04
10min_macd_zero,236,86,150,36.44,1425.0,-1545.0,0.53,-109190.0,-4.78,40.1,-47.88,-1.19
15min_macd_cross,23,9,14,39.13,1011.0,-1420.0,0.46,-10778.0,-5.06,3.59,-35.53,-9.89
15min_macd_zero,181,63,118,34.81,1662.0,-1497.0,0.59,-71938.0,-3.62,24.81,-38.32,-1.54
