variant,symbol,date,direction,entry_time,entry,stop,target,qty,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
15min_macd_zero_bb_bar1_2R,INDUSINDBK,2024-05-16,SHORT,2024-05-16T11:30:00,1400.40,1408.30,1384.60,214,2024-05-16T12:15:00,1408.30,STOP,-1690.60,-2141.40
15min_macd_zero_bb_bar1_2R,INDUSINDBK,2024-07-15,LONG,2024-07-15T13:30:00,1445.75,1440.45,1456.35,207,2024-07-15T15:15:00,1443.80,EOD,-403.65,-852.25
15min_macd_zero_bb_bar1_2R,INDUSINDBK,2024-09-25,SHORT,2024-09-25T13:30:00,1433.65,1436.95,1427.05,209,2024-09-25T13:45:00,1436.95,STOP,-689.70,-1139.67
15min_macd_zero_bb_bar1_2R,INDUSINDBK,2024-10-29,SHORT,2024-10-29T10:30:00,1029.00,1045.40,996.20,152,2024-10-29T15:15:00,1037.85,EOD,-1345.20,-1580.82
15min_macd_zero_bb_bar1_2R,INDUSINDBK,2025-01-15,LONG,2025-01-15T11:30:00,971.60,965.80,983.20,308,2025-01-15T13:00:00,965.80,STOP,-1786.40,-2233.94
15min_macd_zero_bb_bar1_2R,INDUSINDBK,2025-01-30,LONG,2025-01-30T10:45:00,966.00,955.00,988.00,227,2025-01-30T11:00:00,955.00,STOP,-2497.00,-2824.05
15min_macd_zero_bb_bar1_2R,INDUSINDBK,2025-04-16,LONG,2025-04-16T10:15:00,756.90,734.60,801.50,112,2025-04-16T15:15:00,787.50,EOD,3427.20,3297.47
15min_macd_zero_bb_bar1_2R,INDUSINDBK,2025-07-10,SHORT,2025-07-10T10:15:00,841.35,845.00,834.05,356,2025-07-10T10:15:00,845.00,STOP,-1299.40,-1749.66
15min_macd_zero_bb_bar1_2R,INDUSINDBK,2025-09-30,LONG,2025-09-30T14:00:00,733.20,729.65,740.30,409,2025-09-30T15:15:00,735.70,EOD,1022.50,571.91
15min_macd_zero_bb_bar1_2R,PNB,2024-04-05,LONG,2024-04-05T14:15:00,132.61,131.59,134.65,2262,2024-04-05T15:15:00,132.66,EOD,113.10,-336.93
