variant,trades,wins,losses,win_rate_pct,avg_win,avg_loss,profit_factor,net_pnl,sharpe,max_dd_pct,cagr_pct,calmar
15min_macd_zero_bb_bar1_2R,176,62,114,35.23,1649.0,-1510.0,0.59,-69845.0,-3.62,23.3,-37.94,-1.63
15min_macd_zero_bb_bar2_2R,176,60,116,34.09,1848.0,-1570.0,0.61,-71318.0,-3.6,23.77,-38.65,-1.63
15min_macd_zero_bb_bar1_15R,176,67,109,38.07,1619.0,-1536.0,0.65,-58894.0,-3.2,19.65,-32.52,-1.66
15min_macd_zero_bb_bar1_3R,176,61,115,34.66,1643.0,-1500.0,0.58,-72269.0,-3.72,24.11,-39.11,-1.62
