variant,trades,wins,losses,win_rate_pct,avg_win,avg_loss,profit_factor,net_pnl,sharpe,max_dd_pct,cagr_pct,calmar
15min_macd_zero_none,181,63,118,34.81,1662.0,-1497.0,0.59,-71938.0,-3.62,24.81,-38.32,-1.54
15min_macd_zero_cpr,179,62,117,34.64,1649.0,-1493.0,0.59,-72431.0,-3.69,24.16,-38.76,-1.6
15min_macd_zero_rsi50,181,63,118,34.81,1662.0,-1497.0,0.59,-71938.0,-3.62,24.81,-38.32,-1.54
15min_macd_zero_stoch,2,0,2,0.0,0,-1142.0,0.0,-2284.0,-15.92,0.76,-61.83,-81.2
15min_macd_zero_htf,157,51,106,32.48,1659.0,-1504.0,0.53,-74832.0,-4.35,24.96,-42.66,-1.71
15min_macd_zero_bb,176,62,114,35.23,1649.0,-1510.0,0.59,-69845.0,-3.62,23.3,-37.94,-1.63
15min_macd_zero_confluence,156,51,105,32.69,1659.0,-1500.0,0.54,-72885.0,-4.25,24.31,-41.7,-1.71
