date,nav
2006-01-02,1.0
2006-01-03,1.0001984126984127
2006-01-04,1.0003968647644244
2006-01-05,1.0005953562058458
2006-01-06,1.0007938870304898
2006-01-09,1.0009924572461706
2006-01-10,1.0011910668607036
2006-01-12,1.001389715881906
2006-01-13,1.0015884043175969
2006-01-16,1.0017871321755965
2006-01-17,1.0019858994637265
2006-01-18,1.0021847061898106
2006-01-19,1.0023835523616735
2006-01-20,1.0025824379871422
2006-01-23,1.0027813630740443
2006-01-24,1.0029803276302098
2006-01-25,1.0031793316634698
2006-01-27,1.003378375181657
2006-01-30,1.0035774581926058
2006-01-31,1.0037765807041519
2006-02-01,1.003975742724133
2006-02-02,1.0041749442603876
2006-02-03,1.0043741853207566
2006-02-06,1.0045734659130823
2006-02-07,1.004772786045208
2006-02-08,1.0049721457249787
2006-02-10,1.0051715449602416
2006-02-13,1.005370983758845
2006-02-14,1.0055704621286383
2006-02-15,1.0057699800774733
2006-02-16,1.005969537613203
2006-02-17,1.0061691347436819
2006-02-20,1.006368771476766
2006-02-21,1.0065684478203127
2006-02-22,1.006768163782182
2006-02-23,1.0069679193702339
2006-02-24,1.0071677145923312
2006-02-27,1.0073675494563377
2006-02-28,1.0075674239701187
2006-03-01,1.0077673381415413
2006-03-02,1.0079672919784741
2006-03-03,1.0081672854887873
2006-03-06,1.0083673186803526
2006-03-07,1.0085673915610431
2006-03-08,1.0087675041387338
2006-03-09,1.008967656421301
2006-03-10,1.0091678484166227
2006-03-13,1.0093680801325784
2006-03-14,1.009568351577049
2006-03-16,1.0097686627579174
2006-03-17,1.009969013683068
2006-03-20,1.010169404360386
2006-03-21,1.010369834797759
2006-03-22,1.010570305003076
2006-03-23,1.0107708149842274
2006-03-24,1.0109713647491052
2006-03-27,1.011171954305603
2006-03-28,1.011372583661616
2006-03-29,1.011573252825041
2006-03-30,1.0117739618037762
2006-03-31,1.0119747106057213
2006-04-03,1.0121754992387781
2006-04-04,1.0123763277108493
2006-04-05,1.0125771960298395
2006-04-07,1.012778104203655
2006-04-10,1.0129790522402031
2006-04-12,1.0131800401473938
2006-04-13,1.0133810679331374
2006-04-17,1.0135821356053463
2006-04-18,1.0137832431719347
2006-04-19,1.013984390640818
2006-04-20,1.0479974390001985
2006-04-21,1.0860598695086656
2006-04-24,1.0862753575780126
2006-04-25,1.0864908884029287
2006-04-26,1.0805452311049395
2006-04-27,1.0858837968657014
2006-04-28,1.0775462011505654
2006-04-29,1.086722468553732
2006-05-02,1.0810365086292402
2006-05-03,1.0863053382265424
2006-05-04,1.0933186966871653
2006-05-05,1.1018671255703234
2006-05-08,1.091436445149772
2006-05-09,1.0867275044634002
2006-05-10,1.0895544435627853
2006-05-11,1.099568206705019
2006-05-12,1.099464602261456
2006-05-15,1.0981748581630628
2006-05-16,1.1064444673675857
2006-05-17,1.1177842174171793
2006-05-18,1.0878862745487008
2006-05-19,1.0781537056139656
2006-05-22,1.0534869898822359
2006-05-23,1.0536960150786412
2006-05-24,1.0539050817482996
2006-05-25,1.0541141898994402
2006-05-26,1.0543233395402933
2006-05-29,1.054532530679091
2006-05-30,1.0547417633240672
2006-05-31,1.0549510374834568
2006-06-01,1.0551603531654972
2006-06-02,1.055369710378427
2006-06-05,1.0555791091304862
2006-06-06,1.0557885494299166
2006-06-07,1.0559980312849624
2006-06-08,1.056207554703868
2006-06-09,1.0564171196948806
2006-06-12,1.0566267262662488
2006-06-13,1.0568363744262224
2006-06-14,1.0570460641830528
2006-06-15,1.0572557955449937
2006-06-16,1.0574655685203005
2006-06-19,1.057675383117229
2006-06-20,1.0578852393440379
2006-06-21,1.058095137208987
2006-06-22,1.0583050767203381
2006-06-23,1.0585150578863538
2006-06-25,1.0587250807152997
2006-06-26,1.0589351452154414
2006-06-27,1.0591452513950477
2006-06-28,1.0593553992623879
2006-06-29,1.0595655888257336
2006-06-30,1.0597758200933578
2006-07-03,1.0599860930735352
2006-07-04,1.0601964077745418
2006-07-05,1.060406764204656
2006-07-06,1.0606171623721568
2006-07-07,1.0608276022853258
2006-07-10,1.0610380839524458
2006-07-11,1.0612486073818015
2006-07-12,1.0614591725816787
2006-07-13,1.0616697795603656
2006-07-14,1.0618804283261514
2006-07-17,1.062091118887327
2006-07-18,1.0623018512521858
2006-07-19,1.0625126254290214
2006-07-20,1.0627234414261302
2006-07-21,1.06293429925181
2006-07-24,1.06314519891436
2006-07-25,1.063356140422081
2006-07-26,1.063567123783276
2006-07-27,1.063778149006249
2006-07-28,1.0639892160993059
2006-07-31,1.0642003250707541
2006-08-01,1.0644114759289032
2006-08-02,1.0646226686820637
2006-08-03,1.0648339033385483
2006-08-04,1.0623142233683793
2006-08-07,1.0624493215631818
2006-08-08,1.0684026403491371
2006-08-09,1.083304683594525
2006-08-10,1.0789689188653044
2006-08-11,1.073827688950605
2006-08-14,1.073666470938306
2006-08-16,1.0816343900019838
2006-08-17,1.0943626145606031
2006-08-18,1.0862737195000993
2006-08-21,1.0849638543939695
2006-08-22,1.0846239218409046
2006-08-23,1.086224104344376
2006-08-24,1.097847673080738
2006-08-25,1.105083487403293
2006-08-28,1.1052760741916288
2006-08-29,1.1316927077960723
2006-08-30,1.12205137075977
2006-08-31,1.1025759849236263
2006-09-01,1.107614360245983
2006-09-04,1.109374760960127
2006-09-05,1.1205416703035112
2006-09-06,1.1126106189248166
2006-09-07,1.1132308708589567
2006-09-08,1.1540422733584608
2006-09-11,1.150244401904384
2006-09-12,1.1799391350922437
2006-09-13,1.1818421325133903
2006-09-14,1.1790419381075183
2006-09-15,1.1592817337829797
2006-09-18,1.1838456099980164
2006-09-19,1.1984330906566159
2006-09-20,1.2372665106129737
