,nav
2016-01-01,1.0
2016-01-04,0.9997888526447738
2016-01-05,0.9989487637003568
2016-01-06,1.000477800587137
2016-01-07,0.9840896279893634
2016-01-08,0.9928477427547642
2016-01-11,0.997220955768692
2016-01-12,0.9891341620794102
2016-01-13,0.9712904603774924
2016-01-14,0.959261811844329
2016-01-15,0.9412480296351377
2016-01-18,0.9320409298334461
2016-01-19,0.9321048115969278
2016-01-20,0.9304448858522896
2016-01-21,0.9302973077274557
2016-01-22,0.9351570097484071
2016-01-25,0.9366167267959495
2016-01-27,0.9348938568870979
2016-01-28,0.9325357947272668
2016-01-29,0.9315958202074645
2016-02-01,0.9318634110386437
2016-02-02,0.9356610631150573
2016-02-03,0.9296973067023471
2016-02-04,0.9299535838356886
2016-02-05,0.9398628829827358
2016-02-08,0.9211298996281231
2016-02-09,0.9147232838276752
2016-02-10,0.9052352167785764
2016-02-11,0.8848856872721399
2016-02-12,0.8839423999015896
2016-02-15,0.8942673055509752
2016-02-16,0.8869894100037842
2016-02-17,0.8868628966091785
2016-02-18,0.8904401503509184
2016-02-19,0.8897963321866703
2016-02-22,0.8917389128573988
2016-02-23,0.8888786100228362
2016-02-24,0.8902416293325056
2016-02-25,0.8929350394973068
2016-02-26,0.8920190050121557
2016-02-29,0.8921332671096552
2016-03-01,0.8920641972968888
2016-03-02,0.8947874856250405
2016-03-03,0.8962928325036413
2016-03-04,0.8962158243504031
2016-03-08,0.8969197738810597
2016-03-09,0.8978480596633168
2016-03-10,0.8972969388133969
2016-03-11,0.8988879197585045
2016-03-14,0.9019576197629924
2016-03-15,0.895571381119976
2016-03-16,0.8933223305017419
2016-03-17,0.8958169696216587
2016-03-18,0.8950280110906742
2016-03-21,0.8968629553653993
2016-03-22,0.8895336793783042
2016-03-23,0.8968028239989909
2016-03-28,0.8817421044453081
2016-03-29,0.8765593057164928
2016-03-30,0.8872540005173047
2016-03-31,0.8870744190041121
2016-04-01,0.88621820335228
2016-04-04,0.8908680081503629
2016-04-05,0.8785004487350098
2016-04-06,0.8706039251905795
2016-04-07,0.8651502852864547
2016-04-08,0.8742695007833955
2016-04-11,0.8798360901460442
2016-04-12,0.8823207907137168
2016-04-13,0.8823123523203019
2016-04-18,0.9037703116817493
2016-04-20,0.9002623777792473
2016-04-21,0.8880207691989389
2016-04-22,0.8847769882636324
2016-04-25,0.8764279793123096
2016-04-26,0.8863751574697971
2016-04-27,0.8882926104801346
2016-04-28,0.8760777547322823
2016-04-29,0.8773404509202412
2016-05-02,0.8859194842253924
2016-05-03,0.8672669468880018
2016-05-04,0.8647696824901336
2016-05-05,0.8666064394567775
2016-05-06,0.8663435366219399
2016-05-09,0.8821006424055147
2016-05-10,0.8876666692086025
2016-05-11,0.888616019721088
2016-05-12,0.8947150404549081
2016-05-13,0.8875490942603548
2016-05-16,0.8881007776698358
2016-05-17,0.8867870760816802
2016-05-18,0.8851233999399687
2016-05-19,0.8805522909738068
2016-05-20,0.8752341654172635
2016-05-23,0.8699138521290942
2016-05-24,0.8689810658703491
2016-05-25,0.8715777157906593
2016-05-26,0.8814403224941441
2016-05-27,0.8931181213811012
2016-05-30,0.8948253646354808
2016-05-31,0.8859878039587441
2016-06-01,0.885907920501083
2016-06-02,0.8972803120530386
2016-06-03,0.8998972141175446
2016-06-06,0.8967090015655408
2016-06-07,0.9065721708285864
2016-06-08,0.9025880615110125
2016-06-09,0.8885998305070549
2016-06-10,0.8819889430793485
2016-06-13,0.8800724276682794
2016-06-14,0.8820733895201155
2016-06-15,0.8853772393152125
2016-06-16,0.8802228810975362
2016-06-17,0.8860654996847791
2016-06-20,0.888480755399978
2016-06-21,0.8906483598951039
2016-06-22,0.8887051541581965
2016-06-23,0.8888791100757792
2016-06-24,0.8792810313791972
2016-06-27,0.8879880782377835
2016-06-28,0.8885482000406794
2016-06-29,0.8976625400214248
2016-06-30,0.9134814023434731
2016-07-01,0.9227615723814759
2016-07-04,0.9238153714524525
2016-07-05,0.9280125658304073
2016-07-07,0.9213551734789921
2016-07-08,0.9241651584861548
2016-07-11,0.9391819358874621
2016-07-12,0.9378429191190617
2016-07-13,0.9336812285000674
2016-07-14,0.9372224159232859
2016-07-15,0.939077424822353
2016-07-18,0.9393907079912086
2016-07-19,0.9432797447429747
2016-07-20,0.9450613083660232
2016-07-21,0.9476343932913898
2016-07-22,0.9513150954857346
2016-07-25,0.9574557456270683
2016-07-26,0.9659119534280692
2016-07-27,0.9670133825418766
2016-07-28,0.9806576396275956
2016-07-29,0.9809159794793274
2016-08-01,0.9989718286423576
2016-08-02,1.0004517978340957
2016-08-03,0.9735178211993195
2016-08-04,0.9743605354216878
2016-08-05,0.9941950103967258
2016-08-08,0.9967173399483671
2016-08-09,0.9961169013769333
2016-08-10,0.9776762614741836
2016-08-11,0.9775513107450251
2016-08-12,0.9831910953572209
2016-08-16,0.9869491807445113
2016-08-17,0.9913500841901637
2016-08-18,0.9982760674786443
2016-08-19,1.000420919564859
2016-08-22,1.0002636529142523
2016-08-23,0.9962900447084835
2016-08-24,1.002093721672782
2016-08-25,0.9991852887424456
2016-08-26,1.0024815752367782
2016-08-29,1.0098251652393697
2016-08-30,1.018903938954537
2016-08-31,1.030328586039047
2016-09-01,1.0287907982257622
2016-09-02,1.0311181071295923
2016-09-06,1.04635834568985
2016-09-07,1.041153982177863
2016-09-08,1.0521910257248486
2016-09-09,1.0457453432882207
2016-09-12,1.014349581761969
2016-09-14,1.020879085573185
2016-09-15,1.021043415471613
2016-09-16,1.0178158862569575
2016-09-19,1.0164209885721651
2016-09-20,1.0236753816310302
2016-09-21,1.0201253807746895
2016-09-22,1.0428241590078349
2016-09-23,1.0462438960724967
2016-09-26,1.035945305709242
2016-09-27,1.0354027482659727
2016-09-28,1.0428114701644036
2016-09-29,1.0124743207187061
2016-09-30,1.021576096869256
2016-10-03,1.0666039266907383
2016-10-04,1.0715618266083922
2016-10-05,1.0656244479884307
2016-10-06,1.0545021454146457
2016-10-07,1.0597160724391694
2016-10-10,1.0629280375059709
2016-10-13,1.0444826471002617
2016-10-14,1.0476011022667024
2016-10-17,1.0398010889402916
2016-10-18,1.047207310574007
2016-10-19,1.0523027875576327
2016-10-20,1.051751479187859
2016-10-21,1.0494834890644047
2016-10-24,1.0467647012127408
2016-10-25,1.0529644826145967
2016-10-26,1.0514149435571492
2016-10-27,1.0303025207793874
2016-10-28,1.0369275972093546
2016-10-30,0.8595916967708956
2016-11-01,1.0515319559458358
2016-11-02,1.0287032889607186
2016-11-03,1.0219235711580963
2016-11-04,1.002381564648157
2016-11-07,1.0146272361586284
2016-11-08,1.0160766396142191
2016-11-09,0.9934631204078732
2016-11-10,1.0047993206280714
2016-11-11,0.9672139662786797
2016-11-15,0.9332013026879221
2016-11-16,0.9273556837830206
2016-11-17,0.9316395123333683
2016-11-18,0.9391869364168931
2016-11-21,0.9329171476030025
2016-11-22,0.9410060040106746
2016-11-23,0.9447577762295583
2016-11-24,0.9482912753387764
2016-11-25,0.948900214810243
2016-11-28,0.9521260563462156
2016-11-29,0.9505511396019054
2016-11-30,0.9537051610339244
2016-12-01,0.952278509987245
2016-12-02,0.9521489337683627
2016-12-05,0.9598236213259079
2016-12-06,0.9646482571342241
2016-12-07,0.96597408500625
2016-12-08,0.9693803831480658
2016-12-09,0.9720515409568988
2016-12-12,0.9706056378719097
2016-12-13,0.9670177580051288
2016-12-14,0.9515871242867838
2016-12-15,0.9701162110538454
2016-12-16,0.970801096066046
2016-12-19,0.951888906237948
2016-12-20,0.9430994756569852
2016-12-21,0.9490862345050782
2016-12-22,0.9342509763221181
2016-12-23,0.9295972336071081
2016-12-26,0.9250739422036308
2016-12-27,0.9241442187691622
2016-12-28,0.9262954465304014
2016-12-29,0.9309223739063374
2016-12-30,0.9379041756045922
2017-01-02,0.9414426127366234
2017-01-03,0.9556988721180855
2017-01-04,0.9525363497860336
2017-01-05,0.9538191731049525
