date,nav
2006-01-02,1.0
2006-01-03,1.000206349206349
2006-01-04,1.0004127409926933
2006-01-05,1.0006191753678186
2006-01-06,1.0008256523405135
2006-01-09,1.0010321719195676
2006-01-10,1.0012387341137732
2006-01-12,1.0014453389319236
2006-01-13,1.0016519863828142
2006-01-16,1.0018586764752424
2006-01-17,1.002065409218007
2006-01-18,1.002272184619909
2006-01-19,1.0024790026897512
2006-01-20,1.0026858634363378
2006-01-23,1.0028927668684753
2006-01-24,1.003099712994972
2006-01-25,1.0033067018246373
2006-01-27,1.0035137333662836
2006-01-30,1.0037208076287243
2006-01-31,1.0039279246207744
2006-02-01,1.0041350843512515
2006-02-02,1.0043422868289746
2006-02-03,1.0045495320627649
2006-02-06,1.0047568200614443
2006-02-07,1.0049641508338378
2006-02-08,1.0051715243887716
2006-02-10,1.005378940735074
2006-02-13,1.0055863998815746
2006-02-14,1.0057939018371056
2006-02-15,1.0060014466105005
2006-02-16,1.0062090342105947
2006-02-17,1.0064166646462254
2006-02-20,1.0066243379262316
2006-02-21,1.0068320540594544
2006-02-22,1.0070398130547364
2006-02-23,1.0072476149209222
2006-02-24,1.0074554596668581
2006-02-27,1.0076633473013925
2006-02-28,1.0078712778333752
2006-03-01,1.008079251271658
2006-03-02,1.008287267625095
2006-03-03,1.0084953269025412
2006-03-06,1.0087034291128543
2006-03-07,1.0089115742648935
2006-03-08,1.0091197623675194
2006-03-09,1.0093279934295951
2006-03-10,1.0095362674599853
2006-03-13,1.009744584467556
2006-03-14,1.0099529444611763
2006-03-16,1.010161347449716
2006-03-17,1.0103697934420468
2006-03-20,1.0105782824470426
2006-03-21,1.0107868144735792
2006-03-22,1.010995389530534
2006-03-23,1.011204007626786
2006-03-24,1.011412668771217
2006-03-27,1.0116213729727093
2006-03-28,1.011830120240148
2006-03-29,1.0120389105824197
2006-03-30,1.0122477440084128
2006-03-31,1.0124566205270176
2006-04-03,1.0126655401471263
2006-04-04,1.0128745028776327
2006-04-05,1.0130835087274328
2006-04-07,1.013292557705424
2006-04-10,1.013501649820506
2006-04-12,1.0137107850815799
2006-04-13,1.013919963497549
2006-04-17,1.0141291850773182
2006-04-18,1.0143384498297945
2006-04-19,1.0145477577638862
2006-04-20,1.0485838755494898
2006-04-21,1.086669711891446
2006-04-24,1.0868939453240585
2006-04-25,1.0871182250270617
2006-04-26,1.0811777748242428
2006-04-27,1.0865264211353214
2006-04-28,1.0781911411137386
2006-04-29,1.0873796112790255
2006-05-02,1.0816974175963692
2006-05-03,1.0869763282973355
2006-05-04,1.0940006288384938
2006-05-05,1.1025608624410836
2006-05-08,1.0921313895545364
2006-05-09,1.087426860330408
2006-05-10,1.0902622752447908
2006-05-11,1.1002889562471236
2006-05-12,1.1001922262072907
2006-05-15,1.0989087410534335
2006-05-16,1.1071900322155748
2006-05-17,1.118543314474791
2006-05-18,1.0886356109056863
2006-05-19,1.0789046188881661
2006-05-22,1.0542309546658655
2006-05-23,1.0544484943866694
2006-05-24,1.0546660789966222
2006-05-25,1.0548837085049865
2006-05-26,1.055101382921027
2006-05-29,1.0553191022540105
2006-05-30,1.0555368665132057
2006-05-31,1.0557546757078828
2006-06-01,1.0559725298473146
2006-06-02,1.056190428940775
2006-06-05,1.0564083729975404
2006-06-06,1.056626362026889
2006-06-07,1.0568443960381007
2006-06-08,1.0570624750404578
2006-06-09,1.057280599043244
2006-06-12,1.0574987680557448
2006-06-13,1.0577169820872483
2006-06-14,1.0579352411470437
2006-06-15,1.0581535452444233
2006-06-16,1.05837189438868
2006-06-19,1.0585902885891092
2006-06-20,1.0588087278550085
2006-06-21,1.0590272121956767
2006-06-22,1.0592457416204153
2006-06-23,1.0594643161385275
2006-06-25,1.0596829357593178
2006-06-26,1.0599016004920934
2006-06-27,1.0601203103461632
2006-06-28,1.0603390653308375
2006-06-29,1.0605578654554295
2006-06-30,1.0607767107292536
2006-07-03,1.0609956011616262
2006-07-04,1.0612145367618657
2006-07-05,1.0614335175392924
2006-07-06,1.0616525435032291
2006-07-07,1.0618716146629994
2006-07-10,1.06209073102793
2006-07-11,1.0623098926073484
2006-07-12,1.0625290994105847
2006-07-13,1.0627483514469709
2006-07-14,1.0629676487258408
2006-07-17,1.0631869912565302
2006-07-18,1.0634063790483765
2006-07-19,1.0636258121107198
2006-07-20,1.0638452904529012
2006-07-21,1.0640648140842646
2006-07-24,1.0642843830141548
2006-07-25,1.0645039972519195
2006-07-26,1.0647236568069078
2006-07-27,1.0649433616884711
2006-07-28,1.0651631119059624
2006-07-31,1.0653829074687364
2006-08-01,1.0656027483861503
2006-08-02,1.0658226346675632
2006-08-03,1.0660425663223358
2006-08-04,1.0635279168584262
2006-08-07,1.0636700125370957
2006-08-08,1.0696382809896372
2006-08-09,1.0845672004189613
2006-08-10,1.0802308452224145
2006-08-11,1.0750879064637457
2006-08-14,1.0749316886991573
2006-08-16,1.0829156662117343
2006-08-17,1.0956664101058513
2006-08-18,1.0875715804675228
2006-08-21,1.0862633504197547
2006-08-22,1.0859266698935142
2006-08-23,1.0875325885134814
2006-08-24,1.0991759359179853
2006-08-25,1.1064253150143621
2006-08-28,1.1066201498103567
2006-08-29,1.1330755657562726
2006-08-30,1.1234228075952581
2006-08-31,1.1039222065288117
2006-09-01,1.108969664989764
2006-09-04,1.1107344258327647
2006-09-05,1.1219188679320142
2006-09-06,1.1139787563677337
2006-09-07,1.1146017528129117
2006-09-08,1.1554721942297623
2006-09-11,1.151670978607589
2006-09-12,1.1814090921714568
2006-09-13,1.1833165735641853
2006-09-14,1.1805145267643187
2006-09-15,1.1607287345468396
2006-09-18,1.185329033294717
2006-09-19,1.1999386436132229
2006-09-20,1.2388283687493058
2006-09-21,1.2366953089045118
2006-09-22,1.2416395386666244
2006-09-25,1.233747667148049
2006-09-26,1.239802167806643
2006-09-27,1.2407222279529622
2006-09-28,1.2325526637360547
2006-09-29,1.2413133559741643
2006-10-03,1.2437601010902513
2006-10-04,1.231843810007459
2006-10-05,1.2459473997429102
2006-10-06,1.2518633040007618
2006-10-09,1.2433471862948917
2006-10-10,1.2391328059289355
2006-10-11,1.2283363846293034
2006-10-12,1.2258606696237286
2006-10-13,1.249037762049101
2006-10-16,1.270241761620618
2006-10-17,1.2655459805913067
2006-10-18,1.2480249710377225
2006-10-19,1.323019371002809
2006-10-20,1.3913290253598465
2006-10-21,1.4262424493855101
2006-10-23,1.4265367533830022
2006-10-26,1.4268311181098907
2006-10-27,1.427125543578707
2006-10-30,1.427420029801985
2006-10-31,1.4277145767922614
2006-11-01,1.4280091845620755
2006-11-02,1.4283038531239691
2006-11-03,1.4285985824904865
2006-11-06,1.4288933726741748
2006-11-07,1.4291882236875835
2006-11-08,1.429483135543265
2006-11-09,1.4297781082537737
2006-11-10,1.4300731418316672
2006-11-13,1.4303682362895052
2006-11-14,1.4306633916398506
2006-11-15,1.430958607895268
2006-11-16,1.4312538850683256
2006-11-17,1.4315492231715936
2006-11-20,1.4318446222176446
2006-11-21,1.4321400822190544
2006-11-22,1.432435603188401
2006-11-23,1.432731185138265
2006-11-24,1.4330268280812297
2006-11-27,1.4333225320298812
2006-11-28,1.4336182969968079
2006-11-29,1.4339141229946009
2006-11-30,1.4582114742196055
2006-12-01,1.4692875636773366
2006-12-04,1.4745128604414963
2006-12-05,1.5123865452366974
2006-12-06,1.5144205005316365
2006-12-07,1.5359643049846858
2006-12-08,1.5138402452668498
2006-12-11,1.4477552568517609
2006-12-12,1.3790866053200725
2006-12-13,1.3793711787465672
2006-12-14,1.3796558108945622
2006-12-15,1.3799405017761754
2006-12-18,1.380225251403526
2006-12-19,1.3690126303302494
2006-12-20,1.3903638495231143
2006-12-21,1.5058791380350087
2006-12-22,1.5444039594062187
2006-12-26,1.5447226459375245
2006-12-27,1.545041398229543
2006-12-28,1.5453602162958442
2006-12-29,1.5456791001500003
2007-01-02,1.5459980498055867
2007-01-03,1.5463170652761813
2007-01-04,1.5344193737800138
2007-01-05,1.5468415604716488
2007-01-08,1.555130849983337
2007-01-09,1.543485253043023
2007-01-10,1.5135416818751688
2007-01-11,1.5300480258041993
2007-01-12,1.5163224830590514
2007-01-15,1.521073627664133
2007-01-16,1.531060816815578
2007-01-17,1.5444455548855
2007-01-18,1.564986316315681
2007-01-19,1.5369267313887611
2007-01-22,1.544152240410709
2007-01-23,1.542963235760875
2007-01-24,1.555839953660356
2007-01-25,1.557530604795836
2007-01-29,1.5647043744941522
2007-01-31,1.5446300168219258
2007-02-01,1.5224347218034375
2007-02-02,1.5243008367321031
2007-02-05,1.527176743291067
2007-02-06,1.5254077333248697
2007-02-07,1.5252543899671498
2007-02-08,1.5174762038599683
2007-02-09,1.5177893338702886
2007-02-12,1.5181025284947378
2007-02-13,1.5184157877466493
2007-02-14,1.5187291116393589
2007-02-15,1.519042500186205
2007-02-19,1.519355953400529
2007-02-20,1.5196694712956749
2007-02-21,1.5199830538849899
2007-02-22,1.5202967011818231
2007-02-23,1.520610413199527
2007-02-26,1.5209241899514572
2007-02-27,1.5212380314509708
2007-02-28,1.5215519377114288
2007-03-01,1.5218659087461945
2007-03-02,1.522179944568634
2007-03-05,1.5224940451921163
2007-03-06,1.522808210630013
2007-03-07,1.5231224408956983
2007-03-08,1.5234367360025496
2007-03-09,1.5237510959639466
2007-03-12,1.5240655207932723
2007-03-13,1.5243800105039123
2007-03-14,1.524694565109254
2007-03-15,1.5250091846226892
2007-03-16,1.5253238690576112
2007-03-19,1.5256386184274167
2007-03-20,1.5259534327455047
2007-03-21,1.5262683120252774
2007-03-22,1.5265832562801396
2007-03-23,1.5268982655234988
2007-03-26,1.5272133397687655
2007-03-28,1.5275284790293526
2007-03-29,1.527843683318676
2007-03-30,1.5281589526501542
2007-04-02,1.4358183049914937
2007-04-03,1.43611458495919
2007-04-04,1.4364109260640228
2007-04-05,1.4367073283186074
2007-04-09,1.4370037917355618
2007-04-10,1.437300316327507
2007-04-11,1.432786345674702
2007-04-12,1.433010299462016
2007-04-13,1.4411839878279087
2007-04-16,1.4645927824417184
2007-04-17,1.4400860893783825
2007-04-18,1.4434548942281753
2007-04-19,1.4238420663196485
2007-04-20,1.437609850348341
2007-04-23,1.4329514366083191
2007-04-24,1.4812787143129198
2007-04-25,1.5327379707361974
2007-04-26,1.5098508184819006
2007-04-27,1.4751692250011903
2007-04-30,1.483729583577992
2007-05-03,1.4905295554092015
2007-05-04,1.4797614024090269
2007-05-07,1.464144125021821
2007-05-08,1.4467837073302336
2007-05-09,1.4620413089362514
2007-05-10,1.4859869927633982
2007-05-11,1.4927987121705046
2007-05-14,1.5131631349880186
2007-05-15,1.5162071318616794
2007-05-16,1.5595745580277087
2007-05-17,1.5929867884404807
2007-05-18,1.5857619042895912
2007-05-21,1.6092156896196024
2007-05-22,1.573048402710552
2007-05-23,1.577117563042547
2007-05-24,1.5656681756145558
2007-05-25,1.6068629251106916
2007-05-28,1.6123897846476125
2007-05-29,1.633313217113929
2007-05-30,1.6020412950502279
2007-05-31,1.613457314363703
2007-06-01,1.6182964408138005
2007-06-04,1.5965445542983197
2007-06-05,1.6060243481503818
2007-06-06,1.5858520106962057
2007-06-07,1.570567789583102
2007-06-08,1.5567037715153202
2007-06-11,1.557024996103093
2007-06-12,1.5573462869753045
2007-06-13,1.5576676441456327
2007-06-14,1.5579890676277577
2007-06-15,1.5583105574353633
2007-06-18,1.5586321135821355
2007-06-19,1.5589537360817634
2007-06-20,1.5592754249479388
2007-06-21,1.5540663196483266
2007-06-22,1.5598091346230145
2007-06-25,1.5841541110564488
2007-06-26,1.5997341461285768
2007-06-27,1.6008629132083858
2007-06-28,1.5939518393030012
2007-06-29,1.5675875295573931
2007-07-02,1.5668171885166555
2007-07-03,1.5945647128370337
2007-07-04,1.6124731424467968
2007-07-05,1.6036058472061323
2007-07-06,1.6041768543792552
2007-07-09,1.5996789075270184
2007-07-10,1.6497584486534527
2007-07-11,1.7313608600606225
2007-07-12,1.7508174702045611
2007-07-13,1.7621987466871918
2007-07-16,1.8196241470014125
2007-07-17,1.8134465467443228
2007-07-18,1.823824030358815
2007-07-19,1.8778293863964581
2007-07-20,1.867358796994271
2007-07-23,1.8684584450827608
2007-07-24,1.847275691127228
2007-07-25,1.8346135539491852
2007-07-26,1.8137292384111217
2007-07-27,1.7838713995524735
2007-07-30,1.7714997024423533
2007-07-31,1.789395009759891
2007-08-01,1.73308551392954
2007-08-02,1.7334431347498744
2007-08-03,1.7338008293649814
2007-08-06,1.7341585977900882
2007-08-07,1.7345164400404256
2007-08-08,1.7348743561312276
2007-08-09,1.7352323460777306
2007-08-10,1.735590409895175
2007-08-13,1.7359485475988041
2007-08-14,1.7363067592038641
2007-08-16,1.7366650447256042
2007-08-17,1.7370234041792776
2007-08-20,1.7373818375801398
2007-08-21,1.7377403449434496
2007-08-22,1.7380989262844697
2007-08-23,1.7384575816184646
2007-08-24,1.738816310960703
2007-08-27,1.7391751143264567
2007-08-28,1.7395339917310002
2007-08-29,1.7398929431896113
2007-08-30,1.7402519687175708
2007-08-31,1.7406110683301632
2007-09-03,1.7409702420426756
2007-09-04,1.7413294898703986
2007-09-05,1.7478009676574677
2007-09-06,1.7461134408772794
2007-09-07,1.7399984527002366
2007-09-10,1.7416968522368401
2007-09-11,1.7376395644549538
2007-09-12,1.7468387912018157
2007-09-13,1.757326627045213
2007-09-14,1.7592542292860205
2007-09-17,1.7438472834970564
2007-09-18,1.7519201176741308
2007-09-19,1.8148989970323586
2007-09-20,1.8956822024820277
2007-09-21,1.915492489644994
2007-09-24,1.9671208361766621
2007-09-25,1.9206434267532098
2007-09-26,1.9038318957992797
2007-09-27,1.9310625267801884
