,offset0,offset1,offset2,offset3,offset4,offset5,offset6,offset7,offset8,offset9,offset10,offset11
2018-08-01,10002063.49206349,10002063.49206349,10002063.49206349,10002063.49206349,10002063.49206349,10002063.49206349,10002063.49206349,10002063.49206349,10002063.49206349,10002063.49206349,10002063.49206349,10002063.49206349
2018-08-02,9916134.0,10004127.40992693,10004127.40992693,10004127.40992693,10004127.40992693,10004127.40992693,10004127.40992693,10004127.40992693,10004127.40992693,10004127.40992693,10004127.40992693,10004127.40992693
2018-08-03,9963280.0,9988415.0,10006191.753678184,10006191.753678184,10006191.753678184,10006191.753678184,10006191.753678184,10006191.753678184,10006191.753678184,10006191.753678184,10006191.753678184,10006191.753678184
2018-08-06,9962351.0,9999165.0,9961087.0,10008256.523405133,10008256.523405133,10008256.523405133,10008256.523405133,10008256.523405133,10008256.523405133,10008256.523405133,10008256.523405133,10008256.523405133
2018-08-07,9950136.0,9954243.0,9944332.0,9910109.0,10010321.719195675,10010321.719195675,10010321.719195675,10010321.719195675,10010321.719195675,10010321.719195675,10010321.719195675,10010321.719195675
2018-08-08,10074557.0,10087134.0,10086895.0,10023593.0,10122140.0,10012387.34113773,10012387.34113773,10012387.34113773,10012387.34113773,10012387.34113773,10012387.34113773,10012387.34113773
2018-08-09,10114199.0,10138834.0,10106384.0,10068955.0,10160398.0,9985802.0,10014453.389319234,10014453.389319234,10014453.389319234,10014453.389319234,10014453.389319234,10014453.389319234
2018-08-10,10038017.0,10067213.0,10035745.0,10010469.0,10107100.0,9906692.0,9938417.0,10016519.86382814,10016519.86382814,10016519.86382814,10016519.86382814,10016519.86382814
2018-08-13,10040022.0,10065403.0,10009126.0,10001545.0,10078608.0,9836942.0,9876133.0,10010920.0,10018586.76475242,10018586.76475242,10018586.76475242,10018586.76475242
2018-08-14,10152404.0,10183029.0,10150620.0,10129192.0,10201794.0,9976362.0,10006364.0,10131486.0,10086442.0,10020654.092180066,10020654.092180066,10020654.092180066
