label,exit_strategy,exit_params,entry_filters,vol_multiplier,ath_lookback,vol_avg_period,total_trades,winners,losers,win_rate,avg_return_pct,avg_winner_pct,avg_loser_pct,max_return_pct,max_loss_pct,profit_factor,expectancy,total_pnl,final_capital,total_return_pct,avg_hold_days,median_return_pct,exit_breakdown
D_RSI7p50_LISTGAIN_HYB_T15_TR10,target_or_trail,"Hybrid=target_or_trail,T=15%,Trail=10%,SL=7%",RSI7>50+ListGain+Hybrid,2.5,10,30,99,34,65,34.3,0.76,12.73,-5.5,25.75,-13.63,1.2,0.76,371549,10371549,3.72,8.1,-2.73,hybrid_sl=19; hybrid_target=20; hybrid_trail=60
D_RSI7p50_LISTGAIN_HYB_T20_TR8,target_or_trail,"Hybrid=target_or_trail,T=20%,Trail=8%,SL=7%",RSI7>50+ListGain+Hybrid,2.5,10,30,99,41,58,41.4,0.08,6.49,-4.45,20.99,-13.63,1.03,0.08,34947,10034947,0.35,5.6,-1.09,hybrid_sl=13; hybrid_target=2; hybrid_trail=84
D_RSI7p50_LISTGAIN_HYB_T20_TR10,target_or_trail,"Hybrid=target_or_trail,T=20%,Trail=10%,SL=7%",RSI7>50+ListGain+Hybrid,2.5,10,30,99,34,65,34.3,0.11,10.83,-5.5,31.99,-13.63,1.02,0.11,43573,10043573,0.44,8.5,-2.73,hybrid_sl=19; hybrid_target=10; hybrid_trail=70
D_RSI7p55_LISTGAIN_HYB_T15_TR8,target_or_trail,"Hybrid=target_or_trail,T=15%,Trail=8%,SL=7%",RSI7>55+ListGain+Hybrid,2.5,10,30,95,39,56,41.1,0.86,8.48,-4.45,20.65,-13.63,1.32,0.86,406818,10406818,4.07,5.6,-1.09,hybrid_sl=13; hybrid_target=12; hybrid_trail=70
D_RSI7p55_LISTGAIN_HYB_T15_TR10,target_or_trail,"Hybrid=target_or_trail,T=15%,Trail=10%,SL=7%",RSI7>55+ListGain+Hybrid,2.5,10,30,95,32,63,33.7,0.54,12.24,-5.4,25.75,-13.63,1.14,0.54,248942,10248942,2.49,8.2,-2.73,hybrid_sl=18; hybrid_target=18; hybrid_trail=59
D_RSI7p55_LISTGAIN_HYB_T20_TR8,target_or_trail,"Hybrid=target_or_trail,T=20%,Trail=8%,SL=7%",RSI7>55+ListGain+Hybrid,2.5,10,30,95,39,56,41.1,-0.15,6.02,-4.45,20.65,-13.63,0.94,-0.15,-77320,9922680,-0.77,5.7,-1.09,hybrid_sl=13; hybrid_target=1; hybrid_trail=81
D_RSI7p55_LISTGAIN_HYB_T20_TR10,target_or_trail,"Hybrid=target_or_trail,T=20%,Trail=10%,SL=7%",RSI7>55+ListGain+Hybrid,2.5,10,30,95,32,63,33.7,-0.26,9.86,-5.4,31.99,-13.63,0.92,-0.26,-133002,9866998,-1.33,8.7,-2.73,hybrid_sl=18; hybrid_target=8; hybrid_trail=69
D_RSI7p60_LISTGAIN_HYB_T15_TR8,target_or_trail,"Hybrid=target_or_trail,T=15%,Trail=8%,SL=7%",RSI7>60+ListGain+Hybrid,2.5,10,30,95,39,56,41.1,0.86,8.48,-4.45,20.65,-13.63,1.32,0.86,406818,10406818,4.07,5.6,-1.09,hybrid_sl=13; hybrid_target=12; hybrid_trail=70
D_RSI7p60_LISTGAIN_HYB_T15_TR10,target_or_trail,"Hybrid=target_or_trail,T=15%,Trail=10%,SL=7%",RSI7>60+ListGain+Hybrid,2.5,10,30,95,32,63,33.7,0.54,12.24,-5.4,25.75,-13.63,1.14,0.54,248942,10248942,2.49,8.2,-2.73,hybrid_sl=18; hybrid_target=18; hybrid_trail=59
D_RSI7p60_LISTGAIN_HYB_T20_TR8,target_or_trail,"Hybrid=target_or_trail,T=20%,Trail=8%,SL=7%",RSI7>60+ListGain+Hybrid,2.5,10,30,95,39,56,41.1,-0.15,6.02,-4.45,20.65,-13.63,0.94,-0.15,-77320,9922680,-0.77,5.7,-1.09,hybrid_sl=13; hybrid_target=1; hybrid_trail=81
D_RSI7p60_LISTGAIN_HYB_T20_TR10,target_or_trail,"Hybrid=target_or_trail,T=20%,Trail=10%,SL=7%",RSI7>60+ListGain+Hybrid,2.5,10,30,95,32,63,33.7,-0.26,9.86,-5.4,31.99,-13.63,0.92,-0.26,-133002,9866998,-1.33,8.7,-2.73,hybrid_sl=18; hybrid_target=8; hybrid_trail=69
D_RSI7p50_LG_BRK2_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",RSI7>50+LG+BRK>2%,2.5,10,30,79,44,35,55.7,11.17,33.26,-16.61,49.96,-25.81,2.44,11.17,5425658,15425658,54.26,60.9,30.08,end_of_data=4; stop_loss=33; target_hit=42
D_RSI7p50_LG_BRK2_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",RSI7>50+LG+BRK>2%,2.5,10,30,79,37,42,46.8,3.7,18.23,-9.1,27.87,-14.53,1.75,3.7,1548414,11548414,15.48,17.9,-7.38,end_of_data=1; stop_loss=42; target_hit=36
D_RSI7p50_LG_BRK3_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",RSI7>50+LG+BRK>3%,2.5,10,30,64,39,25,60.9,13.98,33.95,-17.17,49.96,-25.81,2.95,13.98,5538587,15538587,55.39,53.8,30.28,end_of_data=1; stop_loss=25; target_hit=38
D_RSI7p50_LG_BRK3_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",RSI7>50+LG+BRK>3%,2.5,10,30,64,31,33,48.4,4.3,18.83,-9.34,27.87,-14.53,1.88,4.3,1455052,11455052,14.55,15.1,-7.44,stop_loss=33; target_hit=31
D_RSI7p55_LG_BRK2_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",RSI7>55+LG+BRK>2%,2.5,10,30,75,42,33,56.0,11.41,33.29,-16.43,49.96,-25.81,2.5,11.41,5230969,15230969,52.31,63.3,30.08,end_of_data=4; stop_loss=31; target_hit=40
D_RSI7p55_LG_BRK2_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",RSI7>55+LG+BRK>2%,2.5,10,30,75,35,40,46.7,3.58,18.1,-9.12,27.87,-14.53,1.72,3.58,1414346,11414347,14.14,18.6,-7.38,end_of_data=1; stop_loss=40; target_hit=34
D_RSI7p55_LG_BRK3_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",RSI7>55+LG+BRK>3%,2.5,10,30,60,37,23,61.7,14.48,34.03,-16.96,49.96,-25.81,3.08,14.48,5342472,15342472,53.42,56.3,30.28,end_of_data=1; stop_loss=23; target_hit=36
D_RSI7p55_LG_BRK3_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",RSI7>55+LG+BRK>3%,2.5,10,30,60,29,31,48.3,4.19,18.71,-9.39,27.87,-14.53,1.85,4.19,1322069,11322069,13.22,15.8,-7.44,stop_loss=31; target_hit=29
D_RSI7p60_LG_BRK2_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",RSI7>60+LG+BRK>2%,2.5,10,30,75,42,33,56.0,11.41,33.29,-16.43,49.96,-25.81,2.5,11.41,5230969,15230969,52.31,63.3,30.08,end_of_data=4; stop_loss=31; target_hit=40
D_RSI7p60_LG_BRK2_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",RSI7>60+LG+BRK>2%,2.5,10,30,75,35,40,46.7,3.58,18.1,-9.12,27.87,-14.53,1.72,3.58,1414346,11414347,14.14,18.6,-7.38,end_of_data=1; stop_loss=40; target_hit=34
D_RSI7p60_LG_BRK3_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",RSI7>60+LG+BRK>3%,2.5,10,30,60,37,23,61.7,14.48,34.03,-16.96,49.96,-25.81,3.08,14.48,5342472,15342472,53.42,56.3,30.28,end_of_data=1; stop_loss=23; target_hit=36
D_RSI7p60_LG_BRK3_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",RSI7>60+LG+BRK>3%,2.5,10,30,60,29,31,48.3,4.19,18.71,-9.39,27.87,-14.53,1.85,4.19,1322069,11322069,13.22,15.8,-7.44,stop_loss=31; target_hit=29
D_RSI7p50_EMA5_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",RSI7>50+EMA5,2.5,10,30,233,125,108,53.6,10.08,32.99,-16.44,49.96,-30.03,2.22,10.08,21669587,31669587,216.7,82.6,30.08,end_of_data=12; stop_loss=102; target_hit=119
D_RSI7p50_EMA5_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",RSI7>50+EMA5,2.5,10,30,233,113,120,48.5,4.18,17.87,-8.71,27.87,-14.53,1.92,4.18,6177942,16177941,61.78,27.0,-7.04,end_of_data=5; stop_loss=119; target_hit=109
D_RSI7p55_EMA5_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",RSI7>55+EMA5,2.5,10,30,226,120,106,53.1,9.83,32.98,-16.38,49.96,-30.03,2.18,9.83,19749342,29749342,197.49,84.1,30.02,end_of_data=12; stop_loss=100; target_hit=114
D_RSI7p55_EMA5_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",RSI7>55+EMA5,2.5,10,30,226,108,118,47.8,4.0,17.88,-8.71,27.87,-14.53,1.87,4.0,5624751,15624751,56.25,27.7,-7.05,end_of_data=5; stop_loss=117; target_hit=104
D_LG_BRK0_TGTBE_T15_BE3,target_with_breakeven,"Hybrid=target_with_breakeven,T=15%,Trail=10%,SL=7%",LG+BRK>0%+TgtBE,2.5,10,30,99,20,79,20.2,2.16,18.47,-1.98,20.99,-12.75,2.37,2.16,1114244,11114244,11.14,4.3,0.0,hybrid_breakeven=62; hybrid_sl=17; hybrid_target=20
D_LG_BRK0_TGTBE_T15_BE5,target_with_breakeven,"Hybrid=target_with_breakeven,T=15%,Trail=10%,SL=7%",LG+BRK>0%+TgtBE,2.5,10,30,99,23,76,23.2,1.92,18.12,-2.98,20.99,-13.63,1.82,1.92,983572,10983572,9.84,7.8,0.0,hybrid_breakeven=51; hybrid_sl=25; hybrid_target=23
