label,trades,win_rate,profit_factor,expectancy,total_return,median_return,avg_hold_days,filters
I_LG_BRK3_TRAIL_30PCT,51,56.9,3.27,21.56,1099.74,14.14,202.5,LG+BRK3+TRAIL30%
J_AGE15_T30_SL20,84,42.9,1.21,2.83,237.62,-20.03,112.1,AGE<=15d+T30/SL20
J_AGE15_T8_SL10,84,54.8,1.35,1.76,147.51,8.45,17.1,AGE<=15d+T8/SL10
J_AGE15_T5_SL7,84,52.4,1.27,1.13,95.04,5.51,9.4,AGE<=15d+T5/SL7
J_AGE20_T30_SL20,109,46.8,1.41,5.02,546.76,-3.96,120.6,AGE<=20d+T30/SL20
J_AGE20_T8_SL10,109,54.1,1.38,1.91,208.68,8.45,17.4,AGE<=20d+T8/SL10
J_AGE20_T5_SL7,109,54.1,1.38,1.5,163.23,5.41,9.7,AGE<=20d+T5/SL7
J_AGE25_T30_SL20,139,51.1,1.63,7.15,993.74,27.02,118.6,AGE<=25d+T30/SL20
J_AGE25_T8_SL10,139,54.0,1.35,1.77,246.55,8.37,19.9,AGE<=25d+T8/SL10
J_AGE25_T5_SL7,139,53.2,1.32,1.32,183.08,5.41,10.5,AGE<=25d+T5/SL7
J_AGE20_LG_BRK3_T30_SL20,29,58.6,2.21,11.71,339.47,30.28,104.7,AGE<=20d+LG+BRK3+T30/SL20
J_AGE20_LG_BRK3_T30_SL25,29,62.1,2.14,11.99,347.7,31.22,129.8,AGE<=20d+LG+BRK3+T30/SL25
J_AGE20_LG_BRK3_T40_SL20,29,58.6,2.66,16.24,470.83,40.98,131.8,AGE<=20d+LG+BRK3+T40/SL20
J_AGE20_LG_BRK3_T8_SL10,29,55.2,1.29,1.57,45.48,8.49,15.6,AGE<=20d+LG+BRK3+T8/SL10
J_AGE20_LG_BRK3_T5_SL7,29,55.2,1.06,0.29,8.36,5.41,7.3,AGE<=20d+LG+BRK3+T5/SL7
J_AGE25_LG_BRK3_T30_SL20,31,58.1,2.13,11.25,348.87,30.28,98.9,AGE<=25d+LG+BRK3+T30/SL20
J_AGE25_LG_BRK3_T30_SL25,31,61.3,2.04,11.35,351.9,31.22,122.7,AGE<=25d+LG+BRK3+T30/SL25
J_AGE25_LG_BRK3_T40_SL20,31,58.1,2.57,15.92,493.37,40.98,124.3,AGE<=25d+LG+BRK3+T40/SL20
J_AGE25_LG_BRK3_T8_SL10,31,54.8,1.3,1.67,51.77,8.49,14.8,AGE<=25d+LG+BRK3+T8/SL10
J_AGE25_LG_BRK3_T5_SL7,31,54.8,1.1,0.47,14.65,5.41,7.1,AGE<=25d+LG+BRK3+T5/SL7
J_AGE30_LG_BRK3_T30_SL20,36,61.1,2.36,12.57,452.68,31.09,96.8,AGE<=30d+LG+BRK3+T30/SL20
J_AGE30_LG_BRK3_T30_SL25,36,63.9,2.21,12.49,449.59,31.21,117.4,AGE<=30d+LG+BRK3+T30/SL25
J_AGE30_LG_BRK3_T40_SL20,36,58.3,2.58,16.16,581.89,41.3,126.8,AGE<=30d+LG+BRK3+T40/SL20
J_AGE30_LG_BRK3_T8_SL10,36,58.3,1.43,2.21,79.47,8.73,14.7,AGE<=30d+LG+BRK3+T8/SL10
