label,exit_strategy,exit_params,vol_multiplier,ath_lookback,vol_avg_period,total_trades,winners,losers,win_rate,avg_return_pct,avg_winner_pct,avg_loser_pct,max_return_pct,max_loss_pct,profit_factor,expectancy,total_pnl,final_capital,total_return_pct,avg_hold_days,median_return_pct,exit_breakdown
FIX_T20_SL10_V1.0_ATH3_VA15,fixed_target,"T=20%,SL=10%",1.0,3,15,48,28,20,58.3,9.7,24.51,-11.03,43.61,-14.53,3.02,9.7,2591059,12591059,25.91,51.3,20.58,stop_loss=20; target_hit=28
FIX_T20_SL10_V1.0_ATH3_VA20,fixed_target,"T=20%,SL=10%",1.0,3,20,47,27,20,57.4,9.47,24.65,-11.03,43.61,-14.53,2.95,9.47,2461601,12461601,24.62,53.1,20.52,stop_loss=20; target_hit=27
FIX_T20_SL10_V1.0_ATH3_VA30,fixed_target,"T=20%,SL=10%",1.0,3,30,46,26,20,56.5,9.05,24.49,-11.03,43.61,-14.53,2.83,9.05,2284535,12284535,22.85,46.8,20.51,stop_loss=20; target_hit=26
FIX_T20_SL10_V1.0_ATH5_VA15,fixed_target,"T=20%,SL=10%",1.0,5,15,52,31,21,59.6,9.92,24.19,-11.16,43.61,-14.53,3.1,9.92,2906965,12906965,29.07,50.8,20.63,stop_loss=21; target_hit=31
FIX_T20_SL10_V1.0_ATH5_VA20,fixed_target,"T=20%,SL=10%",1.0,5,20,51,30,21,58.8,9.7,24.3,-11.15,43.61,-14.53,3.04,9.7,2774259,12774259,27.74,52.5,20.62,stop_loss=21; target_hit=30
FIX_T20_SL10_V1.0_ATH5_VA30,fixed_target,"T=20%,SL=10%",1.0,5,30,49,28,21,57.1,9.06,24.22,-11.15,43.61,-14.53,2.84,9.06,2455604,12455604,24.56,47.0,20.52,stop_loss=21; target_hit=28
FIX_T20_SL10_V1.0_ATH7_VA15,fixed_target,"T=20%,SL=10%",1.0,7,15,57,35,22,61.4,10.3,23.99,-11.48,43.61,-18.32,3.22,10.3,3373058,13373058,33.73,57.4,20.65,stop_loss=22; target_hit=35
FIX_T20_SL10_V1.0_ATH7_VA20,fixed_target,"T=20%,SL=10%",1.0,7,20,56,34,22,60.7,10.11,24.09,-11.48,43.61,-18.32,3.17,10.11,3235559,13235559,32.36,59.0,20.64,stop_loss=22; target_hit=34
FIX_T20_SL10_V1.0_ATH7_VA30,fixed_target,"T=20%,SL=10%",1.0,7,30,54,32,22,59.3,9.55,24.0,-11.48,43.61,-18.32,2.98,9.55,2905397,12905397,29.05,54.2,20.63,stop_loss=22; target_hit=32
FIX_T20_SL10_V1.0_ATH10_VA15,fixed_target,"T=20%,SL=10%",1.0,10,15,67,37,30,55.2,8.21,24.62,-12.04,43.61,-18.32,2.45,8.21,3118224,13118224,31.18,51.0,20.52,stop_loss=30; target_hit=37
FIX_T20_SL10_V1.0_ATH10_VA20,fixed_target,"T=20%,SL=10%",1.0,10,20,66,36,30,54.5,8.01,24.73,-12.04,43.61,-18.32,2.4,8.01,2983345,12983345,29.83,52.3,20.51,stop_loss=30; target_hit=36
FIX_T20_SL10_V1.0_ATH10_VA30,fixed_target,"T=20%,SL=10%",1.0,10,30,64,34,30,53.1,7.47,24.69,-12.04,43.61,-18.32,2.27,7.47,2659475,12659475,26.59,48.0,20.46,stop_loss=30; target_hit=34
