phase,label,exit_strategy,exit_params,vol_multiplier,ath_lookback,vol_avg_period,total_trades,winners,losers,win_rate,avg_return_pct,avg_winner_pct,avg_loser_pct,max_return_pct,max_loss_pct,profit_factor,expectancy,total_pnl,final_capital,total_return_pct,cagr,sharpe,max_drawdown,avg_hold_days,exit_breakdown
P4,ST_14_3.0_V3.0_ATH7_VA30_AGE10_30,supertrend,"ATR=14,M=3.0",3.0,7,30,10,6,4,60.0,515.36,875.17,-24.36,4098.45,-33.2,22.11,515.36,38294594,48294594,382.95,690216125.6,1.34,3.22,1215.8,end_of_data=4; hard_stop_30=3; supertrend_flip=3
P4,ST_14_3.0_V3.0_ATH7_VA30_AGE10_50,supertrend,"ATR=14,M=3.0",3.0,7,30,26,18,8,69.2,268.27,399.81,-27.71,4098.45,-33.2,20.05,268.27,102889423,112889423,1028.89,3361495535146.65,1.74,3.09,1111.3,end_of_data=10; hard_stop_30=7; supertrend_flip=9
P4,ST_14_3.0_V3.0_ATH7_VA30_AGE10_75,supertrend,"ATR=14,M=3.0",3.0,7,30,30,20,10,66.7,239.4,373.42,-28.63,4098.45,-33.2,15.38,239.4,114224186,124224186,1142.24,8751078859851.06,1.78,3.09,1147.8,end_of_data=11; hard_stop_30=9; supertrend_flip=10
P4,ST_14_3.0_V3.0_ATH7_VA30_AGE10_100,supertrend,"ATR=14,M=3.0",3.0,7,30,33,21,12,63.6,225.45,370.8,-28.9,4098.45,-33.2,14.21,225.45,129672186,139672186,1296.72,28255259223987.92,1.83,6.0,1081.6,end_of_data=12; hard_stop_30=11; supertrend_flip=10
P4,ST_14_3.0_V3.0_ATH7_VA30_AGE15_60,supertrend,"ATR=14,M=3.0",3.0,7,30,27,18,9,66.7,257.17,399.81,-28.13,4098.45,-32.92,15.22,257.17,101114830,111114830,1011.15,2868931948941.84,1.72,3.09,1068.7,end_of_data=10; hard_stop_30=8; supertrend_flip=9
P4,ST_14_3.0_V3.0_ATH7_VA30_AGE20_75,supertrend,"ATR=14,M=3.0",3.0,7,30,23,16,7,69.6,266.28,396.5,-31.39,4098.45,-32.92,14.4,266.28,68314414,78314414,683.14,38.94,1.54,1.65,1180.0,end_of_data=8; hard_stop_30=7; supertrend_flip=8
P4,ST_14_3.0_V3.0_ATH5_VA30_AGE5_30,supertrend,"ATR=14,M=3.0",3.0,5,30,19,11,8,57.9,386.87,684.83,-22.84,4098.45,-33.2,17.22,386.87,109626424,119626424,1096.26,6001657687049.5,1.8,3.72,1078.3,end_of_data=7; hard_stop_30=5; supertrend_flip=7
P4,ST_14_3.0_V3.0_ATH5_VA30_AGE5_50,supertrend,"ATR=14,M=3.0",3.0,5,30,34,22,12,64.7,261.26,417.72,-25.58,4098.45,-33.2,16.42,261.26,234331383,244331383,2343.31,7582152689722450.0,2.12,3.45,1008.9,end_of_data=13; hard_stop_30=9; supertrend_flip=12
P4,ST_14_3.0_V3.0_ATH5_VA30_AGE10_30,supertrend,"ATR=14,M=3.0",3.0,5,30,10,6,4,60.0,515.36,875.17,-24.36,4098.45,-33.2,22.11,515.36,38294594,48294594,382.95,690216125.6,1.34,3.22,1215.8,end_of_data=4; hard_stop_30=3; supertrend_flip=3
P4,ST_14_3.0_V3.0_ATH5_VA30_AGE10_50,supertrend,"ATR=14,M=3.0",3.0,5,30,25,17,8,68.0,267.44,406.34,-27.71,4098.45,-33.2,17.45,267.44,88639451,98639451,886.39,871979890162.73,1.66,3.09,1038.9,end_of_data=10; hard_stop_30=7; supertrend_flip=8
P4,ST_14_3.0_V3.0_ATH5_VA30_AGE10_75,supertrend,"ATR=14,M=3.0",3.0,5,30,29,19,10,65.5,237.7,377.87,-28.63,4098.45,-33.2,13.85,237.7,98543433,108543433,985.43,2270050548523.06,1.7,3.09,1086.6,end_of_data=11; hard_stop_30=9; supertrend_flip=9
P4,ST_14_3.0_V3.0_ATH5_VA30_AGE10_100,supertrend,"ATR=14,M=3.0",3.0,5,30,32,20,12,62.5,223.47,374.89,-28.9,4098.45,-33.2,12.79,223.47,112041440,122041440,1120.41,7329481053563.61,1.76,6.0,1024.2,end_of_data=12; hard_stop_30=11; supertrend_flip=9
P4,ST_14_3.0_V3.0_ATH5_VA30_AGE15_60,supertrend,"ATR=14,M=3.0",3.0,5,30,26,17,9,65.4,255.94,406.34,-28.13,4098.45,-32.92,13.69,255.94,87088864,97088864,870.89,744207731210.64,1.65,3.09,997.4,end_of_data=10; hard_stop_30=8; supertrend_flip=8
P4,ST_14_3.0_V3.0_ATH5_VA30_AGE20_75,supertrend,"ATR=14,M=3.0",3.0,5,30,22,15,7,68.2,265.25,403.68,-31.39,4098.45,-32.92,12.85,265.25,58428827,68428827,584.29,35.97,1.47,1.65,1100.9,end_of_data=8; hard_stop_30=7; supertrend_flip=7
P4,ST_7_3.0_V3.0_ATH7_VA30_AGE5_30,supertrend,"ATR=7,M=3.0",3.0,7,30,20,12,8,60.0,679.17,1147.17,-22.84,6885.99,-33.2,17.44,679.17,400718010,410718010,4007.18,1.3659584065742167e+18,1.8,3.72,1062.2,end_of_data=7; hard_stop_30=5; supertrend_flip=8
P4,ST_7_3.0_V3.0_ATH7_VA30_AGE5_50,supertrend,"ATR=7,M=3.0",3.0,7,30,36,23,13,63.9,423.92,676.94,-23.73,6885.99,-33.2,17.26,423.92,885752956,895752956,8857.53,3.325695636750204e+21,1.97,3.45,1034.4,end_of_data=13; hard_stop_30=9; supertrend_flip=14
P4,ST_7_3.0_V3.0_ATH7_VA30_AGE10_30,supertrend,"ATR=7,M=3.0",3.0,7,30,10,6,4,60.0,500.22,849.94,-24.36,4098.45,-33.2,20.86,500.22,34935489,44935489,349.35,335656155.54,1.29,3.22,1060.3,end_of_data=4; hard_stop_30=3; supertrend_flip=3
P4,ST_7_3.0_V3.0_ATH7_VA30_AGE10_50,supertrend,"ATR=7,M=3.0",3.0,7,30,26,17,9,65.4,256.93,406.08,-24.81,4098.45,-33.2,18.36,256.93,88001783,98001783,880.02,817221475396.82,1.66,3.09,1023.0,end_of_data=10; hard_stop_30=7; supertrend_flip=9
P4,ST_7_3.0_V3.0_ATH7_VA30_AGE10_75,supertrend,"ATR=7,M=3.0",3.0,7,30,30,19,11,63.3,222.4,366.32,-26.17,4098.45,-33.2,13.23,222.4,87562959,97562959,875.63,781357246563.18,1.64,3.09,1106.7,end_of_data=12; hard_stop_30=9; supertrend_flip=9
P4,ST_7_3.0_V3.0_ATH7_VA30_AGE10_100,supertrend,"ATR=7,M=3.0",3.0,7,30,33,20,13,60.6,210.0,363.92,-26.8,4098.45,-33.2,12.26,210.0,99695480,109695480,996.95,2522826259885.42,1.7,6.0,1044.3,end_of_data=13; hard_stop_30=11; supertrend_flip=9
P4,ST_7_3.0_V3.0_ATH7_VA30_AGE15_60,supertrend,"ATR=7,M=3.0",3.0,7,30,27,17,10,63.0,246.25,406.08,-25.47,4098.45,-32.92,14.15,246.25,86461219,96461219,864.61,697473126343.97,1.65,3.09,983.6,end_of_data=10; hard_stop_30=8; supertrend_flip=9
P4,ST_7_3.0_V3.0_ATH7_VA30_AGE20_75,supertrend,"ATR=7,M=3.0",3.0,7,30,23,15,8,65.2,250.69,399.14,-27.66,4098.45,-32.92,12.67,250.69,56104275,66104275,561.04,35.22,1.45,1.65,1194.0,end_of_data=9; hard_stop_30=7; supertrend_flip=7
