phase,label,exit_strategy,exit_params,vol_multiplier,ath_lookback,vol_avg_period,total_trades,winners,losers,win_rate,avg_return_pct,avg_winner_pct,avg_loser_pct,max_return_pct,max_loss_pct,profit_factor,expectancy,total_pnl,final_capital,total_return_pct,cagr,sharpe,max_drawdown,avg_hold_days,exit_breakdown
P2,ST_14_2.0_V1.25,supertrend,"ATR=14,M=2.0",1.25,5,20,48,30,18,62.5,41.94,79.96,-21.44,503.08,-32.81,6.45,41.94,15915395,25915395,159.15,21.15,3.2,5.1,349.0,end_of_data=4; hard_stop_30=9; supertrend_flip=35
P2,ST_14_2.0_V1.5,supertrend,"ATR=14,M=2.0",1.5,5,20,44,26,18,59.1,33.86,72.14,-21.44,503.08,-32.81,4.87,33.86,10160327,20160327,101.6,15.17,2.56,5.1,334.4,end_of_data=4; hard_stop_30=9; supertrend_flip=31
P2,ST_14_2.0_V2.0,supertrend,"ATR=14,M=2.0",2.0,5,20,35,21,14,60.0,33.37,69.27,-20.48,503.08,-32.81,5.05,33.37,7249519,17249519,72.5,10.71,2.1,3.65,362.7,end_of_data=3; hard_stop_30=6; supertrend_flip=26
P2,ST_14_2.0_V2.5,supertrend,"ATR=14,M=2.0",2.5,5,20,29,18,11,62.1,41.09,78.49,-20.1,503.08,-32.81,6.21,41.09,7462095,17462095,74.62,26261.09,2.18,3.33,392.6,end_of_data=3; hard_stop_30=4; supertrend_flip=22
P2,ST_14_2.0_V3.0,supertrend,"ATR=14,M=2.0",3.0,5,20,26,16,10,61.5,41.47,79.27,-19.02,503.08,-32.81,6.9,41.47,6521640,16521640,65.22,15054.15,2.0,3.09,388.4,end_of_data=3; hard_stop_30=3; supertrend_flip=20
P3,ST_14_3.0_V3.0_ATH3_VA10,supertrend,"ATR=14,M=3.0",3.0,3,10,26,14,12,53.8,211.8,416.71,-27.26,4098.45,-33.2,7.71,211.8,48611769,58611769,486.12,4784629033.1,1.37,6.66,808.8,end_of_data=8; hard_stop_30=10; supertrend_flip=8
P3,ST_14_3.0_V3.0_ATH3_VA15,supertrend,"ATR=14,M=3.0",3.0,3,15,23,13,10,56.5,242.56,450.89,-28.27,4098.45,-33.2,9.39,242.56,50548557,60548557,505.49,6622744138.71,1.4,4.55,823.7,end_of_data=7; hard_stop_30=9; supertrend_flip=7
P3,ST_14_3.0_V3.0_ATH3_VA20,supertrend,"ATR=14,M=3.0",3.0,3,20,23,13,10,56.5,243.34,450.89,-26.48,4098.45,-33.2,10.51,243.34,51098182,61098182,510.98,7249079645.88,1.4,5.17,841.1,end_of_data=7; hard_stop_30=8; supertrend_flip=8
P3,ST_14_3.0_V3.0_ATH3_VA30,supertrend,"ATR=14,M=3.0",3.0,3,30,23,14,9,60.9,250.8,430.01,-27.97,4098.45,-33.2,11.31,250.8,56376528,66376528,563.77,16601422234.48,1.45,4.55,896.1,end_of_data=8; hard_stop_30=8; supertrend_flip=7
P3,ST_14_3.0_V3.0_ATH5_VA10,supertrend,"ATR=14,M=3.0",3.0,5,10,29,17,12,58.6,220.43,395.38,-27.41,4098.45,-33.2,9.49,220.43,75714157,85714157,757.14,214055095812.74,1.57,5.24,919.9,end_of_data=10; hard_stop_30=10; supertrend_flip=9
P3,ST_14_3.0_V3.0_ATH5_VA15,supertrend,"ATR=14,M=3.0",3.0,5,15,26,15,11,57.7,244.52,444.94,-28.79,4098.45,-33.2,10.31,244.52,73969945,83969945,739.7,174276441659.08,1.57,3.11,821.1,end_of_data=8; hard_stop_30=10; supertrend_flip=8
P3,ST_14_3.0_V3.0_ATH5_VA20,supertrend,"ATR=14,M=3.0",3.0,5,20,26,15,11,57.7,245.2,444.94,-27.17,4098.45,-33.2,11.77,245.2,74732176,84732176,747.32,190758359064.1,1.58,3.73,836.5,end_of_data=8; hard_stop_30=9; supertrend_flip=9
P3,ST_14_3.0_V3.0_ATH5_VA30,supertrend,"ATR=14,M=3.0",3.0,5,30,25,17,8,68.0,267.44,406.34,-27.71,4098.45,-33.2,17.45,267.44,88639451,98639451,886.39,871979890162.73,1.66,3.09,1038.9,end_of_data=10; hard_stop_30=7; supertrend_flip=8
P3,ST_14_3.0_V3.0_ATH7_VA10,supertrend,"ATR=14,M=3.0",3.0,7,10,31,18,13,58.1,213.92,388.37,-27.62,4098.45,-33.2,9.64,213.92,85784422,95784422,857.84,650053100947.87,1.63,3.11,914.4,end_of_data=10; hard_stop_30=11; supertrend_flip=10
P3,ST_14_3.0_V3.0_ATH7_VA15,supertrend,"ATR=14,M=3.0",3.0,7,15,28,16,12,57.1,236.29,435.19,-28.91,4098.45,-33.2,11.2,236.29,84648433,94648433,846.48,576944817055.25,1.63,3.11,886.0,end_of_data=8; hard_stop_30=11; supertrend_flip=9
P3,ST_14_3.0_V3.0_ATH7_VA20,supertrend,"ATR=14,M=3.0",3.0,7,20,28,16,12,57.1,236.93,435.19,-27.42,4098.45,-33.2,12.71,236.93,85507597,95507597,855.08,631508455878.88,1.64,3.73,900.4,end_of_data=8; hard_stop_30=10; supertrend_flip=10
P3,ST_14_3.0_V3.0_ATH7_VA30,supertrend,"ATR=14,M=3.0",3.0,7,30,26,18,8,69.2,268.27,399.81,-27.71,4098.45,-33.2,20.05,268.27,102889423,112889423,1028.89,3361495535146.65,1.74,3.09,1111.3,end_of_data=10; hard_stop_30=7; supertrend_flip=9
P3,ST_14_3.0_V3.0_ATH10_VA10,supertrend,"ATR=14,M=3.0",3.0,10,10,34,18,16,52.9,184.42,373.81,-28.63,4098.45,-37.85,6.56,184.42,70590532,80590532,705.91,115568693689.57,1.53,6.7,846.0,end_of_data=11; hard_stop_30=14; supertrend_flip=9
P3,ST_14_3.0_V3.0_ATH10_VA15,supertrend,"ATR=14,M=3.0",3.0,10,15,32,17,15,53.1,204.28,410.01,-28.88,4098.45,-37.85,8.63,204.28,80944500,90944500,809.44,387047614841.53,1.6,4.59,827.0,end_of_data=9; hard_stop_30=13; supertrend_flip=10
P3,ST_14_3.0_V3.0_ATH10_VA20,supertrend,"ATR=14,M=3.0",3.0,10,20,32,17,15,53.1,204.84,410.01,-27.69,4098.45,-37.85,9.47,204.84,81770042,91770042,817.7,423652027674.88,1.61,5.22,839.6,end_of_data=9; hard_stop_30=12; supertrend_flip=11
P3,ST_14_3.0_V3.0_ATH10_VA30,supertrend,"ATR=14,M=3.0",3.0,10,30,30,19,11,63.3,229.86,379.14,-27.99,4098.45,-37.85,13.01,229.86,98471655,108471655,984.72,2255083659319.89,1.7,4.59,1018.3,end_of_data=11; hard_stop_30=9; supertrend_flip=10
P3,ST_14_3.0_V3.0_ATH15_VA10,supertrend,"ATR=14,M=3.0",3.0,15,10,36,20,16,55.6,205.66,393.1,-28.63,4098.45,-37.85,7.47,205.66,122174949,132174949,1221.75,16273895208352.56,1.79,5.22,964.3,end_of_data=13; hard_stop_30=14; supertrend_flip=9
P3,ST_14_3.0_V3.0_ATH15_VA15,supertrend,"ATR=14,M=3.0",3.0,15,15,33,18,15,54.5,229.22,444.29,-28.88,4098.45,-37.85,9.91,229.22,131622312,141622312,1316.22,32457628967391.33,1.84,5.44,978.1,end_of_data=10; hard_stop_30=13; supertrend_flip=10
P3,ST_14_3.0_V3.0_ATH15_VA20,supertrend,"ATR=14,M=3.0",3.0,15,20,33,18,15,54.5,229.76,444.29,-27.69,4098.45,-37.85,11.0,229.76,132907877,142907877,1329.08,35527257624055.04,1.84,5.44,990.3,end_of_data=10; hard_stop_30=12; supertrend_flip=11
P3,ST_14_3.0_V3.0_ATH15_VA30,supertrend,"ATR=14,M=3.0",3.0,15,30,31,20,11,64.5,255.58,411.54,-27.99,4098.45,-37.85,15.0,255.58,158916279,168916279,1589.16,189110243500976.28,1.94,4.59,1173.0,end_of_data=12; hard_stop_30=9; supertrend_flip=10
P3,ST_7_3.0_V3.0_ATH3_VA10,supertrend,"ATR=7,M=3.0",3.0,3,10,26,13,13,50.0,200.46,426.2,-25.28,4098.45,-33.2,7.04,200.46,40882161,50882161,408.82,1163202896.66,1.3,6.66,720.5,end_of_data=8; hard_stop_30=10; supertrend_flip=8
P3,ST_7_3.0_V3.0_ATH3_VA15,supertrend,"ATR=7,M=3.0",3.0,3,15,23,12,11,52.2,229.74,464.03,-25.84,4098.45,-33.2,8.57,229.74,42563530,52563530,425.64,1610071596.32,1.32,4.55,723.9,end_of_data=7; hard_stop_30=9; supertrend_flip=7
P3,ST_7_3.0_V3.0_ATH3_VA20,supertrend,"ATR=7,M=3.0",3.0,3,20,23,12,11,52.2,230.52,464.03,-24.22,4098.45,-33.2,9.49,230.52,43040671,53040671,430.41,1762341567.22,1.32,5.17,741.3,end_of_data=7; hard_stop_30=8; supertrend_flip=8
P3,ST_7_3.0_V3.0_ATH3_VA30,supertrend,"ATR=7,M=3.0",3.0,3,30,23,13,10,56.5,237.98,440.53,-25.33,4098.45,-33.2,10.22,237.98,47622919,57622919,476.23,4036012654.82,1.37,4.55,796.3,end_of_data=8; hard_stop_30=8; supertrend_flip=7
P3,ST_7_3.0_V3.0_ATH5_VA10,supertrend,"ATR=7,M=3.0",3.0,5,10,29,16,13,55.2,210.26,401.76,-25.42,4098.45,-33.2,8.86,210.26,64410339,74410339,644.1,52039462539.53,1.5,5.24,840.7,end_of_data=10; hard_stop_30=10; supertrend_flip=9
P3,ST_7_3.0_V3.0_ATH5_VA15,supertrend,"ATR=7,M=3.0",3.0,5,15,26,14,12,53.8,233.18,455.78,-26.52,4098.45,-33.2,9.6,233.18,62896150,72896150,628.96,42368775757.45,1.49,3.32,732.8,end_of_data=8; hard_stop_30=10; supertrend_flip=8
P3,ST_7_3.0_V3.0_ATH5_VA20,supertrend,"ATR=7,M=3.0",3.0,5,20,26,14,12,53.8,233.86,455.78,-25.04,4098.45,-33.2,10.84,233.86,63557859,73557859,635.58,46375735373.94,1.5,3.73,748.2,end_of_data=8; hard_stop_30=9; supertrend_flip=9
