label,exit_strategy,exit_params,vol_multiplier,ath_lookback,vol_avg_period,total_trades,winners,losers,win_rate,avg_return_pct,avg_winner_pct,avg_loser_pct,max_return_pct,max_loss_pct,profit_factor,expectancy,total_pnl,final_capital,total_return_pct,avg_hold_days,median_return_pct,exit_breakdown
FIX_T20_SL10_V1.0_ATH3_VA15,fixed_target,"T=20%,SL=10%",1.0,3,15,272,128,144,47.1,5.06,23.38,-11.22,43.61,-21.83,1.75,5.06,9681164,19681164,96.81,50.6,-10.02,end_of_data=11; stop_loss=137; target_hit=124
FIX_T20_SL10_V1.0_ATH3_VA20,fixed_target,"T=20%,SL=10%",1.0,3,20,273,129,144,47.3,5.16,23.4,-11.18,43.61,-21.83,1.77,5.16,9996493,19996493,99.96,50.6,-9.49,end_of_data=12; stop_loss=136; target_hit=125
FIX_T20_SL10_V1.0_ATH3_VA30,fixed_target,"T=20%,SL=10%",1.0,3,30,266,123,143,46.2,4.78,23.31,-11.16,43.61,-21.83,1.72,4.78,8671268,18671268,86.71,50.3,-10.03,end_of_data=12; stop_loss=135; target_hit=119
FIX_T20_SL10_V1.0_ATH5_VA15,fixed_target,"T=20%,SL=10%",1.0,5,15,304,142,162,46.7,4.8,23.11,-11.25,43.61,-21.83,1.72,4.8,10473620,20473620,104.74,48.0,-10.05,end_of_data=12; stop_loss=155; target_hit=137
FIX_T20_SL10_V1.0_ATH5_VA20,fixed_target,"T=20%,SL=10%",1.0,5,20,303,142,161,46.9,4.88,23.13,-11.21,43.61,-21.83,1.73,4.88,10692883,20692883,106.93,48.1,-10.03,end_of_data=13; stop_loss=153; target_hit=137
FIX_T20_SL10_V1.0_ATH5_VA30,fixed_target,"T=20%,SL=10%",1.0,5,30,297,136,161,45.8,4.49,23.09,-11.21,43.61,-21.83,1.67,4.49,9249112,19249112,92.49,47.5,-10.08,end_of_data=13; stop_loss=153; target_hit=131
FIX_T20_SL10_V1.0_ATH7_VA15,fixed_target,"T=20%,SL=10%",1.0,7,15,336,163,173,48.5,5.19,22.77,-11.37,43.61,-21.83,1.8,5.19,13577301,23577300,135.77,49.3,-6.72,end_of_data=14; stop_loss=167; target_hit=155
FIX_T20_SL10_V1.0_ATH7_VA20,fixed_target,"T=20%,SL=10%",1.0,7,20,335,163,172,48.7,5.27,22.79,-11.34,43.61,-21.83,1.82,5.27,13829803,23829803,138.3,49.4,-2.56,end_of_data=15; stop_loss=165; target_hit=155
FIX_T20_SL10_V1.0_ATH7_VA30,fixed_target,"T=20%,SL=10%",1.0,7,30,330,157,173,47.6,4.87,22.73,-11.34,43.61,-21.83,1.75,4.87,12040568,22040568,120.41,48.8,-10.0,end_of_data=15; stop_loss=166; target_hit=149
FIX_T20_SL10_V1.0_ATH10_VA15,fixed_target,"T=20%,SL=10%",1.0,10,15,420,198,222,47.1,4.82,23.12,-11.49,43.92,-22.35,1.71,4.82,17045276,27045276,170.45,47.2,-10.07,end_of_data=16; stop_loss=215; target_hit=189
FIX_T20_SL10_V1.0_ATH10_VA20,fixed_target,"T=20%,SL=10%",1.0,10,20,418,199,219,47.6,4.98,23.13,-11.52,43.92,-22.35,1.73,4.98,17786465,27786465,177.86,47.4,-10.04,end_of_data=16; stop_loss=212; target_hit=190
FIX_T20_SL10_V1.0_ATH10_VA30,fixed_target,"T=20%,SL=10%",1.0,10,30,413,192,221,46.5,4.58,23.11,-11.52,43.92,-22.35,1.67,4.58,15300233,25300233,153.0,47.0,-10.08,end_of_data=16; stop_loss=214; target_hit=183
FIX_T20_SL10_V1.25_ATH3_VA15,fixed_target,"T=20%,SL=10%",1.25,3,15,255,123,132,48.2,5.47,23.41,-11.24,43.61,-21.83,1.83,5.47,9877717,19877717,98.78,51.1,-3.75,end_of_data=11; stop_loss=125; target_hit=119
FIX_T20_SL10_V1.25_ATH3_VA20,fixed_target,"T=20%,SL=10%",1.25,3,20,250,120,130,48.0,5.4,23.42,-11.24,43.61,-21.83,1.81,5.4,9429485,19429485,94.29,51.3,-3.85,end_of_data=11; stop_loss=123; target_hit=116
FIX_T20_SL10_V1.25_ATH3_VA30,fixed_target,"T=20%,SL=10%",1.25,3,30,247,114,133,46.2,4.75,23.4,-11.24,43.61,-21.83,1.71,4.75,7793507,17793507,77.94,50.8,-10.03,end_of_data=11; stop_loss=126; target_hit=110
FIX_T20_SL10_V1.25_ATH5_VA15,fixed_target,"T=20%,SL=10%",1.25,5,15,286,136,150,47.6,5.08,23.13,-11.29,43.61,-21.83,1.77,5.08,10430379,20430379,104.3,48.3,-9.75,end_of_data=12; stop_loss=143; target_hit=131
FIX_T20_SL10_V1.25_ATH5_VA20,fixed_target,"T=20%,SL=10%",1.25,5,20,281,133,148,47.3,5.01,23.14,-11.29,43.61,-21.83,1.75,5.01,9973887,19973887,99.74,48.4,-10.0,end_of_data=12; stop_loss=141; target_hit=128
FIX_T20_SL10_V1.25_ATH5_VA30,fixed_target,"T=20%,SL=10%",1.25,5,30,278,127,151,45.7,4.45,23.15,-11.28,43.61,-21.83,1.66,4.45,8344186,18344186,83.44,47.9,-10.09,end_of_data=12; stop_loss=144; target_hit=122
FIX_T20_SL10_V1.25_ATH7_VA15,fixed_target,"T=20%,SL=10%",1.25,7,15,312,155,157,49.7,5.58,22.78,-11.39,43.61,-21.83,1.87,5.58,13579494,23579494,135.79,49.3,-0.17,end_of_data=14; stop_loss=151; target_hit=147
