label,portfolio_size,period,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,avg_win_pct,avg_loss_pct,final_value,total_return_pct,exit_reason_counts,topups
PS5_2010_2026,5,2010-2026,15.01,0.52,0.7,31.4,0.48,1.83,65,44.6,49.55,-12.4,93600669.0,836.0,{'ath_drawdown_rebalance': 65},3
PS10_2010_2026,10,2010-2026,20.31,0.79,1.07,37.7,0.54,2.55,108,48.1,69.51,-13.3,192244951.0,1822.4,"{'ath_drawdown_rebalance': 107, 'hard_stop_loss': 1}",5
PS15_2010_2026,15,2010-2026,19.3,0.74,0.96,40.9,0.47,2.55,157,47.1,63.04,-14.9,168020375.0,1580.2,"{'ath_drawdown_rebalance': 156, 'hard_stop_loss': 1}",4
PS20_2010_2026,20,2010-2026,20.14,0.84,1.09,29.8,0.68,3.04,211,47.9,69.49,-13.8,187923391.0,1779.2,"{'ath_drawdown_rebalance': 210, 'hard_stop_loss': 1}",6
PS25_2010_2026,25,2010-2026,19.77,0.77,1.0,30.6,0.64,3.14,254,46.9,69.98,-13.95,178826672.0,1688.3,"{'ath_drawdown_rebalance': 253, 'hard_stop_loss': 1}",7
PS30_2010_2026,30,2010-2026,19.26,0.81,1.03,29.8,0.65,3.1,270,48.9,66.61,-14.11,167124528.0,1571.2,"{'ath_drawdown_rebalance': 269, 'hard_stop_loss': 1}",9
PS5_2015_2025,5,2015-2025,15.15,0.51,0.63,36.9,0.41,2.02,37,35.1,63.1,-10.74,47160270.0,371.6,{'ath_drawdown_rebalance': 37},6
PS10_2015_2025,10,2015-2025,12.14,0.37,0.47,39.3,0.31,1.45,78,37.2,36.1,-12.6,35248774.0,252.5,{'ath_drawdown_rebalance': 78},9
PS15_2015_2025,15,2015-2025,12.95,0.43,0.53,35.3,0.37,1.82,103,40.8,34.06,-12.53,38150314.0,281.5,{'ath_drawdown_rebalance': 103},4
PS20_2015_2025,20,2015-2025,13.57,0.47,0.57,30.3,0.45,1.77,141,44.7,34.22,-13.03,40534902.0,305.3,{'ath_drawdown_rebalance': 141},6
PS25_2015_2025,25,2015-2025,13.56,0.48,0.59,31.3,0.43,1.69,165,42.4,38.76,-13.14,40510642.0,305.1,{'ath_drawdown_rebalance': 165},7
PS30_2015_2025,30,2015-2025,14.55,0.54,0.65,30.8,0.47,2.17,192,42.7,43.61,-12.53,44568519.0,345.7,{'ath_drawdown_rebalance': 192},8
