label,model,mq_pct,kc_pct,kc_max_pos,kc_pos_size_pct,combined_cagr,combined_sharpe,combined_sortino,combined_max_dd,combined_calmar,combined_final_value,combined_total_return_pct,mq_cagr,mq_final_value,kc_cagr,kc_final_value,kc_trades,kc_win_rate,kc_profit_factor,kc_avg_win,kc_avg_loss,kc_crash_filter_days,kc_avg_positions,kc_max_concurrent,kc_exit_reasons
MODEL_A_MQ_BASELINE,A_BASELINE,100,0,0,0,19.26,0.81,1.03,29.8,0.65,167124528.0,1571.2,19.08,167124528.0,0,0,0,0,0,0,0,0,0,0,
MODEL_B_SHARED_POOL_MP3_PS33,B_SHARED_POOL,100,0,3,0.33,15.52,0.65,0.83,29.5,0.53,100455468.0,904.6,14.42,87769683.0,inf,12658296.0,734,61.2,1.15,3.91,-4.27,63,0.62,3,"{'STOP_LOSS': 236, 'TAKE_PROFIT': 11, 'SIGNAL_KC6_MID': 477, 'MAX_HOLD': 9, 'END_OF_PERIOD': 1}"
MODEL_B_SHARED_POOL_MP5_PS20,B_SHARED_POOL,100,0,5,0.2,15.75,0.68,0.87,26.1,0.6,103729161.0,937.3,14.42,87769683.0,inf,15942819.0,928,62.9,1.25,3.97,-4.33,63,0.77,5,"{'STOP_LOSS': 289, 'TAKE_PROFIT': 15, 'SIGNAL_KC6_MID': 614, 'MAX_HOLD': 9, 'END_OF_PERIOD': 1}"
MODEL_B_SHARED_POOL_MP7_PS15,B_SHARED_POOL,100,0,7,0.15,15.74,0.68,0.87,25.6,0.62,103506270.0,935.1,14.42,87769683.0,inf,15724098.0,1028,63.3,1.3,4.0,-4.33,63,0.84,6,"{'STOP_LOSS': 317, 'TAKE_PROFIT': 16, 'SIGNAL_KC6_MID': 685, 'MAX_HOLD': 9, 'END_OF_PERIOD': 1}"
MODEL_B_SHARED_POOL_MP10_PS10,B_SHARED_POOL,100,0,10,0.1,15.62,0.68,0.87,25.1,0.62,101820349.0,918.2,14.42,87769683.0,inf,14042340.0,1163,64.6,1.35,4.0,-4.34,63,0.94,8,"{'STOP_LOSS': 348, 'TAKE_PROFIT': 17, 'SIGNAL_KC6_MID': 788, 'MAX_HOLD': 9, 'END_OF_PERIOD': 1}"
MODEL_C_5050_MP3_PS33,C_5050,50,50,3,0.33,16.24,0.78,0.98,23.0,0.71,110941194.0,1009.4,19.08,83510399.0,12.02,27410576.0,850,62.8,1.19,3.93,-4.32,63,0.71,3,"{'STOP_LOSS': 265, 'TAKE_PROFIT': 13, 'SIGNAL_KC6_MID': 562, 'MAX_HOLD': 9, 'END_OF_PERIOD': 1}"
MODEL_C_5050_MP5_PS20,C_5050,50,50,5,0.2,16.5,0.84,1.05,21.7,0.76,114884056.0,1048.8,19.08,83510399.0,13.03,31359514.0,1062,64.3,1.3,4.02,-4.33,63,0.87,5,"{'STOP_LOSS': 319, 'TAKE_PROFIT': 17, 'SIGNAL_KC6_MID': 716, 'MAX_HOLD': 9, 'END_OF_PERIOD': 1}"
MODEL_C_5050_MP7_PS15,C_5050,50,50,7,0.15,16.23,0.82,1.03,21.8,0.74,110817383.0,1008.2,19.08,83510399.0,11.99,27297672.0,1177,64.9,1.32,4.04,-4.33,63,0.95,7,"{'STOP_LOSS': 348, 'TAKE_PROFIT': 18, 'SIGNAL_KC6_MID': 801, 'MAX_HOLD': 9, 'END_OF_PERIOD': 1}"
MODEL_C_5050_MP10_PS10,C_5050,50,50,10,0.1,16.17,0.83,1.03,21.7,0.75,109863332.0,998.6,19.08,83510399.0,11.72,26346888.0,1294,66.8,1.48,4.01,-4.31,63,1.04,10,"{'STOP_LOSS': 360, 'TAKE_PROFIT': 18, 'SIGNAL_KC6_MID': 906, 'MAX_HOLD': 9, 'END_OF_PERIOD': 1}"
MODEL_D_KC6_SOLO_MP3_PS33,D_KC6_SOLO,0,100,3,0.33,12.02,0.41,0.4,29.2,0.41,54862139.0,448.6,0,0,12.02,54821702.0,850,62.8,1.19,3.93,-4.32,63,0.71,3,"{'STOP_LOSS': 265, 'TAKE_PROFIT': 13, 'SIGNAL_KC6_MID': 562, 'MAX_HOLD': 9, 'END_OF_PERIOD': 1}"
MODEL_D_KC6_SOLO_MP5_PS20,D_KC6_SOLO,0,100,5,0.2,13.03,0.58,0.58,16.2,0.8,62742891.0,527.4,0,0,13.03,62714606.0,1062,64.3,1.3,4.02,-4.33,63,0.87,5,"{'STOP_LOSS': 319, 'TAKE_PROFIT': 17, 'SIGNAL_KC6_MID': 716, 'MAX_HOLD': 9, 'END_OF_PERIOD': 1}"
MODEL_D_KC6_SOLO_MP7_PS15,D_KC6_SOLO,0,100,7,0.15,11.99,0.57,0.56,12.6,0.95,54622021.0,446.2,0,0,11.99,54603391.0,1177,64.9,1.32,4.04,-4.33,63,0.95,7,"{'STOP_LOSS': 348, 'TAKE_PROFIT': 18, 'SIGNAL_KC6_MID': 801, 'MAX_HOLD': 9, 'END_OF_PERIOD': 1}"
MODEL_D_KC6_SOLO_MP10_PS10,D_KC6_SOLO,0,100,10,0.1,11.72,0.67,0.66,8.7,1.34,52706536.0,427.1,0,0,11.72,52694447.0,1294,66.8,1.48,4.01,-4.31,63,1.04,10,"{'STOP_LOSS': 360, 'TAKE_PROFIT': 18, 'SIGNAL_KC6_MID': 906, 'MAX_HOLD': 9, 'END_OF_PERIOD': 1}"
