label,start_date,end_date,years,cagr,sharpe,sortino,max_drawdown,calmar,total_trades,win_rate,final_value,total_return_pct,topups
PS30_NIFTYPARK_2005_2025,2005-01-01,2025-12-31,21.0,29.37,0.28,2.76,75.94,0.39,53,73.6,2228804251.0,22188.04,33
PS30_NIFTYPARK_2010_2025,2010-01-01,2025-12-31,16.0,18.58,0.72,0.89,31.95,0.58,123,55.3,152667347.0,1426.67,33
PS30_NIFTYPARK_2012_2025,2012-01-01,2025-12-31,14.0,18.68,0.73,0.92,31.94,0.58,45,71.1,109941972.0,999.42,33
PS30_NIFTYPARK_2015_2025,2015-01-01,2025-12-31,11.0,19.3,0.69,0.81,29.61,0.65,108,55.6,69633981.0,596.34,32
PS20_NIFTYPARK_2005_2025,2005-01-01,2025-12-31,21.0,32.49,0.27,3.85,76.24,0.43,45,71.1,3678413098.0,36684.13,22
PS20_NIFTYPARK_2010_2025,2010-01-01,2025-12-31,16.0,18.35,0.69,0.88,31.64,0.58,94,55.3,148068009.0,1380.68,23
PS20_NIFTYPARK_2012_2025,2012-01-01,2025-12-31,14.0,20.54,0.82,1.04,32.32,0.64,44,72.7,136715476.0,1267.15,22
PS20_NIFTYPARK_2015_2025,2015-01-01,2025-12-31,11.0,19.19,0.67,0.8,30.4,0.63,77,55.8,68923992.0,589.24,22
