label,start_date,end_date,years,cagr,sharpe,sortino,max_drawdown,calmar,total_trades,win_rate,final_value,total_return_pct,topups
PS30_2005_2025,2005-01-01,2025-12-31,21.0,19.59,0.23,2.89,66.05,0.3,53,73.6,427954697.0,4179.55,33
PS30_2010_2025,2010-01-01,2025-12-31,16.0,17.39,0.68,0.83,28.49,0.61,123,55.3,129908683.0,1199.09,33
PS30_2012_2025,2012-01-01,2025-12-31,14.0,15.93,0.64,0.81,25.48,0.63,45,71.1,79187857.0,691.88,33
PS30_2015_2025,2015-01-01,2025-12-31,11.0,18.48,0.65,0.77,28.77,0.64,108,55.6,64582833.0,545.83,32
PS20_2005_2025,2005-01-01,2025-12-31,21.0,22.42,0.23,4.22,66.68,0.34,45,71.1,699537014.0,6895.37,22
PS20_2010_2025,2010-01-01,2025-12-31,16.0,17.62,0.66,0.84,29.84,0.59,94,55.3,134096143.0,1240.96,23
PS20_2012_2025,2012-01-01,2025-12-31,14.0,19.06,0.78,0.99,28.08,0.68,44,72.7,114980235.0,1049.8,22
PS20_2015_2025,2015-01-01,2025-12-31,11.0,18.75,0.65,0.78,30.27,0.62,77,55.8,66217644.0,562.18,22
