label,start_date,end_date,years,cagr,sharpe,sortino,max_drawdown,calmar,total_trades,win_rate,final_value,total_return_pct,topups
PS30_ABOVE2D_2005_2025,2005-01-01,2025-12-31,21.0,25.84,0.27,2.46,65.75,0.39,53,73.6,1247375236.0,12373.75,33
PS30_ABOVE2D_2010_2025,2010-01-01,2025-12-31,16.0,17.67,0.7,0.87,27.47,0.64,123,55.3,135011280.0,1250.11,33
PS30_ABOVE2D_2012_2025,2012-01-01,2025-12-31,14.0,16.91,0.73,0.93,22.7,0.74,45,71.1,89037191.0,790.37,33
PS30_ABOVE2D_2015_2025,2015-01-01,2025-12-31,11.0,18.76,0.67,0.79,28.88,0.65,108,55.6,66276096.0,562.76,32
PS20_ABOVE2D_2005_2025,2005-01-01,2025-12-31,21.0,28.8,0.25,3.54,66.56,0.43,45,71.1,2031389911.0,20213.9,22
PS20_ABOVE2D_2010_2025,2010-01-01,2025-12-31,16.0,17.89,0.68,0.87,29.13,0.61,94,55.3,139052842.0,1290.53,23
PS20_ABOVE2D_2012_2025,2012-01-01,2025-12-31,14.0,19.56,0.83,1.06,26.23,0.75,44,72.7,121858983.0,1118.59,22
PS20_ABOVE2D_2015_2025,2015-01-01,2025-12-31,11.0,18.89,0.66,0.79,30.27,0.62,77,55.8,67029958.0,570.3,22
