label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,rot_dest,rot_trigger,rot_spill,topup_rank,topup_split,topup_cap,seeds,seedbase,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,w3_cagr_med,w3_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,topups_med,topups_per_yr_med,topup_notional_med,spills_med,topup_refused_med,elig_days_med,elig_total_med,elig_ge1_med,elig_ge2_med,elig_ge3_med,elig_max_med,elig_ge2_pct_med,elig_mean_med,max_pos_w_med,med_seed,secs
REF_base_b60,COST,16,0.0625,random,0.052,60.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,30,7000,19.39,18.52,20.59,-33.97,-38.35,0.567,0.484,19.39,-33.97,0.567,1.119,685.0,31.6,47.8,37.07,-11.88,11.545,14.0,72.88,18.14,-32.83,20.535,-33.97,16.115,-22.62,1880.0,472.5,41.0,965.5,1970.5,685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444364.5,5602218.0,828000.0,2.443,492686.5,0.387,4.072,28.9,50744083.5,38.6,38.6,7.806085330855002e+18,74593834369024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.36,7010,3.4
REF_rot1_b60,COST,16,0.0625,random,0.052,60.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,30,7000,21.045,19.5,22.35,-32.13,-34.43,0.653,0.567,21.045,-32.13,0.653,1.188,742.5,34.25,46.05,38.725,-11.225,11.784,15.0,73.25,19.17,-32.02,23.1,-32.13,18.005,-26.905,1880.0,504.5,84.0,996.0,1977.5,742.5,96.0,2916.0,4.43,0.0,0.0,0.0,0.0,8494557.5,7291339.0,1326472.5,2.743,564100.0,0.433,5.803,34.05,68510034.5,43.15,43.15,6.458615744049237e+20,2894854933708800.0,0.0,0.0,0.0,0.0,0.0,1413.5,110.0,96.0,10.0,2.0,4.0,0.71,0.078,19.67,7029,7.5
A_k2_b60,COST,16,0.0625,random,0.052,60.0,unreal,10.0,2,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,30,7000,20.665,19.59,21.46,-32.99,-34.36,0.627,0.583,20.665,-32.99,0.627,1.169,749.5,34.55,45.95,38.385,-11.37,11.526,15.0,73.285,19.17,-32.02,22.285,-32.99,18.76,-28.145,1880.0,509.5,84.0,1004.5,1964.0,749.5,97.0,2966.0,4.47,0.0,0.0,0.0,0.0,8247031.0,7093396.5,1090287.5,2.761,574094.5,0.435,5.792,34.2,63781375.5,44.1,44.1,1.546671044105989e+20,721895351648256.0,0.0,0.0,0.0,0.0,0.0,1410.0,104.5,95.0,9.0,2.0,4.0,0.64,0.074,19.52,7023,7.9
A_k2_spillcash_b60,COST,16,0.0625,random,0.052,60.0,unreal,10.0,2,rs,0.0,month,0.0,0,0,0.92,entrant,signal,cash,rs,1,0.0,30,7000,21.055,19.33,22.16,-32.965,-34.05,0.639,0.575,21.055,-32.965,0.639,1.188,749.0,34.5,45.95,38.685,-11.325,11.673,15.0,73.275,19.17,-32.02,23.145,-32.965,16.83,-24.645,1880.0,506.5,84.0,995.5,1965.5,749.0,98.5,4366.5,4.545,0.0,0.0,0.0,0.0,8626800.5,7540414.0,1085857.0,2.766,577528.0,0.432,5.704,34.25,68186813.0,44.3,44.3,4.11250615612034e+20,2173291636719616.0,0.0,0.0,0.0,6.0,0.0,1408.0,100.0,91.0,8.0,1.0,3.0,0.57,0.071,19.52,7025,8.8
C_els_k1_b60,COST,16,0.0625,random,0.052,60.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,rs,1,3.0,30,7000,20.86,20.3,21.43,-35.96,-39.91,0.58,0.509,20.86,-35.96,0.58,1.111,716.0,33.0,41.0,33.615,-10.34,7.605,16.0,72.43,18.88,-31.25,22.865,-35.96,15.375,-31.51,1880.0,231.0,26.0,469.0,2474.5,716.0,196.5,7936.5,9.06,0.0,0.0,0.0,0.0,8531785.0,7322389.0,1209397.0,2.999,596848.0,0.464,6.461,34.9,66336126.0,53.5,53.5,549525176320.0,20675110.0,156.0,7.19,126349516.5,0.0,34.0,1400.0,41.0,40.0,1.0,0.0,2.0,0.07,0.029,38.6,7028,10.1
C_els_k1_cush_b60,COST,16,0.0625,random,0.052,60.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,cushion,1,3.0,30,7000,22.355,21.22,23.02,-34.97,-35.82,0.643,0.593,22.355,-34.97,0.643,1.142,678.0,31.3,40.9,37.86,-10.275,9.389,13.0,73.6,18.32,-33.72,26.555,-34.97,23.005,-24.545,1880.0,170.5,0.0,377.5,2600.0,678.0,185.0,7972.0,8.53,0.0,0.0,0.0,0.0,9632776.0,7595546.0,1811473.0,2.96,594833.0,0.494,7.458,35.6,85853735.0,59.65,59.65,22168362549248.0,73381696.0,147.5,6.8,156953002.0,0.0,1.0,1425.5,39.0,38.0,1.0,0.0,2.0,0.07,0.027,41.07,7023,10.0
C_els_k1_split2_b60,COST,16,0.0625,random,0.052,60.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,rs,2,3.0,30,7000,21.04,20.0,21.54,-33.1,-33.39,0.636,0.599,21.04,-33.1,0.636,1.115,705.5,32.55,41.35,30.92,-10.38,6.676,12.0,72.945,17.65,-30.69,24.58,-33.1,12.275,-27.4,1880.0,181.0,0.0,358.0,2599.0,705.5,193.0,7944.5,8.9,0.0,0.0,0.0,0.0,8144769.0,6935786.0,1270699.0,3.074,559914.0,0.474,6.257,33.6,68233249.0,61.4,61.4,6079194112.0,160563.984,294.0,13.56,130761106.5,0.0,34.0,1411.0,45.5,44.5,1.0,0.0,2.0,0.07,0.033,35.69,7022,12.2
CTRL_anycash_k1_b60,COST,16,0.0625,random,0.052,60.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,cash,rs,1,0.0,30,7000,18.935,18.33,19.85,-30.73,-32.17,0.611,0.578,18.935,-30.73,0.611,1.107,799.5,36.85,40.8,39.02,-10.425,9.75,12.0,70.64,18.0,-30.73,19.89,-28.96,16.195,-21.82,1880.0,452.5,63.0,905.5,1958.0,799.5,227.5,7846.0,10.49,0.0,0.0,0.0,0.0,5274649.0,4267016.5,1069027.5,2.89,510542.5,0.418,4.231,30.75,45357947.5,49.6,49.6,1.5105717807611904e+17,789046657024.0,0.0,0.0,0.0,183.5,0.0,1337.0,46.0,45.0,1.0,0.0,2.0,0.07,0.034,25.46,7019,12.7
B_S_k1_rs_c00_b60,COST,16,0.0625,random,0.052,60.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,topup,signal,none,rs,1,0.0,30,7000,19.845,18.88,20.64,-38.28,-41.3,0.523,0.473,19.845,-38.28,0.523,1.09,685.0,31.6,44.9,33.07,-10.995,8.719,15.0,72.68,18.18,-32.66,21.49,-38.28,13.79,-32.17,1880.0,266.0,2.0,515.0,2416.5,685.0,75.0,1392.0,3.46,0.0,0.0,0.0,0.0,7362529.5,6489778.5,839321.5,2.789,513749.0,0.435,5.119,31.1,55130768.5,57.4,57.4,78564380639232.0,2170900352.0,75.0,3.46,90617546.0,0.0,26.0,1392.0,121.0,101.0,15.0,2.0,4.0,1.08,0.087,55.985,7027,5.7
CTRL_hardstop10_b60,COST,16,0.0625,random,0.052,60.0,,0.0,1,tv,0.0,month,0.0,0,1,0.9,entrant,signal,none,rs,1,0.0,30,7000,19.055,18.41,19.83,-30.77,-30.84,0.619,0.598,19.055,-30.77,0.619,1.105,792.0,36.5,41.5,37.78,-10.465,9.539,12.0,70.4,18.03,-30.73,20.09,-30.77,15.52,-21.3,1880.0,363.0,1.0,754.5,2071.5,792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5616532.0,4736698.0,882503.5,2.849,529210.5,0.401,3.913,30.3,46632856.5,48.6,48.6,1.3020061931824742e+17,960968818688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.555,7013,3.9
