label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,rot_dest,rot_trigger,rot_spill,topup_rank,topup_split,topup_cap,seeds,seedbase,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,w3_cagr_med,w3_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,topups_med,topups_per_yr_med,topup_notional_med,spills_med,topup_refused_med,elig_days_med,elig_total_med,elig_ge1_med,elig_ge2_med,elig_ge3_med,elig_max_med,elig_ge2_pct_med,elig_mean_med,max_pos_w_med,med_seed,secs
REF_base,REF,16,0.0625,random,0.052,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,30,7000,20.91,20.16,21.81,-35.165,-37.69,0.606,0.547,20.91,-35.165,0.606,1.191,687.0,31.7,48.9,37.26,-11.585,12.269,14.0,72.885,19.06,-32.59,22.74,-35.165,20.83,-20.1,1880.0,471.0,41.0,972.0,1959.0,687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8352748.5,7354450.5,985231.0,2.466,546354.0,0.426,4.697,33.0,66756507.0,39.3,39.3,8.339204951073589e+20,7689761254801408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.32,7029,3.3
REF_rot1,REF,16,0.0625,random,0.052,25.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,30,7000,22.3,21.37,23.06,-31.78,-31.78,0.702,0.673,22.3,-31.78,0.702,1.252,745.5,34.4,47.15,38.345,-10.905,12.38,15.0,73.25,20.36,-31.78,24.345,-30.64,20.345,-22.995,1880.0,512.5,84.0,1008.0,1962.0,745.5,97.0,2910.0,4.47,0.0,0.0,0.0,0.0,10426050.5,8925971.5,1506506.5,2.78,661245.0,0.48,6.831,37.1,85607469.5,43.3,43.3,3.0980673916047546e+22,1.1200322943215206e+17,0.0,0.0,0.0,0.0,0.0,1412.0,110.5,97.0,11.0,2.0,3.0,0.78,0.079,19.62,7006,7.6
A_k2,A_K,16,0.0625,random,0.052,25.0,unreal,10.0,2,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,30,7000,22.09,20.99,23.69,-31.78,-32.58,0.695,0.652,22.09,-31.78,0.695,1.247,752.0,34.7,47.2,38.345,-11.02,12.224,15.0,73.29,20.36,-31.78,24.22,-31.47,21.54,-24.48,1880.0,514.0,84.0,1009.0,1958.0,752.0,97.5,2962.0,4.495,0.0,0.0,0.0,0.0,10232421.0,8961284.0,1328955.5,2.821,673518.5,0.486,6.913,37.15,82496145.5,43.7,43.7,1.9641498389355136e+22,9.118156728356045e+16,0.0,0.0,0.0,0.0,0.0,1408.0,108.0,95.0,9.0,2.0,4.0,0.64,0.077,19.47,7015,7.7
A_k3,A_K,16,0.0625,random,0.052,25.0,unreal,10.0,3,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,30,7000,22.09,20.99,23.69,-31.78,-32.58,0.695,0.652,22.09,-31.78,0.695,1.247,752.0,34.7,47.2,38.345,-11.015,12.224,15.0,73.29,20.36,-31.78,24.22,-31.47,21.54,-24.48,1880.0,514.0,84.0,1009.0,1958.0,752.0,97.5,2962.0,4.495,0.0,0.0,0.0,0.0,10232421.0,8961284.0,1328955.5,2.823,674250.5,0.49,6.913,37.15,82496145.5,43.7,43.7,1.9641498389355136e+22,9.118156728356045e+16,0.0,0.0,0.0,0.0,0.0,1407.0,108.0,94.5,9.0,2.0,4.0,0.64,0.077,19.47,7015,7.4
A_k4,A_K,16,0.0625,random,0.052,25.0,unreal,10.0,4,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,30,7000,22.09,20.99,23.69,-31.78,-32.58,0.695,0.652,22.09,-31.78,0.695,1.247,752.0,34.7,47.2,38.345,-11.015,12.224,15.0,73.29,20.36,-31.78,24.22,-31.47,21.54,-24.48,1880.0,514.0,84.0,1009.0,1958.0,752.0,97.5,2962.5,4.495,0.0,0.0,0.0,0.0,10232421.0,8961284.0,1328955.5,2.823,674250.5,0.49,6.913,37.15,82496145.5,43.7,43.7,1.9641498389355136e+22,9.118156728356045e+16,0.0,0.0,0.0,0.0,0.0,1407.0,108.0,94.5,9.0,2.0,4.0,0.64,0.077,19.47,7015,7.6
A_k6,A_K,16,0.0625,random,0.052,25.0,unreal,10.0,6,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,30,7000,22.09,20.99,23.69,-31.78,-32.58,0.695,0.652,22.09,-31.78,0.695,1.247,752.0,34.7,47.2,38.345,-11.015,12.224,15.0,73.29,20.36,-31.78,24.22,-31.47,21.54,-24.48,1880.0,514.0,84.0,1009.0,1958.0,752.0,97.5,2962.5,4.495,0.0,0.0,0.0,0.0,10232421.0,8961284.0,1328955.5,2.823,674250.5,0.49,6.913,37.15,82496145.5,43.7,43.7,1.9641498389355136e+22,9.118156728356045e+16,0.0,0.0,0.0,0.0,0.0,1407.0,108.0,94.5,9.0,2.0,4.0,0.64,0.077,19.47,7015,7.5
A_kall,A_K,16,0.0625,random,0.052,25.0,unreal,10.0,99,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,30,7000,22.09,20.99,23.69,-31.78,-32.58,0.695,0.652,22.09,-31.78,0.695,1.247,752.0,34.7,47.2,38.345,-11.015,12.224,15.0,73.29,20.36,-31.78,24.22,-31.47,21.54,-24.48,1880.0,514.0,84.0,1009.0,1958.0,752.0,97.5,2962.5,4.495,0.0,0.0,0.0,0.0,10232421.0,8961284.0,1328955.5,2.823,674250.5,0.49,6.913,37.15,82496145.5,43.7,43.7,1.9641498389355136e+22,9.118156728356045e+16,0.0,0.0,0.0,0.0,0.0,1407.0,108.0,94.5,9.0,2.0,4.0,0.64,0.077,19.47,7015,7.5
A_k2_m075,A_MARGIN,16,0.0625,random,0.052,25.0,unreal,7.5,2,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,30,7000,22.22,20.93,22.97,-32.13,-32.13,0.692,0.651,22.22,-32.13,0.692,1.224,778.5,35.9,45.55,37.465,-10.07,11.507,16.0,73.09,21.52,-32.13,22.805,-30.68,16.525,-21.455,1880.0,463.5,36.0,915.5,2068.5,778.5,143.5,2983.0,6.615,0.0,0.0,0.0,0.0,10602607.5,8732315.5,1941911.0,2.91,769011.0,0.542,6.604,39.5,84868316.5,41.3,41.3,5.197774566014204e+22,4.413447404833997e+17,0.0,0.0,0.0,0.0,0.0,1423.0,164.5,135.5,24.0,5.0,3.0,1.69,0.116,24.495,7013,8.4
A_k2_m125,A_MARGIN,16,0.0625,random,0.052,25.0,unreal,12.5,2,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,30,7000,21.45,20.28,22.55,-33.5,-37.35,0.625,0.543,21.45,-33.5,0.625,1.218,713.0,32.9,47.9,38.24,-11.29,12.436,16.0,73.155,18.84,-31.78,24.18,-33.5,15.875,-21.72,1880.0,524.0,93.0,1044.0,1916.0,713.0,54.0,2957.0,2.49,0.0,0.0,0.0,0.0,9181093.0,7756842.0,1233812.0,2.569,547343.5,0.424,5.671,33.05,74449209.5,36.0,36.0,5.094504268103827e+21,2.262805345258701e+16,0.0,0.0,0.0,0.0,0.0,1415.0,56.0,54.0,2.0,0.0,2.0,0.14,0.039,19.46,7004,8.2
A_k2_spillcash,A_SPILL,16,0.0625,random,0.052,25.0,unreal,10.0,2,rs,0.0,month,0.0,0,0,0.92,entrant,signal,cash,rs,1,0.0,30,7000,22.545,21.14,24.03,-32.06,-32.57,0.707,0.659,22.545,-32.06,0.707,1.257,751.5,34.65,47.1,38.475,-10.97,12.396,15.0,73.295,20.36,-31.78,25.03,-32.06,19.625,-22.13,1880.0,517.0,84.0,1016.0,1947.0,751.5,100.0,4364.5,4.61,0.0,0.0,0.0,0.0,10865113.0,9545545.5,1320617.0,2.829,672358.0,0.496,7.169,37.2,90026769.0,43.15,43.15,6.493714407007661e+22,3.4201762598905446e+17,0.0,0.0,0.0,5.0,0.0,1407.0,101.0,91.0,8.0,1.0,3.0,0.57,0.072,19.47,7029,9.8
