label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,rot_dest,rot_trigger,rot_spill,topup_rank,topup_split,topup_cap,seeds,seedbase,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,w3_cagr_med,w3_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,topups_med,topups_per_yr_med,topup_notional_med,spills_med,topup_refused_med,elig_days_med,elig_total_med,elig_ge1_med,elig_ge2_med,elig_ge3_med,elig_max_med,elig_ge2_pct_med,elig_mean_med,max_pos_w_med,med_seed,secs
REF_base_b40,COST,16,0.0625,random,0.052,40.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,30,7000,20.265,19.34,20.95,-33.16,-37.54,0.6,0.518,20.265,-33.16,0.6,1.162,687.0,31.7,48.5,37.07,-11.765,11.977,14.0,72.885,18.77,-32.69,21.875,-33.16,19.74,-21.495,1880.0,470.5,41.0,962.0,1971.5,687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7332003.5,6388649.5,920296.0,2.461,524604.5,0.415,4.504,31.95,59145025.5,39.0,39.0,1.0215360663331956e+20,824906451255296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.34,7006,3.2
REF_rot1_b40,COST,16,0.0625,random,0.052,40.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,30,7000,21.895,20.31,22.83,-31.88,-33.78,0.684,0.604,21.895,-31.88,0.684,1.223,744.0,34.3,46.6,38.82,-11.035,12.177,15.0,73.285,19.85,-31.88,24.215,-31.28,19.11,-24.965,1880.0,510.5,84.0,1005.0,1968.5,744.0,97.0,2912.5,4.47,0.0,0.0,0.0,0.0,9527255.0,8056648.5,1457838.0,2.771,617102.0,0.465,6.574,36.4,79485319.0,43.3,43.3,6.29061670051204e+21,2.7261994599972864e+16,0.0,0.0,0.0,0.0,0.0,1414.0,112.0,98.5,11.0,2.0,4.0,0.78,0.079,19.64,7019,7.5
A_k2_b40,COST,16,0.0625,random,0.052,40.0,unreal,10.0,2,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,30,7000,21.62,20.16,23.04,-32.14,-34.23,0.671,0.589,21.62,-32.14,0.671,1.218,750.0,34.6,46.5,38.55,-11.135,11.978,15.0,73.275,19.85,-31.88,23.5,-32.14,19.48,-25.66,1880.0,510.0,84.0,997.0,1968.0,750.0,96.0,2964.5,4.43,0.0,0.0,0.0,0.0,9576392.5,8411434.0,1231377.0,2.796,628028.5,0.468,6.553,36.1,76144797.0,43.1,43.1,2.7045314845760616e+21,1.2891484462252032e+16,0.0,0.0,0.0,0.0,0.0,1408.5,105.5,93.0,9.0,2.0,4.0,0.64,0.074,19.49,7027,8.8
A_k2_spillcash_b40,COST,16,0.0625,random,0.052,40.0,unreal,10.0,2,rs,0.0,month,0.0,0,0,0.92,entrant,signal,cash,rs,1,0.0,30,7000,22.295,20.41,23.34,-32.74,-33.21,0.683,0.619,22.295,-32.74,0.683,1.243,749.0,34.5,46.65,38.65,-11.11,12.166,15.0,73.295,19.85,-31.88,24.865,-32.74,19.265,-22.785,1880.0,517.0,84.0,1009.5,1953.0,749.0,98.0,4366.0,4.52,0.0,0.0,0.0,0.0,10207257.5,8878194.0,1225657.5,2.799,627399.5,0.462,6.562,36.2,85695760.0,44.3,44.3,1.760010224666101e+22,7.381261645932134e+16,0.0,0.0,0.0,5.0,0.0,1407.5,99.5,90.0,7.0,1.0,3.0,0.5,0.071,19.49,7022,10.1
C_els_k1_b40,COST,16,0.0625,random,0.052,40.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,rs,1,3.0,30,7000,22.085,21.44,22.56,-34.56,-36.94,0.638,0.59,22.085,-34.56,0.638,1.165,717.0,33.1,41.7,33.44,-10.045,8.084,12.0,72.455,19.56,-31.08,24.68,-34.56,16.995,-30.0,1880.0,232.0,26.0,466.0,2474.0,717.0,196.5,7917.0,9.06,0.0,0.0,0.0,0.0,10698566.0,9244272.0,1454295.0,3.044,703049.0,0.521,7.904,37.7,82967044.5,52.3,52.3,19545750765568.0,603916256.0,157.0,7.24,149197301.5,0.0,34.0,1398.0,40.0,39.0,1.0,0.0,2.0,0.07,0.029,38.0,7011,10.3
C_els_k1_cush_b40,COST,16,0.0625,random,0.052,40.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,cushion,1,3.0,30,7000,24.02,23.44,24.57,-34.2,-34.2,0.702,0.685,24.02,-34.2,0.702,1.214,675.0,31.1,41.8,38.075,-10.055,9.944,11.0,73.55,19.1,-33.58,29.18,-34.2,27.99,-23.0,1880.0,159.0,0.0,324.0,2659.0,675.0,187.5,7976.0,8.645,0.0,0.0,0.0,0.0,11930754.0,9146200.0,2819713.5,2.932,652988.0,0.529,8.756,37.65,114874611.0,57.85,57.85,460396318162944.0,1464251456.0,148.5,6.845,184957036.0,0.0,1.0,1428.0,40.0,39.0,1.0,0.0,2.0,0.07,0.028,40.9,7009,10.2
C_els_k1_split2_b40,COST,16,0.0625,random,0.052,40.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,rs,2,3.0,30,7000,22.155,21.76,23.14,-32.17,-32.32,0.688,0.675,22.155,-32.17,0.688,1.165,704.0,32.5,41.9,30.895,-10.14,7.031,12.0,72.925,18.41,-30.55,26.075,-32.17,13.665,-25.99,1880.0,178.0,0.0,354.0,2605.0,704.0,193.0,7953.0,8.9,0.0,0.0,0.0,0.0,9784707.0,8143977.0,1590991.0,3.096,616255.0,0.502,7.705,37.1,83499705.5,61.3,61.3,68826683392.0,1764689.688,296.5,13.675,157694524.5,0.0,34.0,1409.0,44.0,43.0,1.0,0.0,2.0,0.07,0.031,35.58,7003,9.8
CTRL_anycash_k1_b40,COST,16,0.0625,random,0.052,40.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,cash,rs,1,0.0,30,7000,19.97,19.12,20.79,-30.58,-31.47,0.653,0.612,19.97,-30.58,0.653,1.154,799.5,36.85,41.7,38.84,-10.175,10.193,12.0,70.61,18.85,-30.58,21.11,-28.2,16.345,-22.56,1880.0,460.0,63.0,922.5,1939.5,799.5,225.0,7847.0,10.38,0.0,0.0,0.0,0.0,6559606.5,5292921.5,1201454.0,2.936,571932.0,0.447,4.872,33.35,55196191.5,48.85,48.85,6.053736475063747e+18,30381763985408.0,0.0,0.0,0.0,183.0,0.0,1337.5,46.0,45.0,1.0,0.0,2.0,0.07,0.034,25.46,7022,10.5
B_S_k1_rs_c00_b40,COST,16,0.0625,random,0.052,40.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,topup,signal,none,rs,1,0.0,30,7000,20.605,19.81,21.81,-36.36,-39.16,0.562,0.506,20.605,-36.36,0.562,1.128,684.0,31.5,45.65,32.84,-10.845,9.014,15.0,72.55,18.84,-32.53,22.605,-36.36,14.95,-29.74,1880.0,261.5,2.0,514.5,2421.5,684.0,77.0,1392.0,3.55,0.0,0.0,0.0,0.0,8436308.5,7493117.5,951486.0,2.792,564749.5,0.466,6.042,34.95,63325868.0,54.6,54.6,829907101810688.0,25846798336.0,77.0,3.55,104831442.5,0.0,26.0,1392.0,121.5,103.0,15.0,2.0,4.0,1.08,0.087,59.235,7013,5.8
CTRL_hardstop10_b40,COST,16,0.0625,random,0.052,40.0,,0.0,1,tv,0.0,month,0.0,0,1,0.9,entrant,signal,none,rs,1,0.0,30,7000,20.095,19.45,20.88,-30.58,-30.58,0.657,0.636,20.095,-30.58,0.657,1.156,791.0,36.5,42.1,37.885,-10.19,10.071,12.0,70.38,18.88,-30.58,21.34,-30.27,17.71,-20.395,1880.0,362.5,1.0,754.0,2076.5,791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6848055.0,5705595.5,1138380.0,2.889,591685.5,0.442,4.541,33.3,56734233.0,47.35,47.35,5.125662624435929e+18,36347412742144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.35,7010,3.9
