label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,rot_dest,rot_trigger,rot_spill,topup_rank,topup_split,topup_cap,seed,cagr,maxdd,calmar,sharpe,trades,trades_per_yr,win_rate,avg_win,avg_loss,expectancy,max_loss_streak,invested_pct,w1_cagr,w1_dd,w2_cagr,w2_dd,w3_cagr,w3_dd,days_signal,days_bind,days_full,turned_away,cash_refused,entries_taken,swaps,swap_attempts,swaps_per_yr,trims,trims_per_yr,trim_notional,partial_fills,tax_paid,tax_st,tax_lt,turnover_x,pos_rs_med,cap_pct_med,cap_pct_p95,cap_over1pct,profit_total,top10_share,top10_share_all,mult_all,mult_drop10,topups,topups_per_yr,topup_notional,spills,topup_refused,elig_days,elig_total,elig_ge1,elig_ge2,elig_ge3,elig_max,elig_ge2_pct,elig_mean,max_pos_w
P_cush_m075_b60,COST,16,0.0625,random,0.052,60.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,cushion,1,3.0,7016,21.59,-43.37,0.498,1.117,709,32.7,35.4,34.5,-9.13,6.316,17,73.03,18.69,-34.82,24.57,-43.37,19.55,-28.79,1880,94,0,189,2769,709,299,7874,13.79,0,0.0,0.0,0,8.614774e+06,7.287178e+06,1.327597e+06,3.293,696686.0,0.546,6.839,38.4,74819358.0,66.9,66.9,820554688.0,14265.098,251,11.57,226245762.0,0,12,1411,49,48,1,0,2,0.07,0.035,44.94
P_cush_m075_b60,COST,16,0.0625,random,0.052,60.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,cushion,1,3.0,7017,21.42,-43.37,0.494,1.11,712,32.8,35.1,34.73,-9.14,6.267,17,72.97,18.69,-34.82,24.23,-43.37,19.69,-30.88,1880,94,0,189,2767,712,301,7871,13.88,0,0.0,0.0,0,8.440051e+06,7.287178e+06,1.152874e+06,3.317,699702.0,0.547,6.992,38.6,72602480.0,68.0,68.0,605692096.0,10529.773,252,11.62,223862998.0,0,12,1409,50,49,1,0,2,0.07,0.035,44.94
P_cush_m075_b60,COST,16,0.0625,random,0.052,60.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,cushion,1,3.0,7018,21.59,-43.37,0.498,1.117,709,32.7,35.4,34.5,-9.13,6.316,17,73.03,18.69,-34.82,24.57,-43.37,19.55,-28.79,1880,94,0,189,2769,709,299,7874,13.79,0,0.0,0.0,0,8.614774e+06,7.287178e+06,1.327597e+06,3.293,696686.0,0.546,6.839,38.4,74819358.0,66.9,66.9,820554688.0,14265.098,251,11.57,226245762.0,0,12,1411,49,48,1,0,2,0.07,0.035,44.94
P_cush_m075_b60,COST,16,0.0625,random,0.052,60.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,cushion,1,3.0,7019,21.36,-43.37,0.493,1.11,707,32.6,35.5,34.45,-9.09,6.369,17,73.03,18.69,-34.82,24.1,-43.37,14.57,-23.96,1880,91,0,186,2773,707,295,7882,13.6,0,0.0,0.0,0,8.949917e+06,7.55441e+06,1.395507e+06,3.281,694335.0,0.547,6.835,38.6,72349388.0,60.8,60.8,1130503040.0,19653.445,248,11.44,225160812.0,0,12,1412,48,47,1,0,2,0.07,0.034,44.94
P_cush_m075_b60,COST,16,0.0625,random,0.052,60.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,cushion,1,3.0,7020,21.15,-43.37,0.488,1.102,711,32.8,35.3,34.28,-9.11,6.207,17,73.0,18.69,-34.82,23.66,-43.37,18.76,-26.82,1880,90,0,185,2772,711,298,7879,13.74,0,0.0,0.0,0,8.415446e+06,7.287178e+06,1.128269e+06,3.321,698220.0,0.546,6.801,39.0,69395091.0,62.2,62.2,509846400.0,8863.521,249,11.48,224229637.0,0,12,1412,50,49,1,0,2,0.07,0.035,44.94
P_cush_m075_b60,COST,16,0.0625,random,0.052,60.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,cushion,1,3.0,7021,21.59,-43.37,0.498,1.117,709,32.7,35.4,34.5,-9.13,6.316,17,73.03,18.69,-34.82,24.57,-43.37,19.55,-28.79,1880,94,0,189,2769,709,299,7874,13.79,0,0.0,0.0,0,8.614774e+06,7.287178e+06,1.327597e+06,3.293,696686.0,0.546,6.839,38.4,74819358.0,66.9,66.9,820554688.0,14265.098,251,11.57,226245762.0,0,12,1411,49,48,1,0,2,0.07,0.035,44.94
P_cush_m075_b60,COST,16,0.0625,random,0.052,60.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,cushion,1,3.0,7022,21.15,-43.37,0.488,1.099,709,32.7,35.4,34.34,-9.09,6.286,17,73.01,18.69,-34.82,23.67,-43.37,14.16,-26.73,1880,94,0,192,2766,709,297,7878,13.7,0,0.0,0.0,0,8.614774e+06,7.287178e+06,1.327597e+06,3.305,696686.0,0.547,6.802,38.5,69598081.0,62.2,62.2,792823104.0,13782.988,249,11.48,225789820.0,0,12,1412,49,48,1,0,2,0.07,0.035,44.94
P_cush_m075_b60,COST,16,0.0625,random,0.052,60.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,cushion,1,3.0,7023,21.44,-43.37,0.494,1.114,709,32.7,35.8,34.38,-9.11,6.471,17,73.0,18.69,-34.82,24.27,-43.37,17.72,-26.45,1880,98,0,198,2760,709,296,7874,13.65,0,0.0,0.0,0,8.614774e+06,7.287178e+06,1.327597e+06,3.295,696686.0,0.563,6.839,38.8,73018960.0,59.8,59.8,2189258240.0,38059.598,248,11.44,223826398.0,0,12,1413,49,48,1,0,2,0.07,0.035,44.94
P_cush_m075_b60,COST,16,0.0625,random,0.052,60.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,cushion,1,3.0,7024,21.59,-43.37,0.498,1.117,709,32.7,35.4,34.5,-9.13,6.316,17,73.03,18.69,-34.82,24.57,-43.37,19.55,-28.79,1880,94,0,189,2769,709,299,7874,13.79,0,0.0,0.0,0,8.614774e+06,7.287178e+06,1.327597e+06,3.293,696686.0,0.546,6.839,38.4,74819358.0,66.9,66.9,820554688.0,14265.098,251,11.57,226245762.0,0,12,1411,49,48,1,0,2,0.07,0.035,44.94
P_cush_m075_b60,COST,16,0.0625,random,0.052,60.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,cushion,1,3.0,7025,21.18,-43.37,0.488,1.105,713,32.9,35.3,34.6,-9.12,6.329,16,73.01,18.69,-34.82,23.71,-43.37,19.07,-29.88,1880,95,0,191,2764,713,299,7872,13.79,0,0.0,0.0,0,8.415446e+06,7.287178e+06,1.128269e+06,3.335,701184.0,0.563,6.815,38.7,69687900.0,61.5,61.5,998589696.0,17360.174,250,11.53,223184478.0,0,12,1411,50,49,1,0,2,0.07,0.035,44.94
P_cush_m075_b60,COST,16,0.0625,random,0.052,60.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,cushion,1,3.0,7026,21.66,-43.37,0.499,1.12,707,32.6,35.5,34.5,-9.12,6.362,17,73.03,18.69,-34.82,24.72,-43.37,20.45,-27.88,1880,94,0,190,2770,707,298,7876,13.74,0,0.0,0.0,0,8.614774e+06,7.287178e+06,1.327597e+06,3.275,694335.0,0.547,6.841,38.6,75704279.0,66.4,66.4,1003966016.0,17453.645,250,11.53,226573819.0,0,12,1412,49,48,1,0,2,0.07,0.035,44.94
P_cush_m075_b60,COST,16,0.0625,random,0.052,60.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,cushion,1,3.0,7027,21.48,-43.37,0.495,1.112,710,32.7,35.4,34.44,-9.13,6.274,17,73.04,18.69,-34.82,24.34,-43.37,19.69,-30.19,1880,94,0,189,2768,710,300,7875,13.83,0,0.0,0.0,0,8.501502e+06,7.287178e+06,1.214326e+06,3.308,697453.0,0.547,6.895,38.5,73364028.0,67.6,67.6,651488704.0,11325.934,252,11.62,227468953.0,0,12,1411,49,48,1,0,2,0.07,0.035,44.94
P_cush_m075_b60,COST,16,0.0625,random,0.052,60.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,cushion,1,3.0,7028,20.76,-43.37,0.479,1.081,711,32.8,35.2,34.29,-9.1,6.155,17,73.04,18.69,-34.82,22.85,-43.37,13.68,-31.78,1880,94,0,192,2766,711,302,7869,13.93,0,0.0,0.0,0,8.386692e+06,7.287178e+06,1.099515e+06,3.346,698220.0,0.551,6.855,38.7,65002842.0,65.0,65.0,362122400.0,6295.386,252,11.62,230765626.0,0,12,1413,51,50,1,0,2,0.07,0.036,44.94
P_cush_m075_b60,COST,16,0.0625,random,0.052,60.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,cushion,1,3.0,7029,21.14,-43.37,0.487,1.102,711,32.8,35.3,34.3,-9.11,6.218,17,73.0,18.69,-34.82,23.64,-43.37,18.6,-26.85,1880,94,0,189,2768,711,297,7879,13.7,0,0.0,0.0,0,8.415446e+06,7.287178e+06,1.128269e+06,3.312,698220.0,0.546,6.801,38.8,69248391.0,62.3,62.3,547477504.0,9517.73,248,11.44,221512924.0,0,12,1412,50,49,1,0,2,0.07,0.035,44.94
