name,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,avg_win_pct,avg_loss_pct,final_value,total_return_pct,top3_pnl_pct,top3_symbols,cagr_ex_top3,exit_reason_counts
PA_Stoch20_ATH20,10.45,0.25,0.27,33.68,0.31,3.28,1153,47.8,50.2,-14.0,80558172,705.6,8.2,"['DIXON', 'TATAELXSI', 'BAJFINANCE']",10.21,"{'ATH_DD_20pct': 942, 'Time_365d': 186, 'End_of_Period': 25}"
PA_Stoch20_IndicatorExit,7.55,0.09,0.1,40.77,0.19,1.56,6301,69.6,6.8,-10.0,46109508,361.1,7.3,"['BAJFINANCE', 'CERA', 'TRIDENT']",7.74,"{'Stoch_80': 5544, 'Trail_20pct': 714, 'Time_126d': 18, 'End_of_Period': 25}"
PA_CCI_neg100_Trail15,9.55,0.23,0.25,31.87,0.3,2.85,1494,49.8,32.5,-11.3,67837551,578.4,7.5,"['ADANIENT', 'APLAPOLLO', 'MANAPPURAM']",9.33,"{'Trail_15pct': 1233, 'Time_252d': 236, 'End_of_Period': 25}"
PA_CCI_neg100_ATH20,9.62,0.22,0.24,31.16,0.31,3.39,928,50.2,48.2,-14.4,68733006,587.3,9.3,"['KEI', 'APLAPOLLO', 'JINDALSTEL']",9.28,"{'ATH_DD_20pct': 694, 'Time_365d': 209, 'End_of_Period': 25}"
PA_CCI_neg100_IndicatorExit,5.75,-0.11,-0.12,45.07,0.13,1.48,4846,71.2,6.1,-10.1,32364377,223.6,5.5,"['LALPATHLAB', 'EICHERMOT', 'STAR']",6.07,"{'CCI_100': 4318, 'Trail_20pct': 503, 'Time_126d': 2, 'End_of_Period': 23}"
PA_WR_neg80_Trail15,10.35,0.26,0.28,30.29,0.34,2.73,1888,47.4,33.4,-11.0,79146177,691.5,5.3,"['AJANTPHARM', 'NAVINFLUOR', 'RELIANCE']",10.28,"{'Trail_15pct': 1655, 'Time_252d': 208, 'End_of_Period': 25}"
PA_WR_neg80_ATH20,10.45,0.25,0.27,33.68,0.31,3.28,1153,47.8,50.2,-14.0,80558172,705.6,8.2,"['DIXON', 'TATAELXSI', 'BAJFINANCE']",10.21,"{'ATH_DD_20pct': 942, 'Time_365d': 186, 'End_of_Period': 25}"
PA_WR_neg80_IndicatorExit,7.55,0.09,0.1,40.77,0.19,1.56,6301,69.6,6.8,-10.0,46109508,361.1,7.3,"['BAJFINANCE', 'CERA', 'TRIDENT']",7.74,"{'WR_OB': 5544, 'Trail_20pct': 714, 'Time_126d': 18, 'End_of_Period': 25}"
PA_MFI20_Trail15,9.24,0.2,0.21,33.43,0.28,2.88,1362,47.9,34.3,-10.9,63963414,539.6,7.0,"['BAJFINANCE', 'BALKRISIND', 'THERMAX']",9.04,"{'Trail_15pct': 1094, 'Time_252d': 243, 'End_of_Period': 25}"
PA_MFI20_ATH20,8.99,0.18,0.2,35.91,0.25,3.13,914,49.9,44.6,-14.2,60894152,508.9,10.0,"['BAJFINANCE', 'DEEPAKNTR', 'AJANTPHARM']",8.68,"{'ATH_DD_20pct': 696, 'Time_365d': 193, 'End_of_Period': 25}"
PA_MFI20_IndicatorExit,6.6,-0.03,-0.03,37.82,0.17,1.73,2544,64.7,11.4,-12.0,38237280,282.4,8.9,"['BAJFINANCE', 'KOTAKBANK', 'TRIDENT']",6.49,"{'MFI_80': 1808, 'Trail_20pct': 475, 'Time_126d': 237, 'End_of_Period': 24}"
PA_BB_Squeeze_Trail15,9.16,0.21,0.23,29.95,0.31,2.51,1564,45.1,33.9,-11.1,63018559,530.2,7.7,"['AUROPHARMA', 'ADANIGREEN', 'SHREECEM']",8.95,"{'Trail_15pct': 1285, 'Time_252d': 254, 'End_of_Period': 25}"
PA_BB_Squeeze_ATH20,9.04,0.19,0.21,28.06,0.32,2.98,987,48.4,44.5,-14.0,61588450,515.9,8.8,"['ADANIENT', 'TTKPRESTIG', 'SUDARSCHEM']",8.82,"{'ATH_DD_20pct': 752, 'Time_365d': 210, 'End_of_Period': 25}"
PA_BB_Squeeze_IndicatorExit,9.16,0.21,0.23,29.95,0.31,2.51,1564,45.1,33.9,-11.1,63018559,530.2,7.7,"['AUROPHARMA', 'ADANIGREEN', 'SHREECEM']",8.95,"{'Trail_15pct': 1285, 'Time_252d': 254, 'End_of_Period': 25}"
