symbol,total_trades,wins,win_rate,total_pnl_pct,avg_pnl_pct,strategies_active,best_strategy,best_strategy_pnl
APOLLOTYRE,33,10,30.3,-165.8,-5.0,8,RSI30,39.3
MINDACORP,27,5,18.5,-186.6,-6.9,9,EMA_9_21,67.1
M&MFIN,48,14,29.2,-192.4,-4.0,9,MACD,40.7
SAIL,32,7,21.9,-204.4,-6.4,9,SuperTrend,33.9
BPCL,66,18,27.3,-208.0,-3.2,9,EMA_20_50,26.4
PNB,25,7,28.0,-216.1,-8.6,9,RSI30,4.5
NFL,35,7,20.0,-237.0,-6.8,8,EMA_20_50,70.0
ASHOKA,20,3,15.0,-241.0,-12.1,9,RSI30,-8.8
BASF,40,9,22.5,-243.8,-6.1,9,SuperTrend,36.8
NATIONALUM,45,12,26.7,-252.0,-5.6,9,RSI30,18.6
