name,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,avg_win_pct,avg_loss_pct,final_value,total_return_pct,top3_pnl_pct,top3_symbols,cagr_ex_top3,exit_reason_counts
MR_RSI30_ExitRSI70,8.49,0.18,0.19,23.23,0.37,1.37,3043,56.4,9.5,-8.9,24499769,145.0,8.8,"['KEI', 'TIINDIA', 'JSL']",8.81,"{'RSI_70': 1606, 'SL_8pct': 1149, 'Time_60d': 266, 'End_of_Period': 22}"
MR_RSI2_10_Exit90,8.36,0.16,0.17,24.93,0.34,1.24,12809,61.7,4.1,-5.3,24182524,141.8,6.0,"['KEI', 'HEG', 'KPITTECH']",11.29,"{'RSI_90': 8376, 'SL_5pct': 3433, 'Time_15d': 975, 'End_of_Period': 25}"
MR_BB_Lower_ExitMid,4.91,-0.16,-0.17,27.20,0.18,1.24,4171,65.4,5.1,-7.8,16941977,69.4,3.4,"['JBCHEPHARM', 'BSOFT', 'NAVINFLUOR']",6.36,"{'BB_Mid': 3062, 'SL_8pct': 1087, 'Time_60d': 1, 'End_of_Period': 21}"
MR_KC_Lower_ExitMid,5.38,-0.20,-0.21,14.25,0.38,1.46,1844,66.5,6.3,-8.6,17793144,77.9,-3.4,"['ADANIENT', 'MCX', 'BSOFT']",6.24,"{'KC_Mid': 1328, 'SL_8pct': 506, 'Time_60d': 2, 'End_of_Period': 8}"
MR_Stoch20_Exit80,9.35,0.25,0.28,18.72,0.50,1.35,4812,63.0,6.8,-8.6,26730336,167.3,6.3,"['LALPATHLAB', 'IIFL', 'MUTHOOTFIN']",10.19,"{'Stoch_80': 3211, 'SL_8pct': 1502, 'Time_60d': 74, 'End_of_Period': 25}"
MR_WR80_Exit20,9.35,0.25,0.28,18.72,0.50,1.35,4812,63.0,6.8,-8.6,26730336,167.3,6.3,"['LALPATHLAB', 'IIFL', 'MUTHOOTFIN']",10.19,"{'WR_OB': 3211, 'SL_8pct': 1502, 'Time_60d': 74, 'End_of_Period': 25}"
MR_CCI100_Exit100,5.80,-0.09,-0.10,25.76,0.23,1.26,3577,63.5,6.2,-8.6,18582426,85.8,10.3,"['LALPATHLAB', 'KPRMILL', 'NAVINFLUOR']",6.55,"{'CCI_100': 2383, 'SL_8pct': 1116, 'Time_60d': 54, 'End_of_Period': 24}"
MR_MFI20_Exit80,7.49,0.08,0.10,15.65,0.48,1.53,1902,54.7,9.9,-7.8,22118983,121.2,11.1,"['JAMNAAUTO', 'NAVINFLUOR', 'AMBER']",7.49,"{'MFI_80': 776, 'SL_8pct': 645, 'Time_60d': 459, 'End_of_Period': 22}"
MR_WeeklyUp_DailyPull_Trail15,12.64,0.45,0.49,21.01,0.60,1.99,1340,47.8,23.5,-10.8,37020387,270.2,11.8,"['RVNL', 'ADANIGREEN', 'DIXON']",12.09,"{'Trail_15pct': 897, 'Time_120d': 418, 'End_of_Period': 25}"
MR_BB_Lower_TP15,8.67,0.20,0.21,24.09,0.36,1.39,3827,46.2,9.6,-5.9,24962090,149.6,6.3,"['LALPATHLAB', 'NAUKRI', 'KPITTECH']",9.38,"{'SL_5pct': 1666, 'TP_15pct': 578, 'Time_30d': 1558, 'End_of_Period': 25}"
MR_RSI25_BBUpper,7.37,0.08,0.08,26.55,0.28,1.40,2020,58.4,10.5,-10.6,21869080,118.7,9.4,"['HEG', 'RAIN', 'AARTIIND']",7.48,"{'BB_Upper': 1194, 'SL_10pct': 702, 'Time_90d': 102, 'End_of_Period': 22}"
MR_KC_DistRank_Trail10,6.32,-0.02,-0.02,16.40,0.39,1.51,1343,42.6,14.6,-7.2,19625124,96.2,14.8,"['ADANIGREEN', 'JKPAPER', 'NBCC']",6.05,"{'Trail_10pct': 999, 'Time_90d': 319, 'End_of_Period': 25}"
