name,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,avg_win_pct,avg_loss_pct,final_value,total_return_pct,top3_pnl_pct,top3_symbols,cagr_ex_top3,exit_reason_counts
P3_MACD200_T20_PS10,11.32,0.33,0.39,23.58,0.48,2.63,245,58.0,28.5,-15.0,32520751,225.2,19.1,"['ADANIGREEN', 'COCHINSHIP', 'KEI']",10.25,"{'Trail_20pct': 148, 'Time_252d': 87, 'End_of_Period': 10}"
P3_MACD200_T20_PS10_Q,11.32,0.33,0.39,23.58,0.48,2.63,245,58.0,28.5,-15.0,32520751,225.2,19.1,"['ADANIGREEN', 'COCHINSHIP', 'KEI']",10.25,"{'Trail_20pct': 148, 'Time_252d': 87, 'End_of_Period': 10}"
P3_MACD200_T20_PS10_SA,11.32,0.33,0.39,23.58,0.48,2.63,245,58.0,28.5,-15.0,32520751,225.2,19.1,"['ADANIGREEN', 'COCHINSHIP', 'KEI']",10.25,"{'Trail_20pct': 148, 'Time_252d': 87, 'End_of_Period': 10}"
P3_MACD200_T20_PS15_Q,11.35,0.38,0.45,15.53,0.73,2.69,370,57.3,28.4,-14.2,32623395,226.2,15.5,"['RECLTD', 'ADANIGREEN', 'COCHINSHIP']",10.57,"{'Trail_20pct': 228, 'Time_252d': 127, 'End_of_Period': 15}"
P3_MACD200_T20_PS20_SECT40,12.04,0.40,0.45,20.04,0.60,2.87,489,55.2,31.3,-13.4,34915131,249.2,13.0,"['RECLTD', 'GRAPHITE', 'RADICO']",11.39,"{'Trail_20pct': 310, 'Time_252d': 159, 'End_of_Period': 20}"
P3_MACD200_T20_PS10_CONC,11.07,0.33,0.39,23.12,0.48,2.48,249,56.2,29.0,-15.0,31729313,217.3,19.8,"['ADANIGREEN', 'COCHINSHIP', 'KEI']",9.98,"{'Trail_20pct': 153, 'Time_252d': 86, 'End_of_Period': 10}"
P3_MACD200_T20_PS10_COMP,11.99,0.38,0.44,24.95,0.48,2.79,248,56.9,30.1,-14.2,34726966,247.3,17.7,"['ADANIGREEN', 'COCHINSHIP', 'HFCL']",10.92,"{'Trail_20pct': 156, 'Time_252d': 82, 'End_of_Period': 10}"
P3_MACD200_T20_PS10_RSI,13.37,0.48,0.56,24.52,0.55,3.21,236,52.5,37.6,-13.0,39742456,297.4,24.3,"['JSWENERGY', 'LAURUSLABS', 'ADANIGREEN']",11.49,"{'Trail_20pct': 142, 'Time_252d': 84, 'End_of_Period': 10}"
P3_ADX25_ADXExit_PS10,12.48,0.39,0.45,27.78,0.45,1.69,967,44.6,17.3,-8.2,36469806,264.7,22.8,"['ADANIGREEN', 'RAIN', 'GRAPHITE']",11.28,"{'ADX_Weak': 578, 'Trail_15pct': 378, 'Time_252d': 1, 'End_of_Period': 10}"
P3_ADX25_ADXExit_PS10_Q,12.48,0.39,0.45,27.78,0.45,1.69,967,44.6,17.3,-8.2,36469806,264.7,22.8,"['ADANIGREEN', 'RAIN', 'GRAPHITE']",11.28,"{'ADX_Weak': 578, 'Trail_15pct': 378, 'Time_252d': 1, 'End_of_Period': 10}"
