scenario,portfolio_size,cagr,sharpe,sortino,max_drawdown,calmar,total_trades,win_rate,avg_win_pct,avg_loss_pct,final_value,total_return_pct,total_topups
BASELINE_PS30,30,19.52,0.23,2.89,66.0,0.3,53,73.6,1139.9,-27.6,411895982.0,4019.0,33
DAILY_EXIT_PS30,30,1.93,-1.92,-2.69,9.8,0.2,27,55.6,59.8,-16.8,14905363.0,49.0,33
DAILY_REPLACE_PS30,30,17.76,0.28,2.05,21.4,0.83,75,57.3,2063.4,-17.4,302135086.0,2921.4,34
BASELINE_PS10,10,30.49,0.25,5.37,50.9,0.6,42,66.7,2182.1,-14.5,2569258359.0,25592.6,8
DAILY_EXIT_PS10,10,1.36,-1.93,-2.81,11.5,0.12,10,50.0,38.4,-19.1,13259760.0,32.6,8
DAILY_REPLACE_PS10,10,22.89,0.29,3.07,21.9,1.04,41,58.5,3658.5,-17.0,735244212.0,7252.4,8
