symbol,avg_turnover_cr,n
HDFCBANK,1934.6,47
ICICIBANK,1678.9,47
RELIANCE,1518.9,47
BSE,1270.2,56
BHARTIARTL,1257.2,47
INFY,1144.1,47
M&M,893.3,47
SBIN,892.6,47
IDEA,891.3,61
TCS,872.5,47
AXISBANK,833.4,47
BAJFINANCE,762.4,56
MARUTI,712.8,47
ADANIPOWER,678.3,84
KOTAKBANK,675.3,56
LT,672.1,47
BEL,587.4,61
ITC,553.4,47
INDIGO,533.8,61
HAL,505.7,61
MCX,489.5,61
DIXON,489.0,84
VEDL,484.1,61
HEROMOTOCO,441.1,47
GMDCLTD,434.0,84
HINDALCO,431.6,47
PAYTM,427.7,56
TATASTEEL,418.5,47
TRENT,414.4,84
TITAN,400.2,47
HINDCOPPER,388.0,61
HINDZINC,384.2,84
SUNPHARMA,375.5,47
CANBK,371.2,61
RBLBANK,367.7,61
HINDUNILVR,363.5,47
HCLTECH,360.5,47
ADANIGREEN,360.1,84
POWERGRID,354.8,47
BAJAJ-AUTO,338.7,47
SUZLON,328.6,84
EICHERMOT,326.1,47
ADANIPORTS,325.1,47
ADANIENT,315.5,47
INDUSINDBK,311.4,47
NTPC,305.6,47
CDSL,296.2,61
REDINGTON,287.6,61
GODFRYPHLP,287.2,56
NATIONALUM,285.8,84
COFORGE,284.2,61
PERSISTENT,280.2,61
ULTRACEMCO,276.6,47
DIVISLAB,272.9,56
VBL,267.1,84
CHENNPETRO,266.0,84
BPCL,263.5,61
TVSMOTOR,257.5,84
SAIL,257.0,61
BANKBARODA,254.2,61
AMBER,253.5,61
COCHINSHIP,253.2,61
BHEL,249.9,61
TECHM,249.9,47
RVNL,249.0,84
CHOLAFIN,241.6,61
YESBANK,236.4,61
ASHOKLEY,234.7,61
COALINDIA,232.4,47
ASIANPAINT,231.8,47
APOLLOHOSP,231.1,47
HDFCAMC,226.9,61
DRREDDY,225.4,47
FORTIS,224.4,56
AUBANK,222.4,84
BDL,221.3,56
WIPRO,218.5,47
BAJAJFINSV,217.1,56
ONGC,211.5,47
HDFCLIFE,211.1,56
CIPLA,206.6,47
BRITANNIA,201.4,47
FEDERALBNK,199.3,61
INDHOTEL,198.6,84
RECLTD,197.5,61
PFC,194.0,61
CUMMINSIND,193.7,61
LUPIN,193.4,61
MUTHOOTFIN,192.8,61
IDFCFIRSTB,192.4,61
PNB,191.5,61
IOC,191.1,61
GODREJCP,189.3,61
HINDPETRO,187.9,61
POLYCAB,186.0,84
LAURUSLABS,184.2,61
SBILIFE,183.3,56
TATAPOWER,176.6,61
DLF,173.1,61
JSWSTEEL,172.4,47
NESTLEIND,166.0,47
GLENMARK,163.9,61
UPL,162.7,47
DMART,162.0,84
ABCAPITAL,158.8,84
UNIONBANK,158.8,61
VOLTAS,158.5,61
NMDC,156.8,84
JINDALSTEL,155.8,61
SOLARINDS,153.7,56
AUROPHARMA,152.1,61
GAIL,149.3,61
GRASIM,149.3,47
MPHASIS,148.7,84
DABUR,147.4,61
DELHIVERY,146.3,61
TATACONSUM,146.1,47
INDIANB,144.8,61
BHARATFORG,140.1,84
HFCL,137.9,84
ICICIGI,136.4,61
NH,136.2,61
OFSS,135.5,84
NAVINFLUOR,134.6,61
TATAELXSI,133.8,84
MRPL,132.7,61
NAUKRI,130.0,84
AMBUJACEM,128.7,84
MARICO,128.7,61
JSWENERGY,127.1,84
RADICO,125.7,61
PNBHOUSING,122.9,61
NBCC,122.3,61
BANDHANBNK,121.8,61
SOUTHBANK,121.5,61
BIOCON,120.9,61
BANKINDIA,120.4,84
M&MFIN,118.7,84
PRESTIGE,116.9,61
SIEMENS,114.9,84
GODREJPROP,114.5,61
COLPAL,113.5,61
HAVELLS,113.0,61
SRF,112.4,56
BEML,111.1,84
CONCOR,109.7,61
MRF,109.6,61
MOTILALOFS,107.3,84
CEATLTD,106.9,56
IDBI,106.6,84
MFSL,104.1,56
HEG,103.0,84
JUBLFOOD,102.5,84
MANAPPURAM,101.7,61
KEI,99.0,84
TIINDIA,97.4,84
PAGEIND,97.1,84
ASTRAL,96.2,84
PIDILITIND,95.0,61
KPITTECH,94.9,84
WOCKPHARMA,94.9,61
HUDCO,94.3,84
KTKBANK,92.1,84
NHPC,92.1,84
NATCOPHARM,91.8,61
BAJAJHLDNG,90.4,84
MAHABANK,90.4,61
PHOENIXLTD,89.4,84
TORNTPHARM,89.4,61
KEC,89.0,84
IEX,88.1,84
APLAPOLLO,87.7,84
BOSCHLTD,86.3,84
SUPREMEIND,86.0,84
OBEROIRLTY,84.6,61
SHREECEM,83.5,47
WHIRLPOOL,82.7,84
BLUEDART,81.3,84
CROMPTON,80.9,61
COROMANDEL,80.1,56
CUB,79.9,61
AKZOINDIA,78.5,84
JMFINANCIL,78.4,84
OIL,78.2,84
NAM-INDIA,77.3,84
ICICIPRULI,76.8,61
IRCON,75.8,84
ALKEM,75.6,84
IIFL,75.3,61
INTELLECT,75.0,56
JKCEMENT,72.6,61
PIIND,72.2,84
DALBHARAT,72.1,84
ZEEL,72.0,61
EXIDEIND,71.6,84
GRAPHITE,71.5,61
BSOFT,69.1,84
BLUESTARCO,68.2,84
EDELWEISS,65.2,84
THYROCARE,64.8,61
LICHSGFIN,63.9,84
NCC,63.1,84
TORNTPOWER,62.0,84
WELCORP,61.9,61
ECLERX,61.2,61
GRANULES,60.8,61
ASTERDM,59.2,61
JKTYRE,59.1,84
IGL,58.5,84
APOLLOTYRE,56.7,61
ESCORTS,56.7,84
PETRONET,55.9,61
NLCINDIA,55.7,84
CYIENT,55.6,43
CREDITACC,54.4,61
ABFRL,52.7,84
AFFLE,52.4,61
IRCTC,52.0,61
KARURVYSYA,49.8,61
JSL,49.4,84
CHAMBLFERT,49.3,84
PRAJIND,49.0,84
DCBBANK,48.9,84
GESHIP,48.6,61
ACC,48.2,84
STAR,47.9,61
MINDACORP,46.5,84
LEMONTREE,45.5,84
SONATSOFTW,44.9,84
KNRCON,44.8,84
FSL,44.2,61
SYNGENE,42.8,61
GPPL,42.6,84
ENGINERSIN,42.4,84
LALPATHLAB,42.3,61
CESC,40.6,61
LTTS,40.2,84
MIDHANI,40.2,84
CHOLAHLDNG,40.1,61
CASTROLIND,39.5,84
CCL,38.9,84
BALKRISIND,38.8,84
IOB,38.6,84
KRBL,38.5,84
IRB,37.9,84
JINDALSAW,37.7,84
RITES,36.4,84
ENDURANCE,35.7,84
MOIL,35.7,84
BRIGADE,34.9,61
CGCL,34.7,84
IPCALAB,34.3,84
DCMSHRIRAM,33.2,61
VIPIND,32.5,84
AARTIIND,32.3,84
ZENSARTECH,32.1,84
AAVAS,31.7,84
KPRMILL,31.3,84
DEEPAKNTR,31.2,84
SUNDARMFIN,31.2,84
MGL,30.8,84
CENTRALBK,30.7,61
AIAENG,30.4,84
RAMCOCEM,30.1,61
THERMAX,30.1,84
ELGIEQUIP,29.9,84
GILLETTE,29.8,61
UCOBANK,29.8,84
EMAMILTD,29.6,61
ASAHIINDIA,29.3,61
INDIACEM,28.7,84
SUNTV,28.5,61
UBL,28.5,84
3MINDIA,27.8,84
JBCHEPHARM,27.8,61
GSPL,27.4,84
AJANTPHARM,27.2,84
JAMNAAUTO,26.9,84
SOBHA,26.7,84
TRITURBINE,26.5,84
SCHAEFFLER,26.3,84
RAIN,25.7,84
DBL,25.3,84
ABBOTINDIA,25.1,84
GICRE,24.6,84
J&KBANK,24.6,84
BALRAMCHIN,23.4,84
SJVN,23.3,84
BAJAJCON,23.2,84
BERGEPAINT,23.1,61
ZYDUSWELL,23.0,84
HONAUT,22.9,84
RCF,22.3,84
BATAINDIA,22.2,84
CANFINHOME,22.2,84
VMART,22.1,84
KAJARIACER,21.2,61
CRISIL,20.8,84
TIMKEN,20.3,61
CARBORUNIV,19.8,84
ATUL,19.5,84
RALLIS,19.5,84
HERITGFOOD,19.3,84
GSFC,18.6,84
BAJAJELEC,18.4,84
ERIS,18.4,61
LINDEINDIA,18.3,84
EIDPARRY,18.1,84
ASHOKA,17.9,84
CHALET,16.5,84
FINCABLES,16.5,84
NETWORK18,16.3,61
VGUARD,16.2,61
ORIENTELEC,16.0,84
RELAXO,16.0,61
EIHOTEL,15.9,61
HATSUN,15.4,84
BAYERCROP,15.1,61
DELTACORP,14.8,61
PTC,14.8,84
CAPLIPOINT,14.6,84
GUJGASLTD,14.6,84
GODREJIND,14.5,84
RAYMOND,14.5,61
METROPOLIS,14.4,61
SKFINDIA,14.2,84
GODREJAGRO,13.9,84
PFIZER,13.8,61
APLLTD,13.7,84
SUDARSCHEM,13.5,84
SUNDRMFAST,13.4,61
JKPAPER,13.3,84
KANSAINER,13.1,61
SFL,12.5,84
ORIENTCEM,12.4,84
ASTRAZEN,12.3,61
PGHH,12.3,84
TRIDENT,12.2,84
FINPIPE,11.9,84
GNFC,11.8,84
NIACL,11.4,84
JKLAKSHMI,10.6,61
JUSTDIAL,10.5,61
GHCL,10.1,84
IFBIND,9.8,84
CENTURYPLY,9.7,84
NFL,9.5,84
CERA,9.4,61
JYOTHYLAB,9.3,84
BIRLACORPN,8.9,84
PNCINFRA,8.7,84
FDC,8.1,84
GRINDWELL,8.1,84
CARERATING,7.9,84
RATNAMANI,7.9,84
ADVENZYMES,7.5,84
SANOFI,7.0,84
SHK,6.3,84
GULFOILLUB,6.2,84
VSTIND,6.2,84
VINATIORGA,6.1,84
BASF,5.6,84
VRLLOG,5.6,84
FINEORG,5.5,84
GARFIBRES,5.3,84
TTKPRESTIG,5.1,84
BALMLAWRIE,4.8,84
SYMPHONY,4.7,61
LUXIND,3.6,84
MHRIL,3.5,84
MASFIN,3.3,84
SIS,3.2,84
DBCORP,2.9,84
GALAXYSURF,2.7,84
HEIDELBERG,2.4,84
GUJALKALI,2.0,84
TCIEXP,1.5,84
NILKAMAL,0.6,84
