symbol,cohort,best_timeframe,best_variant,best_direction,best_exit_policy,best_n,best_mean_pct,best_wr,best_sharpe,best_payoff,n_high_quality_cells,n_mid_quality_cells,long_best_sharpe,long_best_n,short_best_sharpe,short_best_n,tf5_best_sharpe,tf10_best_sharpe,tf15_best_sharpe
HAL,B,5min,s_vm1.5_gap0.005_rsi40_60,short,T_NO,10,1.4088,90.0,1.35446,17.465,96,155,0.17353,27,1.35446,10,1.35446,1.1986,0.7072
HDFCAMC,B,10min,l_vm1.5_gap0.005_rsi40_60,long,T_NO,11,1.4607,90.91,0.99573,9.382,166,271,0.99573,11,0.19728,12,0.5238,0.99573,0.91263
RBLBANK,B,10min,l_vm2.0_gap0.000_norsi,long,T_R_TARGET_1.0R,13,1.0785,92.31,0.91943,0.629,20,55,0.91943,13,0.1738,15,0.44843,0.91943,0.17671
RELIANCE,A,15min,s_vm3.0_gap0.000_rsi40_60,short,T_R_TARGET_1.0R,14,1.1663,92.86,0.88056,1.844,203,400,0.40832,14,0.88056,14,0.44027,0.65701,0.88056
PERSISTENT,B,5min,l_vm3.0_gapoff_norsi,long,T_R_TARGET_1.0R,11,1.4241,81.82,0.79616,2.222,8,20,0.79616,11,0.14738,12,0.79616,0.11907,0.2484
LAURUSLABS,B,10min,l_vm2.0_gapoff_rsi40_60,long,T_NO,13,1.4221,84.62,0.77194,1.859,83,154,0.77194,13,0.0,0,0.33723,0.77194,0.74515
COCHINSHIP,B,15min,s_vm1.5_gap0.000_norsi,short,T_R_TARGET_1.0R,14,0.6949000000000001,78.57,0.69303,2.552,22,38,0.14908,24,0.69303,14,0.3011,0.11372,0.69303
EICHERMOT,B,5min,l_vm3.0_gapoff_norsi,long,T_R_TARGET_1.0R,10,0.5042,80.0,0.653,1.405,8,10,0.653,10,0.11596,12,0.653,0.24923,0.11596
GODFRYPHLP,B,10min,l_vm2.0_gap0.000_norsi,long,T_CHANDELIER_1.0,10,1.8836,80.0,0.61142,1.89,75,192,0.61142,10,0.46779,11,0.56524,0.61142,0.41162
AARTIIND,B,10min,s_vm2.0_gapoff_norsi,short,T_NO,10,1.9422,80.0,0.6026,3.278,28,78,0.08948,12,0.6026,10,0.33104,0.6026,0.45114
3MINDIA,B,5min,s_vm1.5_gapoff_norsi,short,T_R_TARGET_1.0R,13,0.599,84.62,0.59244,0.828,8,18,0.38487,11,0.59244,13,0.59244,0.43583,0.26217
ACC,B,5min,s_vm2.0_gapoff_norsi,short,T_R_TARGET_1.0R,15,0.8501,86.67,0.57427,1.734,6,9,0.10415,18,0.57427,15,0.57427,0.19523,0.152
LT,B,15min,l_vm2.0_gap0.003_rsi40_60,long,T_R_TARGET_3.0R,11,0.6756,81.82,0.57369,0.94,18,59,0.57369,11,0.13764,13,0.39279,0.3443,0.57369
WIPRO,B,10min,s_vm2.0_gap0.003_rsi40_60,short,T_R_TARGET_1.0R,12,0.6782,83.33,0.5724,1.047,14,62,0.04282,10,0.5724,12,0.2229,0.5724,0.52062
ADANIGREEN,B,15min,s_vm1.5_gap0.003_rsi40_60,short,T_NO,11,2.9533,81.82,0.55665,1.704,6,13,0.1106,18,0.55665,11,0.14056,0.2681,0.55665
COFORGE,B,5min,l_vm2.0_gap0.003_norsi,long,T_R_TARGET_1.0R,13,0.9809,69.23,0.55348,4.679,22,86,0.55348,13,0.39551,11,0.55348,0.39551,0.17992
BAJAJ-AUTO,B,10min,l_vm2.0_gap0.003_norsi,long,T_R_TARGET_1.0R,13,0.4451,84.62,0.52597,1.039,10,31,0.52597,13,0.12744,11,0.32062,0.52597,0.46747
VEDL,B,15min,l_vm2.0_gapoff_rsi40_60,long,T_R_TARGET_1.0R,18,0.6891999999999999,72.22,0.50897,2.103,7,15,0.50897,18,0.18375,10,0.24042,0.23072,0.50897
BAJFINANCE,B,10min,s_vm1.5_gap0.000_rsi40_60,short,T_R_TARGET_1.0R,13,0.5348,76.92,0.50458,1.537,9,52,0.16049,11,0.50458,13,0.36823,0.50458,0.42974
ASTRAL,B,5min,s_vm1.5_gap0.000_norsi,short,T_R_TARGET_3.0R,11,0.9619000000000001,72.73,0.49638,1.875,50,101,0.45193,14,0.49638,11,0.49638,0.45852,0.0
INDHOTEL,B,15min,l_vm3.0_gapoff_norsi,long,T_ATR_SL_0.5,10,1.3216999999999999,70.0,0.48155,2.291,4,30,0.48155,10,0.16875,10,0.39683,0.27626,0.48155
ASIANPAINT,B,10min,l_vm1.5_gap0.005_rsi40_60,long,T_R_TARGET_1.0R,13,0.4157,76.92,0.48084,1.221,1,6,0.48084,13,0.04294,20,0.05624,0.48084,0.15253
ASHOKA,B,15min,s_vm2.0_gapoff_norsi,short,T_R_TARGET_3.0R,10,1.3411,70.0,0.47991,4.837,2,9,-0.00893,24,0.47991,10,0.02537,0.31401,0.47991
IOC,B,5min,s_vm3.0_gap0.000_norsi,short,T_STEP_TRAIL,11,0.10269999999999999,54.55,0.46053,999.0,4,4,0.0,0,0.46053,11,0.46053,0.05185,0.07145
BPCL,B,10min,s_vm3.0_gap0.000_norsi,short,T_ATR_SL_0.3,13,1.3395000000000001,69.23,0.45591,2.999,8,36,0.0,0,0.45591,13,0.37365,0.45591,0.40015
CHOLAFIN,B,10min,l_vm1.5_gap0.003_norsi,long,T_ATR_SL_0.5,11,1.0281,63.64,0.43446,3.19,4,96,0.43446,11,0.06225,10,0.39062,0.43446,0.39594
RVNL,B,10min,s_vm1.5_gap0.000_norsi,short,T_CHANDELIER_2.0,10,1.3599999999999999,70.0,0.43086,2.659,9,16,0.17056,16,0.43086,10,0.1338,0.43086,0.40096
DIXON,B,15min,s_vm2.0_gapoff_rsi40_60,short,T_R_TARGET_1.0R,10,1.2327,70.0,0.42703,3.52,6,77,0.42431,19,0.42703,10,0.28991,0.42431,0.42703
MARUTI,B,10min,l_vm1.5_gapoff_rsi40_60,long,T_R_TARGET_1.0R,24,0.4535,75.0,0.41433,1.213,1,4,0.41433,24,0.21074,12,0.19199,0.41433,0.21074
SAIL,B,15min,l_vm2.0_gap0.005_rsi40_60,long,T_R_TARGET_1.0R,14,0.6262,71.43,0.41055,1.631,1,10,0.41055,14,0.3486,15,0.12877,0.22299,0.41055
