symbol,date,pct_move,prev_close,close
63MOONS,2013-08-01,-64.5,539.85,191.65
ABFRL,2025-05-22,-55.9,203.55,89.85
ABREL,2019-10-11,-55.4,882.2,393.85
ADANIENT,2015-06-03,-41.9,183.2,106.4
AGI,2019-08-19,-68.2,194.3,61.75
ALLCARGO,2025-11-12,-60.1,29.79,11.88
ARVIND,2018-11-28,-56.4,248.85,108.6
ATLASCYCLE,2017-10-30,-47.5,413.95,217.35
BAJFINANCE,2008-12-17,-50.0,1.0,0.5
BAJFINANCE,2008-12-22,-50.0,1.0,0.5
BAJFINANCE,2008-12-24,-50.0,1.0,0.5
BAJFINANCE,2008-12-31,-50.0,1.0,0.5
BAJFINANCE,2009-01-07,-50.0,1.0,0.5
BESTAGRO,2024-04-10,-42.0,77.55,45.0
BLUECHIP-BE,2018-03-22,-50.0,0.1,0.05
BLUECHIP-BE,2020-04-01,-50.0,0.1,0.05
BLUECHIP-BE,2020-09-07,-50.0,0.1,0.05
BLUECHIP-BE,2020-09-16,-50.0,0.1,0.05
BLUECOAST,2004-01-19,-56.8,53.3,23.0
BLUECOAST,2008-12-16,-47.7,130.4,68.25
BLUECOAST-BE,2008-12-16,-47.7,130.4,68.25
CCAVENUE,2018-09-28,-70.8,44.05,12.86
CINELINE,2012-06-13,-54.5,31.65,14.4
COHANCE,2020-03-24,-52.7,219.0,103.55
DCM-BE,2019-05-30,-49.0,80.15,40.85
DCMSRIND,2025-12-26,-68.3,172.16,54.52
DIACABS,2023-09-18,-88.1,19.5,2.33
DVL,2008-04-09,-40.2,130.52,78.09
FCSSOFT,2017-12-04,-50.0,0.1,0.05
FOCUS-BE,2019-07-31,-65.1,28.8,10.05
GFLLIMITED,2019-08-06,-57.4,61.6,26.25
GLOBAL,2022-09-13,-47.5,106.14,55.72
GNFC,2008-10-10,-46.1,23.2,12.5
GNFC,2008-10-24,-44.8,7.15,3.95
GNFC,2015-08-24,-45.8,13.55,7.35
GOODLUCK,2026-05-18,-66.3,1329.0,447.3
GOYALALUM,2023-03-10,-89.9,292.45,29.45
GTL,2011-06-20,-62.2,338.3,127.95
GTLINFRA,2011-06-20,-42.7,29.6,16.95
GVPTECH,2022-12-06,-79.7,90.08,18.32
HARDWYN,2022-06-21,-92.6,80.84,5.99
HEALTHADD,2026-05-18,-90.0,158.41,15.9
HINDCOMPOS,2008-11-06,-42.5,57.85,33.29
HINDPETRO,2013-08-28,-40.0,5.0,3.0
HUBTOWN,2009-03-26,-45.3,1826.9,999.45
INFIBEAM,2018-09-28,-70.8,41.45,12.09
IRISDOREME,2018-11-16,-73.4,8.72,2.32
JAIPURKURT,2019-04-30,-58.1,36.3,15.21
JAYNECOIND,2019-02-21,-40.5,5.8,3.45
JINDALPHOT,2016-05-12,-47.1,179.6,95.0
JLHL,2026-05-18,-79.8,1326.5,267.6
JSL,2015-11-19,-57.4,51.8,22.05
KAPSTON,2018-04-04,-90.8,333.35,30.8
KESORAMIND-BE,2025-03-10,-95.3,204.72,9.71
KEYFINSERV,2009-04-28,-57.1,100.45,43.05
KILITCH,2026-02-18,-49.3,324.65,164.6
KIRLFER,2019-11-13,-90.1,643.5,64.0
KIRLPNU,2026-05-18,-50.5,1541.4,763.2
KOKUYOCMLN,2008-08-22,-89.7,197.2,20.3
KRISHANA,2026-05-18,-80.1,669.65,133.1
LANCER,2026-08-17,-77.8,49.9,11.07
LANDSMILL,2018-01-23,-65.0,110.0,38.45
LANDSMILL,2018-02-07,-93.6,29.85,1.9
LANDSMILL,2019-06-25,-92.3,1.3,0.1
LANDSMILL,2019-12-17,-94.4,0.9,0.05
LANDSMILL,2020-03-04,-95.5,1.1,0.05
LANDSMILL,2020-06-22,-50.0,0.1,0.05
