variant,trades,wins,losses,win_rate_pct,avg_win,avg_loss,avg_days_held,profit_factor,net_pnl,cagr_pct,sharpe,max_dd_pct,calmar,final_equity
baseline_50_2x_200_d10,973,344,629,35.35,14151.0,-6765.0,22.8,1.14,612858.0,6.16,0.43,30.74,0.2,1613502.0
A1_breakout_20,1027,356,671,34.66,13338.0,-6514.0,22.4,1.09,377177.0,4.1,0.31,32.52,0.13,1378704.0
A2_breakout_252,866,291,575,33.6,11787.0,-5674.0,22.5,1.05,167315.0,1.79,0.19,27.07,0.07,1152700.0
B1_no_vol,1040,359,681,34.52,13767.0,-6383.0,22.1,1.14,595427.0,5.97,0.41,38.06,0.16,1589402.0
B2_vol_15x,1019,353,666,34.64,14429.0,-6833.0,22.2,1.12,542948.0,5.52,0.39,33.34,0.17,1536805.0
B3_vol_30x,940,319,621,33.94,13473.0,-6281.0,22.4,1.1,397374.0,4.08,0.32,30.42,0.13,1376707.0
C1_no_regime,1086,366,720,33.7,9575.0,-4840.0,22.0,1.01,20103.0,-0.03,0.09,42.44,-0.0,997251.0
D1_fixed_25_8,575,181,394,31.48,43243.0,-14131.0,41.8,1.41,2259483.0,15.26,0.96,35.94,0.42,3114342.0
D2_atr_trail_3,745,244,501,32.75,12549.0,-6072.0,31.3,1.01,20096.0,-0.44,0.05,34.92,-0.01,965124.0
D3_chandelier_3,665,221,444,33.23,17940.0,-7511.0,35.2,1.19,629806.0,5.24,0.39,29.87,0.18,1504895.0
D4_donch_20,623,217,406,34.83,23601.0,-9712.0,37.8,1.3,1178341.0,9.41,0.59,28.6,0.33,2053255.0
