variant,phase,trades,wins,losses,win_rate_pct,avg_win,avg_loss,avg_days_held,profit_factor,net_pnl,cagr_pct,sharpe,max_dd_pct,calmar,final_equity
D1_fixed_25_8,IS,388,119,269,30.67,42864.0,-12521.0,54.7,1.51,1732705.0,13.36,0.82,35.94,0.37,1870784.0
D1_fixed_25_8,OOS,208,67,141,32.21,27790.0,-9150.0,49.3,1.44,571802.0,14.54,0.95,23.98,0.61,1501770.0
D4_donch_20,IS,373,125,248,33.51,25077.0,-8583.0,53.5,1.47,1005936.0,12.26,0.73,27.85,0.44,1781506.0
D4_donch_20,OOS,254,95,159,37.4,13897.0,-6791.0,39.4,1.22,240371.0,5.38,0.39,28.54,0.19,1169841.0
baseline_50_2x_200_d10,IS,552,189,363,34.24,14158.0,-5844.0,32.8,1.26,554697.0,6.47,0.45,30.74,0.21,1367925.0
baseline_50_2x_200_d10,OOS,422,159,263,37.68,11627.0,-6080.0,22.4,1.16,249551.0,6.91,0.48,27.66,0.25,1221563.0
