variant,symbol,direction,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
baseline,TATAMOTORS,SHORT,2019-02-11,2019-02-15,150.15,162.16,666,4,INITIAL_STOP,-7999.99,-8207.99
baseline,VEDL,SHORT,2019-02-04,2019-03-01,129.90,140.29,769,25,INITIAL_STOP,-7991.45,-8199.23
baseline,TATACONSUM,SHORT,2019-02-06,2019-03-01,181.75,194.90,550,23,INITIAL_STOP,-7231.46,-7438.61
baseline,EICHERMOT,SHORT,2019-05-14,2019-05-15,1831.00,1932.55,53,1,INITIAL_STOP,-5381.91,-5581.38
baseline,PERSISTENT,SHORT,2019-07-31,2019-08-09,251.00,271.08,386,9,INITIAL_STOP,-7750.88,-7952.40
baseline,TATAPOWER,SHORT,2019-08-22,2019-08-23,51.40,55.51,1872,1,INITIAL_STOP,-7697.66,-7897.80
baseline,M&M,SHORT,2019-08-08,2019-08-26,518.50,551.29,187,18,INITIAL_STOP,-6131.24,-6331.29
baseline,BRITANNIA,SHORT,2019-08-21,2019-08-26,2389.00,2529.91,40,5,INITIAL_STOP,-5636.41,-5833.17
baseline,TATAMOTORS,SHORT,2019-08-22,2019-08-27,112.00,120.96,859,5,INITIAL_STOP,-7696.64,-7896.75
baseline,JINDALSTEL,SHORT,2019-08-05,2019-10-04,117.40,93.70,826,60,MAX_HOLD,19576.20,19401.83
baseline,CUMMINSIND,SHORT,2019-08-09,2019-10-09,605.00,568.40,160,61,MAX_HOLD,5856.00,5668.26
baseline,TATASTEEL,SHORT,2019-08-09,2019-10-09,32.69,29.37,2969,61,MAX_HOLD,9857.08,9672.82
baseline,CIPLA,SHORT,2019-10-01,2019-10-22,426.90,453.82,218,21,INITIAL_STOP,-5868.62,-6060.62
baseline,IOC,SHORT,2020-01-23,2020-01-24,60.44,64.49,1593,1,INITIAL_STOP,-6445.93,-6644.94
baseline,HAVELLS,SHORT,2020-01-22,2020-02-06,604.50,632.87,159,15,INITIAL_STOP,-4510.48,-4707.22
baseline,VEDL,SHORT,2020-03-02,2020-03-09,88.15,66.11,1079,7,TARGET,23778.46,23612.01
baseline,INDUSINDBK,SHORT,2020-02-17,2020-03-11,1176.00,882.00,80,23,TARGET,23520.00,23355.36
baseline,ITC,SHORT,2020-02-03,2020-03-12,185.95,139.46,514,38,TARGET,23894.58,23727.31
baseline,TATAPOWER,SHORT,2020-02-27,2020-03-12,49.45,37.09,1925,14,TARGET,23797.81,23631.23
baseline,MARICO,SHORT,2020-02-01,2020-03-13,316.00,237.00,302,41,TARGET,23858.00,23690.99
baseline,FEDERALBNK,SHORT,2020-03-11,2020-03-13,72.90,54.68,1338,2,TARGET,24385.05,24214.35
baseline,GAIL,SHORT,2020-03-12,2020-03-13,49.29,53.23,2026,1,INITIAL_STOP,-7988.92,-8196.64
baseline,IDFCFIRSTB,SHORT,2020-03-13,2020-03-16,24.80,26.78,4219,3,INITIAL_STOP,-8370.50,-8588.13
baseline,TATASTEEL,SHORT,2020-03-13,2020-03-16,22.87,24.70,4575,3,INITIAL_STOP,-8370.42,-8588.05
baseline,ADANIPORTS,SHORT,2020-03-13,2020-03-17,260.00,280.80,402,4,INITIAL_STOP,-8361.60,-8579.00
baseline,M&M,SHORT,2020-03-02,2020-03-18,453.55,340.16,209,16,TARGET,23697.99,23532.10
baseline,INDUSINDBK,SHORT,2020-03-19,2020-03-20,414.75,447.93,261,1,INITIAL_STOP,-8659.98,-8885.14
baseline,POWERGRID,SHORT,2020-03-19,2020-03-20,78.25,84.51,1385,1,INITIAL_STOP,-8670.10,-8895.52
