variant,phase,trades,wins,losses,win_rate_pct,avg_win,avg_loss,avg_days_held,profit_factor,net_pnl,cagr_pct,sharpe,max_dd_pct,calmar,final_equity
baseline,IS,64,15,49,23.44,16855.0,-7234.0,22.5,0.71,-101655.0,-2.12,-0.21,23.08,-0.09,898345.0
baseline,OOS,32,9,23,28.12,9697.0,-5481.0,28.0,0.69,-38790.0,-1.35,-0.41,7.44,-0.18,960066.0
vol_3x,IS,44,9,35,20.45,15902.0,-7293.0,19.4,0.56,-112136.0,-2.35,-0.31,15.37,-0.15,887864.0
vol_3x,OOS,24,7,17,29.17,8504.0,-5784.0,32.5,0.61,-38796.0,-1.35,-0.46,7.44,-0.18,960060.0
vol_3x_atr_floor,IS,44,9,35,20.45,15902.0,-7293.0,19.4,0.56,-112136.0,-2.35,-0.31,15.37,-0.15,887864.0
vol_3x_atr_floor,OOS,24,7,17,29.17,8504.0,-5784.0,32.5,0.61,-38796.0,-1.35,-0.46,7.44,-0.18,960060.0
