variant,direction,trades,wins,losses,win_rate_pct,avg_win,avg_loss,avg_days_held,profit_factor,net_pnl,cagr_pct,sharpe,max_dd_pct,calmar,final_equity
baseline,SHORT,96,24,72,25.0,13793.0,-6494.0,24.3,0.71,-136531.0,-1.83,-0.22,26.37,-0.07,862448.0
vol_3x,SHORT,68,16,52,23.53,12236.0,-6582.0,24.0,0.57,-146502.0,-1.98,-0.32,18.97,-0.1,852479.0
vol_3x_atr_floor,SHORT,68,16,52,23.53,12236.0,-6582.0,24.0,0.57,-146502.0,-1.98,-0.32,18.97,-0.1,852479.0
vol_3x_adx,SHORT,49,10,39,20.41,13541.0,-6837.0,21.1,0.51,-131236.0,-1.74,-0.28,15.68,-0.11,868764.0
vol_3x_confluence,SHORT,49,10,39,20.41,13541.0,-6837.0,21.1,0.51,-131236.0,-1.74,-0.28,15.68,-0.11,868764.0
