entryset,level,surv,outer,costmodel,n,total,mean,median,win_pct,worst,best,fire_pct,med_fire_hm,mean_cost
A0920,HOLD,-,STANDALONE,MEASURED,17,44683,2628,2447,82,-212,7546,0,,30
A0920,HOLD,-,STANDALONE,R114COST,17,41788,2458,2276,82,-384,7377,0,,200
A0920,HOLD,-,VENUE,MEASURED,17,19276,1134,3719,65,-3770,4000,0,,240
A0920,LEG100,SBOTH,STANDALONE,MEASURED,17,11107,653,-101,47,-2196,4788,41,11:17,135
A0920,LEG100,SBOTH,VENUE,MEASURED,17,14530,855,969,53,-3294,4000,41,11:17,255
A0920,LEG100,SHOLD,STANDALONE,MEASURED,17,-2399,-141,342,53,-7270,4788,41,11:17,83
A0920,LEG100,SHOLD,VENUE,MEASURED,17,7690,452,969,59,-4284,4000,41,11:17,240
A0920,LEG100,STRAIL,STANDALONE,MEASURED,17,7713,454,342,53,-5118,4788,41,11:17,113
A0920,LEG100,STRAIL,VENUE,MEASURED,17,11246,662,969,59,-3679,4000,41,11:17,240
A0920,LEG30,SBOTH,STANDALONE,MEASURED,17,-7799,-459,-419,24,-2515,601,100,09:39,286
A0920,LEG30,SBOTH,STANDALONE,R114COST,17,-6340,-373,-333,24,-2423,685,100,09:39,200
A0920,LEG30,SBOTH,VENUE,MEASURED,17,-7799,-459,-419,24,-2515,601,100,09:39,286
A0920,LEG30,SHOLD,STANDALONE,MEASURED,17,8155,480,1264,71,-4808,3452,100,09:39,158
A0920,LEG30,SHOLD,STANDALONE,R114COST,17,7442,438,1225,71,-4850,3411,100,09:39,200
A0920,LEG30,SHOLD,VENUE,MEASURED,17,962,57,1264,65,-4210,3452,100,09:39,196
A0920,LEG30,STRAIL,STANDALONE,MEASURED,17,-6654,-391,-355,47,-3524,3452,100,09:39,263
A0920,LEG30,STRAIL,STANDALONE,R114COST,17,-5578,-328,-272,47,-3432,3411,100,09:39,200
A0920,LEG30,STRAIL,VENUE,MEASURED,17,-6625,-390,-355,47,-3495,3452,100,09:39,263
A0920,LEG40,SBOTH,STANDALONE,MEASURED,17,-10877,-640,-644,18,-2965,1590,100,09:48,286
A0920,LEG40,SBOTH,VENUE,MEASURED,17,-10877,-640,-644,18,-2965,1590,100,09:48,286
A0920,LEG40,SHOLD,STANDALONE,MEASURED,17,-435,-26,693,59,-5076,2893,100,09:48,158
A0920,LEG40,SHOLD,VENUE,MEASURED,17,-13642,-802,-150,47,-4478,2893,100,09:48,211
A0920,LEG40,STRAIL,STANDALONE,MEASURED,17,-12750,-750,-607,24,-4011,2893,100,09:48,263
A0920,LEG40,STRAIL,VENUE,MEASURED,17,-12153,-715,-607,24,-3861,2893,100,09:48,263
A0920,LEG50,SBOTH,STANDALONE,MEASURED,17,-12293,-723,-658,18,-3912,1590,100,09:51,286
A0920,LEG50,SBOTH,VENUE,MEASURED,17,-11675,-687,-658,18,-3294,1590,94,09:51,286
A0920,LEG50,SHOLD,STANDALONE,MEASURED,17,-4010,-236,333,59,-5267,2893,100,09:51,158
A0920,LEG50,SHOLD,VENUE,MEASURED,17,-15965,-939,-150,47,-4669,2893,94,09:51,211
A0920,LEG50,STRAIL,STANDALONE,MEASURED,17,-15722,-925,-814,24,-4056,2893,100,09:51,264
A0920,LEG50,STRAIL,VENUE,MEASURED,17,-14961,-880,-814,24,-3861,2893,94,09:51,264
A0920,LEG60,SBOTH,STANDALONE,MEASURED,17,-2005,-118,-382,35,-1736,4626,82,10:20,241
A0920,LEG60,SBOTH,VENUE,MEASURED,17,-2092,-123,-825,41,-3294,3793,76,10:02,271
A0920,LEG60,SHOLD,STANDALONE,MEASURED,17,-3310,-195,595,59,-5650,4626,82,10:20,136
A0920,LEG60,SHOLD,VENUE,MEASURED,17,-10305,-606,693,53,-4141,3793,76,10:02,226
A0920,LEG60,STRAIL,STANDALONE,MEASURED,17,-5570,-328,-758,35,-2716,4626,82,10:20,211
A0920,LEG60,STRAIL,VENUE,MEASURED,17,-7117,-419,-965,35,-3426,3793,76,10:02,256
A0920,LEG75,SBOTH,STANDALONE,MEASURED,17,-5170,-304,-996,18,-2196,4626,82,11:57,241
A0920,LEG75,SBOTH,VENUE,MEASURED,17,-5258,-309,-1074,24,-3294,3793,76,11:42,271
