cycle,n_pos,ret,equity,avg_margin_pct,date
2016-03,1,0.004461858750746701,10044618.587507468,0.08394250819183793,2016-03-31
2016-06,2,-0.022051836081779092,9823116.304911762,0.09019410081070309,2016-06-30
2016-08,1,0.01201628720804783,9941153.69170964,0.12789391410769918,2016-08-31
2016-09,1,0.056498429174346235,10502813.259471986,0.0682576037813399,2016-09-30
2017-03,1,0.009538503626606147,10602994.381837029,0.13846037180195106,2017-03-31
2018-05,2,0.004926162299429525,10655226.453021897,0.10845050276381646,2018-05-31
2018-08,2,-0.040765236320470175,10220863.628616335,0.1342362421825638,2018-08-31
2018-09,1,0.006966888322655727,10292071.244078,0.11393130205677376,2018-09-30
2019-01,1,0.005157863547826301,10345156.343179459,0.08814445961483186,2019-01-31
2019-05,2,-0.016053285359783294,10179082.596310826,0.11206680178827612,2019-05-31
2019-08,1,0.007903149275665508,10259529.4055588,0.11417592505024238,2019-08-31
2019-10,1,-0.00854305126060973,10171881.719937379,0.10717346329469618,2019-10-31
2020-01,1,0.01227875246662777,10296779.737696305,0.12813810456531566,2020-01-31
2020-04,1,-0.011069493133381242,10182799.605093937,0.08421389075442133,2020-04-30
2020-07,1,-0.00035961252114818915,10179137.742855603,0.07095130972941856,2020-07-31
2020-09,1,0.005642125633111249,10236569.716837538,0.09869845201238386,2020-09-30
2020-10,4,0.011799065573862564,10357351.674177919,0.0974608263953855,2020-10-31
2020-12,2,-0.03241547687881257,10021613.180457873,0.1312891424180322,2020-12-31
2021-01,2,0.00793445509868483,10101129.220254604,0.11677442352389508,2021-01-31
2021-02,3,-0.017716512101587256,9922172.442184268,0.1065615877582931,2021-02-28
2021-03,2,0.014531579918715511,10066357.283995146,0.15286058442616068,2021-03-31
2021-04,2,0.009418741093337887,10161169.697006132,0.11463928865856761,2021-04-30
2021-05,6,0.04207209597378052,10588671.403704446,0.12666690186651697,2021-05-31
2021-06,2,-0.017334725726586505,10405119.68911228,0.1634179673184064,2021-06-30
2021-07,10,0.1776739974528646,12253838.898252368,0.12450567099948325,2021-07-31
2021-08,6,0.017038057853405012,12462620.514327098,0.13685725151712205,2021-08-31
2021-09,6,0.005789642670157493,12534774.633838827,0.1460030045182157,2021-09-30
2021-10,1,0.003027281018133772,12572720.919154432,0.09951587320996713,2021-10-31
2021-11,1,-0.01303044936314365,12408892.715860453,0.13403102024507194,2021-11-30
2021-12,10,0.04006089767097617,12906004.09716066,0.1418335995841342,2021-12-31
2022-01,5,0.001322573256388217,12923073.2330264,0.13056836239473205,2022-01-31
2022-02,2,0.01840655686470199,13160942.515356809,0.13545458876549005,2022-02-28
2022-03,9,-0.04632117158591961,12551312.23887054,0.14012267031134662,2022-03-31
2022-04,3,0.005800173656592232,12624112.029474102,0.11725830823211493,2022-04-30
2022-05,2,0.013059859852018452,12788981.163335213,0.16745260048960653,2022-05-31
2022-06,6,0.06263924447348991,13590073.280992227,0.112192624939159,2022-06-30
2022-07,3,0.010596764257685099,13734084.083795568,0.11324363407870497,2022-07-31
2022-08,6,-0.012301664473902811,13565131.989540346,0.12256765961246781,2022-08-31
2022-09,9,0.005661771448378513,13641934.666532211,0.13260764347662807,2022-09-30
2022-10,3,-0.0030288214901658364,13600615.681646781,0.11069185633577809,2022-10-31
2022-11,2,0.0197601178306212,13869365.450085117,0.12322063998071033,2022-11-30
2022-12,10,0.020743670296877896,14157066.994208593,0.12728198258131546,2022-12-31
2023-01,7,0.013648020594327832,14350282.936100831,0.12622819491989962,2023-01-31
2023-02,3,0.007715703284740165,14461005.461287854,0.12386078805211603,2023-02-28
2023-03,9,0.06541859886404984,15407024.17673068,0.13635621695976996,2023-03-31
2023-04,5,0.02485687795906152,15789994.696403982,0.1258595050257499,2023-04-30
2023-05,5,0.03370047065168361,16322124.949260386,0.10206141983284371,2023-05-31
2023-06,10,-0.02437015177007427,15924352.287036793,0.14569549313368987,2023-06-30
2023-07,3,-0.0010347311643304192,15907874.863453621,0.14479393388278838,2023-07-31
2023-08,7,0.02082454803194088,16239149.167633716,0.1347670670611119,2023-08-31
2023-09,3,0.004326691835834984,16309410.961758222,0.11810406198338574,2023-09-30
2023-10,3,0.017736524447015577,16598683.227997871,0.12896178553273765,2023-10-31
2023-11,10,0.0681933786646601,17730603.51869947,0.1565379188723973,2023-11-30
2023-12,2,-0.01596871621186287,17447468.542844303,0.18180097559140906,2023-12-31
2024-01,4,0.01344561865564925,17682060.551377825,0.1424052219042441,2024-01-31
2024-02,10,0.025293555615562836,18129302.73333185,0.12007253744228,2024-02-29
2024-03,4,-0.042794454450212606,17353469.113296166,0.10900200019994019,2024-03-31
2024-04,5,0.01719730626715278,17651902.036435097,0.11200711442257627,2024-04-30
2024-05,10,-0.007777518920159097,17514614.034369927,0.13056004509729263,2024-05-31
