,mq,kc6,combined,nifty
2010-01-04,6900000.0,4000767.1232876712,10900767.12328767,10000000.0
2010-01-05,6946535.411537351,4001534.393694877,10948069.805232229,10097346.82191258
2010-01-06,6912123.855562316,4001699.865057421,10913823.720619738,10133613.284978049
2010-01-07,6898566.965321065,4000111.237958939,10898678.203280004,10080167.97098683
2010-01-08,6928689.430819759,3995301.343366219,10923990.774185978,10036266.463065472
2010-01-11,6978504.79181719,4001889.331304673,10980394.123121863,10076350.448558884
2010-01-12,6919273.143930454,3998826.901799718,10918100.045730172,9982821.14907425
2010-01-13,7003082.850684934,3996174.1048767753,10999256.955561709,10064897.881275052
2010-01-14,7073708.332086612,3993070.990561272,11066779.322647884,10064897.881275052
2010-01-15,7085450.31814146,3998281.8799865576,11083732.198128019,10089711.777056688
2010-01-18,7168379.864284851,3998447.2168512256,11166827.081136076,10093529.299484637
2010-01-19,7062602.795530001,3999947.5160434986,11062550.3115735,10019087.61213972
2010-01-20,7054835.690329166,4008429.7429352254,11063265.433264391,9988547.432716167
2010-01-21,6903098.588688131,4008595.4994340995,10911694.08812223,9809123.878602786
2010-01-22,6855644.760612689,3987810.7229129467,10843455.483525636,9696506.96697843
2010-01-25,6772615.447837839,3991762.2548140017,10764377.70265184,9560984.92078641
2010-01-27,6587901.949421963,3931438.049790866,10519339.99921283,9343386.142393587
2010-01-28,6586555.232861737,3991248.1834728345,10577803.416334571,9368200.038175223
2010-01-29,6584101.56728592,3971342.0136141446,10555443.580900064,9404466.501240697
2010-02-01,6667861.990118625,3984524.2795465104,10652386.269665135,9427371.63580836
2010-02-02,6607285.47499468,3985175.8449271037,10592461.319921784,9293758.350830311
2010-02-03,6709809.562554003,3985940.125226131,10695749.687780134,9436915.44187822
2010-02-04,6618193.612802232,3986704.552099462,10604898.164901694,9330024.813895782
2010-02-05,6532217.31574501,3987469.125575207,10519686.441320218,9100973.468219126
2010-02-06,6530562.339081857,3988233.845681482,10518796.184763338,9307119.679328116
2010-02-08,6588472.710397471,3988998.7124464074,10577471.422843877,9141057.453712542
2010-02-09,6632902.638434339,3989763.7258981094,10622666.364332449,9244130.559267035
2010-02-10,6608274.398064511,3990528.88606472,10598803.28412923,9112426.035502959
2010-02-11,6659946.636087533,3991294.192974376,10651240.829061909,9265126.932620728
2010-02-15,6624760.9845424285,3992059.6466552205,10616820.63119765,9255583.12655087
2010-02-16,6678526.035059092,3992825.2471354012,10671351.282194493,9330024.813895782
2010-02-17,6709630.528678209,3993590.994443071,10703221.523121279,9400648.97881275
2010-02-18,6714610.070544153,3994356.888606389,10708966.959150542,9372017.560603168
2010-02-19,6673599.230661798,3995122.9296535193,10668722.160315318,9309028.440542089
2010-02-22,6673810.630573693,3995889.117612631,10669699.748186324,9307119.679328116
2010-02-23,6645937.833746899,3996655.452511899,10642593.286258798,9312845.962970031
2010-02-24,6630563.749581414,3997421.9343795045,10627985.683960918,9320481.00782592
2010-02-25,6609143.789311668,3996985.998563473,10606129.787875142,9291849.58961634
2010-02-26,6668839.685336632,4029014.133555811,10697853.818892442,9444550.486734109
2010-03-02,6819364.72035706,4029786.8211978627,10849151.541554924,9612521.473563656
2010-03-03,6886557.429875596,4030559.6570265857,10917117.086902183,9736590.952471845
2010-03-04,6939502.027709269,4031332.641070399,10970834.668779667,9719412.101546096
2010-03-05,6954909.513862966,4032105.7733577276,10987015.287220694,9734682.191257874
2010-03-08,6997779.682293076,4032879.053917002,11030658.736210078,9790036.266463066
2010-03-09,6965036.184856866,4033652.482776657,10998688.667633522,9753769.803397596
2010-03-10,6962098.992376797,4034426.059965135,10996525.052341932,9811032.639816757
2010-03-11,6985914.56485718,4033986.088692265,11019900.653549446,9830120.25195648
2010-03-12,7011762.632302317,4041716.906135302,11053479.53843762,9839664.05802634
2010-03-15,6977743.034469353,4012979.692313191,10990722.726782544,9833937.774384424
2010-03-16,7019680.965241756,4044097.3208961203,11063778.286137877,9973277.34300439
2010-03-17,7030640.770048589,4053577.4675315665,11084218.237580156,10001908.761213971
2010-03-18,7029777.248893989,4054354.865949997,11084132.114843987,10000000.0
2010-03-19,7046667.601782113,4055132.413458536,11101800.015240649,10082076.732200801
2010-03-22,7006308.864744289,4055910.1100857747,11062218.974830063,9982821.14907425
2010-03-23,6994578.83056684,4056687.9558603116,11051266.786427151,9986638.671502195
2010-03-25,6968174.8576284405,4057465.950810751,11025640.808439191,10055354.075205192
2010-03-26,7006538.158875009,4058244.094965701,11064782.253840711,10101164.344340524
2010-03-29,7014946.023522968,4059022.3883537767,11073968.411876746,10108799.389196413
2010-03-30,7023283.058572061,4059800.831003598,11083083.88957566,10059171.597633136
2010-03-31,7035742.6843226785,4060579.4229437904,11096322.107266469,10043901.507921359
2010-04-01,7087027.67077839,4061358.1642029854,11148385.834981374,10125978.24012216
2010-04-05,7107290.963723666,4062137.054809819,11169428.018533485,10236686.390532546
2010-04-06,7089546.511066435,4062916.094792933,11152462.605859369,10219507.539606797
2010-04-07,7082897.837076775,4063695.284180976,11146593.12125775,10265317.808742126
2010-04-08,7064261.941757909,4064474.6230026,11128736.56476051,10131704.523764076
2010-04-09,7080071.295113057,4065254.1112864637,11145325.40639952,10211872.494750906
2010-04-12,7088778.367254817,4066033.749061231,11154812.116316048,10156518.419545716
2010-04-13,7085937.095338255,4066813.536355572,11152750.631693827,10106890.62798244
2010-04-15,7060291.387578747,4067593.4731981605,11127884.860776909,10053445.31399122
2010-04-16,7062001.341742255,4068373.559617678,11130374.901359932,10034357.701851496
2010-04-19,7050205.81644453,4067929.886225991,11118135.702670522,9940828.402366864
2010-04-20,7093121.605426632,4091056.7276563626,11184178.333082994,9967551.059362473
2010-04-21,7153196.613121451,4088778.649435639,11241975.26255709,10001908.761213971
2010-04-22,7135685.13953222,4094057.4474261096,11229742.58695833,10022905.134567665
2010-04-23,7167299.21466216,4094842.609128356,11262141.823790517,10112616.911624355
2010-04-26,7194964.532399346,4095011.938970179,11289976.471369525,10135522.046192022
2010-04-27,7185095.799586785,4093908.3855475155,11279004.185134301,10106890.62798244
2010-04-28,7127547.402499811,4100909.098198105,11228456.500697916,9923649.551441114
2010-04-29,7157422.501141146,4098351.0723881293,11255773.573529275,9967551.059362473
2010-04-30,7194430.205513499,4066278.8535656836,11260709.059079181,10003817.522427943
2010-05-03,7173606.063043823,4058566.552226628,11232172.61527045,9938919.64115289
2010-05-04,7088977.510367404,4014991.10592956,11103968.616296964,9830120.25195648
2010-05-05,7087147.312397106,4002629.3220006893,11089776.634397795,9814850.162244704
2010-05-06,7075652.4812125955,3994254.872972032,11069907.354184628,9767131.1318954
2010-05-07,6993561.555778113,3962308.8717047093,10955870.427482823,9620156.518419545
2010-05-10,7112806.804002034,4058001.021580205,11170807.825582238,9912196.984157283
2010-05-11,7078267.656663646,4050416.5568685234,11128684.213532168,9822485.207100593
2010-05-12,7086028.420933422,4057532.4603725807,11143560.881306002,9811032.639816757
2010-05-13,7207538.813621998,4065696.512085352,11273235.32570735,9893109.37201756
2010-05-14,7198779.59132794,4066476.2347041084,11265255.826032048,9736590.952471845
2010-05-17,7177345.574575883,4067256.1068587094,11244601.681434592,9746134.758541707
2010-05-18,7256281.981487734,4068036.128577833,11324318.110065568,9704142.01183432
2010-05-19,7080473.751548982,4068204.34991866,11148678.101467643,9488451.99465547
2010-05-20,7023718.81476189,4067212.775229055,11090931.589990946,9549532.353502577
2010-05-21,6950958.5365036335,4048402.892723798,10999361.42922743,9503722.084367245
2010-05-24,6965108.043874791,4049179.2987580188,11014287.34263281,9526627.21893491
2010-05-25,6797279.626893718,4049955.8536920273,10847235.480585745,9267035.693834702
2010-05-26,6828086.848843447,4050732.557554379,10878819.406397827,9406375.262454666
2010-05-27,6858132.226298402,4051509.410373636,10909641.636672039,9534262.263790801
2010-05-28,6948583.185974536,4052286.4121783655,11000869.598152902,9633517.84691735
2010-05-31,7028285.488351082,4053063.5629971395,11081349.051348222,9696506.96697843
2010-06-01,7013855.496933014,4053840.862858536,11067696.35979155,9564802.443214355
2010-06-02,7042710.49774667,4054618.311791139,11097328.80953781,9593433.861423936
2010-06-03,7116244.51079416,4055395.909823538,11171640.420617698,9738499.713685818
2010-06-04,7129991.666077595,4056173.656984326,11186165.32306192,9814850.162244704
2010-06-07,7116122.955364693,4056951.553302104,11173074.508666797,9644970.414201183
2010-06-08,7106623.075032606,4057729.5988054774,11164352.673838083,9572437.488070242
2010-06-09,7115945.423223803,4058507.7935230564,11174453.21674686,9618247.757205574
2010-06-10,7186710.128521963,4059286.137483458,11245996.266005421,9765222.370681427
2010-06-11,7202057.060928314,4060064.6307153045,11262121.691643618,9797671.311318954
2010-06-14,7263449.910808768,4060843.273247223,11324293.184055991,9923649.551441114
2010-06-15,7292477.619733663,4061622.0651078457,11354099.68484151,9990456.19393014
2010-06-16,7311320.624594048,4062401.0063258116,11373721.630919859,9973277.34300439
2010-06-17,7354293.33539094,4063180.096929765,11417473.432320705,10066806.642489025
2010-06-18,7312352.342125364,4063348.1174640777,11375700.45958944,10040083.985493416
2010-06-21,7378307.197964091,4077336.8700920846,11455644.068056175,10215690.01717885
2010-06-22,7384015.1886936445,4078038.457245253,11462053.645938898,10209963.733536934
2010-06-23,7429337.734189114,4079762.2789493822,11509100.013138495,10211872.494750906
2010-06-24,7455050.304451322,4085287.5511493078,11540337.855600629,10152700.89711777
2010-06-25,7397335.549481097,4086071.030953638,11483406.580434734,10164153.464401605
2010-06-28,7446681.013184014,4086854.6610143688,11533535.674198382,10173697.270471463
2010-06-29,7432600.981333996,4087638.4413603167,11520239.422694312,10125978.24012216
2010-06-30,7437616.993126158,4088422.3720203037,11526039.365146462,10190876.121397212
2010-07-01,7440445.2585611325,4089206.453023157,11529651.711584289,10112616.911624355
2010-07-02,7463935.707639545,4089990.6843977096,11553926.392037254,10074441.687344912
2010-07-05,7511175.696741696,4090775.0661727996,11601950.762914496,10091620.538270662
2010-07-06,7538188.000400149,4091559.598377271,11629747.59877742,10183241.076541325
2010-07-07,7511940.687705186,4092344.2810399737,11604284.96874516,10059171.597633136
2010-07-08,7577223.1986574335,4093129.114189762,11670352.312847195,10202328.688681046
2010-07-09,7622525.563257525,4093914.097855497,11716439.661113022,10238595.151746517
2010-07-12,7634411.148951133,4094083.389301542,11728494.538252674,10276770.376025958
2010-07-13,7628412.696167688,4089532.9466967513,11717945.64286444,10326398.167589234
2010-07-14,7613762.465928854,4073507.3918864448,11687269.8578153,10353120.824584845
2010-07-15,7610089.105816295,4077582.9968588613,11687672.102675157,10351212.063370872
2010-07-16,7673648.550667997,4089213.268358637,11762861.819026634,10318763.122733345
2010-07-19,7693501.660500444,4089997.5010402403,11783499.161540683,10335941.973659094
2010-07-20,7675867.211506672,4090166.6305272593,11766033.842033932,10236686.390532546
2010-07-21,7672248.401507426,4086519.8185194153,11758768.220026841,10345485.779728957
2010-07-22,7724133.96150818,4096698.145315091,11820832.106823271,10450467.646497423
2010-07-23,7721810.301508932,4097483.813452549,11819294.11496148,10456193.930139339
2010-07-26,7716987.881511196,4097653.252513395,11814641.13402459,10439015.07921359
