spec,trail,target,stop,age_m,L,depth,rs,slots,size_pct,cagr,cagr_worst_seed,cagr_no_cash_yield,cash_sweep_pp,sweep_share_pct,invested_pct,dd,dd_worst_seed,calmar,calmar_worst_seed,tpy,hold_d,win,avg_win,avg_loss,netexp,streak,wa_cagr,wa_netexp,wb_cagr,wb_netexp,cagr_40bps,cagr_60bps,mean_tr,mean_tr_ex_top10,mean_tr_cap50,top10_share_of_sum_pct
INCUMBENT r/153 (trail20 tp25 sl8),20,0.25,0.08,6,25,0.3,off,8,0.1875,14.9,13.11,11.08,3.82,25.6,31.8,-38.57,-46.43,0.386,0.282,33.2,18.0,39.9,15.25,-5.49,2.313,18,14.14,4.904,15.04,1.657,12.17,9.7,2.81,2.3,2.81,19.6
S1 bestCAGR s1_tr50_tp25_sl15,50,0.25,0.15,6,25,0.3,off,8,0.1875,22.4,20.21,19.16,3.24,14.5,43.5,-46.92,-54.75,0.477,0.369,22.6,37.0,46.2,22.17,-7.68,5.603,17,16.16,6.885,27.67,4.934,21.27,19.73,6.1,5.39,6.1,13.5
S1 bestCAGR s1_tr50_tp25_sl10,50,0.25,0.1,6,25,0.3,off,8,0.1875,22.01,19.99,18.75,3.26,14.8,42.6,-44.3,-53.02,0.497,0.377,23.1,35.0,45.0,22.18,-7.52,5.336,17,16.38,6.987,28.02,4.735,20.73,19.11,5.84,5.12,5.84,14.2
S1 bestCalmar s1_tr50_tp100_sl8,50,1.0,0.08,6,25,0.3,off,8,0.1875,19.03,16.09,15.93,3.1,16.3,45.9,-32.37,-50.76,0.588,0.317,16.2,52.0,43.7,26.13,-6.84,6.941,19,12.79,7.866,26.5,6.808,18.16,17.59,7.44,4.4,5.12,42.9
S1 bestCalmar s1_tr50_tp100_sl10,50,1.0,0.1,6,25,0.3,off,8,0.1875,19.68,18.28,16.59,3.09,15.7,46.4,-35.06,-49.67,0.561,0.368,15.5,55.0,43.6,28.17,-7.34,7.64,15,12.46,7.645,29.05,7.853,19.13,17.91,8.14,4.92,5.54,41.2
S1 bestCalmar s1_tr50_tp100_sl6,50,1.0,0.06,6,25,0.3,off,8,0.1875,17.82,16.51,14.9,2.92,16.4,44.3,-33.95,-47.53,0.525,0.347,17.9,45.0,39.0,26.43,-6.4,5.882,19,13.53,8.284,24.07,5.501,17.28,15.98,6.38,3.58,4.2,45.5
S1 bestCalmar s1_tr50_notp_sl10,50,,0.1,6,25,0.3,off,8,0.1875,19.76,18.03,16.58,3.18,16.1,47.1,-37.7,-50.56,0.524,0.357,14.9,57.0,43.7,29.1,-7.21,8.171,14,13.46,8.874,27.66,8.266,19.45,18.44,8.67,4.93,6.0,45.4
S2a geometry bestcagr s2a_a6_L25_d30_off,50,0.25,0.15,6,25,0.3,off,8,0.1875,22.4,20.21,19.16,3.24,14.5,43.5,-46.92,-54.75,0.477,0.369,22.6,37.0,46.2,22.17,-7.68,5.603,17,16.16,6.885,27.67,4.934,21.27,19.73,6.1,5.39,6.1,13.5
S2a geometry bestcalmar s2a_a3_L60_d60_off,50,0.25,0.15,3,60,0.6,off,8,0.1875,6.08,6.08,1.17,4.91,80.8,3.8,-7.63,-7.63,0.796,0.797,1.6,45.0,51.5,18.15,-8.6,4.677,4,5.1,1.841,6.98,5.183,6.0,5.89,5.18,-4.62,5.18,162.2
S2b book bestcagr s2b_a6_L25_d30_off_n8x1875,50,0.25,0.15,6,25,0.3,off,8,0.1875,22.4,20.21,19.16,3.24,14.5,43.5,-46.92,-54.75,0.477,0.369,22.6,37.0,46.2,22.17,-7.68,5.603,17,16.16,6.885,27.67,4.934,21.27,19.73,6.1,5.39,6.1,13.5
S2b book bestcalmar s2b_a6_L25_d30_off_n5x2000,50,0.25,0.15,6,25,0.3,off,5,0.2,19.74,16.93,16.35,3.39,17.2,41.4,-40.09,-52.33,0.492,0.324,19.7,38.0,44.9,22.09,-7.77,5.135,13,14.38,6.354,25.42,4.734,18.54,16.56,5.63,4.83,5.63,16.4
